the word 'rest' in the title should be stressed since this is a movie that lacks any action scenes at all . 	Translation	Positive	Negative	EmotionRationale
what does takes place is more based on character development . 	what does takes place is more based on character development .	1	-1	 what[0] does[0] takes[0] place[0] is[0] more[0] based[0] on[0] character[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film starts right in the middle of the lives of four people : nick , beth , carol and sid . 	the film starts right in the middle of the lives of four people : nick , beth , carol and sid .	1	-1	 the[0] film[0] starts[0] right[0] in[0] the[0] middle[0] of[0] the[0] lives[0] of[0] four[0] people[0] nick[0] beth[0] carol[0] and[0] sid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what they have done earlier is for the most part only hinted at . 	what they have done earlier is for the most part only hinted at .	1	-1	 what[0] they[0] have[0] done[0] earlier[0] is[0] for[0] the[0] most[0] part[0] only[0] hinted[0] at[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nick and beth have a relationship and have decided to move from enfield , arizona to butte , montana . 	nick and beth have a relationship and have decided to move from enfield , arizona to butte , montana .	1	-1	 nick[0] and[0] beth[0] have[0] a[0] relationship[0] and[0] have[0] decided[0] to[0] move[0] from[0] enfield[0] arizona[0] to[0] butte[0] montana[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( and i who thought that butte was pronounced slightly different . . . ) 	 ( and i who thought that butte was pronounced slightly different .<br> .<br> .<br> )	1	-1	 and[0] i[0] who[0] thought[0] that[0] butte[0] was[0] pronounced[0] slightly[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carol is nick's ex-girlfriend and beth's best friend , sid is a joint-smoking painter that comes to repaint their house before the new tenants move in . 	carol is nick's ex-girlfriend and beth's best friend , sid is a joint-smoking painter that comes to repaint their house before the new tenants move in .	2	-1	 carol[0] is[0] nick's[0] ex[0] girlfriend[0] and[0] beth's[0] best[1] friend[1] sid[0] is[0] a[0] joint[0] smoking[0] painter[0] that[0] comes[0] to[0] repaint[0] their[0] house[0] before[0] the[0] new[0] tenants[0] move[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
obviously based on a stage play , the problem with the movie is that there's a lot of things left out . 	obviously based on a stage play , the problem with the movie is that there's a lot of things left out .	1	-2	 obviously[0] based[0] on[0] a[0] stage[0] play[0] the[0] problem[-1] with[0] the[0] movie[0] is[0] that[0] there's[0] a[0] lot[0] of[0] things[0] left[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not obvious that nick and beth are in love with each other , the reason why nick was fired from his job isn't mentioned . 	it's not obvious that nick and beth are in love with each other , the reason why nick was fired from his job isn't mentioned .	3	-3	 it's[0] not[0] obvious[0] that[0] nick[0] and[0] beth[0] are[0] in[0] love[2] with[0] each[0] other[0] the[0] reason[0] why[0] nick[0] was[0] fired[-2] from[0] his[0] job[0] isn't[0] mentioned[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and why nick suddenly decide to go visit his parents remain a mystery , when he hasn't seen them for many years . 	and why nick suddenly decide to go visit his parents remain a mystery , when he hasn't seen them for many years .	1	-1	 and[0] why[0] nick[0] suddenly[0] decide[0] to[0] go[0] visit[0] his[0] parents[0] remain[0] a[0] mystery[0] when[0] he[0] hasn't[0] seen[0] them[0] for[0] many[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
set in a small ( fictional ? ) 	set in a small ( fictional ?<br> )	1	-1	 set[0] in[0] a[0] small[0] fictional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
town in arizona was a good move , since this makes the film focus on the four characters and not on their surroundings . 	town in arizona was a good move , since this makes the film focus on the four characters and not on their surroundings .	2	-1	 town[0] in[0] arizona[0] was[0] a[0] good[1] move[0] since[0] this[0] makes[0] the[0] film[0] focus[0] on[0] the[0] four[0] characters[0] and[0] not[0] on[0] their[0] surroundings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the name of the city is not important , this could take place anywhere with four young people in a house discussing life and the future . 	the name of the city is not important , this could take place anywhere with four young people in a house discussing life and the future .	1	-1	 the[0] name[0] of[0] the[0] city[0] is[0] not[0] important[0] this[0] could[0] take[0] place[0] anywhere[0] with[0] four[0] young[0] people[0] in[0] a[0] house[0] discussing[0] life[0] and[0] the[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
particularly impressive is bridget fonda as beth who end up in bed with sid when her fiance nick leaves her . 	particularly impressive is bridget fonda as beth who end up in bed with sid when her fiance nick leaves her .	2	-1	 particularly[0] impressive[1] is[0] bridget[0] fonda[0] as[0] beth[0] who[0] end[0] up[0] in[0] bed[0] with[0] sid[0] when[0] her[0] fiance[0] nick[0] leaves[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not an actress that i have found interesting earlier or seen many pictures with , but i'll keep an eye on her in the future . 	not an actress that i have found interesting earlier or seen many pictures with , but i'll keep an eye on her in the future .	2	-1	 not[0] an[0] actress[0] that[0] i[0] have[0] found[0] interesting[1] earlier[0] or[0] seen[0] many[0] pictures[0] with[0] but[0] i'll[0] keep[0] an[0] eye[0] on[0] her[0] in[0] the[0] future[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
