labelling is sometimes everything . 	Translation	Positive	Negative	EmotionRationale
in original mad max , the opening title set the plot of the movie in near future , thus making it one of the science fiction classics , despite the future world being almost exactly like our own . 	in original mad max , the opening title set the plot of the movie in near future , thus making it one of the science fiction classics , despite the future world being almost exactly like our own .	2	-2	 in[0] original[0] mad[-1] max[0] the[0] opening[0] title[0] set[0] the[0] plot[0] of[0] the[0] movie[0] in[0] near[0] future[0] thus[0] making[0] it[0] one[0] of[0] the[0] science[0] fiction[0] classics[0] despite[0] the[0] future[0] world[0] being[0] almost[0] exactly[0] like[1] our[0] own[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
walter hill wanted the same opening title for his action classic the warriors . 	walter hill wanted the same opening title for his action classic the warriors .	1	-1	 walter[0] hill[0] wanted[0] the[0] same[0] opening[0] title[0] for[0] his[0] action[0] classic[0] the[0] warriors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
producers weren't thrilled by that idea and consequently the movie lost all of its futuristic overtones . 	producers weren't thrilled by that idea and consequently the movie lost all of its futuristic overtones .	4	-1	 producers[0] weren't[0] thrilled[3] by[0] that[0] idea[0] and[0] consequently[0] the[0] movie[0] lost[0] all[0] of[0] its[0] futuristic[0] overtones[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
on the other hand , producers were right on the mark ; walter hill was accused of actually promoting some disturbing trends that were quite visible in contemporary america . 	on the other hand , producers were right on the mark ; walter hill was accused of actually promoting some disturbing trends that were quite visible in contemporary america .	1	-2	 on[0] the[0] other[0] hand[0] producers[0] were[0] right[0] on[0] the[0] mark[0] walter[0] hill[0] was[0] accused[-1] of[0] actually[0] promoting[0] some[0] disturbing[-1][--1 LastWordBoosterStrength] trends[0] that[0] were[0] quite[0] visible[0] in[0] contemporary[0] america[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to make the movie even more distant from future , plot was loosely based on anabasis , historical book written by xenophon , greek mercenary soldier who had described his adventures in ancient persia 2400 years ago . 	to make the movie even more distant from future , plot was loosely based on anabasis , historical book written by xenophon , greek mercenary soldier who had described his adventures in ancient persia 2400 years ago .	1	-1	 to[0] make[0] the[0] movie[0] even[0] more[0] distant[0] from[0] future[0] plot[0] was[0] loosely[0] based[0] on[0] anabasis[0] historical[0] book[0] written[0] by[0] xenophon[0] greek[0] mercenary[0] soldier[0] who[0] had[0] described[0] his[0] adventures[0] in[0] ancient[0] persia[0] 2400[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of ancient persia , movie begins in contemporary coney island , where cleon ( dorsey wright ) , leader of the warriors , local youth gang , gets invitation to the great gathering of all youth gangs from the city . 	instead of ancient persia , movie begins in contemporary coney island , where cleon ( dorsey wright ) , leader of the warriors , local youth gang , gets invitation to the great gathering of all youth gangs from the city .	3	-1	 instead[0] of[0] ancient[0] persia[0] movie[0] begins[0] in[0] contemporary[0] coney[0] island[0] where[0] cleon[0] dorsey[0] wright[0] leader[0] of[0] the[0] warriors[0] local[0] youth[0] gang[0] gets[0] invitation[0] to[0] the[0] great[2] gathering[0] of[0] all[0] youth[0] gangs[0] from[0] the[0] city[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the gathering , organised by gramercy park riffs , most powerful gang in the city , is taking place in bronx . 	the gathering , organised by gramercy park riffs , most powerful gang in the city , is taking place in bronx .	1	-1	 the[0] gathering[0] organised[0] by[0] gramercy[0] park[0] riffs[0] most[0] powerful[0] gang[0] in[0] the[0] city[0] is[0] taking[0] place[0] in[0] bronx[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is far away from warriors' home territory , but small and unarmed delegation of the warriors gets there safely thanks to the general truce . 	that is far away from warriors' home territory , but small and unarmed delegation of the warriors gets there safely thanks to the general truce .	2	-1	 that[0] is[0] far[0] away[0] from[0] warriors'[0] home[0] territory[0] but[0] small[0] and[0] unarmed[0] delegation[0] of[0] the[0] warriors[0] gets[0] there[0] safely[1] thanks[1] to[0] the[0] general[0] truce[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the gathering , cyrus ( roger hill ) , charismatic leader of the riffs , announces his grand plan to unite all the gangs and take over the city . 	on the gathering , cyrus ( roger hill ) , charismatic leader of the riffs , announces his grand plan to unite all the gangs and take over the city .	2	-1	 on[0] the[0] gathering[0] cyrus[0] roger[0] hill[0] charismatic[0] leader[0] of[0] the[0] riffs[0] announces[0] his[0] grand[1] plan[0] to[0] unite[0] all[0] the[0] gangs[0] and[0] take[0] over[0] the[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
crowd is enthusiastic , but the small gang of rogues , led by psychopathic luther ( david patrick kelly ) uses the opportunity to assassinate cyrus . 	crowd is enthusiastic , but the small gang of rogues , led by psychopathic luther ( david patrick kelly ) uses the opportunity to assassinate cyrus .	3	-3	 crowd[0] is[0] enthusiastic[2] but[0] the[0] small[0] gang[0] of[0] rogues[0] led[0] by[0] psychopathic[0] luther[0] david[0] patrick[0] kelly[0] uses[0] the[0] opportunity[0] to[0] assassinate[-2] cyrus[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
