the verdict : spine-chilling drama from horror maestro stephen king , featuring an outstanding , oscar-winning performance from kathy bates . 	Translation	Positive	Negative	EmotionRationale
geez , french and saunders had a field day when they set to work on parodying this ! 	geez , french and saunders had a field day when they set to work on parodying this !	1	-1	 geez[0] french[0] and[0] saunders[0] had[0] a[0] field[0] day[0] when[0] they[0] set[0] to[0] work[0] on[0] parodying[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sorry , non-british readers may not be familiar with french and saunders - my apologies . 	sorry , non-british readers may not be familiar with french and saunders - my apologies .	1	-2	 sorry[-1] non[0] british[0] readers[0] may[0] not[0] be[0] familiar[0] with[0] french[0] and[0] saunders[0] my[0] apologies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the pair are british comediennes ( jennifer saunders later went on to become edina monsoon in " absolutely fabulous " ) , who did a series of film spoofs a few years back , including alien , the exorcist and misery . 	the pair are british comediennes ( jennifer saunders later went on to become edina monsoon in " absolutely fabulous " ) , who did a series of film spoofs a few years back , including alien , the exorcist and misery .	4	-3	 the[0] pair[0] are[0] british[0] comediennes[0] jennifer[0] saunders[0] later[0] went[0] on[0] to[0] become[0] edina[0] monsoon[0] in[0] absolutely[0] fabulous[2][1 LastWordBoosterStrength] who[0] did[0] a[0] series[0] of[0] film[0] spoofs[0] a[0] few[0] years[0] back[0] including[0] alien[-1] the[0] exorcist[0] and[0] misery[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
needless to say , amidst her chucklesome impersonation of kathy bates ( the resemblance was quite uncanny ! ) , dawn french got pretty nasty with her sledgehammer when in reach of jennifer saunder's legs ! 	needless to say , amidst her chucklesome impersonation of kathy bates ( the resemblance was quite uncanny !<br> ) , dawn french got pretty nasty with her sledgehammer when in reach of jennifer saunder's legs !	3	-3	 needless[0] to[0] say[0] amidst[0] her[0] chucklesome[2] impersonation[0] of[0] kathy[0] bates[0] the[0] resemblance[0] was[0] quite[0] uncanny[0] [[Sentence=-1,3=word max, 1-5]] dawn[0] french[0] got[0] pretty[2] nasty[-2] with[0] her[0] sledgehammer[0] when[0] in[0] reach[0] of[0] jennifer[0] saunder's[0] legs[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but despite the lingering memory of their sketch , and although i've now seen the film a couple of times now , that " hobbling " scene was no less disturbing ! 	but despite the lingering memory of their sketch , and although i've now seen the film a couple of times now , that " hobbling " scene was no less disturbing !	1	-2	 but[0] despite[0] the[0] lingering[0] memory[0] of[0] their[0] sketch[0] and[0] although[0] i've[0] now[0] seen[0] the[0] film[0] a[0] couple[0] of[0] times[0] now[0] that[0] hobbling[0] scene[0] was[0] no[0] less[0] disturbing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm still left screaming at the telly in revulsion ! 	i'm still left screaming at the telly in revulsion !	1	-4	 i'm[0] still[0] left[0] screaming[-3] at[0] the[0] telly[0] in[0] revulsion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that may be the most memorable scene , but it's certainly not the only worth watching . 	that may be the most memorable scene , but it's certainly not the only worth watching .	1	-1	 that[0] may[0] be[0] the[0] most[0] memorable[0] scene[0] but[0] it's[0] certainly[0] not[0] the[0] only[0] worth[0] watching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stephen king , whose film and tv adaptations tend to vary in quality , strikes gold with this simple yet strikingly compelling tale . 	stephen king , whose film and tv adaptations tend to vary in quality , strikes gold with this simple yet strikingly compelling tale .	1	-1	 stephen[0] king[0] whose[0] film[0] and[0] tv[0] adaptations[0] tend[0] to[0] vary[0] in[0] quality[0] strikes[0] gold[0] with[0] this[0] simple[0] yet[0] strikingly[0] compelling[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a nicely crafted psychological horror , which effortlessly succeeds in drawing you into the plight of writer phil sheldon ( james caan ) . 	it's a nicely crafted psychological horror , which effortlessly succeeds in drawing you into the plight of writer phil sheldon ( james can ) .	3	-4	 it's[0] a[0] nicely[1] crafted[0] psychological[0] horror[-3] which[0] effortlessly[0] succeeds[2] in[0] drawing[0] you[0] into[0] the[0] plight[-1] of[0] writer[0] phil[0] sheldon[0] james[0] caan/can[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
rescued from a car accident by annie wilkes ( bates ) , who introduces herself as the writer's " number one fan " , he soon becomes her prisoner . 	rescued from a car accident by annie wilkes ( bates ) , who introduces herself as the writer's " number one fan " , he soon becomes her prisoner .	1	-2	 rescued[0] from[0] a[0] car[0] accident[-1] by[0] annie[0] wilkes[0] bates[0] who[0] introduces[0] herself[0] as[0] the[0] writer's[0] number[0] one[0] fan[0] he[0] soon[0] becomes[0] her[0] prisoner[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
