meet joe black is your classic boy-meets-girl , boy-likes-girl , boy-gets-killed-in-horrible-accident , supernatural-entity-takes-over-boy's-body , supernatural-entity-falls-in-love-with-girl story . 	Translation	Positive	Negative	EmotionRationale
based on the 1934 film death takes a holiday , meet joe black is a well acted romantic drama which explores the meanings of life and love . 	based on the 1934 film death takes a holiday , meet joe black is a well acted romantic drama which explores the meanings of life and love .	4	-3	 based[0] on[0] the[0] 1934[0] film[0] death[-2] takes[0] a[0] holiday[0] meet[0] joe[0] black[0] is[0] a[0] well[0] acted[0] romantic[3] drama[0] which[0] explores[0] the[0] meanings[0] of[0] life[0] and[0] love[2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
william parrish ( anthony hopkins ) is a billionaire businessman on the brink of his 65th birthday . 	william parish ( anthony hopkins ) is a billionaire businessman on the brink of his 65th birthday .	1	-1	 william[0] parrish/parish[0] anthony[0] hopkins[0] is[0] a[0] billionaire[0] businessman[0] on[0] the[0] brink[0] of[0] his[0] 65th[0] birthday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has built a huge media empire , and raised two beautiful daughters , allison ( marcia gay harden ) and susan ( claire forlani ) . 	he has built a huge media empire , and raised two beautiful daughters , allison ( marcia gay harden ) and susan ( claire forlani ) .	3	-2	 he[0] has[0] built[0] a[0] huge[0] media[0] empire[0] and[0] raised[0] two[0] beautiful[2] daughters[0] allison[0] marcia[0] gay[-1] harden[0] and[0] susan[0] claire[0] forlani[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
william has been able to negotiate his way out of many tough spots . . . but he has suddenly begun fearing his own mortality , the one situation he won't be able to talk his way out of . 	william has been able to negotiate his way out of many tough spots .<br> .<br> .<br> but he has suddenly begun fearing his own mortality , the one situation he won't be able to talk his way out of .	1	-3	 william[0] has[0] been[0] able[0] to[0] negotiate[0] his[0] way[0] out[0] of[0] many[0] tough[-1] spots[0] [[Sentence=-2,1=word max, 1-5]] but[0] he[0] has[0] suddenly[0] begun[0] fearing[-2] his[0] own[0] mortality[0] the[0] one[0] situation[0] he[0] won't[0] be[0] able[0] to[0] talk[0] his[0] way[0] out[0] of[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and he has good reason to fear , for death himself is stalking him . 	and he has good reason to fear , for death himself is stalking him .	2	-4	 and[0] he[0] has[0] good[1] reason[0] to[0] fear[-3] for[0] death[-2] himself[0] is[0] stalking[0] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , death has a deal to make . 	however , death has a deal to make .	1	-3	 however[0] death[-2] has[0] a[0] deal[0] to[0] make[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
death has taken possession of a man who has recently died ( brad pitt ) , and wants william to be his guide in a holiday among the living . 	death has taken possession of a man who has recently died ( brad pit ) , and wants william to be his guide in a holiday among the living .	1	-3	 death[-2] has[0] taken[0] possession[0] of[0] a[0] man[0] who[0] has[0] recently[0] died[0] brad[0] pitt/pit[0] and[0] wants[0] william[0] to[0] be[0] his[0] guide[0] in[0] a[0] holiday[0] among[0] the[0] living[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in return , william gets to live a few extra days . 	in return , william gets to live a few extra days .	1	-1	 in[0] return[0] william[0] gets[0] to[0] live[0] a[0] few[0] extra[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , he agrees . 	of course , he agrees .	1	-1	 of[0] course[0] he[0] agrees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
death , under the human name of " joe black " , gets to experience life as a complete innocent . 	death , under the human name of " joe black " , gets to experience life as a complete innocent .	3	-3	 death[-2] under[0] the[0] human[0] name[0] of[0] joe[0] black[0] gets[0] to[0] experience[0] life[0] as[0] a[0] complete[0] innocent[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he never before has experienced the simple pleasures of a springy matters or peanut butter . 	he never before has experienced the simple pleasures of a springy matters or peanut butter .	3	-1	 he[0] never[0] before[0] has[0] experienced[0] the[0] simple[0] pleasures[2] of[0] a[0] springy[0] matters[0] or[0] peanut[0] butter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and he's not quite compared for the more complex pleasures when he and susan fall in love . 	and he's not quite compared for the more complex pleasures when he and susan fall in love .	3	-1	 and[0] he's[0] not[0] quite[0] compared[0] for[0] the[0] more[0] complex[0] pleasures[2] when[0] he[0] and[0] susan[0] fall[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , is their affair doomed to an early demise ? 	but , is their affair doomed to an early demise ?	1	-2	 but[0] is[0] their[0] affair[0] doomed[-1] to[0] an[0] early[0] demise[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at nearly three hours in length , meet joe black is a little bit on the leisurely side , though it never gets boringly lengthy . 	at nearly three hours in length , meet joe black is a little bit on the leisurely side , though it never gets boringly lengthy .	2	-1	 at[0] nearly[0] three[0] hours[0] in[0] length[0] meet[0] joe[0] black[0] is[0] a[0] little[0] bit[0] on[0] the[0] leisurely[0] side[0] though[0] it[0] never[0] gets[0] boringly[-1][NegatedDueToPreviousWord] lengthy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , the film gets a chance to develop some nicely textured characters and situations . 	instead , the film gets a chance to develop some nicely textured characters and situations .	1	-1	 instead[0] the[0] film[0] gets[0] a[0] chance[0] to[0] develop[0] some[0] nicely[1][-1 LastWordBoosterStrength] textured[0] characters[0] and[0] situations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you get to soak in and enjoy the atmosphere , rather than being hurriedly rushed through it . 	you get to soak in and enjoy the atmosphere , rather than being hurriedly rushed through it .	3	-1	 you[0] get[0] to[0] soak[0] in[0] and[0] enjoy[2] the[0] atmosphere[0] rather[0] than[0] being[0] hurriedly[0] rushed[0] through[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
