plot : a young recruit gets plucked out of nowhere by the number one gangster in london and quickly becomes a staple by his side . 	Translation	Positive	Negative	EmotionRationale
but this new guy is not like all the others , he's got ambition , he's got goals and he loves everything he sees about being the number one gangster . 	but this new guy is not like all the others , he's got ambition , he's got goals and he loves everything he sees about being the number one gangster .	3	-2	 but[0] this[0] new[0] guy[0] is[0] not[0] like[1][NegatedDueToPreviousWord] all[0] the[0] others[0] he's[0] got[0] ambition[0] he's[0] got[0] goals[0] and[0] he[0] loves[2] everything[0] he[0] sees[0] about[0] being[0] the[0] number[0] one[0] gangster[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
violence , lots of swearing and betrayals ensue . 	violence , lots of swearing and betrayals ensue .	1	-4	 violence[-3] lots[0] of[0] swearing[0] and[0] betrayals[-2] ensue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
critique : a very good , serious-minded , unique british gangster flick which misses the " great " mark by way of an annoying voice-over popping up throughout the film and a so-so ending . 	critique : a very good , serious-minded , unique british gangster flick which misses the " great " mark by way of an annoying voice-over popping up throughout the film and a so-so ending .	3	-3	 critique[0] a[0] very[0] good[1][1 LastWordBoosterStrength] serious[-1] minded[0] unique[0] british[0] gangster[0] flick[0] which[0] misses[-2] the[0] great[2] mark[0] by[0] way[0] of[0] an[0] annoying[-2] voice[0] over[0] popping[0] up[0] throughout[0] the[0] film[0] and[0] a[0] so[0] so[0] ending[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
here's yet another cool crime movie that actually manages to bring something new into the mix . 	here's yet another cool crime movie that actually manages to bring something new into the mix .	2	-2	 here's[0] yet[0] another[0] cool[1] crime[-1] movie[0] that[0] actually[0] manages[0] to[0] bring[0] something[0] new[0] into[0] the[0] mix[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
okay , so it's not entirely new , but it's definitely original when all put together as done here . 	okay , so it's not entirely new , but it's definitely original when all put together as done here .	1	-1	 okay[0] so[0] it's[0] not[0] entirely[0] new[0] but[0] it's[0] definitely[0] original[0] when[0] all[0] put[0] together[0] as[0] done[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thing i liked most about this movie was its authentic portrayal of the time period in which it was taking place . 	the thing i liked most about this movie was its authentic portrayal of the time period in which it was taking place .	3	-1	 the[0] thing[0] i[0] liked[2] most[0] about[0] this[0] movie[0] was[0] its[0] authentic[0] portrayal[0] of[0] the[0] time[0] period[0] in[0] which[0] it[0] was[0] taking[0] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's 1968 and these dudes are looking good ! 	it's 1968 and these dudes are looking good !	2	-1	 it's[0] 1968[0] and[0] these[0] dudes[0] are[0] looking[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , it's all about the suits , fellas . . . the 	yes , it's all about the suits , fellas .<br> .<br> .<br> the	1	-1	 yes[0] it's[0] all[0] about[0] the[0] suits[0] fellas[0] [[Sentence=-1,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
italian shoes , the cufflinks , the ties and the birds ( that's ladies , for those uninitiated ) hanging around you . 	italian shoes , the cufflinks , the ties and the birds ( that's ladies , for those uninitiated ) hanging around you .	1	-1	 italian[0] shoes[0] the[0] cufflinks[0] the[0] ties[0] and[0] the[0] birds[0] that's[0] ladies[0] for[0] those[0] uninitiated[0] hanging[0] around[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here are a bunch of horrible men , gangsters if you will , looking sharp , talking shit and busting heads all over the place . 	here are a bunch of horrible men , gangsters if you will , looking sharp , talking shit and busting heads all over the place .	1	-4	 here[0] are[0] a[0] bunch[0] of[0] horrible[-3] men[0] gangsters[0] if[0] you[0] will[0] looking[0] sharp[0] talking[0] shit[-1] and[0] busting[0] heads[0] all[0] over[0] the[0] place[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but that's not the basis of this movie . 	but that's not the basis of this movie .	1	-1	 but[0] that's[0] not[0] the[0] basis[0] of[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
