the small-scale film , in limited release , " waking ned devine " is a pleasant excursion to a time and place which allows the audience to absorb the full texture of a small town . 	Translation	Positive	Negative	EmotionRationale
filled with breathtaking scenery , 'characters' , and delightful music , the movie would be interesting even without a plot . 	filled with breathtaking scenery , 'characters' , and delightful music , the movie would be interesting even without a plot .	3	-1	 filled[0] with[0] breathtaking[0] scenery[0] 'characters'[0] and[0] delightful[2] music[0] the[0] movie[0] would[0] be[0] interesting[1] even[0] without[0] a[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story contains several surprises which are best left unmentioned in a review . 	the story contains several surprises which are best left unmentioned in a review .	2	-1	 the[0] story[0] contains[0] several[0] surprises[0] which[0] are[0] best[1] left[0] unmentioned[0] in[0] a[0] review[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film starts out with a sharp opening , which gives us a taste of what is to follow : country folk with an inclination for a bit of larceny . 	the film starts out with a sharp opening , which gives us a taste of what is to follow : country folk with an inclination for a bit of larceny .	1	-1	 the[0] film[0] starts[0] out[0] with[0] a[0] sharp[0] opening[0] which[0] gives[0] us[0] a[0] taste[0] of[0] what[0] is[0] to[0] follow[0] country[0] folk[0] with[0] an[0] inclination[0] for[0] a[0] bit[0] of[0] larceny[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what gets things going is the fact that a winner of the lottery is apparently one of the residents in the small town ( pop 52 ) of tullymore . 	what gets things going is the fact that a winner of the lottery is apparently one of the residents in the small town ( pop 52 ) of tullymore .	2	-1	 what[0] gets[0] things[0] going[0] is[0] the[0] fact[0] that[0] a[0] winner[1] of[0] the[0] lottery[0] is[0] apparently[0] one[0] of[0] the[0] residents[0] in[0] the[0] small[0] town[0] pop[0] 52[0] of[0] tullymore[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
who that person is , and how to share in the good fortune is the mission of two longtime friends jackie ( ian bannen ) and michael ( david kelly ) . 	who that person is , and how to share in the good fortune is the mission of two longtime friends jackie ( ian bannen ) and michael ( david kelly ) .	2	-1	 who[0] that[0] person[0] is[0] and[0] how[0] to[0] share[0] in[0] the[0] good[1] fortune[0] is[0] the[0] mission[0] of[0] two[0] longtime[0] friends[1] jackie[0] ian[0] bannen[0] and[0] michael[0] david[0] kelly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
part detectives , part scalawags , they have to stay alert to the changing circumstances they face as the story unfolds . 	part detectives , part scalawags , they have to stay alert to the changing circumstances they face as the story unfolds .	1	-1	 part[0] detectives[0] part[0] scalawags[0] they[0] have[0] to[0] stay[0] alert[0] to[0] the[0] changing[0] circumstances[0] they[0] face[0] as[0] the[0] story[0] unfolds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the village consists of several amusing characters . 	the village consists of several amusing characters .	2	-1	 the[0] village[0] consists[0] of[0] several[0] amusing[1] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a clueless pig farmer , temporary priest , and a witch . 	a clueless pig farmer , temporary priest , and a witch .	1	-1	 a[0] clueless[0] pig[0] farmer[0] temporary[0] priest[0] and[0] a[0] witch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's also the lotto man who must be satisfied that everything is on the up-and-up . 	there's also the lotto man who must be satisfied that everything is on the up-and-up .	2	-1	 there's[0] also[0] the[0] lotto[0] man[0] who[0] must[0] be[0] satisfied[1] that[0] everything[0] is[0] on[0] the[0] up[0] and[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are no hollywood touches to this film - except for the outer space introduction [ ! ] . 	there are no hollywood touches to this film - except for the outer space introduction [ !<br> ] .	1	-1	 there[0] are[0] no[0] hollywood[0] touches[0] to[0] this[0] film[0] except[0] for[0] the[0] outer[0] space[0] introduction[0] [[0] [[Sentence=-1,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
