if beavis and butthead had a favorite movie , from dusk till dawn would probably be it . 	Translation	Positive	Negative	EmotionRationale
scripted by quentin tarantino and directed by robert rodriguez ( desperado ) , the movie panders to the very worst in sex and violence -- and is incredibly fun to watch . 	scripted by quentin tarantino and directed by robert rodriguez ( desperado ) , the movie panders to the very worst in sex and violence - and is incredibly fun to watch .	4	-4	 scripted[0] by[0] quentin[0] tarantino[0] and[0] directed[0] by[0] robert[0] rodriguez[0] desperado[0] the[0] movie[0] panders[0] to[0] the[0] very[0] worst[-2][-1 LastWordBoosterStrength] in[0] sex[0] and[0] violence[-3] and[0] is[0] incredibly[0] fun[1][2 LastWordBoosterStrength] to[0] watch[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
it starts off as a pulp fiction-type crime story , with criminal brothers george clooney and tarantino robbing a convenience store . 	it starts off as a pulp fiction-type crime story , with criminal brothers george clooney and tarantino robbing a convenience store .	1	-2	 it[0] starts[0] off[0] as[0] a[0] pulp[0] fiction[0] type[0] crime[-1] story[0] with[0] criminal[-1] brothers[0] george[0] clooney[0] and[0] tarantino[0] robbing[0] a[0] convenience[0] store[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because this is a tarantino movie , however , it's not just a case of pull the gun and take the loot , it's a case of a hole being shot through someone's hand , a man on fire jumping out behind the counter and the entire store blowing up as they drive away . 	because this is a tarantino movie , however , it's not just a case of pull the gun and take the loot , it's a case of a hole being shot through someone's hand , a man on fire jumping out behind the counter and the entire store blowing up as they drive away .	1	-2	 because[0] this[0] is[0] a[0] tarantino[0] movie[0] however[0] it's[0] not[0] just[0] a[0] case[0] of[0] pull[0] the[0] gun[-1] and[0] take[0] the[0] loot[0] it's[0] a[0] case[0] of[0] a[0] hole[0] being[0] shot[-1] through[0] someone's[0] hand[0] a[0] man[0] on[0] fire[0] jumping[0] out[0] behind[0] the[0] counter[0] and[0] the[0] entire[0] store[0] blowing[0] up[0] as[0] they[0] drive[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the opening scene sets the tone for the rest of the movie -- everything overdone and nothing as it seems . 	the opening scene sets the tone for the rest of the movie - everything overdone and nothing as it seems .	1	-1	 the[0] opening[0] scene[0] sets[0] the[0] tone[0] for[0] the[0] rest[0] of[0] the[0] movie[0] everything[0] overdone[0] and[0] nothing[0] as[0] it[0] seems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clooney and tarantino bring a hostage to the motel and then hijack an rv with a family in it . 	clooney and tarantino bring a hostage to the motel and then hijack an rv with a family in it .	1	-2	 clooney[0] and[0] tarantino[0] bring[0] a[0] hostage[0] to[0] the[0] motel[0] and[0] then[0] hijack[-1] an[0] rv[0] with[0] a[0] family[0] in[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harvey keitel plays the backslidden ex-preacher and juliette lewis his daughter , whom registered sex-pervert tarantino eyes endlessly . 	harvey keitel plays the backslidden ex-preacher and juliette lewis his daughter , whom registered sex-pervert tarantino eyes endlessly .	2	-2	 harvey[0] keitel[0] plays[1] the[0] backslidden[0] ex[0] preacher[0] and[0] juliette[0] lewis[0] his[0] daughter[0] whom[0] registered[0] sex[0] pervert[-1] tarantino[0] eyes[0] endlessly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you know you're mentally unbalanced when you find lewis the least bit attractive , although she's not nearly as obnoxious as usual in from dusk till dawn . 	you know you're mentally unbalanced when you find lewis the least bit attractive , although she's not nearly as obnoxious as usual in from dusk till dawn .	2	-3	 you[0] know[0] you're[0] mentally[0] unbalanced[0] when[0] you[0] find[0] lewis[0] the[0] least[0] bit[0] attractive[1] although[0] she's[0] not[0] nearly[0] as[0] obnoxious[-2] as[0] usual[0] in[0] from[0] dusk[0] till[0] dawn[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the first half of the movie has the criminals and hostages trying to get to and through the mexico border , clooney's strategy involving hiding in the rv shower while lewis is on the toilet . 	the first half of the movie has the criminals and hostages trying to get to and through the mexico border , clooney's strategy involving hiding in the rv shower while lewis is on the toilet .	1	-2	 the[0] first[0] half[0] of[0] the[0] movie[0] has[0] the[0] criminals[-1] and[0] hostages[0] trying[0] to[0] get[0] to[0] and[0] through[0] the[0] mexico[0] border[0] clooney's[0] strategy[0] involving[0] hiding[0] in[0] the[0] rv[0] shower[0] while[0] lewis[0] is[0] on[0] the[0] toilet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it does its trick ; the border guard takes one look at lewis relieving herself and immediately goes blind , never noticing clooney or tarantino . 	it does its trick ; the border guard takes one look at lewis relieving herself and immediately goes blind , never noticing clooney or tarantino .	2	-2	 it[0] does[0] its[0] trick[-1] the[0] border[0] guard[0] takes[0] one[0] look[0] at[0] lewis[0] relieving[1] herself[0] and[0] immediately[0] goes[0] blind[-1] never[0] noticing[0] clooney[0] or[0] tarantino[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once they get to mexico , it's time to wait at the rendezvous point , a topless bar called titty twister where we're once again reminded tarantino wrote the movie as he drinks champagne off the foot of a stripper . 	once they get to mexico , it's time to wait at the rendezvous point , a topless bar called titty twister where we're once again reminded tarantino wrote the movie as he drinks champagne off the foot of a stripper .	1	-1	 once[0] they[0] get[0] to[0] mexico[0] it's[0] time[0] to[0] wait[0] at[0] the[0] rendezvous[0] point[0] a[0] topless[0] bar[0] called[0] titty[0] twister[0] where[0] we're[0] once[0] again[0] reminded[0] tarantino[0] wrote[0] the[0] movie[0] as[0] he[0] drinks[0] champagne[0] off[0] the[0] foot[0] of[0] a[0] stripper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , after about ten minutes of intercut boob shots and clooney forcing keitel and lewis to drink with him , the stripper turns into a vampire . 	finally , after about ten minutes of intercut bob shots and clooney forcing keitel and lewis to drink with him , the stripper turns into a vampire .	1	-1	 finally[0] after[0] about[0] ten[0] minutes[0] of[0] intercut[0] boob/bob[0] shots[0] and[0] clooney[0] forcing[0] keitel[0] and[0] lewis[0] to[0] drink[0] with[0] him[0] the[0] stripper[0] turns[0] into[0] a[0] vampire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon half the people in the bar are vampires and the other half fall or fight back . 	soon half the people in the bar are vampires and the other half fall or fight back .	1	-3	 soon[0] half[0] the[0] people[0] in[0] the[0] bar[0] are[0] vampires[0] and[0] the[0] other[0] half[0] fall[0] or[0] fight[-2] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's right , we've come all this way to see a vampire movie . 	that's right , we've come all this way to see a vampire movie .	1	-1	 that's[0] right[0] we've[0] come[0] all[0] this[0] way[0] to[0] see[0] a[0] vampire[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but like everything else , tarantino takes this age-old genre and twists it to his own ends to produce over-the-top entertainment . 	but like everything else , tarantino takes this age-old genre and twists it to his own ends to produce over-the-top entertainment .	2	-1	 but[0] like[1] everything[0] else[0] tarantino[0] takes[0] this[0] age[0] old[0] genre[0] and[0] twists[0] it[0] to[0] his[0] own[0] ends[0] to[0] produce[0] over[0] the[0] top[0] entertainment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
