 " sometimes the 'green mile' seems sooooo long . " 	Translation	Positive	Negative	EmotionRationale
indeed . 	indeed .	1	-1	 indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and any filmmaker with a three hour movie who ends it with that gem of dialogue should expect to see it quoted in a review . 	and any filmmaker with a three hour movie who ends it with that gem of dialogue should expect to see it quoted in a review .	1	-1	 and[0] any[0] filmmaker[0] with[0] a[0] three[0] hour[0] movie[0] who[0] ends[0] it[0] with[0] that[0] gem[0] of[0] dialogue[0] should[0] expect[0] to[0] see[0] it[0] quoted[0] in[0] a[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on a more positive note , let me add that sometimes the green mile is almost good enough to make us forget its length . 	on a more positive note , let me add that sometimes the green mile is almost good enough to make us forget its length .	3	-1	 on[0] a[0] more[0] positive[2] note[0] let[0] me[0] add[0] that[0] sometimes[0] the[0] green[0] mile[0] is[0] almost[0] good[1] enough[0] to[0] make[0] us[0] forget[0] its[0] length[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the mile in question ( green due to its faded lime-colored linoleum ) leads from the prison cell to " old sparky , " the electric chair where executions were carried out at louisiana's cold mountain penitentiary in 1935 . 	the mile in question ( green due to its faded lime-colored linoleum ) leads from the prison cell to " old sparky , " the electric chair where executions were carried out at louisiana's cold mountain penitentiary in 1935 .	1	-2	 the[0] mile[0] in[0] question[0] green[0] due[0] to[0] its[0] faded[0] lime[0] colored[0] linoleum[0] leads[0] from[0] the[0] prison[-1] cell[0] to[0] old[0] sparky[0] the[0] electric[0] chair[0] where[0] executions[0] were[0] carried[0] out[0] at[0] louisiana's[0] cold[-1] mountain[0] penitentiary[0] in[0] 1935[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
paul edgecomb ( tom hanks , you've got mail ) is the head guard of e-block , otherwise known as death row . 	paul edgecomb ( tom hanks , you've got mail ) is the head guard of e-block , otherwise known as death row .	1	-3	 paul[0] edgecomb[0] tom[0] hanks[0] you've[0] got[0] mail[0] is[0] the[0] head[0] guard[0] of[0] e[0] block[-1] otherwise[0] known[0] as[0] death[-2] row[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
keeping his prisoners calm as they await the carrying out of their sentence is his primary responsibility . 	keeping his prisoners calm as they await the carrying out of their sentence is his primary responsibility .	2	-2	 keeping[0] his[0] prisoners[-1] calm[1] as[0] they[0] await[0] the[0] carrying[0] out[0] of[0] their[0] sentence[0] is[0] his[0] primary[0] responsibility[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is a responsibility which he capably delegates to the other guards on his watch by insisting they " talk to " the convicts instead of yelling at them . 	it is a responsibility which he capably delegates to the other guards on his watch by insisting they " talk to " the convicts instead of yelling at them .	1	-2	 it[0] is[0] a[0] responsibility[0] which[0] he[0] capably[0] delegates[0] to[0] the[0] other[0] guards[0] on[0] his[0] watch[0] by[0] insisting[0] they[0] talk[0] to[0] the[0] convicts[-1] instead[0] of[0] yelling[0] at[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this practice leads to an unusual camaraderie between the guards and the men behind their bars . 	this practice leads to an unusual camaraderie between the guards and the men behind their bars .	1	-1	 this[0] practice[0] leads[0] to[0] an[0] unusual[0] camaraderie[0] between[0] the[0] guards[0] and[0] the[0] men[0] behind[0] their[0] bars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
into his charge comes one john coffey ( michael clarke duncan , armageddon ) , a seven foot tall gentle giant who has been convicted of the rape and murder of two young girls . 	into his charge comes one john coffey ( michael clarke duncan , armageddon ) , a seven foot tall gentle giant who has been convicted of the rape and murder of two young girls .	2	-4	 into[0] his[0] charge[-1] comes[0] one[0] john[0] coffey[0] michael[0] clarke[0] duncan[0] armageddon[0] a[0] seven[0] foot[0] tall[0] gentle[1] giant[0] who[0] has[0] been[0] convicted[-1] of[0] the[0] rape[-3] and[0] murder[-3] of[0] two[0] young[0] girls[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
immediately , paul senses something different about this prisoner . 	immediately , paul senses something different about this prisoner .	1	-2	 immediately[0] paul[0] senses[0] something[0] different[0] about[0] this[0] prisoner[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
