for more than a decade , anjelica huston has been one of america's finest actresses . 	Translation	Positive	Negative	EmotionRationale
in her directorial debut , bastard out of carolina , based upon dorothy allison's largely autobiographical book on child abuse and poverty in the south , huston displays impressive proficiency behind the camera as well . 	in her directorial debut , bastard out of carolina , based upon dorothy allison's largely autobiographical book on child abuse and poverty in the south , huston displays impressive proficiency behind the camera as well .	2	-4	 in[0] her[0] directorial[0] debut[0] bastard[-2] out[0] of[0] carolina[0] based[0] upon[0] dorothy[0] allison's[0] largely[0] autobiographical[0] book[0] on[0] child[0] abuse[-3] and[0] poverty[-1] in[0] the[0] south[0] huston[0] displays[0] impressive[1] proficiency[0] behind[0] the[0] camera[0] as[0] well[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film tells the story of ruth anne boatwright , nicknamed bone by one of her uncles at birth , in post-world war ii south carolina . 	the film tells the story of ruth anne boatwright , nicknamed bone by one of her uncles at birth , in post-world war i south carolina .	1	-3	 the[0] film[0] tells[0] the[0] story[0] of[0] ruth[0] anne[0] boatwright[0] nicknamed[0] bone[0] by[0] one[0] of[0] her[0] uncles[0] at[0] birth[0] in[0] post[0] world[0] war[-2] ii/i[0] south[0] carolina[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
through voice-over ( narration done by laura dern ) , we find that she nearly didn't survive birth , as her single mother anney , played by jennifer jason leigh , was thrown through the windshield during an automobile accident . 	through voice-over ( narration done by laura dern ) , we find that she nearly didn't survive birth , as her single mother anney , played by jennifer jason leigh , was thrown through the windshield during an automobile accident .	1	-2	 through[0] voice[0] over[0] narration[0] done[0] by[0] laura[0] dern[0] we[0] find[0] that[0] she[0] nearly[0] didn't[0] survive[0] birth[0] as[0] her[0] single[0] mother[0] anney[0] played[0] by[0] jennifer[0] jason[0] leigh[0] was[0] thrown[0] through[0] the[0] windshield[0] during[0] an[0] automobile[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's just the beginning of her troubles . 	that's just the beginning of her troubles .	1	-2	 that's[0] just[0] the[0] beginning[0] of[0] her[0] troubles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bone is deemed illegitimate on her birth certificate , a social stigma which her mother and her large poor family obsesses over for years to come . 	bone is deemed illegitimate on her birth certificate , a social stigma which her mother and her large poor family obsesses over for years to come .	1	-3	 bone[0] is[0] deemed[0] illegitimate[0] on[0] her[0] birth[0] certificate[0] a[0] social[0] stigma[-1] which[0] her[0] mother[0] and[0] her[0] large[0] poor[-1] family[0] obsesses[-2] over[0] for[0] years[0] to[0] come[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anney meets and weds lyle , a kind man and good stepfather whom gives bone a baby sister before dying in an automobile accident . 	anney meets and weds lyle , a kind man and good stepfather whom gives bone a baby sister before dying in an automobile accident .	2	-2	 anney[0] meets[0] and[0] weds[0] lyle[0] a[0] kind[1] man[0] and[0] good[1] stepfather[0] whom[0] gives[0] bone[0] a[0] baby[1] sister[0] before[0] dying[-1] in[0] an[0] automobile[0] accident[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
anney's brother earle , played by michael rooker , introduces her to glen , played by ron eldard , a co-worker at the mill . 	anney's brother earle , played by michael rooker , introduces her to glen , played by ron eldard , a co-worker at the mill .	1	-1	 anney's[0] brother[0] earle[0] played[0] by[0] michael[0] rooker[0] introduces[0] her[0] to[0] glen[0] played[0] by[0] ron[0] eldard[0] a[0] co[0] worker[0] at[0] the[0] mill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
glen , the black sheep of a wealthy family ( " when are you gonna make your daddy proud ? 	glen , the black sheep of a wealthy family ( " when are you gonna make your daddy proud ?	2	-1	 glen[0] the[0] black[0] sheep[0] of[0] a[0] wealthy[0] family[0] when[0] are[0] you[0] gonna[0] make[0] your[0] daddy[0] proud[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'll tell you when - never ! " 	i'll tell you when - never !<br> "	1	-1	 i'll[0] tell[0] you[0] when[0] never[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's told ) and filled with bitterness , courts anney and eventually wins her , despite warnings of a violent temper . 	he's told ) and filled with bitterness , courts anney and eventually wins her , despite warnings of a violent temper .	1	-4	 he's[0] told[0] and[0] filled[0] with[0] bitterness[-1] courts[0] anney[0] and[0] eventually[0] wins[0] her[0] despite[0] warnings[0] of[0] a[0] violent[-2] temper[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
