it has been three long years since quentin tarantino stunned the cinema world by claiming the cannes film festival's palme d'or , a $100 million-plus box office gross , and an oscar nomination ? all for his sophomore outing , pulp fiction . 	Translation	Positive	Negative	EmotionRationale
since then , the talented film maker has been virtually invisible , surfacing briefly as a co-director of the wildly uneven four rooms and the screenwriter of the gory vampire-fest , from dusk till dawn . 	since then , the talented film maker has been virtually invisible , surfacing briefly as a co-director of the wildly uneven four rooms and the screenwriter of the gory vampire-fest , from dusk till dawn .	2	-2	 since[0] then[0] the[0] talented[1] film[0] maker[0] has[0] been[0] virtually[0] invisible[-1] surfacing[0] briefly[0] as[0] a[0] co[0] director[0] of[0] the[0] wildly[0] uneven[-1] four[0] rooms[0] and[0] the[0] screenwriter[0] of[0] the[0] gory[0] vampire[0] fest[0] from[0] dusk[0] till[0] dawn[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in between , he has moonlighted as an " actor " with several decidedly unmemorable performances . 	in between , he has moonlighted as an " actor " with several decidedly unmemorable performances .	1	-1	 in[0] between[0] he[0] has[0] moonlighted[0] as[0] an[0] actor[0] with[0] several[0] decidedly[0] unmemorable[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , with much fanfare and anticipation , tarantino has returned with his third directorial effort , jackie brown . 	now , with much fanfare and anticipation , tarantino has returned with his third directorial effort , jackie brown .	1	-1	 now[0] with[0] much[0] fanfare[0] and[0] anticipation[0] tarantino[0] has[0] returned[0] with[0] his[0] third[0] directorial[0] effort[0] jackie[0] brown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , while this motion picture , adapted from elmore leonard's novel , rum punch , offers solid entertainment , those expecting another bravura outing from tarantino will leave theaters disappointed . 	and , while this motion picture , adapted from elmore leonard's novel , rum punch , offers solid entertainment , those expecting another bravura outing from tarantino will leave theaters disappointed .	1	-2	 and[0] while[0] this[0] motion[0] picture[0] adapted[0] from[0] elmore[0] leonard's[0] novel[0] rum[0] punch[-1] offers[0] solid[0] entertainment[0] those[0] expecting[0] another[0] bravura[0] outing[0] from[0] tarantino[0] will[0] leave[0] theaters[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for the most part , jackie brown is a pretty ordinary crime movie . 	for the most part , jackie brown is a pretty ordinary crime movie .	3	-2	 for[0] the[0] most[0] part[0] jackie[0] brown[0] is[0] a[0] pretty[2] ordinary[0] crime[-1] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story , which starts out slowly , develops into a twisty affair , with double-crosses and triple-crosses . 	the story , which starts out slowly , develops into a twisty affair , with double-crosses and triple-crosses .	1	-1	 the[0] story[0] which[0] starts[0] out[0] slowly[0] develops[0] into[0] a[0] twisty[0] affair[0] with[0] double[0] crosses[0] and[0] triple[0] crosses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the movie is littered with occasional tarantino trademarks : witty dialogue , unexpected gunfire , '70s pop tunes , and close-ups of womens' bare feet . 	and the movie is littered with occasional tarantino trademarks : witty dialogue , unexpected gunfire , '70s pop tunes , and close-ups of womens' bare feet .	1	-2	 and[0] the[0] movie[0] is[0] littered[-1] with[0] occasional[0] tarantino[0] trademarks[0] witty[0] dialogue[0] unexpected[0] gunfire[-1] '70s[0] pop[0] tunes[0] and[0] close[0] ups[0] of[0] womens'[0] bare[0] feet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet , for all of that , the production is something of a letdown . 	yet , for all of that , the production is something of a letdown .	1	-1	 yet[0] for[0] all[0] of[0] that[0] the[0] production[0] is[0] something[0] of[0] a[0] letdown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sheer , in-your-face exuberance that marked reservoir dogs and especially pulp fiction is absent . 	the sheer , in-your-face exuberance that marked reservoir dogs and especially pulp fiction is absent .	3	-2	 the[0] sheer[0] in[0] your[0] face[0] exuberance[2] that[0] marked[0] reservoir[0] dogs[0] and[0] especially[0] pulp[0] fiction[0] is[0] absent[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the mostly-straightforward chronology of jackie brown doesn't match up favorably to the non-linear style of tarantino's previous efforts ? an approach that added tension and edginess to the narratives . 	the mostly-straightforward chronology of jackie brown doesn't match up favorably to the non-linear style of tarantino's previous efforts ?<br> an approach that added tension and edginess to the narratives .	2	-3	 the[0] mostly[0] straightforward[0] chronology[0] of[0] jackie[0] brown[0] doesn't[0] match[0] up[0] favorably[1] to[0] the[0] non[0] linear[0] style[0] of[0] tarantino's[0] previous[0] efforts[0] [[Sentence=-1,2=word max, 1-5]] an[0] approach[0] that[0] added[0] tension[-2] and[0] edginess[0] to[0] the[0] narratives[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
