showgirls is the second major outing for the production team of pual verhoeven , director , and joe eszterhas , writer . 	Translation	Positive	Negative	EmotionRationale
their last effort , basic instinct , played like the most sumptuous of classic hitchcock , with a dash of raw sex and sensuality that made it come across with a hit like curry-spiced tabasco sauce ; a dish not to everyone's taste , but certainly a well-crafted movie . 	their last effort , basic instinct , played like the most sumptuous of classic hitchcock , with a dash of raw sex and sensuality that made it come across with a hit like curry-spiced tabasco sauce ; a dish not to everyone's taste , but certainly a well-crafted movie .	2	-1	 their[0] last[0] effort[0] basic[0] instinct[0] played[0] like[1] the[0] most[0] sumptuous[0] of[0] classic[0] hitchcock[0] with[0] a[0] dash[0] of[0] raw[0] sex[0] and[0] sensuality[0] that[0] made[0] it[0] come[0] across[0] with[0] a[0] hit[0] like[1] curry[0] spiced[0] tabasco[0] sauce[0] a[0] dish[0] not[0] to[0] everyone's[0] taste[0] but[0] certainly[0] a[0] well[0] crafted[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
possibly that movie's greatest strength was that the most important events happened offstage , prior to the movie , during the movie , and after the movie . . . 	possibly that movie's greatest strength was that the most important events happened offstage , prior to the movie , during the movie , and after the movie .<br> .<br> .	3	-1	 possibly[0] that[0] movie's[0] greatest[2] strength[0] was[0] that[0] the[0] most[0] important[0] events[0] happened[0] offstage[0] prior[0] to[0] the[0] movie[0] during[0] the[0] movie[0] and[0] after[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and that , after bringing all the plotlines together neatly , it left the viewer with full knowledge of what * would * happen in the characters' future , so there was no need to film it . 	and that , after bringing all the plotlines together neatly , it left the viewer with full knowledge of what * would * happen in the characters' future , so there was no need to film it .	1	-1	 and[0] that[0] after[0] bringing[0] all[0] the[0] plotlines[0] together[0] neatly[0] it[0] left[0] the[0] viewer[0] with[0] full[0] knowledge[0] of[0] what[0] would[0] happen[0] in[0] the[0] characters'[0] future[0] so[0] there[0] was[0] no[0] need[0] to[0] film[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was actually about four hours' worth of screen story there , but eszterhas found ways to get it all on-screen in two , by leading his audience into analyzing what was really going on ; and by still holding their interest with clever misdirection and false trails . 	there was actually about four hours' worth of screen story there , but eszterhas found ways to get it all on-screen in two , by leading his audience into analyzing what was really going on ; and by still holding their interest with clever misdirection and false trails .	2	-1	 there[0] was[0] actually[0] about[0] four[0] hours'[0] worth[0] of[0] screen[0] story[0] there[0] but[0] eszterhas[0] found[0] ways[0] to[0] get[0] it[0] all[0] on[0] screen[0] in[0] two[0] by[0] leading[0] his[0] audience[0] into[0] analyzing[0] what[0] was[0] really[0] going[0] on[0] and[0] by[0] still[0] holding[0] their[0] interest[1] with[0] clever[0] misdirection[0] and[0] false[0] trails[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the major elements that made basic instinct work so well are present in showgirls . 	the major elements that made basic instinct work so well are present in showgirls .	1	-1	 the[0] major[0] elements[0] that[0] made[0] basic[0] instinct[0] work[0] so[0] well[0] are[0] present[0] in[0] showgirls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we have attractive , sympathetic , but still highly repellent characters ; we have shows for the eyes and the ears , plotlines that play on several levels , we have beautifully delineated characters who are drawn from life and very believable , and we have a story of an innocent ( who may not be so innocent ) who's trying to play straight , trying to improve her station in life , who slips into behaving the way those around her do . . . 	we have attractive , sympathetic , but still highly repellent characters ; we have shows for the eyes and the ears , plotlines that play on several levels , we have beautifully delineated characters who are drawn from life and very believable , and we have a story of an innocent ( who may not be so innocent ) who's trying to play straight , trying to improve her station in life , who slips into behaving the way those around her do .<br> .<br> .	3	-1	 we[0] have[0] attractive[1] sympathetic[0] but[0] still[0] highly[0] repellent[0] characters[0] we[0] have[0] shows[0] for[0] the[0] eyes[0] and[0] the[0] ears[0] plotlines[0] that[0] play[0] on[0] several[0] levels[0] we[0] have[0] beautifully[2] delineated[0] characters[0] who[0] are[0] drawn[0] from[0] life[0] and[0] very[0] believable[0] and[0] we[0] have[0] a[0] story[0] of[0] an[0] innocent[1] who[0] may[0] not[0] be[0] so[0] innocent[1] who's[0] trying[0] to[0] play[0] straight[0] trying[0] to[0] improve[1] her[0] station[0] in[0] life[0] who[0] slips[0] into[0] behaving[0] the[0] way[0] those[0] around[0] her[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but recovers with a flourish , and quits a winner . 	but recovers with a flourish , and quits a winner .	2	-1	 but[0] recovers[0] with[0] a[0] flourish[0] and[0] quits[0] a[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in this sense , the movie is a bit of a departure for verhoeven , who's not known for treating his characters well ; but nomi , the part played by elizabeth berkley , definitely opts out of the game in a positive way , and we're left feeling good about her future . 	in this sense , the movie is a bit of a departure for verhoeven , who's not known for treating his characters well ; but nomi , the part played by elizabeth berkley , definitely opts out of the game in a positive way , and we're left feeling good about her future .	3	-1	 in[0] this[0] sense[0] the[0] movie[0] is[0] a[0] bit[0] of[0] a[0] departure[0] for[0] verhoeven[0] who's[0] not[0] known[0] for[0] treating[0] his[0] characters[0] well[0] but[0] nomi[0] the[0] part[0] played[0] by[0] elizabeth[0] berkley[0] definitely[0] opts[0] out[0] of[0] the[0] game[0] in[0] a[0] positive[2] way[0] and[0] we're[0] left[0] feeling[0] good[1] about[0] her[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is not one of the great movies , but it's far better than we'd been led to expect by all the negative pre-release publicity . 	this is not one of the great movies , but it's far better than we'd been led to expect by all the negative pre-release publicity .	3	-2	 this[0] is[0] not[0] one[0] of[0] the[0] great[2] movies[0] but[0] it's[0] far[0] better[0] than[0] we'd[0] been[0] led[0] to[0] expect[0] by[0] all[0] the[0] negative[-1] pre[0] release[0] publicity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
verhoeven got his first oscar nomination in 1971 , and in the last quarter-century has pushed farther and farther , experimenting with the socially-acceptable limits to movie-making . 	verhoeven got his first oscar nomination in 1971 , and in the last quarter-century has pushed farther and farther , experimenting with the socially-acceptable limits to movie-making .	1	-1	 verhoeven[0] got[0] his[0] first[0] oscar[0] nomination[0] in[0] 1971[0] and[0] in[0] the[0] last[0] quarter[0] century[0] has[0] pushed[0] farther[0] and[0] farther[0] experimenting[0] with[0] the[0] socially[0] acceptable[0] limits[0] to[0] movie[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
