you'd think it would be easy to spoof star trek , but try spoofing it without cruelly mocking it . 	Translation	Positive	Negative	EmotionRationale
that's a bit more difficult . 	that's a bit more difficult .	1	-2	 that's[0] a[0] bit[0] more[0] difficult[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the farfetched sci-fi series is , after all , enormously popular , what with its gigantic fan base and ongoing installments both on television and in movies . 	the farfetched sci-fi series is , after all , enormously popular , what with its gigantic fan base and ongoing instalments both on television and in movies .	1	-1	 the[0] farfetched[0] sci[0] fi[0] series[0] is[0] after[0] all[0] enormously[0] popular[0] what[0] with[0] its[0] gigantic[0] fan[0] base[0] and[0] ongoing[0] installments/instalments[0] both[0] on[0] television[0] and[0] in[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're not nice to it , you lose . 	if you're not nice to it , you lose .	1	-2	 if[0] you're[0] not[0] nice[1][NegatedDueToPreviousWord] to[0] it[0] you[0] lose[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
galaxy quest is to star trek what mel brooks's spaceballs was to star wars , an affectionate , riotously funny parody that freely takes jabs at various elements of its subject but never seems mean-spirited or malintentioned . 	galaxy quest is to star trek what mel brooks's spaceballs was to star wars , an affectionate , riotously funny parody that freely takes jabs at various elements of its subject but never seems mean-spirited or malintentioned .	3	-3	 galaxy[0] quest[0] is[0] to[0] star[0] trek[0] what[0] mel[0] brooks's[0] spaceballs[0] was[0] to[0] star[0] wars[-2] an[0] affectionate[2] riotously[0] funny[1] parody[0] that[0] freely[0] takes[0] jabs[0] at[0] various[0] elements[0] of[0] its[0] subject[0] but[0] never[0] seems[0] mean[0] spirited[0] or[0] malintentioned[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " the show's been cancelled , but the journey is far from over . " 	 " the show's been cancelled , but the journey is far from over .<br> "	1	-2	 the[0] show's[0] been[0] cancelled[-1] but[0] the[0] journey[0] is[0] far[0] from[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that is the current tagline of " galaxy quest , " a star trek - type show that's no longer produced but lives on forever in reruns . 	that is the current tagline of " galaxy quest , " a star trek - type show that's no longer produced but lives on forever in reruns .	1	-1	 that[0] is[0] the[0] current[0] tagline[0] of[0] galaxy[0] quest[0] a[0] star[0] trek[0] type[0] show[0] that's[0] no[0] longer[0] produced[0] but[0] lives[0] on[0] forever[0] in[0] reruns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it also lives on in conventions , gatherings of the show's obsessive fans who never fail to dress in " galaxy quest " costumes and ask absurdly logical questions about its delirious technobabble . 	it also lives on in conventions , gatherings of the show's obsessive fans who never fail to dress in " galaxy quest " costumes and ask absurdly logical questions about its delirious technobabble .	3	-3	 it[0] also[0] lives[0] on[0] in[0] conventions[0] gatherings[0] of[0] the[0] show's[0] obsessive[-2] fans[0] who[0] never[0] fail[-2][NegatedDueToPreviousWord] to[0] dress[0] in[0] galaxy[0] quest[0] costumes[0] and[0] ask[0] absurdly[-1] logical[0] questions[0] about[0] its[0] delirious[0] technobabble[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jason nesmith ( tim allen ) played " commander peter quincy taggart " on the show and is the only one of the cast who still gets excited about the gigs they have to do . 	jason nesmith ( tim allen ) played " commander peter quincy taggart " on the show and is the only one of the cast who still gets excited about the gigs they have to do .	3	-1	 jason[0] nesmith[0] tim[0] allen[0] played[0] commander[0] peter[0] quincy[0] taggart[0] on[0] the[0] show[0] and[0] is[0] the[0] only[0] one[0] of[0] the[0] cast[0] who[0] still[0] gets[0] excited[2] about[0] the[0] gigs[0] they[0] have[0] to[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the attitudes of the rest -- tommy webber ( daryl mitchell , gwen demarco ( sigourney weaver ) , fred kwan ( tony shalhoub ) and alexander dane ( alan rickman ) -- range from indifference to utter contempt . 	the attitudes of the rest - tommy webber ( daryl mitchell , gwen demarco ( sigourney weaver ) , fred kwan ( tony shalhoub ) and alexander dane ( alan rickman ) - range from indifference to utter contempt .	1	-4	 the[0] attitudes[0] of[0] the[0] rest[0] tommy[0] webber[0] daryl[0] mitchell[0] gwen[0] demarco[0] sigourney[0] weaver[0] fred[0] kwan[0] tony[0] shalhoub[0] and[0] alexander[0] dane[0] alan[0] rickman[0] range[0] from[0] indifference[-1] to[0] utter[0] contempt[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dane , who played a spock-like alien , is especially disgusted , considering himself above his demeaning job and stubbornly refusing to recite his character's cheesy trademark line " by grabthar's hammer , you shall be avenged " ( or something like that ) for his die-hard fans . 	dane , who played a spock-like alien , is especially disgusted , considering himself above his demeaning job and stubbornly refusing to recite his character's cheesy trademark line " by grabthar's hammer , you shall be avenged " ( or something like that ) for his die-hard fans .	2	-5	 dane[0] who[0] played[0] a[0] spock[0] like[1] alien[-1] is[0] especially[0] disgusted[-3][-1 LastWordBoosterStrength] considering[0] himself[0] above[0] his[0] demeaning[-1] job[0] and[0] stubbornly[-2] refusing[0] to[0] recite[0] his[0] character's[0] cheesy[0] trademark[0] line[0] by[0] grabthar's[-1] hammer[0] you[0] shall[0] be[0] avenged[-1] or[0] something[0] like[1] that[0] for[0] his[0] die[0] hard[0] fans[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
