seen april 16 , 1999 at 10 p . m . at crossgates cinema 18 ( guilderland , n . y . ) , theater #15 , by myself for free using my hoyts' critic's pass . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * * 1/2 : very good seats , sound and picture] 	[theater rating : * * * 1/2 : very good seats , sound and picture]	3	-1	 [theater[0] rating[0] 1/2[0] very[0] good[1][1 LastWordBoosterStrength] seats[0] sound[0] and[0] picture][0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
do you realize that every time you encounter a new person you've just become part of a story ? 	do you realize that every time you encounter a new person you've just become part of a story ?	1	-1	 do[0] you[0] realize[0] that[0] every[0] time[0] you[0] encounter[0] a[0] new[0] person[0] you've[0] just[0] become[0] part[0] of[0] a[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone has their own life story , both past and present , and every time two or more interact , they become part of each others' story ( not necessarily an important or even significant part , but a part nevertheless ) . 	everyone has their own life story , both past and present , and every time two or more interact , they become part of each others' story ( not necessarily an important or even significant part , but a part nevertheless ) .	1	-1	 everyone[0] has[0] their[0] own[0] life[0] story[0] both[0] past[0] and[0] present[0] and[0] every[0] time[0] two[0] or[0] more[0] interact[0] they[0] become[0] part[0] of[0] each[0] others'[0] story[0] not[0] necessarily[0] an[0] important[0] or[0] even[0] significant[0] part[0] but[0] a[0] part[0] nevertheless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that seems to be the basic theory behind  go , ' where several characters' chance encounters all effect each other in extreme ways . 	that seems to be the basic theory behind  go , ' where several characters' chance encounters all effect each other in extreme ways .	1	-1	 that[0] seems[0] to[0] be[0] the[0] basic[0] theory[0] behind[0] go[0] '[0] where[0] several[0] characters'[0] chance[0] encounters[0] all[0] effect[0] each[0] other[0] in[0] extreme[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in order to test this theory screenwriter john august and director doug liman assemble a cast of characters that wouldn't usually be the types to have an entire film revolve around them , such as a teenage supermarket cashier , a bottom-of-the-drug-food-chain dealer and two struggling soap opera actors . 	in order to test this theory screenwriter john august and director doug liman assemble a cast of characters that wouldn't usually be the types to have an entire film revolve around them , such as a teenage supermarket cashier , a bottom-of-the-drug-food-chain dealer and two struggling soap opera actors .	1	-2	 in[0] order[0] to[0] test[0] this[0] theory[0] screenwriter[0] john[0] august[0] and[0] director[0] doug[0] liman[0] assemble[0] a[0] cast[0] of[0] characters[0] that[0] wouldn't[0] usually[0] be[0] the[0] types[0] to[0] have[0] an[0] entire[0] film[0] revolve[0] around[0] them[0] such[0] as[0] a[0] teenage[0] supermarket[0] cashier[0] a[0] bottom[0] of[0] the[0] drug[0] food[0] chain[0] dealer[0] and[0] two[0] struggling[-1] soap[0] opera[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these types of characters might not sound all that original , but consider that they will all be somehow effected by a strip club bouncer and his psychotic father , a mid-level drug dealer , a narc obsessed with multi-level-marketing , horny wedding guests , a zen lovemaker , two shrimp-scarfers and a cute normal teenage girl to round things out . 	these types of characters might not sound all that original , but consider that they will all be somehow effected by a strip club bouncer and his psychotic father , a mid-level drug dealer , a narc obsessed with multi-level-marketing , horny wedding guests , a zen lovemaker , two shrimp-scarfers and a cute normal teenage girl to round things out .	4	-3	 these[0] types[0] of[0] characters[0] might[0] not[0] sound[0] all[0] that[0] original[0] but[0] consider[0] that[0] they[0] will[0] all[0] be[0] somehow[0] effected[0] by[0] a[0] strip[0] club[0] bouncer[0] and[0] his[0] psychotic[0] father[0] a[0] mid[0] level[0] drug[0] dealer[0] a[0] narc[0] obsessed[-2] with[0] multi[0] level[0] marketing[0] horny[0] wedding[0] guests[0] a[0] zen[0] lovemaker[3] two[0] shrimp[0] scarfers[0] and[0] a[0] cute[1] normal[0] teenage[0] girl[0] to[0] round[0] things[0] out[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
how they will all come together is the process the film deals with . 	how they will all come together is the process the film deals with .	1	-1	 how[0] they[0] will[0] all[0] come[0] together[0] is[0] the[0] process[0] the[0] film[0] deals[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd imagine the concept to the film started out as the creators' testing themselves to see if they could actually pull it off and the outcome is a terrific achievement in filmmaking and the craft of fiction in general . 	i'd imagine the concept to the film started out as the creators' testing themselves to see if they could actually pull it off and the outcome is a terrific achievement in filmmaking and the craft of fiction in general .	4	-1	 i'd[0] imagine[0] the[0] concept[0] to[0] the[0] film[0] started[0] out[0] as[0] the[0] creators'[0] testing[0] themselves[0] to[0] see[0] if[0] they[0] could[0] actually[0] pull[0] it[0] off[0] and[0] the[0] outcome[0] is[0] a[0] terrific[3] achievement[0] in[0] filmmaking[0] and[0] the[0] craft[0] of[0] fiction[0] in[0] general[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film starts out as anything else , with little indication of what's to come . 	the film starts out as anything else , with little indication of what's to come .	1	-1	 the[0] film[0] starts[0] out[0] as[0] anything[0] else[0] with[0] little[0] indication[0] of[0] what's[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we meet ronna ( polley ) , a depressed los angeles checkout girl who doesn't seem to have much desire to do anything except work just to pay her rent . 	we meet ronna ( polley ) , a depressed los angeles checkout girl who doesn't seem to have much desire to do anything except work just to pay her rent .	1	-4	 we[0] meet[0] ronna[0] polley[0] a[0] depressed[-3] los[0] angeles[0] checkout[0] girl[0] who[0] doesn't[0] seem[0] to[0] have[0] much[0] desire[0] to[0] do[0] anything[0] except[0] work[0] just[0] to[0] pay[0] her[0] rent[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
