note : ordinarily , moviereviews . org will not give away any critical plot points of a film that could be interpreted as " spoilers . " 	Translation	Positive	Negative	EmotionRationale
however , being that music of the heart is based on a true story and that moviereviews . org 	however , being that music of the heart is based on a true story and that moviereviews .<br> org	2	-1	 however[0] being[0] that[0] music[0] of[0] the[0] heart[0] is[0] based[0] on[0] a[0] true[1] story[0] and[0] that[0] moviereviews[0] [[Sentence=-1,2=word max, 1-5]] org[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
feels the film can not be properly credited without such revelations , plot giveaways will appear in the following review . 	feels the film can not be properly credited without such revelations , plot giveaways will appear in the following review .	1	-1	 feels[0] the[0] film[0] can[0] not[0] be[0] properly[0] credited[0] without[0] such[0] revelations[0] plot[0] giveaways[0] will[0] appear[0] in[0] the[0] following[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this bothers you , please note the 3 star rating of the film and stop reading now . 	if this bothers you , please note the 3 star rating of the film and stop reading now .	2	-2	 if[0] this[0] bothers[-1] you[0] please[1] note[0] the[0] 3[0] star[0] rating[0] of[0] the[0] film[0] and[0] stop[0] reading[0] now[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " what does it take to play carnegie hall ? 	 " what does it take to play carnegie hall ?	1	-1	 what[0] does[0] it[0] take[0] to[0] play[0] carnegie[0] hall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
practice . " 	practice .<br> "	1	-1	 practice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it takes two hours for music of the heart to " play carnegie hall , " both figuratively and literally . 	it takes two hours for music of the heart to " play carnegie hall , " both figuratively and literally .	1	-1	 it[0] takes[0] two[0] hours[0] for[0] music[0] of[0] the[0] heart[0] to[0] play[0] carnegie[0] hall[0] both[0] figuratively[0] and[0] literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like the children it portrays , the movie starts from the dark realms of awful cinema and works its way up to a show-stopping performance at the legendary concert hall . 	like the children it portrays , the movie starts from the dark realms of awful cinema and works its way up to a show-stopping performance at the legendary concert hall .	2	-4	 like[1] the[0] children[0] it[0] portrays[0] the[0] movie[0] starts[0] from[0] the[0] dark[0] realms[0] of[0] awful[-3] cinema[0] and[0] works[0] its[0] way[0] up[0] to[0] a[0] show[0] stopping[0] performance[0] at[0] the[0] legendary[0] concert[0] hall[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
roberta guaspari ( academy award winner meryl streep ) has two kids , a husband who left her and 50 violins she bought from a small shop in the mediterranean . 	roberta guaspari ( academy award winner meryl streep ) has two kids , a husband who left her and 50 violins she bought from a small shop in the mediterranean .	2	-1	 roberta[0] guaspari[0] academy[0] award[0] winner[1] meryl[0] streep[0] has[0] two[0] kids[0] a[0] husband[0] who[0] left[0] her[0] and[0] 50[0] violins[0] she[0] bought[0] from[0] a[0] small[0] shop[0] in[0] the[0] mediterranean[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her life desperately needs a jump start and gets one when she meets a man who introduces her to a job as a music teacher at an east harlem elementary school . 	her life desperately needs a jump start and gets one when she meets a man who introduces her to a job as a music teacher at an east harlem elementary school .	1	-3	 her[0] life[0] desperately[-2] needs[0] a[0] jump[0] start[0] and[0] gets[0] one[0] when[0] she[0] meets[0] a[0] man[0] who[0] introduces[0] her[0] to[0] a[0] job[0] as[0] a[0] music[0] teacher[0] at[0] an[0] east[0] harlem[0] elementary[0] school[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she soon finds her job is on the rocks as the men in her life continue to rotate through revolving doors . 	she soon finds her job is on the rocks as the men in her life continue to rotate through revolving doors .	1	-1	 she[0] soon[0] finds[0] her[0] job[0] is[0] on[0] the[0] rocks[0] as[0] the[0] men[0] in[0] her[0] life[0] continue[0] to[0] rotate[0] through[0] revolving[0] doors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is the pattern-like plot of this production . 	that is the pattern-like plot of this production .	2	-1	 that[0] is[0] the[0] pattern[0] like[1] plot[0] of[0] this[0] production[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ultimately , the film chooses a zero-sum answer to these problems and finds her music career at an all-time high when the men in her life finally vanish . 	ultimately , the film chooses a zero-sum answer to these problems and finds her music career at an all-time high when the men in her life finally vanish .	1	-2	 ultimately[0] the[0] film[0] chooses[0] a[0] zero[0] sum[0] answer[0] to[0] these[0] problems[-1] and[0] finds[0] her[0] music[0] career[0] at[0] an[0] all[0] time[0] high[0] when[0] the[0] men[0] in[0] her[0] life[0] finally[0] vanish[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first hour of music of the heart is rather painful . 	the first hour of music of the heart is rather painful .	1	-4	 the[0] first[0] hour[0] of[0] music[0] of[0] the[0] heart[0] is[0] rather[0] painful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
roberta's character lacks development and consequently seems to be flat . 	roberta's character lacks development and consequently seems to be flat .	1	-1	 roberta's[0] character[0] lacks[0] development[0] and[0] consequently[0] seems[0] to[0] be[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also lacking depth is the film's " bad guy , " a narrow-minded music teacher ( josh pais ) who rejects roberta out of principle ( the movie never explains exactly which principle that is ) and conveniently comes and goes from the plot according to when it might be dramatic to have a villain around . 	also lacking depth is the film's " bad guy , " a narrow-minded music teacher ( josh pais ) who rejects roberta out of principle ( the movie never explains exactly which principle that is ) and conveniently comes and goes from the plot according to when it might be dramatic to have a villain around .	1	-3	 also[0] lacking[0] depth[0] is[0] the[0] film's[0] bad[-1] guy[0] a[0] narrow[0] minded[0] music[0] teacher[0] josh[0] pais[0] who[0] rejects[-1] roberta[0] out[0] of[0] principle[0] the[0] movie[0] never[0] explains[0] exactly[0] which[0] principle[0] that[0] is[0] and[0] conveniently[0] comes[0] and[0] goes[0] from[0] the[0] plot[0] according[0] to[0] when[0] it[0] might[0] be[0] dramatic[0] to[0] have[0] a[0] villain[-2] around[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the next 15 minutes of the film are mediocre . 	the next 15 minutes of the film are mediocre .	1	-2	 the[0] next[0] 15[0] minutes[0] of[0] the[0] film[0] are[0] mediocre[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are highlighted by one child's return to roberta's class ( coming after the great old hollywood scene where he explains be can't be around anymore because " my mom said . . . " ) and a glowing concert . 	they are highlighted by one child's return to roberta's class ( coming after the great old hollywood scene where he explains be can't be around anymore because " my mom said .<br> .<br> .<br> " ) and a glowing concert .	3	-1	 they[0] are[0] highlighted[0] by[0] one[0] child's[0] return[0] to[0] roberta's[0] class[0] coming[0] after[0] the[0] great[2] old[0] hollywood[0] scene[0] where[0] he[0] explains[0] be[0] can't[0] be[0] around[0] anymore[0] because[0] my[0] mom[0] said[0] [[Sentence=-1,3=word max, 1-5]] and[0] a[0] glowing[0] concert[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
not knowing the running time , you may expect the credits to role at this point . 	not knowing the running time , you may expect the credits to role at this point .	1	-1	 not[0] knowing[0] the[0] running[0] time[0] you[0] may[0] expect[0] the[0] credits[0] to[0] role[0] at[0] this[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but they don't . 	but they don't .	1	-1	 but[0] they[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead the film uses the next 45 minutes to finish its journey from bad to mediocre to excellent . 	instead the film uses the next 45 minutes to finish its journey from bad to mediocre to excellent .	4	-2	 instead[0] the[0] film[0] uses[0] the[0] next[0] 45[0] minutes[0] to[0] finish[0] its[0] journey[0] from[0] bad[-1] to[0] mediocre[-1] to[0] excellent[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
