 " no man is an island , " one character quotes john donne in apt pupil , effectively summarizing the movie's themes . 	Translation	Positive	Negative	EmotionRationale
while hardly a great film , singer's ambitious adaptation of king's short story * is challenging nonetheless ; perhaps the most shocking aspect of this inclement psychological thriller is that a major studio got behind it . 	while hardly a great film , singer's ambitious adaptation of king's short story * is challenging nonetheless ; perhaps the most shocking aspect of this inclement psychological thriller is that a major studio got behind it .	3	-3	 while[0] hardly[0] a[0] great[2] film[0] singer's[0] ambitious[0] adaptation[0] of[0] king's[0] short[0] story[0] is[0] challenging[0] nonetheless[0] perhaps[0] the[0] most[0] shocking[-2] aspect[0] of[0] this[0] inclement[0] psychological[0] thriller[1] is[0] that[0] a[0] major[0] studio[0] got[0] behind[0] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
apt pupil is a bleak picture destined to be misunderstood by the masses . 	apt pupil is a bleak picture destined to be misunderstood by the masses .	1	-2	 apt[0] pupil[0] is[0] a[0] bleak[-1] picture[0] destined[0] to[0] be[0] misunderstood[-1] by[0] the[0] masses[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1984 . wonder-bred high school honours student todd bowden ( renfro ) conducts his own extracurricular investigation of kurt dussander , a nazi war criminal who fearfully fled berlin in the 1960s and was never heard from again . 	1984 .<br> wonder-bred high school honours student todd bowden ( renfro ) conducts his own extracurricular investigation of kurt dussander , a nazi war criminal who fearfully fled berlin in the 1960s and was never heard from again .	1	-3	 1984[0] [[Sentence=-1,1=word max, 1-5]] wonder[0] bred[0] high[0] school[0] honours[0] student[0] todd[0] bowden[0] renfro[0] conducts[0] his[0] own[0] extracurricular[0] investigation[0] of[0] kurt[0] dussander[0] a[0] nazi[-1] war[-2] criminal[-1] who[0] fearfully[-2] fled[-1] berlin[0] in[0] the[0] 1960s[0] and[0] was[0] never[0] heard[0] from[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bowden suspects arthur denker ( mckellan ) , the lonely german senior citizen who lives nearby , is actually a pseudonymous dussander-much research and dusting for fingerprints proves young todd's theory . 	bowden suspects arthur denker ( mckellan ) , the lonely german senior citizen who lives nearby , is actually a pseudonymous dussander-much research and dusting for fingerprints proves young todd's theory .	1	-2	 bowden[0] suspects[0] arthur[0] denker[0] mckellan[0] the[0] lonely[-1] german[-1] senior[0] citizen[0] who[0] lives[0] nearby[0] is[0] actually[0] a[0] pseudonymous[0] dussander[0] much[0] research[0] and[0] dusting[0] for[0] fingerprints[0] proves[0] young[0] todd's[0] theory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bowden strikes a deal with dussander : in exchange for not revealing his identity , dussander must satisfy bowden's intense curiosity by recounting the atrocities of the holocaust from the nazi point of view . 	bowden strikes a deal with dussander : in exchange for not revealing his identity , dussander must satisfy bowden's intense curiosity by recounting the atrocities of the holocaust from the nazi point of view .	2	-2	 bowden[0] strikes[0] a[0] deal[0] with[0] dussander[0] in[0] exchange[0] for[0] not[0] revealing[0] his[0] identity[0] dussander[0] must[0] satisfy[1] bowden's[0] intense[0] curiosity[0] by[0] recounting[0] the[0] atrocities[0] of[0] the[0] holocaust[0] from[0] the[0] nazi[-1] point[0] of[0] view[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the stories he hears keep todd up at night and haunt his daydreams , but like a bystander at a traffic accident , todd's desire for gory details overrides his repulsion . 	the stories he hears keep todd up at night and haunt his daydreams , but like a bystander at a traffic accident , todd's desire for gory details overrides his repulsion .	2	-2	 the[0] stories[0] he[0] hears[0] keep[0] todd[0] up[0] at[0] night[0] and[0] haunt[-1] his[0] daydreams[0] but[0] like[1] a[0] bystander[0] at[0] a[0] traffic[0] accident[-1] todd's[0] desire[0] for[0] gory[0] details[0] overrides[0] his[0] repulsion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bowden revives in dussander feelings dormant since the end of wwii . 	bowden revives in dussander feelings dormant since the end of wwi .	1	-1	 bowden[0] revives[0] in[0] dussander[0] feelings[0] dormant[0] since[0] the[0] end[0] of[0] wwii/wwi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marching in a mock uniform around his kitchen is wholly cathartic for dussander : it leads to his torture of a cat and the torment of his " student " , among other things . 	marching in a mock uniform around his kitchen is wholly cathartic for dussander : it leads to his torture of a cat and the torment of his " student " , among other things .	1	-4	 marching[0] in[0] a[0] mock[-2] uniform[0] around[0] his[0] kitchen[0] is[0] wholly[0] cathartic[0] for[0] dussander[0] it[0] leads[0] to[0] his[0] torture[-3] of[0] a[0] cat[0] and[0] the[0] torment[-1] of[0] his[0] student[0] among[0] other[0] things[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bowden , who has taken on very hateful qualities ( he kills birds and doodles swastikas on his notebook ) , engages the veteran in an endless game of one-upmanship . 	bowden , who has taken on very hateful qualities ( he kills birds and doodles swastikas on his notebook ) , engages the veteran in an endless game of one-upmanship .	1	-5	 bowden[0] who[0] has[0] taken[0] on[0] very[0] hateful[-3][-1 LastWordBoosterStrength] qualities[0] he[0] kills[0] birds[0] and[0] doodles[0] swastikas[0] on[0] his[0] notebook[0] engages[0] the[0] veteran[0] in[0] an[0] endless[0] game[0] of[0] one[0] upmanship[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
dussander stands to lose his freedom , and bowden his credibility-in effect , his post-secondary school future . 	dussander stands to lose his freedom , and bowden his credibility-in effect , his post-secondary school future .	1	-2	 dussander[0] stands[0] to[0] lose[-1] his[0] freedom[0] and[0] bowden[0] his[0] credibility[0] in[0] effect[0] his[0] post[0] secondary[0] school[0] future[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of this winds down to a fairly unpredictable ( and unsettling ) conclusion , one which requires leaps of faith from its audience yet is more satisfying than the source material's excessive climax . 	all of this winds down to a fairly unpredictable ( and unsettling ) conclusion , one which requires leaps of faith from its audience yet is more satisfying than the source material's excessive climax .	2	-2	 all[0] of[0] this[0] winds[0] down[0] to[0] a[0] fairly[0] unpredictable[0] and[0] unsettling[-1] conclusion[0] one[0] which[0] requires[0] leaps[0] of[0] faith[1] from[0] its[0] audience[0] yet[0] is[0] more[0] satisfying[1] than[0] the[0] source[-1] material's[0] excessive[-1] climax[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
