after sixteen years francis ford copolla has again returned to his favorite project , making the third installment in the godfather-trilogy . 	Translation	Positive	Negative	EmotionRationale
this new film has been underrated for no reason . 	this new film has been underrated for no reason .	1	-1	 this[0] new[0] film[0] has[0] been[0] underrated[0] for[0] no[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is as intellectual and majestically made as copolla's pervious films . 	it is as intellectual and majestically made as copolla's pervious films .	1	-1	 it[0] is[0] as[0] intellectual[0] and[0] majestically[0] made[0] as[0] copolla's[0] pervious[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is also more psychological , pessimistic and more tragic than the first two . 	it is also more psychological , pessimistic and more tragic than the first two .	1	-3	 it[0] is[0] also[0] more[0] psychological[0] pessimistic[-2] and[0] more[0] tragic[-2] than[0] the[0] first[0] two[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only regret is the unconvincing performance by the newcomer sofia copolla and some " unfinished " developments of some characters . 	the only regret is the unconvincing performance by the newcomer sofia copolla and some " unfinished " developments of some characters .	1	-2	 the[0] only[0] regret[-1] is[0] the[0] unconvincing[0] performance[0] by[0] the[0] newcomer[0] sofia[0] copolla[0] and[0] some[0] unfinished[0] developments[0] of[0] some[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film elegantly begins with nino rota's recognizable musical score , the beautiful skyscrapers of new york and michael's voice as he is writing a letter to his children : " the only wealth in this world is children . 	the film elegantly begins with nino rota's recognizable musical score , the beautiful skyscrapers of new york and michael's voice as he is writing a letter to his children : " the only wealth in this world is children .	3	-1	 the[0] film[0] elegantly[1] begins[0] with[0] nino[0] rota's[0] recognizable[0] musical[0] score[0] the[0] beautiful[2] skyscrapers[0] of[0] new[0] york[0] and[0] michael's[0] voice[0] as[0] he[0] is[0] writing[0] a[0] letter[0] to[0] his[0] children[0] the[0] only[0] wealth[0] in[0] this[0] world[0] is[0] children[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
more than all money and power on earth , you are my treasure " . 	more than all money and power on earth , you are my treasure " .	2	-1	 more[0] than[0] all[0] money[0] and[0] power[0] on[0] earth[0] you[0] are[0] my[0] treasure[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the year is 1979 and michael corleone has used the time since the ending of " part ii " to make his father's dream come true - making the corleone family legitimate . 	the year is 1979 and michael corleone has used the time since the ending of " part i " to make his father's dream come true - making the corleone family legitimate .	2	-1	 the[0] year[0] is[0] 1979[0] and[0] michael[0] corleone[0] has[0] used[0] the[0] time[0] since[0] the[0] ending[0] of[0] part[0] ii/i[0] to[0] make[0] his[0] father's[0] dream[0] come[0] true[1] making[0] the[0] corleone[0] family[0] legitimate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael sold all his casinos and invests only in gambling . 	michael sold all his casinos and invests only in gambling .	1	-1	 michael[0] sold[0] all[0] his[0] casinos[0] and[0] invests[0] only[0] in[0] gambling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
constantly haunted by the past , his only reason to live is his children . 	constantly haunted by the past , his only reason to live is his children .	1	-1	 constantly[0] haunted[0] by[0] the[0] past[0] his[0] only[0] reason[0] to[0] live[0] is[0] his[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the family has amassed unimaginable wealth , and as the film opens michael corleone ( al pacino ) is being invested with a great honor by the church . 	the family has amassed unimaginable wealth , and as the film opens michael corleone ( al pacino ) is being invested with a great honor by the church .	3	-1	 the[0] family[0] has[0] amassed[0] unimaginable[0] wealth[0] and[0] as[0] the[0] film[0] opens[0] michael[0] corleone[0] al[0] pacino[0] is[0] being[0] invested[0] with[0] a[0] great[2] honor[0] by[0] the[0] church[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
later that day , at a reception , his daughter announces a corleone family gift to the church and the charities of sicily , " a check in the amount of  100 million . " 	later that day , at a reception , his daughter announces a corleone family gift to the church and the charities of sicily , " a check in the amount of  100 million .<br> "	1	-1	 later[0] that[0] day[0] at[0] a[0] reception[0] his[0] daughter[0] announces[0] a[0] corleone[0] family[0] gift[0] to[0] the[0] church[0] and[0] the[0] charities[0] of[0] sicily[0] a[0] check[0] in[0] the[0] amount[0] of[0] 100[0] million[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
