satirical films usually fall into one of two categories : 1 ) long-term satire where everything , including the jokes , is somehow related on a large scale ( i . e . 	Translation	Positive	Negative	EmotionRationale
 " dr . 	 " dr .	1	-1	 dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
strangelove " ; 2 ) situation satire in which the comedy and themes are derived moment by moment and scene by scene ( i . e . 	strangelove " ; 2 ) situation satire in which the comedy and themes are derived moment by moment and scene by scene ( i .<br> e .	1	-1	 strangelove[0] 2[0] situation[0] satire[0] in[0] which[0] the[0] comedy[0] and[0] themes[0] are[0] derived[0] moment[0] by[0] moment[0] and[0] scene[0] by[0] scene[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " men in black " ) . 	 " men in black " ) .	1	-1	 men[0] in[0] black[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's unique about " wag the dog " is that it doesn't necessarily fit either of these descriptions , and yet is both at the same time . 	what's unique about " wag the dog " is that it doesn't necessarily fit either of these descriptions , and yet is both at the same time .	1	-1	 what's[0] unique[0] about[0] wag[0] the[0] dog[0] is[0] that[0] it[0] doesn't[0] necessarily[0] fit[0] either[0] of[0] these[0] descriptions[0] and[0] yet[0] is[0] both[0] at[0] the[0] same[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is a clever comedy based on an original , smart premise , even if the focus does tend to wander a bit . 	the result is a clever comedy based on an original , smart premise , even if the focus does tend to wander a bit .	2	-1	 the[0] result[0] is[0] a[0] clever[0] comedy[0] based[0] on[0] an[0] original[0] smart[1] premise[0] even[0] if[0] the[0] focus[0] does[0] tend[0] to[0] wander[0] a[0] bit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if there's anything that affects americans the most it's politics and showbusiness . 	if there's anything that affects americans the most it's politics and showbusiness .	1	-1	 if[0] there's[0] anything[0] that[0] affects[0] americans[0] the[0] most[0] it's[0] politics[0] and[0] showbusiness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this age of information and technology , we've been so conditioned by the media and the entertainment industry in our ways of perceiving things , it's gotten to the point that we are practically controlled by it . 	in this age of information and technology , we've been so conditioned by the media and the entertainment industry in our ways of perceiving things , it's gotten to the point that we are practically controlled by it .	1	-1	 in[0] this[0] age[0] of[0] information[0] and[0] technology[0] we've[0] been[0] so[0] conditioned[0] by[0] the[0] media[0] and[0] the[0] entertainment[0] industry[0] in[0] our[0] ways[0] of[0] perceiving[0] things[0] it's[0] gotten[0] to[0] the[0] point[0] that[0] we[0] are[0] practically[0] controlled[0] by[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we need the media to bring us the most up-to-date news , but we also need the escapism of hollywood to counter all that thinking . 	we need the media to bring us the most up-to-date news , but we also need the escapism of hollywood to counter all that thinking .	1	-1	 we[0] need[0] the[0] media[0] to[0] bring[0] us[0] the[0] most[0] up[0] to[0] date[0] news[0] but[0] we[0] also[0] need[0] the[0] escapism[0] of[0] hollywood[0] to[0] counter[0] all[0] that[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film starts off well by quickly establishing these ideas , and then presents an interesting scenario : if politics , the media coverage of politics , and the entertainment industry are so closely related , couldn't someone with the power and authority to manipulate one of the aspects manipulate them all ? 	this film starts off well by quickly establishing these ideas , and then presents an interesting scenario : if politics , the media coverage of politics , and the entertainment industry are so closely related , couldn't someone with the power and authority to manipulate one of the aspects manipulate them all ?	2	-2	 this[0] film[0] starts[0] off[0] well[0] by[0] quickly[0] establishing[0] these[0] ideas[0] and[0] then[0] presents[0] an[0] interesting[1] scenario[0] if[0] politics[0] the[0] media[0] coverage[0] of[0] politics[0] and[0] the[0] entertainment[0] industry[0] are[0] so[0] closely[0] related[0] couldn't[0] someone[0] with[0] the[0] power[0] and[0] authority[0] to[0] manipulate[-1] one[0] of[0] the[0] aspects[0] manipulate[-1] them[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's the idea conrad brean ( de niro ) , a professional washington spin doctor , comes up with in order to restore the president's good name who has been accused of child molestation just weeks before the election . 	that's the idea conrad brean ( de niro ) , a professional washington spin doctor , comes up with in order to restore the president's good name who has been accused of child molestation just weeks before the election .	2	-4	 that's[0] the[0] idea[0] conrad[0] brean[0] de[0] niro[0] a[0] professional[0] washington[0] spin[0] doctor[0] comes[0] up[0] with[0] in[0] order[0] to[0] restore[0] the[0] president's[0] good[1] name[0] who[0] has[0] been[0] accused[-1] of[0] child[0] molestation[-3] just[0] weeks[0] before[0] the[0] election[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
