there is nothing like american history x in theaters or on video . 	Translation	Positive	Negative	EmotionRationale
no other feature film takes such a cold hard look at the lure , the culture , and the brotherhood of white supremacy . 	no other feature film takes such a cold hard look at the lure , the culture , and the brotherhood of white supremacy .	3	-2	 no[0] other[0] feature[0] film[0] takes[0] such[0] a[0] cold[-1] hard[0] look[0] at[0] the[0] lure[-1] the[0] culture[0] and[0] the[0] brotherhood[0] of[0] white[0] supremacy[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nice guy ed norton jr . ( who sang in everyone says i love you ) plays derek , a twenty-year old skinhead . 	nice guy ed norton jr .<br> ( who sang in everyone says i love you ) plays derek , a twenty-year old skinhead .	3	-1	 nice[1] guy[0] ed[0] norton[0] jr[0] [[Sentence=-1,2=word max, 1-5]] who[0] sang[0] in[0] everyone[0] says[0] i[0] love[2] you[0] plays[1] derek[0] a[0] twenty[0] year[0] old[0] skinhead[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dad's subtle racism grew large in derek , after gang members killed his father . 	dad's subtle racism grew large in derek , after gang members killed his father .	1	-4	 dad's[0] subtle[0] racism[-1] grew[0] large[0] in[0] derek[0] after[0] gang[0] members[0] killed[-3] his[0] father[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dad was fighting a fire when they shot him . 	dad was fighting a fire when they shot him .	1	-3	 dad[0] was[0] fighting[-2] a[0] fire[0] when[0] they[0] shot[-1] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now derek keeps his head shaved and has a giant swastika tattooed over his heart . 	now derek keeps his head shaved and has a giant swastika tattooed over his heart .	1	-1	 now[0] derek[0] keeps[0] his[0] head[0] shaved[0] and[0] has[0] a[0] giant[0] swastika[0] tattooed[0] over[0] his[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
derek is more interested in the ideas of white supremacy than in its culture of violence . 	derek is more interested in the ideas of white supremacy than in its culture of violence .	3	-4	 derek[0] is[0] more[0] interested[1] in[0] the[0] ideas[0] of[0] white[0] supremacy[2] than[0] in[0] its[0] culture[0] of[0] violence[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at a basketball court , black and white tempers flare . 	at a basketball court , black and white tempers flare .	1	-1	 at[0] a[0] basketball[0] court[0] black[0] and[0] white[0] tempers[0] flare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
derek channels the aggression into a game , black versus white , for ownership of the courts . 	derek channels the aggression into a game , black versus white , for ownership of the courts .	1	-3	 derek[0] channels[0] the[0] aggression[-2] into[0] a[0] game[0] black[0] versus[0] white[0] for[0] ownership[0] of[0] the[0] courts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the choice presents itself , derek goes for game point instead of the sucker-punch . 	when the choice presents itself , derek goes for game point instead of the sucker-punch .	1	-2	 when[0] the[0] choice[0] presents[0] itself[0] derek[0] goes[0] for[0] game[0] point[0] instead[0] of[0] the[0] sucker[-1] punch[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cameron ( stacy keach ) steps in to derek's life as a surrogate father . 	cameron ( stacy keach ) steps in to derek's life as a surrogate father .	1	-1	 cameron[0] stacy[0] keach[0] steps[0] in[0] to[0] derek's[0] life[0] as[0] a[0] surrogate[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
