if chris farley had strapped some fake mutton-chop sideburns to each side of his head , spoken with a thick irish accent , and tried his damnedest to play it straight , he wouldn't have been nearly as funny as brendan gleeson in " i went down . " 	Translation	Positive	Negative	EmotionRationale
gleeson , who's not dissimilar to the late " saturday night live " alumnus in terms of physical attributes , plays a character named bunny kelly in this delightful irish film . 	gleeson , who's not dissimilar to the late " saturday night live " alumnus in terms of physical attributes , plays a character named bunny kelly in this delightful irish film .	3	-1	 gleeson[0] who's[0] not[0] dissimilar[0] to[0] the[0] late[0] saturday[0] night[0] live[0] alumnus[0] in[0] terms[0] of[0] physical[0] attributes[0] plays[1] a[0] character[0] named[0] bunny[0] kelly[0] in[0] this[0] delightful[2] irish[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bunny is sent to county cork to " retrieve " one frank grogan for an irish gangster called tom french ( well dressed like all good gangsters should be and menacingly portrayed by tony doyle ) . 	bunny is sent to county cork to " retrieve " one frank grogan for an irish gangster called tom french ( well dressed like all good gangsters should be and menacingly portrayed by tony doyle ) .	2	-1	 bunny[0] is[0] sent[0] to[0] county[0] cork[0] to[0] retrieve[0] one[0] frank[0] grogan[0] for[0] an[0] irish[0] gangster[0] called[0] tom[0] french[0] well[0] dressed[0] like[1] all[0] good[1] gangsters[0] should[0] be[0] and[0] menacingly[0] portrayed[0] by[0] tony[0] doyle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bunny is to accompany git hynes ( peter mcdonald ) , recently released from prison and obligated to tom for disfiguring one of his cronies . 	bunny is to accompany git hynes ( peter mcdonald ) , recently released from prison and obligated to tom for disfiguring one of his cronies .	1	-2	 bunny[0] is[0] to[0] accompany[0] git[0] hynes[0] peter[0] mcdonald[0] recently[0] released[0] from[0] prison[-1] and[0] obligated[0] to[0] tom[0] for[0] disfiguring[0] one[0] of[0] his[0] cronies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that tom french is a mean bollocks . 	that tom french is a mean bollocks .	1	-1	 that[0] tom[0] french[0] is[0] a[0] mean[0] bollocks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he wants frank back . 	he wants frank back .	1	-1	 he[0] wants[0] frank[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and a small matter of some ? 25 , 000 that tom's wife was supposed to have given to frank . 	and a small matter of some ?<br> 25 , 00 that tom's wife was supposed to have given to frank .	1	-1	 and[0] a[0] small[0] matter[0] of[0] some[0] [[Sentence=-1,1=word max, 1-5]] 25[0] 000/00[0] that[0] tom's[0] wife[0] was[0] supposed[0] to[0] have[0] given[0] to[0] frank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for this he won't break anyone's thumbs . 	for this he won't break anyone's thumbs .	1	-1	 for[0] this[0] he[0] won't[0] break[0] anyone's[0] thumbs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe . 	maybe .	1	-1	 maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inventively and engagingly written by conor mcpherson and directed by paddy breathnach , " i went down " follows the trials and tribulations of git and bunny as they knock around peat bogs , dimly-lit pubs , and seedy hostelries trying to stay alive and out of trouble . 	inventively and engagingly written by conor mcpherson and directed by paddy breathnach , " i went down " follows the trials and tribulations of git and bunny as they knock around peat bogs , dimly-lit pubs , and seedy hostelries trying to stay alive and out of trouble .	2	-2	 inventively[0] and[0] engagingly[1] written[0] by[0] conor[0] mcpherson[0] and[0] directed[0] by[0] paddy[0] breathnach[0] i[0] went[0] down[0] follows[0] the[0] trials[0] and[0] tribulations[0] of[0] git[0] and[0] bunny[0] as[0] they[0] knock[0] around[0] peat[0] bogs[0] dimly[0] lit[0] pubs[0] and[0] seedy[0] hostelries[0] trying[0] to[0] stay[0] alive[0] and[0] out[0] of[0] trouble[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mcdonald is a newcomer and a promising one at that , but gleeson has been in over a dozen movies , most recently as father bubbles in another film with a very irish accent on hilarity , " the butcher boy . " 	mcdonald is a newcomer and a promising one at that , but gleeson has been in over a dozen movies , most recently as father bubbles in another film with a very irish accent on hilarity , " the butcher boy .<br> "	3	-1	 mcdonald[0] is[0] a[0] newcomer[0] and[0] a[0] promising[1] one[0] at[0] that[0] but[0] gleeson[0] has[0] been[0] in[0] over[0] a[0] dozen[0] movies[0] most[0] recently[0] as[0] father[0] bubbles[0] in[0] another[0] film[0] with[0] a[0] very[0] irish[0] accent[0] on[0] hilarity[2] the[0] butcher[0] boy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even if you can't comprehend half of what they're saying , gleeson and mcdonald together make " i went down " a trip worth taking . 	even if you can't comprehend half of what they're saying , gleeson and mcdonald together make " i went down " a trip worth taking .	1	-1	 even[0] if[0] you[0] can't[0] comprehend[0] half[0] of[0] what[0] they're[0] saying[0] gleeson[0] and[0] mcdonald[0] together[0] make[0] i[0] went[0] down[0] a[0] trip[0] worth[0] taking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is in many ways reminiscent of another " little " independent feature , 1991's " highway 61 . " 	the film is in many ways reminiscent of another " little " independent feature , 1991's " highway 61 .<br> "	1	-1	 the[0] film[0] is[0] in[0] many[0] ways[0] reminiscent[0] of[0] another[0] little[0] independent[0] feature[0] 1991's[0] highway[0] 61[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that film , too , was a road movie and it shares the same kind of wry dialogue and humorous situations as mcpherson's tale : whimsical observations on life , carefully-crafted vignettes , deadpan conversational asides , and scenes that'll make you laugh out loud . 	that film , too , was a road movie and it shares the same kind of wry dialogue and humorous situations as mcpherson's tale : whimsical observations on life , carefully-crafted vignettes , deadpan conversational asides , and scenes that'll make you laugh out loud .	3	-1	 that[0] film[0] too[0] was[0] a[0] road[0] movie[0] and[0] it[0] shares[0] the[0] same[0] kind[1] of[0] wry[0] dialogue[0] and[0] humorous[2] situations[0] as[0] mcpherson's[0] tale[0] whimsical[0] observations[0] on[0] life[0] carefully[0] crafted[0] vignettes[0] deadpan[0] conversational[0] asides[0] and[0] scenes[0] that'll[0] make[0] you[0] laugh[1] out[0] loud[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
witness the episode in which our good-natured protagonists bind frank ( played by peter caffrey ) to a hotel bed , leaving him with only the tv remote for company . 	witness the episode in which our good-natured protagonists bind frank ( played by peter caffrey ) to a hotel bed , leaving him with only the tv remote for company .	2	-1	 witness[0] the[0] episode[0] in[0] which[0] our[0] good[1] natured[0] protagonists[0] bind[0] frank[0] played[0] by[0] peter[0] caffrey[0] to[0] a[0] hotel[0] bed[0] leaving[0] him[0] with[0] only[0] the[0] tv[0] remote[0] for[0] company[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that sequence alone is on a par with satan locking himself out of his car in " highway 61 . " 	that sequence alone is on a par with satan locking himself out of his car in " highway 61 .<br> "	1	-3	 that[0] sequence[0] alone[0] is[0] on[0] a[0] par[0] with[0] satan[-2] locking[0] himself[0] out[0] of[0] his[0] car[0] in[0] highway[0] 61[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what's also charming about " i went down " is how the relationship between buddy and git develops . 	what's also charming about " i went down " is how the relationship between buddy and git develops .	2	-1	 what's[0] also[0] charming[1] about[0] i[0] went[0] down[0] is[0] how[0] the[0] relationship[0] between[0] buddy[0] and[0] git[0] develops[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their trip becomes an education for both of them , but the way it's handled is neither sappy nor labored . 	their trip becomes an education for both of them , but the way it's handled is neither sappy nor labored .	1	-1	 their[0] trip[0] becomes[0] an[0] education[0] for[0] both[0] of[0] them[0] but[0] the[0] way[0] it's[0] handled[0] is[0] neither[0] sappy[0] nor[0] labored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only thing in the film which approaches clunkiness is the culminating explanation , via flashbacks , of the relationship between frank and tom . 	the only thing in the film which approaches clunkiness is the culminating explanation , via flashbacks , of the relationship between frank and tom .	1	-1	 the[0] only[0] thing[0] in[0] the[0] film[0] which[0] approaches[0] clunkiness[0] is[0] the[0] culminating[0] explanation[0] via[0] flashbacks[0] of[0] the[0] relationship[0] between[0] frank[0] and[0] tom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a little too hollywood , and what makes " i went down " so refreshing is the fact that it rarely panders to traditional conventions of hollywood gangster movies . 	it's a little too hollywood , and what makes " i went down " so refreshing is the fact that it rarely panders to traditional conventions of hollywood gangster movies .	1	-1	 it's[0] a[0] little[0] too[0] hollywood[0] and[0] what[0] makes[0] i[0] went[0] down[0] so[0] refreshing[0] is[0] the[0] fact[0] that[0] it[0] rarely[0] panders[0] to[0] traditional[0] conventions[0] of[0] hollywood[0] gangster[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure it's gritty--make that grubby--but it's also pretty goofy . 	sure it's gritty-make that grubby-but it's also pretty goofy .	3	-1	 sure[0] it's[0] gritty[0] make[0] that[0] grubby[0] but[0] it's[0] also[0] pretty[2] goofy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although " i went down " emphasizes the comedic elements of dis-organized crime , there are a couple of fairly brutal scenes in keeping with the subject matter . 	although " i went down " emphasizes the comedic elements of dis-organized crime , there are a couple of fairly brutal scenes in keeping with the subject matter .	1	-3	 although[0] i[0] went[0] down[0] emphasizes[0] the[0] comedic[0] elements[0] of[0] dis[0] organized[0] crime[-1] there[0] are[0] a[0] couple[0] of[0] fairly[0] brutal[-2] scenes[0] in[0] keeping[0] with[0] the[0] subject[0] matter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't let these deter you , though ; " i went down " is a little gem . 	don't let these deter you , though ; " i went down " is a little gem .	1	-2	 don't[0] let[0] these[0] deter[-1] you[0] though[0] i[0] went[0] down[0] is[0] a[0] little[0] gem[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's only playing at one philadelphia-area theater--and i suspect it won't be there for long--so catch it while you can . 	it's only playing at one philadelphia-area theater-and i suspect it won't be there for long-so catch it while you can .	2	-2	 it's[0] only[0] playing[1] at[0] one[0] philadelphia[0] area[0] theater[0] and[0] i[0] suspect[-1] it[0] won't[0] be[0] there[0] for[0] long[0] so[0] catch[0] it[0] while[0] you[0] can[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
