when andy leaves for cowboy camp , his mother holds a yard sale and scrounges in his room for old toys . 	Translation	Positive	Negative	EmotionRationale
one of these toys is wheezy , a penguin with a broken squeaker . 	one of these toys is wheezy , a penguin with a broken squeaker .	1	-2	 one[0] of[0] these[0] toys[0] is[0] wheezy[0] a[0] penguin[0] with[0] a[0] broken[-1] squeaker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
woody ( tom hanks ) saddles up andy's dog and rides out into the yard to rescue wheezy . 	woody ( tom hanks ) saddles up andy's dog and rides out into the yard to rescue wheezy .	1	-1	 woody[0] tom[0] hanks[0] saddles[0] up[0] andy's[0] dog[0] and[0] rides[0] out[0] into[0] the[0] yard[0] to[0] rescue[0] wheezy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody succeeds in his mission , but doesn't make it back to the house before al , the unscrupulous owner of al's toy barn , recognizes woody as a rare collector's item and steals him . 	woody succeeds in his mission , but doesn't make it back to the house before al , the unscrupulous owner of al's toy barn , recognizes woody as a rare collector's item and steals him .	3	-3	 woody[0] succeeds[2] in[0] his[0] mission[0] but[0] doesn't[0] make[0] it[0] back[0] to[0] the[0] house[0] before[0] al[0] the[0] unscrupulous[-1] owner[0] of[0] al's[0] toy[0] barn[0] recognizes[0] woody[0] as[0] a[0] rare[0] collector's[0] item[0] and[0] steals[-2] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
buzz lightyear ( tim allen ) leads hamm ( john ratzenberger ) , mr . potato head ( don rickles ) , slinky dog ( jim varney ) , and rex ( wallace shawn ) into the city to find their friend . 	buz lightyear ( tim allen ) leads ham ( john ratzenberger ) , mr .<br> potato head ( don rickles ) , slinky dog ( jim varney ) , and rex ( wallace shawn ) into the city to find their friend .	2	-1	 buzz/buz[0] lightyear[0] tim[0] allen[0] leads[0] hamm/ham[0] john[0] ratzenberger[0] mr[0] [[Sentence=-1,1=word max, 1-5]] potato[0] head[0] don[0] rickles[0] slinky[0] dog[0] jim[0] varney[0] and[0] rex[0] wallace[0] shawn[0] into[0] the[0] city[0] to[0] find[0] their[0] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile woody discovers the reason he was kidnapped . 	meanwhile woody discovers the reason he was kidnapped .	1	-1	 meanwhile[0] woody[0] discovers[0] the[0] reason[0] he[0] was[0] kidnapped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
al has collected every piece of merchandising from the 1950's tv puppet show " woody's round-up " except for a woody doll . 	al has collected every piece of merchandising from the 1950's tv puppet show " woody's round-up " except for a woody doll .	1	-1	 al[0] has[0] collected[0] every[0] piece[0] of[0] merchandising[0] from[0] the[0] 1950's[0] tv[0] puppet[0] show[0] woody's[0] round[0] up[0] except[0] for[0] a[0] woody[0] doll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now that the collection is complete , al plans to sell woody and his round-up gang-bullseye the horse , jessie the cowgirl ( joan cusack ) , and stinky pete the old prospector ( kelsey grammer ) -to a toy museum in japan . 	now that the collection is complete , al plans to sell woody and his round-up gang-bullseye the horse , jessie the cowgirl ( joan cusack ) , and stinky pete the old prospector ( kelsey grammer ) -to a toy museum in japan .	1	-3	 now[0] that[0] the[0] collection[0] is[0] complete[0] al[0] plans[0] to[0] sell[0] woody[0] and[0] his[0] round[0] up[0] gang[0] bullseye[0] the[0] horse[0] jessie[0] the[0] cowgirl[0] joan[0] cusack[0] and[0] stinky[-2] pete[0] the[0] old[0] prospector[0] kelsey[0] grammer[0] to[0] a[0] toy[0] museum[0] in[0] japan[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the gang is happy about the move ; they've been in storage for years waiting for woody . 	the gang is happy about the move ; they've been in storage for years waiting for woody .	2	-1	 the[0] gang[0] is[0] happy[1] about[0] the[0] move[0] they've[0] been[0] in[0] storage[0] for[0] years[0] waiting[0] for[0] woody[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if woody doesn't go with them , they'll be closed up in a dark box again , possibly forever . 	if woody doesn't go with them , they'll be closed up in a dark box again , possibly forever .	1	-1	 if[0] woody[0] doesn't[0] go[0] with[0] them[0] they'll[0] be[0] closed[0] up[0] in[0] a[0] dark[0] box[0] again[0] possibly[0] forever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trying to convince him to stay with them , jessie tells woody how she was abandoned when her owner grew up , and woody realizes that his days as a beloved toy are numbered . 	trying to convince him to stay with them , jessie tells woody how she was abandoned when her owner grew up , and woody realizes that his days as a beloved toy are numbered .	3	-2	 trying[0] to[0] convince[0] him[0] to[0] stay[0] with[0] them[0] jessie[0] tells[0] woody[0] how[0] she[0] was[0] abandoned[-1] when[0] her[0] owner[0] grew[0] up[0] and[0] woody[0] realizes[0] that[0] his[0] days[0] as[0] a[0] beloved[2] toy[0] are[0] numbered[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
