it's no secret in the motion picture industry that the relationship between a script and the actors involved often makes or breaks a movie at the box office . 	Translation	Positive	Negative	EmotionRationale
a poorly-written script can be bested by a superb acting corps , and a well-written piece can be mangled by a group of amateurs . 	a poorly-written script can be bested by a superb acting corps , and a well-written piece can be mangled by a group of amateurs .	1	-2	 a[0] poorly[-1] written[0] script[0] can[0] be[0] bested[0] by[0] a[0] superb[0] acting[0] corps[0] and[0] a[0] well[0] written[0] piece[0] can[0] be[0] mangled[0] by[0] a[0] group[0] of[0] amateurs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in directing his latest action-comedy , director brett ratner ( money talks ) takes a relatively mediocre piece of standup comedy and turns it into a funny as all get-out buddy cop movie . 	in directing his latest action-comedy , director brett ratner ( money talks ) takes a relatively mediocre piece of standup comedy and turns it into a funny as all get-out buddy cop movie .	2	-2	 in[0] directing[0] his[0] latest[0] action[0] comedy[0] director[0] brett[0] ratner[0] money[0] talks[0] takes[0] a[0] relatively[0] mediocre[-1] piece[0] of[0] standup[0] comedy[0] and[0] turns[0] it[0] into[0] a[0] funny[1] as[0] all[0] get[0] out[0] buddy[0] cop[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in addition , rush hour serves as a first-class example of directing a movie with conservative attitude - a feature that is sure to draw in crowds of all types . 	in addition , rush hour serves as a first-class example of directing a movie with conservative attitude - a feature that is sure to draw in crowds of all types .	1	-1	 in[0] addition[0] rush[0] hour[0] serves[0] as[0] a[0] first[0] class[0] example[0] of[0] directing[0] a[0] movie[0] with[0] conservative[0] attitude[0] a[0] feature[0] that[0] is[0] sure[0] to[0] draw[0] in[0] crowds[0] of[0] all[0] types[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two lead names share equal screen time here , mostly because they spend it together . 	the two lead names share equal screen time here , mostly because they spend it together .	1	-1	 the[0] two[0] lead[0] names[0] share[0] equal[0] screen[0] time[0] here[0] mostly[0] because[0] they[0] spend[0] it[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie chan , in his first completely american production , makes an impressive debut by mixing dialogue with martial arts . 	jackie chan , in his first completely american production , makes an impressive debut by mixing dialogue with martial arts .	2	-1	 jackie[0] chan[0] in[0] his[0] first[0] completely[0] american[0] production[0] makes[0] an[0] impressive[1] debut[0] by[0] mixing[0] dialogue[0] with[0] martial[0] arts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other martial arts flick from a few weeks ago , knock off , stands no chance against the content of this one . 	the other martial arts flick from a few weeks ago , knock off , stands no chance against the content of this one .	1	-2	 the[0] other[0] martial[0] arts[0] flick[0] from[0] a[0] few[0] weeks[0] ago[0] knock[0] off[0] stands[0] no[0] chance[0] against[-1] the[0] content[0] of[0] this[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chan manages to make every fight scene exude grace and poise , and there's no doubt that a large percentage of video sales for this movie will come from viewers who couldn't believe their eyes the first time . 	chan manages to make every fight scene exude grace and poise , and there's no doubt that a large percentage of video sales for this movie will come from viewers who couldn't believe their eyes the first time .	3	-3	 chan[0] manages[0] to[0] make[0] every[0] fight[-2] scene[0] exude[0] grace[2] and[0] poise[0] and[0] there's[0] no[0] doubt[-1] that[0] a[0] large[0] percentage[0] of[0] video[0] sales[0] for[0] this[0] movie[0] will[0] come[0] from[0] viewers[0] who[0] couldn't[0] believe[0] their[0] eyes[0] the[0] first[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
chris tucker , on the opposite side , relates a hilarious comedic approach which smoothes out the rough edges to chan's performance . 	chris tucker , on the opposite side , relates a hilarious comedic approach which smoothes out the rough edges to chan's performance .	3	-2	 chris[0] tucker[0] on[0] the[0] opposite[0] side[0] relates[0] a[0] hilarious[2] comedic[0] approach[0] which[0] smoothes[0] out[0] the[0] rough[-1] edges[0] to[0] chan's[0] performance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he works perfectly with the script , and it's quite likely he lent scribe jim kouf a hand with some of his lines . 	he works perfectly with the script , and it's quite likely he lent scribe jim kouf a hand with some of his lines .	2	-1	 he[0] works[0] perfectly[1] with[0] the[0] script[0] and[0] it's[0] quite[0] likely[0] he[0] lent[0] scribe[0] jim[0] kouf[0] a[0] hand[0] with[0] some[0] of[0] his[0] lines[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
almost essential to the action genre , the plot is nonexistent . 	almost essential to the action genre , the plot is nonexistent .	1	-1	 almost[0] essential[0] to[0] the[0] action[0] genre[0] the[0] plot[0] is[0] nonexistent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
