in these days of overlong movies ( meet joe black , the thin red line , the mask of zorro ) it is a shame that films like waking ned devine can't be longer than a paltry 90 minutes . 	Translation	Positive	Negative	EmotionRationale
this is just a cute movie , even through its mildly risque subject matter . 	this is just a cute movie , even through its mildly risque subject matter .	2	-1	 this[0] is[0] just[0] a[0] cute[1] movie[0] even[0] through[0] its[0] mildly[0] risque[0] subject[0] matter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
old friends jackie ( bannen ) and michael ( kelley ) try to find the lottery winner ( they deduce must live in their dinky town of about 60 ) so that they might kiss up to him and share the winnings . 	old friends jackie ( bannen ) and michael ( kelley ) try to find the lottery winner ( they deduce must live in their dinky town of about 60 ) so that they might kiss up to him and share the winnings .	2	-1	 old[0] friends[1] jackie[0] bannen[0] and[0] michael[0] kelley[0] try[0] to[0] find[0] the[0] lottery[0] winner[1] they[0] deduce[0] must[0] live[0] in[0] their[0] dinky[0] town[0] of[0] about[0] 60[0] so[0] that[0] they[0] might[0] kiss[2][-1 LastWordBoosterStrength] up[0] to[0] him[0] and[0] share[0] the[0] winnings[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
through process of elimination , they find that it must be lovable old ned devine , who they find sitting in front of his tv , clutching the winning lottery ticket in his cold dead hand . 	through process of elimination , they find that it must be lovable old ned devine , who they find sitting in front of his tv , clutching the winning lottery ticket in his cold dead hand .	2	-3	 through[0] process[0] of[0] elimination[-1] they[0] find[0] that[0] it[0] must[0] be[0] lovable[0] old[0] ned[0] devine[0] who[0] they[0] find[0] sitting[0] in[0] front[0] of[0] his[0] tv[0] clutching[0] the[0] winning[1] lottery[0] ticket[0] in[0] his[0] cold[-1] dead[-2] hand[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what results is thuroughly amusing , as jackie tries to convince his wife that not claiming it would be wrong , and that they could really benefit . 	what results is thuroughly amusing , as jackie tries to convince his wife that not claiming it would be wrong , and that they could really benefit .	2	-2	 what[0] results[0] is[0] thuroughly[0] amusing[1] as[0] jackie[0] tries[0] to[0] convince[0] his[0] wife[0] that[0] not[0] claiming[0] it[0] would[0] be[0] wrong[-1] and[0] that[0] they[0] could[0] really[0] benefit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after all , old ned won't miss it . 	after all , old ned won't miss it .	2	-1	 after[0] all[0] old[0] ned[0] won't[0] miss[-1][NegatedDueToPreviousWord] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rather than divulge the later twists and turns , i'll stop here merely pointing out that jackie and michael get into all sorts of trouble in their little sleepy irish villiage . 	rather than divulge the later twists and turns , i'll stop here merely pointing out that jackie and michael get into all sorts of trouble in their little sleepy irish villiage .	1	-2	 rather[0] than[0] divulge[0] the[0] later[0] twists[0] and[0] turns[0] i'll[0] stop[0] here[0] merely[0] pointing[0] out[0] that[0] jackie[0] and[0] michael[0] get[0] into[0] all[0] sorts[0] of[0] trouble[-1] in[0] their[0] little[0] sleepy[0] irish[0] villiage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bannen and kelly are a perfect pair . 	bannen and kelly are a perfect pair .	2	-1	 bannen[0] and[0] kelly[0] are[0] a[0] perfect[1] pair[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one slightly stout , the other as thin as a rail . 	one slightly stout , the other as thin as a rail .	1	-1	 one[0] slightly[0] stout[0] the[0] other[0] as[0] thin[0] as[0] a[0] rail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both getting on in years , they make such a cute pair of old codgers . 	both getting on in years , they make such a cute pair of old codgers .	2	-1	 both[0] getting[0] on[0] in[0] years[0] they[0] make[0] such[0] a[0] cute[1] pair[0] of[0] old[0] codgers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
waking ned devine may even be seen as a " full monty " for the geriatric set , especially since kelly gets buff-o for one amusing scene . 	waking ned devine may even be seen as a " full monty " for the geriatric set , especially since kelly gets buff-o for one amusing scene .	2	-1	 waking[0] ned[0] devine[0] may[0] even[0] be[0] seen[0] as[0] a[0] full[0] monty[0] for[0] the[0] geriatric[0] set[0] especially[0] since[0] kelly[0] gets[0] buff[0] o[0] for[0] one[0] amusing[1] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
