richard gere is not one of my favorite actors . 	Translation	Positive	Negative	EmotionRationale
however , i like courtroom dramas , and this film looked good enough to take a chance on . 	however , i like courtroom dramas , and this film looked good enough to take a chance on .	2	-1	 however[0] i[0] like[1] courtroom[0] dramas[0] and[0] this[0] film[0] looked[0] good[1] enough[0] to[0] take[0] a[0] chance[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i wasn't disappointed . 	i wasn't disappointed .	1	-2	 i[0] wasn't[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it wasn't a great film , but it was interesting , and took several unexpected turns . 	it wasn't a great film , but it was interesting , and took several unexpected turns .	3	-1	 it[0] wasn't[0] a[0] great[2] film[0] but[0] it[0] was[0] interesting[1] and[0] took[0] several[0] unexpected[0] turns[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one thing : what's with the title ? 	one thing : what's with the title ?	1	-1	 one[0] thing[0] what's[0] with[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only is it extremely forgettable , it doesn't really have much to do with the film , as far as i could determine . 	not only is it extremely forgettable , it doesn't really have much to do with the film , as far as i could determine .	1	-1	 not[0] only[0] is[0] it[0] extremely[0] forgettable[0] it[0] doesn't[0] really[0] have[0] much[0] to[0] do[0] with[0] the[0] film[0] as[0] far[0] as[0] i[0] could[0] determine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the long run , it will probably hurt the film , as people won't be able to think of or remember it . 	in the long run , it will probably hurt the film , as people won't be able to think of or remember it .	1	-3	 in[0] the[0] long[0] run[0] it[0] will[0] probably[0] hurt[-2] the[0] film[0] as[0] people[0] won't[0] be[0] able[0] to[0] think[0] of[0] or[0] remember[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
martin vail ( richard gere ) is a grandiose defense attorney . 	martin vail ( richard gere ) is a grandiose defense attorney .	1	-1	 martin[0] vail[0] richard[0] gere[0] is[0] a[0] grandiose[0] defense[0] attorney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he loves the money and the fame that go along with defending ( successfully ) rich scum , such as mafia men and drug-dealers . 	he loves the money and the fame that go along with defending ( successfully ) rich scum , such as mafia men and drug-dealers .	3	-3	 he[0] loves[2] the[0] money[0] and[0] the[0] fame[0] that[0] go[0] along[0] with[0] defending[0] successfully[2] rich[0] scum[-2] such[0] as[0] mafia[0] men[0] and[0] drug[0] dealers[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
once he sees that the accused killer of a prominent chicago archbishop is a baby-faced alter boy , he wants in on the case , presumably for the press he'll get . 	once he sees that the accused killer of a prominent chicago archbishop is a baby-faced alter boy , he wants in on the case , presumably for the press he'll get .	2	-2	 once[0] he[0] sees[0] that[0] the[0] accused[-1] killer[-1] of[0] a[0] prominent[0] chicago[0] archbishop[0] is[0] a[0] baby[1] faced[0] alter[0] boy[0] he[0] wants[0] in[0] on[0] the[0] case[0] presumably[0] for[0] the[0] press[0] he'll[0] get[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we soon find out that the prosecutor assigned is a former lover , janet venable ( laura linney ) . 	we soon find out that the prosecutor assigned is a former lover , janet venable ( laura linney ) .	4	-2	 we[0] soon[0] find[0] out[0] that[0] the[0] prosecutor[-1] assigned[0] is[0] a[0] former[0] lover[3] janet[0] venable[0] laura[0] linney[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
vail himself is a former prosecutor , and quit because of tensions between himself and the district attorney , played very well by john mahoney ( frasier's father on the tv series ) . 	vail himself is a former prosecutor , and quit because of tensions between himself and the district attorney , played very well by john mahoney ( frasier's father on the tv series ) .	1	-3	 vail[0] himself[0] is[0] a[0] former[0] prosecutor[-1] and[0] quit[-1] because[0] of[0] tensions[-2] between[0] himself[0] and[0] the[0] district[0] attorney[0] played[0] very[0] well[0] by[0] john[0] mahoney[0] frasier's[0] father[0] on[0] the[0] tv[0] series[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is an underlying theme of dichotomy in the movie : people have public faces , and private faces . 	there is an underlying theme of dichotomy in the movie : people have public faces , and private faces .	1	-1	 there[0] is[0] an[0] underlying[0] theme[0] of[0] dichotomy[0] in[0] the[0] movie[0] people[0] have[0] public[0] faces[0] and[0] private[0] faces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see this in the murdered archbishop , in the accused , and , most strongly , defense attorney martin vail . 	we see this in the murdered archbishop , in the accused , and , most strongly , defense attorney martin vail .	1	-4	 we[0] see[0] this[0] in[0] the[0] murdered[-3] archbishop[0] in[0] the[0] accused[-1] and[0] most[0] strongly[0] defense[0] attorney[0] martin[0] vail[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
richard gere does a fairly good job . 	richard gere does a fairly good job .	2	-1	 richard[0] gere[0] does[0] a[0] fairly[0] good[1] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at first , he appears to be a money- and attention-grabbing lawyer , with no consideration of the truth . 	at first , he appears to be a money- and attention-grabbing lawyer , with no consideration of the truth .	2	-2	 at[0] first[0] he[0] appears[0] to[0] be[0] a[0] money[0] and[0] attention[0] grabbing[-1] lawyer[0] with[0] no[0] consideration[0] of[0] the[0] truth[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but we see another side , as he becomes a seeker of justice , and comes to believe in his client . 	but we see another side , as he becomes a seeker of justice , and comes to believe in his client .	1	-1	 but[0] we[0] see[0] another[0] side[0] as[0] he[0] becomes[0] a[0] seeker[0] of[0] justice[0] and[0] comes[0] to[0] believe[0] in[0] his[0] client[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
