men in black is an explosive mix of science fiction , action , and comedy that hits the target in every possible way . 	Translation	Positive	Negative	EmotionRationale
although another alien movie , men in black succeeds in every way that independence day didn't , and towers above many other movies of its type . 	although another alien movie , men in black succeeds in every way that independence day didn't , and towers above many other movies of its type .	3	-2	 although[0] another[0] alien[-1] movie[0] men[0] in[0] black[0] succeeds[2] in[0] every[0] way[0] that[0] independence[0] day[0] didn't[0] and[0] towers[0] above[0] many[0] other[0] movies[0] of[0] its[0] type[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the brilliant acting , especially by tommy lee jones as agent kay , is also as good as it gets . 	the brilliant acting , especially by tommy lee jones as agent kay , is also as good as it gets .	2	-1	 the[0] brilliant[1] acting[0] especially[0] by[0] tommy[0] lee[0] jones[0] as[0] agent[0] kay[0] is[0] also[0] as[0] good[1] as[0] it[0] gets[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director barry sonnenfeld , who was behind the camera for the addams family movies and get shorty , has crafted a masterpiece . 	director barry sonnenfeld , who was behind the camera for the addams family movies and get shorty , has crafted a masterpiece .	1	-1	 director[0] barry[0] sonnenfeld[0] who[0] was[0] behind[0] the[0] camera[0] for[0] the[0] addams[0] family[0] movies[0] and[0] get[0] shorty[0] has[0] crafted[0] a[0] masterpiece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story behind men in black is just as interesting as you would want it to be . 	the story behind men in black is just as interesting as you would want it to be .	2	-1	 the[0] story[0] behind[0] men[0] in[0] black[0] is[0] just[0] as[0] interesting[1] as[0] you[0] would[0] want[0] it[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the men in black , or mib , are a top-secret governmental agency that is not known to exist . 	the men in black , or mib , are a top-secret governmental agency that is not known to exist .	1	-1	 the[0] men[0] in[0] black[0] or[0] mib[0] are[0] a[0] top[0] secret[0] governmental[0] agency[0] that[0] is[0] not[0] known[0] to[0] exist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mib are responsible for " saving the world from the scum of the universe " . 	the mib are responsible for " saving the world from the scum of the universe " .	1	-3	 the[0] mib[0] are[0] responsible[0] for[0] saving[0] the[0] world[0] from[0] the[0] scum[-2] of[0] the[0] universe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a though job , indeed . 	a though job , indeed .	1	-1	 a[0] though[0] job[0] indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with a truckload of illegal aliens ( the human kind ) being transported across the mexico border and into the united states . 	the film opens with a truckload of illegal aliens ( the human kind ) being transported across the mexico border and into the united states .	2	-2	 the[0] film[0] opens[0] with[0] a[0] truckload[0] of[0] illegal[-1] aliens[0] the[0] human[0] kind[1] being[0] transported[0] across[0] the[0] mexico[0] border[0] and[0] into[0] the[0] united[0] states[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
presumably , these " aliens " are all migrant workers . 	presumably , these " aliens " are all migrant workers .	1	-1	 presumably[0] these[0] aliens[0] are[0] all[0] migrant[0] workers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is , until the mib show up and begin interrogating them . 	that is , until the mib show up and begin interrogating them .	1	-1	 that[0] is[0] until[0] the[0] mib[0] show[0] up[0] and[0] begin[0] interrogating[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
agent kay selects a particular suspicious worker and takes him away from the other local authorities to discover that he is not an illegal human alien , but a real extra-terrestrial alien . 	agent kay selects a particular suspicious worker and takes him away from the other local authorities to discover that he is not an illegal human alien , but a real extra-terrestrial alien .	2	-2	 agent[0] kay[0] selects[0] a[0] particular[0] suspicious[-1] worker[0] and[0] takes[0] him[0] away[0] from[0] the[0] other[0] local[0] authorities[0] to[0] discover[0] that[0] he[0] is[0] not[0] an[0] illegal[-1][NegatedDueToPreviousWord] human[0] alien[-1] but[0] a[0] real[0] extra[0] terrestrial[0] alien[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the alien makes a run for it , agent kay is forced to eliminate the alien with one of the mib's very unique weapons , and after one of the local law enforcement officers witnesses this bizarre occurrence , agent kay is forced to use another very unique device on them . 	when the alien makes a run for it , agent kay is forced to eliminate the alien with one of the mib's very unique weapons , and after one of the local law enforcement officers witnesses this bizarre occurrence , agent kay is forced to use another very unique device on them .	1	-2	 when[0] the[0] alien[-1] makes[0] a[0] run[0] for[0] it[0] agent[0] kay[0] is[0] forced[0] to[0] eliminate[-1] the[0] alien[-1] with[0] one[0] of[0] the[0] mib's[0] very[0] unique[0] weapons[-1] and[0] after[0] one[0] of[0] the[0] local[0] law[0] enforcement[-1] officers[0] witnesses[0] this[0] bizarre[-1] occurrence[0] agent[0] kay[0] is[0] forced[0] to[0] use[0] another[0] very[0] unique[0] device[0] on[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the device , described as " out of state " , eliminates the memory of anyone it is used on . 	the device , described as " out of state " , eliminates the memory of anyone it is used on .	1	-1	 the[0] device[0] described[0] as[0] out[0] of[0] state[0] eliminates[0] the[0] memory[0] of[0] anyone[0] it[0] is[0] used[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
