every once in a while you see a film that is so effective in delivering the goods that it is easy to forget , and forgive , its glaring imperfections . 	Translation	Positive	Negative	EmotionRationale
such is the case with ? good will hunting ? , a subtle character study about a socially inept mathematics genius who struggles to find his path in life . 	such is the case with ?<br> good will hunting ?<br> , a subtle character study about a socially inept mathematics genius who struggles to find his path in life .	2	-2	 such[0] is[0] the[0] case[0] with[0] [[Sentence=-1,1=word max, 1-5]] good[1] will[0] hunting[0] [[Sentence=-1,2=word max, 1-5]] a[0] subtle[0] character[0] study[0] about[0] a[0] socially[0] inept[0] mathematics[0] genius[0] who[0] struggles[-1] to[0] find[0] his[0] path[0] in[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
despite some serious character problems , this is still a very good film . 	despite some serious character problems , this is still a very good film .	3	-2	 despite[0] some[0] serious[-1][--1 LastWordBoosterStrength] character[0] problems[-1] this[0] is[0] still[0] a[0] very[0] good[1][1 LastWordBoosterStrength] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you probably know about the plot so i ? ll make it quick . 	you probably know about the plot so i ?<br> ll make it quick .	1	-1	 you[0] probably[0] know[0] about[0] the[0] plot[0] so[0] i[0] [[Sentence=-1,1=word max, 1-5]] ll[0] make[0] it[0] quick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will hunting ( damon ) is a janitor at m . i . t . , he ? s really smarter than einstein but nobody knows it . 	will hunting ( damon ) is a janitor at m .<br> i .<br> t .<br> , he ?<br> s really smarter than einstein but nobody knows it .	3	-1	 will[0] hunting[0] damon[0] is[0] a[0] janitor[0] at[0] m[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] he[0] [[Sentence=-1,1=word max, 1-5]] s[0] really[0] smarter[1][1 LastWordBoosterStrength] than[0] einstein[0] but[0] nobody[0] knows[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he likes to go out with his friend chuckie ( affleck ) and their other working-class buddies and drink beer . 	he likes to go out with his friend chuckie ( affleck ) and their other working-class buddies and drink beer .	3	-1	 he[0] likes[2] to[0] go[0] out[0] with[0] his[0] friend[1] chuckie[0] affleck[0] and[0] their[0] other[0] working[0] class[0] buddies[0] and[0] drink[0] beer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he ? s good-looking , charismatic , and witty but has a terrible time with authority and stiff college folk . 	he ?<br> s good-looking , charismatic , and witty but has a terrible time with authority and stiff college folk .	2	-4	 he[0] [[Sentence=-1,1=word max, 1-5]] s[0] good[1] looking[0] charismatic[0] and[0] witty[0] but[0] has[0] a[0] terrible[-3] time[0] with[0] authority[0] and[0] stiff[0] college[0] folk[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after getting into a tiff with the law , a distinguished professor ( skarsg ? rd ) discovers will ? s genius and offers him a chance to clean up his record and avoid jail time , at a price : he must attend weekly sessions with a therapist and work on various mathematical problems ( that have stumped the academic elite ) with the professor . 	after getting into a tiff with the law , a distinguished professor ( skarsg ?<br> rd ) discovers will ?<br> s genius and offers him a chance to clean up his record and avoid jail time , at a price : he must attend weekly sessions with a therapist and work on various mathematical problems ( that have stumped the academic elite ) with the professor .	1	-2	 after[0] getting[0] into[0] a[0] tiff[0] with[0] the[0] law[0] a[0] distinguished[0] professor[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] discovers[0] will[0] [[Sentence=-1,1=word max, 1-5]] s[0] genius[0] and[0] offers[0] him[0] a[0] chance[0] to[0] clean[0] up[0] his[0] record[0] and[0] avoid[-1] jail[-1] time[0] at[0] a[0] price[0] he[0] must[0] attend[0] weekly[0] sessions[0] with[0] a[0] therapist[0] and[0] work[0] on[0] various[0] mathematical[0] problems[-1] that[0] have[0] stumped[0] the[0] academic[0] elite[0] with[0] the[0] professor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after outsmarting and scaring the hell out of a couple of different psychologists he meets his match when hooked up with a once-promising therapist named sean maguire ( williams ) who has his own problems . 	after outsmarting and scaring the hell out of a couple of different psychologists he meets his match when hooked up with a once-promising therapist named sean maguire ( williams ) who has his own problems .	2	-4	 after[0] outsmarting[0] and[0] scaring[-3] the[0] hell[-1] out[0] of[0] a[0] couple[0] of[0] different[0] psychologists[0] he[0] meets[0] his[0] match[0] when[0] hooked[0] up[0] with[0] a[0] once[0] promising[1] therapist[0] named[0] sean[0] maguire[0] williams[0] who[0] has[0] his[0] own[0] problems[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in the meantime will meets a british medical school student ( driver ) and they begin to fall in love . 	in the meantime will meets a british medical school student ( driver ) and they begin to fall in love .	3	-1	 in[0] the[0] meantime[0] will[0] meets[0] a[0] british[0] medical[0] school[0] student[0] driver[0] and[0] they[0] begin[0] to[0] fall[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story starts out well enough and is a pretty original basis for a film . 	the story starts out well enough and is a pretty original basis for a film .	3	-1	 the[0] story[0] starts[0] out[0] well[0] enough[0] and[0] is[0] a[0] pretty[2] original[0] basis[0] for[0] a[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
