the " italian hitchcock " and acknowledged master of the giallo murder-mystery dario argento again offers us a fascinating turn on the formula in pheneomena . 	Translation	Positive	Negative	EmotionRationale
this time the twist comes in the form of jennifer corvino ( jennifer connelly ) , a bright teenager with gift for telepathically communicating with insects . 	this time the twist comes in the form of jennifer corvino ( jennifer connelly ) , a bright teenager with gift for telepathically communicating with insects .	1	-1	 this[0] time[0] the[0] twist[0] comes[0] in[0] the[0] form[0] of[0] jennifer[0] corvino[0] jennifer[0] connelly[0] a[0] bright[0] teenager[0] with[0] gift[0] for[0] telepathically[0] communicating[0] with[0] insects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sent to a girls boarding school in switzerland , she soon learns of a series of bizarre disappearances and at least one murder that has the school's population terrified . 	sent to a girls boarding school in switzerland , she soon learns of a series of bizarre disappearances and at least one murder that has the school's population terrified .	1	-4	 sent[0] to[0] a[0] girls[0] boarding[0] school[0] in[0] switzerland[0] she[0] soon[0] learns[0] of[0] a[0] series[0] of[0] bizarre[-1] disappearances[0] and[0] at[0] least[0] one[0] murder[-3] that[0] has[0] the[0] school's[0] population[0] terrified[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a chance meeting with a brilliant entomologist ( donald pleasance ) leads the two of them to team up and solve the mystery with the aid of her remarkable gift . 	a chance meeting with a brilliant entomologist ( donald pleasance ) leads the two of them to team up and solve the mystery with the aid of her remarkable gift .	2	-1	 a[0] chance[0] meeting[0] with[0] a[0] brilliant[1] entomologist[0] donald[0] pleasance[0] leads[0] the[0] two[0] of[0] them[0] to[0] team[0] up[0] and[0] solve[0] the[0] mystery[0] with[0] the[0] aid[0] of[0] her[0] remarkable[0] gift[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
phenomena is an imaginative , original thriller . 	phenomena is an imaginative , original thriller .	2	-1	 phenomena[0] is[0] an[0] imaginative[1] original[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writer/director argento creates several sequences of surreal , haunting beauty here , including a masterfully shot sleepwalking episode and a striking scene when a swarm of flying insects descends on the school at jennifer's beckoning . 	writer/director argento creates several sequences of surreal , haunting beauty here , including a masterfully shot sleepwalking episode and a striking scene when a swarm of flying insects descends on the school at jennifer's beckoning .	3	-2	 writer/director[0] argento[0] creates[0] several[0] sequences[0] of[0] surreal[0] haunting[0] beauty[2] here[0] including[0] a[0] masterfully[0] shot[-1] sleepwalking[0] episode[0] and[0] a[0] striking[0] scene[0] when[0] a[0] swarm[0] of[0] flying[0] insects[0] descends[0] on[0] the[0] school[0] at[0] jennifer's[0] beckoning[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the plot takes some wonderfully bizarre turns and the killer's identity is genuinely shocking and surprising . 	the plot takes some wonderfully bizarre turns and the killer's identity is genuinely shocking and surprising .	2	-3	 the[0] plot[0] takes[0] some[0] wonderfully[2][-1 LastWordBoosterStrength] bizarre[-1] turns[0] and[0] the[0] killer's[0] identity[0] is[0] genuinely[0] shocking[-2] and[0] surprising[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the director took a big gamble with a soundtrack that mixes elements as diverse as heavy metal band iron maiden , ex-rolling stone bill wyman , and argento's favourite gothic/electronic outfit goblin . 	the director took a big gamble with a soundtrack that mixes elements as diverse as heavy metal band iron maiden , ex-rolling stone bill wyman , and argento's favourite gothic/electronic outfit goblin .	2	-2	 the[0] director[0] took[0] a[0] big[0] gamble[-1] with[0] a[0] soundtrack[0] that[0] mixes[0] elements[0] as[0] diverse[0] as[0] heavy[0] metal[0] band[0] iron[0] maiden[0] ex[0] rolling[0] stone[0] bill[0] wyman[0] and[0] argento's[0] favourite[1] gothic/electronic[0] outfit[0] goblin[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but it gels surprisingly well . 	but it gels surprisingly well .	1	-1	 but[0] it[0] gels[0] surprisingly[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's opening music reccurs several times , an eerie and evocative score that perfectly sets the overall tone . 	the film's opening music recurs several times , an eerie and evocative score that perfectly sets the overall tone .	2	-1	 the[0] film's[0] opening[0] music[0] reccurs/recurs[0] several[0] times[0] an[0] eerie[0] and[0] evocative[0] score[0] that[0] perfectly[1] sets[0] the[0] overall[0] tone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
argento fans beware : the film was released outside europe in a terribly butchered form re-titled as creepers . 	argento fans beware : the film was released outside europe in a terribly butchered form re-titled as creepers .	1	-4	 argento[0] fans[0] beware[-1] the[0] film[0] was[0] released[0] outside[0] europe[0] in[0] a[0] terribly[-3] butchered[0] form[0] re[0] titled[0] as[0] creepers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this deleted nearly half an hour of footage , mainly of key dialogue scenes . 	this deleted nearly half an hour of footage , mainly of key dialogue scenes .	1	-1	 this[0] deleted[0] nearly[0] half[0] an[0] hour[0] of[0] footage[0] mainly[0] of[0] key[0] dialogue[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
