scream 2 has a titillating little scene that lays down the unwritten law of horror movie sequels quite well . 	Translation	Positive	Negative	EmotionRationale
during a film-class discussion , windsor college students articulate what these inevitable laws are , and why sequels never live up to the originals . 	during a film-class discussion , windsor college students articulate what these inevitable laws are , and why sequels never live up to the originals .	1	-1	 during[0] a[0] film[0] class[0] discussion[0] windsor[0] college[0] students[0] articulate[0] what[0] these[0] inevitable[0] laws[0] are[0] and[0] why[0] sequels[0] never[0] live[0] up[0] to[0] the[0] originals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a few rare exceptions are noted , but they left out one . 	a few rare exceptions are noted , but they left out one .	1	-1	 a[0] few[0] rare[0] exceptions[0] are[0] noted[0] but[0] they[0] left[0] out[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
scream 2 ! 	scream 2 !	1	-4	 scream[-3] 2[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
1996's surprise horror blockbuster scream became an instant hit and developed an obsessive coterie of fans which included almost every teenager in america ! 	1996's surprise horror blockbuster scream became an instant hit and developed an obsessive coterie of fans which included almost every teenager in america !	1	-4	 1996's[0] surprise[0] horror[-3] blockbuster[-1] scream[-3] became[0] an[0] instant[0] hit[0] and[0] developed[0] an[0] obsessive[-2] coterie[0] of[0] fans[0] which[0] included[0] almost[0] every[0] teenager[0] in[0] america[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a sequel was unavoidable , but luckily the re-teaming of writer kevin williamson and director wes craven gives us nothing to fear in the way of lost entertainment . 	a sequel was unavoidable , but luckily the re-teaming of writer kevin williamson and director wes craven gives us nothing to fear in the way of lost entertainment .	3	-4	 a[0] sequel[0] was[0] unavoidable[-1] but[0] luckily[2] the[0] re[0] teaming[0] of[0] writer[0] kevin[0] williamson[0] and[0] director[0] wes[0] craven[-1] gives[0] us[0] nothing[0] to[0] fear[-3] in[0] the[0] way[0] of[0] lost[0] entertainment[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in fact , at the risk of sounding sacrilegious to all the adorning fans of scream , i would say that scream 2 might even be the better film ! 	in fact , at the risk of sounding sacrilegious to all the adorning fans of scream , i would say that scream 2 might even be the better film !	1	-4	 in[0] fact[0] at[0] the[0] risk[-1] of[0] sounding[0] sacrilegious[0] to[0] all[0] the[0] adorning[0] fans[0] of[0] scream[-3] i[0] would[0] say[0] that[0] scream[-3] 2[0] might[0] even[0] be[0] the[0] better[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sidney prescott ( neve campbell ) , the sinuous heroine who survived a series of murders in woodsboro , ca in the original scream , is now two years older and off to college , majoring in theater . 	sidney prescott ( neve campbell ) , the sinuous heroine who survived a series of murders in woodsboro , ca in the original scream , is now two years older and off to college , majoring in theater .	3	-4	 sidney[0] prescott[0] neve[0] campbell[0] the[0] sinuous[0] heroine[2] who[0] survived[0] a[0] series[0] of[0] murders[-3] in[0] woodsboro[0] ca[0] in[0] the[0] original[0] scream[-3] is[0] now[0] two[0] years[0] older[0] and[0] off[0] to[0] college[0] majoring[0] in[0] theater[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
meanwhile , tv journalist gale weathers ( courtney cox ) , who covered the murders in the first film , has since written a book about the dreadful events ; a book titled " stab " , which has been developed into a major motion picture . 	meanwhile , tv journalist gale weathers ( courtney cox ) , who covered the murders in the first film , has since written a book about the dreadful events ; a book titled " stab " , which has been developed into a major motion picture .	1	-4	 meanwhile[0] tv[0] journalist[0] gale[0] weathers[0] courtney[0] cox[0] who[0] covered[0] the[0] murders[-3] in[0] the[0] first[0] film[0] has[0] since[0] written[0] a[0] book[0] about[0] the[0] dreadful[-3] events[0] a[0] book[0] titled[0] stab[-1] which[0] has[0] been[0] developed[0] into[0] a[0] major[0] motion[0] picture[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as scream 2 opens , a crowd of overzealous teenagers are piling into a crowded movie theater for the premiere of " stab " , and before long , a young couple are butchered to death , unnoticed in the midst of hysteria . 	as scream 2 opens , a crowd of overzealous teenagers are piling into a crowded movie theater for the premiere of " stab " , and before long , a young couple are butchered to death , unnoticed in the midst of hysteria .	1	-4	 as[0] scream[-3] 2[0] opens[0] a[0] crowd[0] of[0] overzealous[0] teenagers[0] are[0] piling[0] into[0] a[0] crowded[0] movie[0] theater[0] for[0] the[0] premiere[0] of[0] stab[-1] and[0] before[0] long[0] a[0] young[0] couple[0] are[0] butchered[0] to[0] death[-2] unnoticed[-1] in[0] the[0] midst[0] of[0] hysteria[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this marks the beginning of a new murder spree as an unknown " copycat " sets out to repeat what's been done . 	this marks the beginning of a new murder spree as an unknown " copycat " sets out to repeat what's been done .	1	-4	 this[0] marks[0] the[0] beginning[0] of[0] a[0] new[0] murder[-3] spree[0] as[0] an[0] unknown[0] copycat[0] sets[0] out[0] to[0] repeat[0] what's[0] been[0] done[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and finish what hasn't ! 	and finish what hasn't !	1	-1	 and[0] finish[0] what[0] hasn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course the killer is just as obsessed with movies as the killer in the first film , and yes , movies play a huge role in the bizarre psychological outlook the murderer holds as he/she goes about slaying an assortment of gorgeous twenty year olds , but this * is * a sequel , and without deviating from the original groundwork we are still given a fresh outlook on horror movies . 	of course the killer is just as obsessed with movies as the killer in the first film , and yes , movies play a huge role in the bizarre psychological outlook the murderer holds as he/she goes about slaying an assortment of gorgeous twenty year olds , but this * is * a sequel , and without deviating from the original groundwork we are still given a fresh outlook on horror movies .	3	-4	 of[0] course[0] the[0] killer[-1] is[0] just[0] as[0] obsessed[-2] with[0] movies[0] as[0] the[0] killer[-1] in[0] the[0] first[0] film[0] and[0] yes[0] movies[0] play[0] a[0] huge[0] role[0] in[0] the[0] bizarre[-1] psychological[0] outlook[0] the[0] murderer[-3] holds[0] as[0] he/she[0] goes[0] about[0] slaying[0] an[0] assortment[0] of[0] gorgeous[2] twenty[0] year[0] olds[0] but[0] this[0] is[0] a[0] sequel[0] and[0] without[0] deviating[0] from[0] the[0] original[0] groundwork[0] we[0] are[0] still[0] given[0] a[0] fresh[0] outlook[0] on[0] horror[-3] movies[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this is in large part due to williamson's deliciously written script , which will easily leave you satisfied . 	this is in large part due to williamson's deliciously written script , which will easily leave you satisfied .	3	-1	 this[0] is[0] in[0] large[0] part[0] due[0] to[0] williamson's[0] deliciously[2] written[0] script[0] which[0] will[0] easily[0] leave[0] you[0] satisfied[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as much as the film condemns the use of cliches , it is riddled with them , but it is done so effectively , and with skillful direction by craven , that you're not bound to complain . 	as much as the film condemns the use of cliches , it is riddled with them , but it is done so effectively , and with skillful direction by craven , that you're not bound to complain .	2	-2	 as[0] much[0] as[0] the[0] film[0] condemns[-1] the[0] use[0] of[0] cliches[0] it[0] is[0] riddled[0] with[0] them[0] but[0] it[0] is[0] done[0] so[0] effectively[0] and[0] with[0] skillful[1] direction[0] by[0] craven[-1] that[0] you're[0] not[0] bound[0] to[0] complain[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i will note , however , that the " whodunit ? " 	i will note , however , that the " whodunit ?<br> "	1	-1	 i[0] will[0] note[0] however[0] that[0] the[0] whodunit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did wind up being the first person i suspected , but believe me , i kept changing my mind as i tried to stay one ahead of the movie . 	did wind up being the first person i suspected , but believe me , i kept changing my mind as i tried to stay one ahead of the movie .	1	-1	 did[0] wind[0] up[0] being[0] the[0] first[0] person[0] i[0] suspected[0] but[0] believe[0] me[0] i[0] kept[0] changing[0] my[0] mind[0] as[0] i[0] tried[0] to[0] stay[0] one[0] ahead[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the actors outdo themselves here . 	all the actors outdo themselves here .	1	-1	 all[0] the[0] actors[0] outdo[0] themselves[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're not talking oscar performances , but cambell , cox , david arquette as dewey riley , and jamie kennedy as randy all give surprisingly satisfying performances that go beyond their last outing . 	we're not talking oscar performances , but cambell , cox , david arquette as dewey riley , and jamie kennedy as randy all give surprisingly satisfying performances that go beyond their last outing .	2	-1	 we're[0] not[0] talking[0] oscar[0] performances[0] but[0] cambell[0] cox[0] david[0] arquette[0] as[0] dewey[0] riley[0] and[0] jamie[0] kennedy[0] as[0] randy[0] all[0] give[0] surprisingly[0] satisfying[1] performances[0] that[0] go[0] beyond[0] their[0] last[0] outing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
