those print and television ads trumpeting that " 'grease' is still the word " are right on the money . 	Translation	Positive	Negative	EmotionRationale
to celebrate its 20th anniversary , this quintessential movie musical is getting the royal treatment reserved for classics like " star wars " -- a well-deserved , red-carpet rerelease . 	to celebrate its 20th anniversary , this quintessential movie musical is getting the royal treatment reserved for classics like " star wars " - a well-deserved , red-carpet rerelease .	2	-3	 to[0] celebrate[1] its[0] 20th[0] anniversary[0] this[0] quintessential[0] movie[0] musical[0] is[0] getting[0] the[0] royal[0] treatment[0] reserved[0] for[0] classics[0] like[1] star[0] wars[-2] a[0] well[0] deserved[0] red[0] carpet[0] rerelease[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's fantastic , especially when considering of all the classic characters and scenes the film has served up -- who can forget aspiring beautician frenchie ( didi conn ) being serenaded by her tell-it-like-it-is guardian angel ( frankie avalon ) ? 	that's fantastic , especially when considering of all the classic characters and scenes the film has served up - who can forget aspiring beautician frenchie ( didi con ) being serenaded by her tell-it-like-it-is guardian angel ( frankie avalon ) ?	3	-1	 that's[0] fantastic[2] especially[0] when[0] considering[0] of[0] all[0] the[0] classic[0] characters[0] and[0] scenes[0] the[0] film[0] has[0] served[0] up[0] who[0] can[0] forget[0] aspiring[0] beautician[2] frenchie[0] didi[0] conn/con[0] being[0] serenaded[0] by[0] her[0] tell[0] it[0] like[1] it[0] is[0] guardian[0] angel[0] frankie[0] avalon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
or the hard-nosed principal ( eve arden ) reminding the student body to " be an athletic supporter " by rooting for the home team ? 	or the hard-nosed principal ( eve arden ) reminding the student body to " be an athletic supporter " by rooting for the home team ?	2	-1	 or[0] the[0] hard[0] nosed[0] principal[0] eve[0] arden[0] reminding[0] the[0] student[0] body[0] to[0] be[0] an[0] athletic[0] supporter[1] by[0] rooting[0] for[0] the[0] home[0] team[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or national bandstand emcee vince fontaine ( edd byrnes ) flirting with marty ( a pre- " empty nest " dinah manhoff ) ? 	or national bandstand emcee vince fontaine ( edd byrnes ) flirting with marty ( a pre- " empty nest " dinah manhoff ) ?	2	-1	 or[0] national[0] bandstand[0] emcee[0] vince[0] fontaine[0] edd[0] byrnes[0] flirting[1] with[0] marty[0] a[0] pre[0] empty[0] nest[0] dinah[0] manhoff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and these are all probably considered minor moments . . . 	and these are all probably considered minor moments .<br> .<br> .	1	-1	 and[0] these[0] are[0] all[0] probably[0] considered[0] minor[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a very skinny john travolta and a very young olivia newton-john have the respective leads of danny zuko and sandy olsson , and their pairing still ranks as one of screendom's most effervescently charming . 	a very skinny john travolta and a very young olivia newton-john have the respective leads of danny zuko and sandy olsson , and their pairing still ranks as one of screendom's most effervescently charming .	3	-1	 a[0] very[0] skinny[0] john[0] travolta[0] and[0] a[0] very[0] young[0] olivia[0] newton[0] john[0] have[0] the[0] respective[2] leads[0] of[0] danny[0] zuko[0] and[0] sandy[0] olsson[0] and[0] their[0] pairing[0] still[0] ranks[0] as[0] one[0] of[0] screendom's[0] most[0] effervescently[0] charming[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for those eight of you who aren't familiar with the story , here's a brief recap : greaser bad boy danny and aussie good girl sandy are reunited for their 1959 senior year at rydell high after a brief fling during the summer ; both thought she was going to return to her native continent before school started , but both were wrong . 	for those eight of you who aren't familiar with the story , here's a brief recap : greaser bad boy danny and aussie good girl sandy are reunited for their 1959 senior year at rydell high after a brief fling during the summer ; both thought she was going to return to her native continent before school started , but both were wrong .	2	-2	 for[0] those[0] eight[0] of[0] you[0] who[0] aren't[0] familiar[0] with[0] the[0] story[0] here's[0] a[0] brief[0] recap[0] greaser[0] bad[-1] boy[0] danny[0] and[0] aussie[0] good[1] girl[0] sandy[0] are[0] reunited[0] for[0] their[0] 1959[0] senior[0] year[0] at[0] rydell[0] high[0] after[0] a[0] brief[0] fling[0] during[0] the[0] summer[0] both[0] thought[0] she[0] was[0] going[0] to[0] return[0] to[0] her[0] native[0] continent[0] before[0] school[0] started[0] but[0] both[0] were[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sandy tries to rekindle their relationship , but danny's too cool a cat to fall for her wholesome appeal in front of his t-bird buddies ( including jeff conaway ) . 	sandy tries to rekindle their relationship , but danny's too cool a cat to fall for her wholesome appeal in front of his t-bird buddies ( including jeff conaway ) .	2	-1	 sandy[0] tries[0] to[0] rekindle[0] their[0] relationship[0] but[0] danny's[0] too[0] cool[1] a[0] cat[0] to[0] fall[0] for[0] her[0] wholesome[0] appeal[0] in[0] front[0] of[0] his[0] t[0] bird[0] buddies[0] including[0] jeff[0] conaway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so sandy hooks up with a gang herself -- the pink ladies , headed by sassy , sexy rizzo ( stockard channing , just superb as an independent woman well ahead of her time ) -- and danny , who still really feels love for her , attempts a compromise of ideals in order to win her back . 	so sandy hooks up with a gang herself - the pink ladies , headed by sassy , sexy rizo ( stockard channing , just superb as an independent woman well ahead of her time ) - and danny , who still really feels love for her , attempts a compromise of ideals in order to win her back .	3	-1	 so[0] sandy[0] hooks[0] up[0] with[0] a[0] gang[0] herself[0] the[0] pink[0] ladies[0] headed[0] by[0] sassy[0] sexy[2] rizzo/rizo[0] stockard[0] channing[0] just[0] superb[0] as[0] an[0] independent[0] woman[0] well[0] ahead[0] of[0] her[0] time[0] and[0] danny[0] who[0] still[0] really[0] feels[0] love[2] for[0] her[0] attempts[0] a[0] compromise[0] of[0] ideals[0] in[0] order[0] to[0] win[0] her[0] back[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the drag race finale is yet something of a drag , and i never have thought much of " greased lightening , " the film's big " guy " number ( that choreography -- ack ! ) , but " grease " 's flaws amount too few to carp . 	the drag race finale is yet something of a drag , and i never have thought much of " greased lightening , " the film's big " guy " number ( that choreography - ack !<br> ) , but " grease " 's flaws amount too few to carp .	1	-3	 the[0] drag[-1] race[0] finale[0] is[0] yet[0] something[0] of[0] a[0] drag[-1] and[0] i[0] never[0] have[0] thought[0] much[0] of[0] greased[0] lightening[0] the[0] film's[0] big[0] guy[0] number[0] that[0] choreography[-2] ack[0] [[Sentence=-3,1=word max, 1-5]] but[0] grease[0] 's[0] flaws[0] amount[0] too[0] few[0] to[0] carp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
