playwright tom stoppard and screenwriter marc norman took on an astonishingly difficult task : they wanted to write a script about william shakespeare that parallels shakespeare's works . 	Translation	Positive	Negative	EmotionRationale
they also wanted to poke fun at the way all of us envision shakespeare : i mean , really , who doesn't think of shakespeare as a guy seething with so much passion that he can barely write a play without exploding into a passionate , introspective verbal couplet of iambic pentameter ? 	they also wanted to poke fun at the way all of us envision shakespeare : i mean , really , who doesn't think of shakespeare as a guy seething with so much passion that he can barely write a play without exploding into a passionate , introspective verbal couplet of iambic pentameter ?	3	-2	 they[0] also[0] wanted[0] to[0] poke[0] fun[1] at[0] the[0] way[0] all[0] of[0] us[0] envision[0] shakespeare[0] i[0] mean[0] really[0] who[0] doesn't[0] think[0] of[0] shakespeare[0] as[0] a[0] guy[0] seething[-1] with[0] so[0] much[0] passion[2] that[0] he[0] can[0] barely[0] write[0] a[0] play[0] without[0] exploding[0] into[0] a[0] passionate[2] introspective[0] verbal[0] couplet[0] of[0] iambic[0] pentameter[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
stoppard and norman are men who love shakespeare , and they wanted to make a movie for everyone else who loves shakespeare . 	stoppard and norman are men who love shakespeare , and they wanted to make a movie for everyone else who loves shakespeare .	3	-1	 stoppard[0] and[0] norman[0] are[0] men[0] who[0] love[2] shakespeare[0] and[0] they[0] wanted[0] to[0] make[0] a[0] movie[0] for[0] everyone[0] else[0] who[0] loves[2] shakespeare[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , despite the difficulty of their task , they have succeeded . 	and , despite the difficulty of their task , they have succeeded .	3	-2	 and[0] despite[0] the[0] difficulty[-1] of[0] their[0] task[0] they[0] have[0] succeeded[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
shakespeare in love is one of the smartest , funniest , most touching films of the year . 	shakespeare in love is one of the smartest , funniest , most touching films of the year .	3	-1	 shakespeare[0] in[0] love[2] is[0] one[0] of[0] the[0] smartest[1] funniest[1] most[0] touching[0] films[0] of[0] the[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's so rare that a picture with such high aspirations succeeds in all of its endeavors , but here we have a movie that defines success : it is at once charmingly acted and flawlessly written . 	it's so rare that a picture with such high aspirations succeeds in all of its endeavors , but here we have a movie that defines success : it is at once charmingly acted and flawlessly written .	3	-1	 it's[0] so[0] rare[0] that[0] a[0] picture[0] with[0] such[0] high[0] aspirations[0] succeeds[2] in[0] all[0] of[0] its[0] endeavors[0] but[0] here[0] we[0] have[0] a[0] movie[0] that[0] defines[0] success[2] it[0] is[0] at[0] once[0] charmingly[1] acted[0] and[0] flawlessly[1] written[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it could have been a smug , self-important movie that panders to die-hard shakespeare fans , but the appeal of this film is almost universal : if you've ever read a play by shakespeare , or know anything about his life , it's likely that you'll find grand entertainment in shakespeare in love . 	it could have been a smug , self-important movie that panders to die-hard shakespeare fans , but the appeal of this film is almost universal : if you've ever read a play by shakespeare , or know anything about his life , it's likely that you'll find grand entertainment in shakespeare in love .	3	-2	 it[0] could[0] have[0] been[0] a[0] smug[-1] self[0] important[0] movie[0] that[0] panders[0] to[0] die[0] hard[0] shakespeare[0] fans[0] but[0] the[0] appeal[0] of[0] this[0] film[0] is[0] almost[0] universal[0] if[0] you've[0] ever[0] read[0] a[0] play[0] by[0] shakespeare[0] or[0] know[0] anything[0] about[0] his[0] life[0] it's[0] likely[0] that[0] you'll[0] find[0] grand[1] entertainment[0] in[0] shakespeare[0] in[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
joseph fiennes , brother of ralph , stars as shakespeare himself ; he's a delightful , irresistible lad , concerned mostly with women and detached from life's more serious problems ( debt , plague , etc . ) . 	joseph fiennes , brother of ralph , stars as shakespeare himself ; he's a delightful , irresistible lad , concerned mostly with women and detached from life's more serious problems ( debt , plague , etc .<br> ) .	3	-2	 joseph[0] fiennes[0] brother[0] of[0] ralph[0] stars[0] as[0] shakespeare[0] himself[0] he's[0] a[0] delightful[2] irresistible[0] lad[0] concerned[-1] mostly[0] with[0] women[0] and[0] detached[0] from[0] life's[0] more[0] serious[-1] problems[-1] debt[0] plague[-1] etc[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he's commissioned to write plays for various people : queen elizabeth ( judi dench ) wants comedies , while local slimeball philip henslowe ( geoffrey rush ) needs him to write a play so that he can pay off his debts to hugh fennymann ( tom wilkinson ) . 	he's commissioned to write plays for various people : queen elizabeth ( judi dench ) wants comedies , while local slimeball philip henslowe ( geoffrey rush ) needs him to write a play so that he can pay off his debts to hugh fennyman ( tom wilkinson ) .	2	-1	 he's[0] commissioned[0] to[0] write[0] plays[1] for[0] various[0] people[0] queen[0] elizabeth[0] judi[0] dench[0] wants[0] comedies[0] while[0] local[0] slimeball[0] philip[0] henslowe[0] geoffrey[0] rush[0] needs[0] him[0] to[0] write[0] a[0] play[0] so[0] that[0] he[0] can[0] pay[0] off[0] his[0] debts[0] to[0] hugh[0] fennymann/fennyman[0] tom[0] wilkinson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shakespeare , however , has trouble focusing on his work . 	shakespeare , however , has trouble focusing on his work .	1	-2	 shakespeare[0] however[0] has[0] trouble[-1] focusing[0] on[0] his[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he begins work on a comedy about a boy named romeo and a girl named ethel . 	he begins work on a comedy about a boy named romeo and a girl named ethel .	1	-1	 he[0] begins[0] work[0] on[0] a[0] comedy[0] about[0] a[0] boy[0] named[0] romeo[0] and[0] a[0] girl[0] named[0] ethel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
