it's hard not to recommend " the others . " 	Translation	Positive	Negative	EmotionRationale
the supernatural thriller , written and directed by alejandro amen ? bar ( " open your eyes " ) , adroitly establishes and maintains a low-key atmosphere of menace . 	the supernatural thriller , written and directed by alejandro amen ?<br> bar ( " open your eyes " ) , adroitly establishes and maintains a low-key atmosphere of menace .	2	-3	 the[0] supernatural[0] thriller[1] written[0] and[0] directed[0] by[0] alejandro[0] amen[0] [[Sentence=-1,2=word max, 1-5]] bar[0] open[0] your[0] eyes[0] adroitly[0] establishes[0] and[0] maintains[0] a[0] low[-1] key[0] atmosphere[0] of[0] menace[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
the cinematography , by javier aguirresarobe , is as good as i have ever seen and nicole kidman gives another in her growing body of fine performances . 	the cinematography , by javier aguirresarobe , is as good as i have ever seen and nicole kidman gives another in her growing body of fine performances .	3	-1	 the[0] cinematography[0] by[0] javier[0] aguirresarobe[0] is[0] as[0] good[1] as[0] i[0] have[0] ever[0] seen[0] and[0] nicole[0] kidman[0] gives[0] another[0] in[0] her[0] growing[0] body[0] of[0] fine[2] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the pacing of the story moves from deliberate to downright sluggish and the payoff of the tale left me less than satisfied . 	but the pacing of the story moves from deliberate to downright sluggish and the payoff of the tale left me less than satisfied .	2	-2	 but[0] the[0] pacing[0] of[0] the[0] story[0] moves[0] from[0] deliberate[0] to[0] downright[0] sluggish[-1] and[0] the[0] payoff[0] of[0] the[0] tale[0] left[0] me[0] less[0] than[0] satisfied[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
overall , the film plays like a very high quality version of any number of old " twilight zone " episodes where the characters spend a great deal of time wandering about looking afraid and disoriented , only to learn they are actually a child's toy , a military test subject or a department store dummy . 	overall , the film plays like a very high quality version of any number of old " twilight zone " episodes where the characters spend a great deal of time wandering about looking afraid and disoriented , only to learn they are actually a child's toy , a military test subject or a department store dummy .	3	-4	 overall[0] the[0] film[0] plays[1] like[1] a[0] very[0] high[0] quality[0] version[0] of[0] any[0] number[0] of[0] old[0] twilight[0] zone[0] episodes[0] where[0] the[0] characters[0] spend[0] a[0] great[2] deal[0] of[0] time[0] wandering[0] about[0] looking[0] afraid[-3] and[0] disoriented[0] only[0] to[0] learn[0] they[0] are[0] actually[0] a[0] child's[0] toy[0] a[0] military[0] test[0] subject[0] or[0] a[0] department[0] store[0] dummy[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
watching those vintage shows and listening to the players chatter , i always wanted to shout , " get on with it ! " 	watching those vintage shows and listening to the players chatter , i always wanted to shout , " get on with it !<br> "	1	-1	 watching[0] those[0] vintage[0] shows[0] and[0] listening[0] to[0] the[0] players[0] chatter[0] i[0] always[0] wanted[0] to[0] shout[0] get[0] on[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as much as i appreciated the atmosphere and acting in " the others , " my reaction was much the same . 	as much as i appreciated the atmosphere and acting in " the others , " my reaction was much the same .	2	-1	 as[0] much[0] as[0] i[0] appreciated[1] the[0] atmosphere[0] and[0] acting[0] in[0] the[0] others[0] my[0] reaction[0] was[0] much[0] the[0] same[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
set at an island mansion off the coast of england during world war ii , the story focuses on grace ( kidman ) , who tends to her children anne ( alakina mann ) and nicholas ( james bentley ) and worries about her husband , charles ( christopher eccleston ) , a missing serviceman . 	set at an island mansion off the coast of england during world war i , the story focuses on grace ( kidman ) , who tends to her children anne ( alakina man ) and nicholas ( james bentley ) and worries about her husband , charles ( christopher eccleston ) , a missing serviceman .	3	-4	 set[0] at[0] an[0] island[0] mansion[0] off[0] the[0] coast[0] of[0] england[0] during[0] world[0] war[-2] ii/i[0] the[0] story[0] focuses[0] on[0] grace[2] kidman[0] who[0] tends[0] to[0] her[0] children[0] anne[0] alakina[0] mann/man[0] and[0] nicholas[0] james[0] bentley[0] and[0] worries[-3] about[0] her[0] husband[0] charles[0] christopher[0] eccleston[0] a[0] missing[0] serviceman[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
anne and nicholas suffer from photosensitivity and grace patrols the estate with the keys to all 50 doors , protecting the little ones from excess light by making sure that only one door is open at a time . 	anne and nicholas suffer from photosensitivity and grace patrols the estate with the keys to all 50 doors , protecting the little ones from excess light by making sure that only one door is open at a time .	3	-4	 anne[0] and[0] nicholas[0] suffer[-3] from[0] photosensitivity[0] and[0] grace[2] patrols[0] the[0] estate[0] with[0] the[0] keys[0] to[0] all[0] 50[0] doors[0] protecting[0] the[0] little[0] ones[0] from[0] excess[-1] light[0] by[0] making[0] sure[0] that[0] only[0] one[0] door[0] is[0] open[0] at[0] a[0] time[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at the beginning of the film , three servants , mrs . mills ( fionnula flanagan ) , young , mute lydia ( elaine cassidy ) , and mr . tuttle ( eric sykes ) , an aging gardener , join the family . 	at the beginning of the film , three servants , mrs .<br> mills ( fionnula flanagan ) , young , mute lydia ( elaine cassidy ) , and mr .<br> tuttle ( eric sykes ) , an aging gardener , join the family .	1	-1	 at[0] the[0] beginning[0] of[0] the[0] film[0] three[0] servants[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] mills[0] fionnula[0] flanagan[0] young[0] mute[0] lydia[0] elaine[0] cassidy[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] tuttle[0] eric[0] sykes[0] an[0] aging[0] gardener[0] join[0] the[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two that speak seem agreeable enough at first , but it soon becomes apparent that they know something that grace does not . 	the two that speak seem agreeable enough at first , but it soon becomes apparent that they know something that grace does not .	3	-1	 the[0] two[0] that[0] speak[0] seem[0] agreeable[0] enough[0] at[0] first[0] but[0] it[0] soon[0] becomes[0] apparent[0] that[0] they[0] know[0] something[0] that[0] grace[2] does[0] not[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
