for any groom on the verge of proposing marriage to his girlfriend , there are certain rules that he needs to follow . 	Translation	Positive	Negative	EmotionRationale
firstly , fill her life with happiness and romance during the courtship . 	firstly , fill her life with happiness and romance during the courtship .	4	-1	 firstly[0] fill[0] her[0] life[0] with[0] happiness[2] and[0] romance[3] during[0] the[0] courtship[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
secondly , buy her a beautiful ring that glitters as brightly as her eyes . 	secondly , buy her a beautiful ring that glitters as brightly as her eyes .	3	-1	 secondly[0] buy[0] her[0] a[0] beautiful[2] ring[0] that[0] glitters[0] as[0] brightly[0] as[0] her[0] eyes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
thirdly , find the perfect moment and location to propose . 	thirdly , find the perfect moment and location to propose .	2	-1	 thirdly[0] find[0] the[0] perfect[1] moment[0] and[0] location[0] to[0] propose[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
finally , the groom-wannabe should probably get her parent's blessing . 	finally , the groom-wannabe should probably get her parent's blessing .	2	-1	 finally[0] the[0] groom[0] wannabe[0] should[0] probably[0] get[0] her[0] parent's[0] blessing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of these four , the last one can be a nightmare . 	of these four , the last one can be a nightmare .	1	-3	 of[0] these[0] four[0] the[0] last[0] one[0] can[0] be[0] a[0] nightmare[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meeting parents is a rite of passage , fraught with unexpected questions , bouts of nervousness , the reality of being disliked , and the inability to make a positive impression . 	meeting parents is a rite of passage , fraught with unexpected questions , bouts of nervousness , the reality of being disliked , and the inability to make a positive impression .	3	-3	 meeting[0] parents[0] is[0] a[0] rite[0] of[0] passage[0] fraught[-1] with[0] unexpected[0] questions[0] bouts[0] of[0] nervousness[-2] the[0] reality[0] of[0] being[0] disliked[-2] and[0] the[0] inability[-1] to[0] make[0] a[0] positive[2] impression[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if you're lucky , things will go smoothly . 	if you're lucky , things will go smoothly .	2	-1	 if[0] you're[0] lucky[1] things[0] will[0] go[0] smoothly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , if you're greg focker ( ben stiller ) , everything will go wrong . 	but , if you're greg focker ( ben stiller ) , everything will go wrong .	1	-2	 but[0] if[0] you're[0] greg[0] focker[0] ben[0] stiller[0] everything[0] will[0] go[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and with a name like that , how could it not ? 	and with a name like that , how could it not ?	2	-1	 and[0] with[0] a[0] name[0] like[1] that[0] how[0] could[0] it[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when greg first meets his fianc ? e's father , jack byrnes ( the grimacing robert deniro ) , greg immediately feels overwhelmed and is put on the defensive . 	when greg first meets his fianc ?<br> e's father , jack byrnes ( the grimacing robert deniro ) , greg immediately feels overwhelmed and is put on the defensive .	1	-3	 when[0] greg[0] first[0] meets[0] his[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] e's[0] father[0] jack[0] byrnes[0] the[0] grimacing[-2] robert[0] deniro[0] greg[0] immediately[0] feels[0] overwhelmed[-2] and[0] is[0] put[0] on[0] the[0] defensive[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
