at one point during brian de palma's crime epic scarface , the radiant michelle pfeiffer turns to a ranting al pacino and pops a question that the audience has no doubt been wanting to ask for themselves : " can't you stop saying 'fuck' all the time ? " 	Translation	Positive	Negative	EmotionRationale
fucking good question , that . 	fucking good question , that .	4	-1	 fucking[0] good[1][2 LastWordBoosterStrength] question[0] that[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it may not be an honour that instills the filmmakers with pride , but as far as i can tell oliver stone's script contains the said expletitive more times than any other film in cinema history . 	it may not be an honour that instills the filmmakers with pride , but as far as i can tell oliver stone's script contains the said expletitive more times than any other film in cinema history .	2	-1	 it[0] may[0] not[0] be[0] an[0] honour[0] that[0] instills[0] the[0] filmmakers[0] with[0] pride[1] but[0] as[0] far[0] as[0] i[0] can[0] tell[0] oliver[0] stone's[0] script[0] contains[0] the[0] said[0] expletitive[0] more[0] times[0] than[0] any[0] other[0] film[0] in[0] cinema[0] history[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet it would be a shame if bad language is all de palma's scarface is remembered for , because this is a damn fine gangstar flick . 	yet it would be a shame if bad language is all de palma's scarface is remembered for , because this is a damn fine gangstar flick .	3	-3	 yet[0] it[0] would[0] be[0] a[0] shame[-2] if[0] bad[-1] language[0] is[0] all[0] de[0] palma's[0] scarface[0] is[0] remembered[0] for[0] because[0] this[0] is[0] a[0] damn[-1] fine[2] gangstar[0] flick[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the overall structure is similar to howard hawks' 1932 original , but this time the scene has switched to miami , florida and our anti-hero's chosen vice is cocaine traffiking . 	the overall structure is similar to howard hawks' 1932 original , but this time the scene has switched to miami , florida and our anti-hero's chosen vice is cocaine traffiking .	3	-2	 the[0] overall[0] structure[0] is[0] similar[0] to[0] howard[0] hawks'[0] 1932[0] original[0] but[0] this[0] time[0] the[0] scene[0] has[0] switched[0] to[0] miami[0] florida[0] and[0] our[0] anti[0] hero's[2] chosen[0] vice[-1] is[0] cocaine[0] traffiking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
pacino , sporting a thick cuban accent , gives one the best performances of his career ( golden globe nominated ) as tony montana , a cuban refugee with a criminal past who flees castro and comes to america to live the american dream . 	pacino , sporting a thick cuban accent , gives one the best performances of his career ( golden globe nominated ) as tony montana , a cuban refugee with a criminal past who flees castro and comes to america to live the american dream .	2	-2	 pacino[0] sporting[0] a[0] thick[0] cuban[0] accent[0] gives[0] one[0] the[0] best[1] performances[0] of[0] his[0] career[0] golden[0] globe[0] nominated[0] as[0] tony[0] montana[0] a[0] cuban[0] refugee[-1] with[0] a[0] criminal[-1] past[0] who[0] flees[-1] castro[0] and[0] comes[0] to[0] america[0] to[0] live[0] the[0] american[0] dream[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and live it out he does , with lashings of violence , abuse , murder and the funny white powder . 	and live it out he does , with lashings of violence , abuse , murder and the funny white powder .	2	-5	 and[0] live[0] it[0] out[0] he[0] does[0] with[0] lashings[0] of[0] violence[-3] abuse[-3][-1 MultiplePositiveWords] murder[-3][-1 MultiplePositiveWords] and[0] the[0] funny[1] white[0] powder[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
from his earliest jobs as a drug runner for various middlemen , tony montana makes it clear to everyone he meets that he's not a man to be fucked ( sorry ) . 	from his earliest jobs as a drug runner for various middlemen , tony montana makes it clear to everyone he meets that he's not a man to be fucked ( sorry ) .	1	-3	 from[0] his[0] earliest[0] jobs[0] as[0] a[0] drug[0] runner[0] for[0] various[0] middlemen[0] tony[0] montana[0] makes[0] it[0] clear[0] to[0] everyone[0] he[0] meets[0] that[0] he's[0] not[0] a[0] man[0] to[0] be[0] fucked[-2] sorry[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon he's the king of the cocaine heap , but his hot head and an increasingly out of control drug addiction prove his undoing . 	soon he's the king of the cocaine heap , but his hot head and an increasingly out of control drug addiction prove his undoing .	1	-2	 soon[0] he's[0] the[0] king[0] of[0] the[0] cocaine[0] heap[0] but[0] his[0] hot[0] head[0] and[0] an[0] increasingly[0] out[0] of[0] control[0] drug[0] addiction[-1] prove[0] his[0] undoing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " never do your own stash " , warns one character early in the film . 	 " never do your own stash " , warns one character early in the film .	1	-1	 never[0] do[0] your[0] own[0] stash[0] warns[0] one[0] character[0] early[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as sure as night follows day , the emperor of miami eventually falls . 	as sure as night follows day , the emperor of miami eventually falls .	1	-1	 as[0] sure[0] as[0] night[0] follows[0] day[0] the[0] emperor[0] of[0] miami[0] eventually[0] falls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer oliver stone and director brian de palma make an explosive combination here . 	writer oliver stone and director brian de palma make an explosive combination here .	1	-2	 writer[0] oliver[0] stone[0] and[0] director[0] brian[0] de[0] palma[0] make[0] an[0] explosive[-1] combination[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stone's script offers solid storytelling and some fine character development . 	stone's script offers solid storytelling and some fine character development .	2	-1	 stone's[0] script[0] offers[0] solid[0] storytelling[0] and[0] some[0] fine[2][-1 LastWordBoosterStrength] character[0] development[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
montana is fascinating ; uneducated but calculating , a straight shooter who speaks from the heart ; an ambitious , violent man yet one with a conscience . 	montana is fascinating ; uneducated but calculating , a straight shooter who speaks from the heart ; an ambitious , violent man yet one with a conscience .	1	-3	 montana[0] is[0] fascinating[0] uneducated[0] but[0] calculating[0] a[0] straight[0] shooter[-1] who[0] speaks[0] from[0] the[0] heart[0] an[0] ambitious[0] violent[-2] man[0] yet[0] one[0] with[0] a[0] conscience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a man fiercely protective of his beautiful 20 year old sister , not wanting her to be sucked into the glitzy , dangerous world which he inhabits . 	a man fiercely protective of his beautiful 20 year old sister , not wanting her to be sucked into the glitzy , dangerous world which he inhabits .	3	-3	 a[0] man[0] fiercely[-2] protective[0] of[0] his[0] beautiful[2] 20[0] year[0] old[0] sister[0] not[0] wanting[0] her[0] to[0] be[0] sucked[-1] into[0] the[0] glitzy[0] dangerous[-1] world[0] which[0] he[0] inhabits[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
pacino is dynamite , taking to the role with a brooding , bristling energy which in his more recent films has often degenerated into just simple overracting . 	pacino is dynamite , taking to the role with a brooding , bristling energy which in his more recent films has often degenerated into just simple overacting .	1	-2	 pacino[0] is[0] dynamite[0] taking[0] to[0] the[0] role[0] with[0] a[0] brooding[-1] bristling[0] energy[0] which[0] in[0] his[0] more[0] recent[0] films[0] has[0] often[0] degenerated[-1] into[0] just[0] simple[0] overracting/overacting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pfeiffer also registers strongly as the gangstar mole with no inner life . 	pfeiffer also registers strongly as the gangstar mole with no inner life .	1	-1	 pfeiffer[0] also[0] registers[0] strongly[0] as[0] the[0] gangstar[0] mole[0] with[0] no[0] inner[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only once does tony express real affection for her and his desire to have children , and even then you sense all he really wants is a regular screw and a beautiful object to show off to his friends , and she's happy to oblige . 	only once does tony express real affection for her and his desire to have children , and even then you sense all he really wants is a regular screw and a beautiful object to show off to his friends , and she's happy to oblige .	3	-1	 only[0] once[0] does[0] tony[0] express[0] real[0] affection[2] for[0] her[0] and[0] his[0] desire[0] to[0] have[0] children[0] and[0] even[0] then[0] you[0] sense[0] all[0] he[0] really[0] wants[0] is[0] a[0] regular[0] screw[0] and[0] a[0] beautiful[2] object[0] to[0] show[0] off[0] to[0] his[0] friends[1] and[0] she's[0] happy[1] to[0] oblige[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this isn't as meaty a role for pfieffer as sharon stone's was in casino , but its an effective one nonetheless and she aquits herself well . 	this isn't as meaty a role for pfieffer as sharon stone's was in casino , but its an effective one nonetheless and she aquits herself well .	1	-1	 this[0] isn't[0] as[0] meaty[0] a[0] role[0] for[0] pfieffer[0] as[0] sharon[0] stone's[0] was[0] in[0] casino[0] but[0] its[0] an[0] effective[0] one[0] nonetheless[0] and[0] she[0] aquits[0] herself[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as director , de palma sets up a number of dramatic scenes with his typical stylistic brauva . 	as director , de palma sets up a number of dramatic scenes with his typical stylistic brauva .	1	-1	 as[0] director[0] de[0] palma[0] sets[0] up[0] a[0] number[0] of[0] dramatic[0] scenes[0] with[0] his[0] typical[0] stylistic[0] brauva[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the escalating tension he creates in various mob situations - a drug deal gone wrong , an assination attempt - is often thrilling , and in this respect he is every bit the equal of scorese and coppola . 	the escalating tension he creates in various mob situations - a drug deal gone wrong , an assination attempt - is often thrilling , and in this respect he is every bit the equal of scorese and coppola .	4	-3	 the[0] escalating[0] tension[-2] he[0] creates[0] in[0] various[0] mob[0] situations[0] a[0] drug[0] deal[0] gone[0] wrong[-1] an[0] assination[0] attempt[0] is[0] often[0] thrilling[3] and[0] in[0] this[0] respect[2] he[0] is[0] every[0] bit[0] the[0] equal[0] of[0] scorese[0] and[0] coppola[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
where he differs from , say , coppola's godfather trilogy is in his overall treatment . 	where he differs from , say , coppola's godfather trilogy is in his overall treatment .	1	-1	 where[0] he[0] differs[0] from[0] say[0] coppola's[0] godfather[0] trilogy[0] is[0] in[0] his[0] overall[0] treatment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
coppola gives his crime sagas an operatic sweep , whereas in scarface de palma opts for a grittier feel . 	coppola gives his crime sagas an operatic sweep , whereas in scarface de palma opts for a grittier feel .	1	-2	 coppola[0] gives[0] his[0] crime[-1] sagas[-1] an[0] operatic[0] sweep[0] whereas[0] in[0] scarface[0] de[0] palma[0] opts[0] for[0] a[0] grittier[0] feel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it perfectly suits the material . 	and it perfectly suits the material .	2	-1	 and[0] it[0] perfectly[1] suits[0] the[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only major botch is giorgio moroder's mostly crap synthesier score . 	the only major botch is giorgio moroder's mostly crap synthesier score .	1	-3	 the[0] only[0] major[0] botch[0] is[0] giorgio[0] moroder's[0] mostly[0] crap[-2] synthesier[0] score[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just not right , and unfortunately compromises the impact of some otherwise good scenes . 	it's just not right , and unfortunately compromises the impact of some otherwise good scenes .	2	-2	 it's[0] just[0] not[0] right[0] and[0] unfortunately[-1] compromises[0] the[0] impact[0] of[0] some[0] otherwise[0] good[1] scenes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as expected , scarface is very violent at times , but you shouldn't be watching gangster movies if that upsets you . 	as expected , scarface is very violent at times , but you shouldn't be watching gangster movies if that upsets you .	1	-4	 as[0] expected[0] scarface[0] is[0] very[0] violent[-2][-1 LastWordBoosterStrength] at[0] times[0] but[0] you[0] shouldn't[0] be[0] watching[0] gangster[0] movies[0] if[0] that[0] upsets[-2] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at over two and a half hours in length it's a true epic , and if you're a fan of the genre you'll love f * * k-filled minute of it . 	at over two and a half hours in length it's a true epic , and if you're a fan of the genre you'll love f * * k-filled minute of it .	3	-1	 at[0] over[0] two[0] and[0] a[0] half[0] hours[0] in[0] length[0] it's[0] a[0] true[1] epic[0] and[0] if[0] you're[0] a[0] fan[0] of[0] the[0] genre[0] you'll[0] love[2] f[0] k[0] filled[0] minute[0] of[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
