a frequent error is the categorization of a terrorist as a soldier or a common criminal . 	Translation	Positive	Negative	EmotionRationale
a soldier commits acts of violence sanctioned by one nation-state against another . 	a soldier commits acts of violence sanctioned by one nation-state against another .	1	-4	 a[0] soldier[0] commits[0] acts[0] of[0] violence[-3] sanctioned[0] by[0] one[0] nation[0] state[0] against[-1] another[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a common criminal commits acts of violence for personal gain . 	a common criminal commits acts of violence for personal gain .	1	-4	 a[0] common[0] criminal[-1] commits[0] acts[0] of[0] violence[-3] for[0] personal[0] gain[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a terrorist employs random violence as a means to a political end . 	a terrorist employs random violence as a means to a political end .	1	-4	 a[0] terrorist[-2] employs[0] random[0] violence[-3] as[0] a[0] means[0] to[0] a[0] political[0] end[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if the target nation does not affect the desired change in policy , the violence continues . 	if the target nation does not affect the desired change in policy , the violence continues .	1	-4	 if[0] the[0] target[0] nation[0] does[0] not[0] affect[0] the[0] desired[0] change[0] in[0] policy[0] the[0] violence[-3] continues[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is the fear resulting from the fact that the terrorist may strike at anyone ( even total innocents ) , anywhere , at anytime that gives the figure his label . 	it is the fear resulting from the fact that the terrorist may strike at anyone ( even total innocents ) , anywhere , at anytime that gives the figure his label .	3	-4	 it[0] is[0] the[0] fear[-3] resulting[0] from[0] the[0] fact[0] that[0] the[0] terrorist[-2] may[0] strike[-1][--1 LastWordBoosterStrength] at[0] anyone[0] even[0] total[0] innocents[1][1 LastWordBoosterStrength] anywhere[0] at[0] anytime[0] that[0] gives[0] the[0] figure[0] his[0] label[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
edward zwick's the siege explores the possibility of this kind of violence taking place right here in the united states . 	edward zwick's the siege explores the possibility of this kind of violence taking place right here in the united states .	2	-4	 edward[0] zwick's[0] the[0] siege[-1] explores[0] the[0] possibility[0] of[0] this[0] kind[1] of[0] violence[-3] taking[0] place[0] right[0] here[0] in[0] the[0] united[0] states[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
you'd think the opening bit was ripped right from the headlines . 	you'd think the opening bit was ripped right from the headlines .	1	-1	 you'd[0] think[0] the[0] opening[0] bit[0] was[0] ripped[0] right[0] from[0] the[0] headlines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arab terrorists kill american citizens abroad , and the u . s . responds by retaliating against the sheik whom supposedly ordered the attack . 	arab terrorists kill american citizens abroad , and the you .<br> s .<br> responds by retaliating against the sheik whom supposedly ordered the attack .	1	-3	 arab[0] terrorists[-2] kill[-1] american[0] citizens[0] abroad[0] and[0] the[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] responds[0] by[0] retaliating[-1] against[-1] the[0] sheik[0] whom[0] supposedly[0] ordered[0] the[0] attack[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , unlike the real-life tomahawk cruise missile strike against bin laden's camp and manufacturing facility , the film version depicts special operations troops kidnapping sheik ahmed bin talal . 	however , unlike the real-life tomahawk cruise missile strike against bin laden's camp and manufacturing facility , the film version depicts special operations troops kidnapping sheik ahmed bin talal .	2	-2	 however[0] unlike[0] the[0] real[0] life[0] tomahawk[0] cruise[0] missile[0] strike[-1] against[-1] bin[0] laden's[0] camp[0] and[0] manufacturing[0] facility[0] the[0] film[0] version[0] depicts[0] special[1] operations[0] troops[0] kidnapping[0] sheik[0] ahmed[0] bin[0] talal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in retaliation , the terrorists bring the fight to the new world . 	in retaliation , the terrorists bring the fight to the new world .	1	-3	 in[0] retaliation[-1] the[0] terrorists[-2] bring[0] the[0] fight[-2] to[0] the[0] new[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unwittingly involved is fbi assistant special agent-in-charge anthony hubbard ( denzel washington ) , who works out of the bureau's new york office at one federal plaza . 	unwittingly involved is fbi assistant special agent-in-charge anthony hubbard ( denzel washington ) , who works out of the bureau's new york office at one federal plaza .	2	-2	 unwittingly[0] involved[0] is[0] fbi[0] assistant[0] special[1] agent[0] in[0] charge[-1] anthony[0] hubbard[0] denzel[0] washington[0] who[0] works[0] out[0] of[0] the[0] bureau's[0] new[0] york[0] office[0] at[0] one[0] federal[0] plaza[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while investigating a series of bombings in the big apple , he encounters cia agent elise kraft ( annette bening ) , also trying to uncover information . 	while investigating a series of bombings in the big apple , he encounters cia agent elise kraft ( annette bening ) , also trying to uncover information .	1	-2	 while[0] investigating[0] a[0] series[0] of[0] bombings[-1] in[0] the[0] big[0] apple[0] he[0] encounters[0] cia[0] agent[0] elise[0] kraft[0] annette[0] bening[0] also[0] trying[0] to[0] uncover[0] information[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
generally , the fbi is charged with problems inside the u . s . , while the cia takes care of problems in the international realm . 	generally , the fbi is charged with problems inside the you .<br> s .<br> , while the cia takes care of problems in the international realm .	2	-2	 generally[0] the[0] fbi[0] is[0] charged[-1] with[0] problems[-1] inside[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] while[0] the[0] cia[0] takes[0] care[1] of[0] problems[-1] in[0] the[0] international[0] realm[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even spies from other countries are off limits to the cia as long as they are in our country . 	even spies from other countries are off limits to the cia as long as they are in our country .	1	-1	 even[0] spies[0] from[0] other[0] countries[0] are[0] off[0] limits[0] to[0] the[0] cia[0] as[0] long[0] as[0] they[0] are[0] in[0] our[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hubbard therefore finds it highly unusual that an agency spook is nosing around what he considers his territory , but as the two form a tentative professional relationship , hubbard becomes more and more aware of an increasingly complicated series of allegiances and possibly illegal actions involving terrorism and the united states government . 	hubbard therefore finds it highly unusual that an agency spook is nosing around what he considers his territory , but as the two form a tentative professional relationship , hubbard becomes more and more aware of an increasingly complicated series of allegiances and possibly illegal actions involving terrorism and the united states government .	1	-3	 hubbard[0] therefore[0] finds[0] it[0] highly[0] unusual[0] that[0] an[0] agency[0] spook[0] is[0] nosing[0] around[0] what[0] he[0] considers[0] his[0] territory[0] but[0] as[0] the[0] two[0] form[0] a[0] tentative[0] professional[0] relationship[0] hubbard[0] becomes[0] more[0] and[0] more[0] aware[0] of[0] an[0] increasingly[0] complicated[-1] series[0] of[0] allegiances[0] and[0] possibly[0] illegal[-1] actions[0] involving[0] terrorism[-2] and[0] the[0] united[0] states[0] government[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the original tagline for patriot games was , " there has never been a terrorist attack on american soil . " 	the original tagline for patriot games was , " there has never been a terrorist attack on american soil .<br> "	1	-4	 the[0] original[0] tagline[0] for[0] patriot[0] games[0] was[0] there[0] has[0] never[0] been[0] a[0] terrorist[-2] attack[-2][-1 MultiplePositiveWords] on[0] american[0] soil[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however true , it was pulled before the movie's release because it sounded too much like a dare . 	however true , it was pulled before the movie's release because it sounded too much like a dare .	2	-1	 however[0] true[1] it[0] was[0] pulled[0] before[0] the[0] movie's[0] release[0] because[0] it[0] sounded[0] too[0] much[0] like[1] a[0] dare[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
