field of dreams almost defies description . 	Translation	Positive	Negative	EmotionRationale
although it's about baseball , it's not a baseball movie . 	although it's about baseball , it's not a baseball movie .	1	-1	 although[0] it's[0] about[0] baseball[0] it's[0] not[0] a[0] baseball[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the film is extremely spiritual , it's not about religion . 	although the film is extremely spiritual , it's not about religion .	1	-1	 although[0] the[0] film[0] is[0] extremely[0] spiritual[0] it's[0] not[0] about[0] religion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and although field of dreams is melodramatic , it's not a tearjerker . 	and although field of dreams is melodramatic , it's not a tearjerker .	1	-2	 and[0] although[0] field[0] of[0] dreams[0] is[0] melodramatic[-1] it's[0] not[0] a[0] tearjerker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to really understand what field of dreams is all about , you have to see it . 	to really understand what field of dreams is all about , you have to see it .	1	-1	 to[0] really[0] understand[0] what[0] field[0] of[0] dreams[0] is[0] all[0] about[0] you[0] have[0] to[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the film , kevin costner plays ray kinsella , a baseball fan , '60s berkeley graduate , and iowa farmer . 	in the film , kevin costner plays ray kinsella , a baseball fan , '60s berkeley graduate , and iowa farmer .	2	-1	 in[0] the[0] film[0] kevin[0] costner[0] plays[1] ray[0] kinsella[0] a[0] baseball[0] fan[0] '60s[0] berkeley[0] graduate[0] and[0] iowa[0] farmer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one day as he is standing in the middle of his expansive corn fields , ray hears a voice ; it tells him : " if you build it , he will come . " 	one day as he is standing in the middle of his expansive corn fields , ray hears a voice ; it tells him : " if you build it , he will come .<br> "	1	-1	 one[0] day[0] as[0] he[0] is[0] standing[0] in[0] the[0] middle[0] of[0] his[0] expansive[0] corn[0] fields[0] ray[0] hears[0] a[0] voice[0] it[0] tells[0] him[0] if[0] you[0] build[0] it[0] he[0] will[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then ray has a vision and somehow concludes that if he builds a baseball field in the middle of his corn , shoeless joe jackson will arise from the dead to play ball once again . 	then ray has a vision and somehow concludes that if he builds a baseball field in the middle of his corn , shoeless joe jackson will arise from the dead to play ball once again .	1	-3	 then[0] ray[0] has[0] a[0] vision[0] and[0] somehow[0] concludes[0] that[0] if[0] he[0] builds[0] a[0] baseball[0] field[0] in[0] the[0] middle[0] of[0] his[0] corn[0] shoeless[0] joe[0] jackson[0] will[0] arise[0] from[0] the[0] dead[-2] to[0] play[0] ball[0] once[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and even though it depletes his family's savings and his neighbors think he's crazy , ray clears away the corn and builds a baseball field , complete with bleachers and flood lights . 	and even though it depletes his family's savings and his neighbors think he's crazy , ray clears away the corn and builds a baseball field , complete with bleachers and flood lights .	1	-2	 and[0] even[0] though[0] it[0] depletes[-1] his[0] family's[0] savings[0] and[0] his[0] neighbors[0] think[0] he's[0] crazy[-1] ray[0] clears[0] away[0] the[0] corn[0] and[0] builds[0] a[0] baseball[0] field[0] complete[0] with[0] bleachers[0] and[0] flood[0] lights[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " if you build it , he will come . " 	 " if you build it , he will come .<br> "	1	-1	 if[0] you[0] build[0] it[0] he[0] will[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and lo and behold , shoeless joe does come--bringing with him several of his dead teammates . 	and lo and behold , shoeless joe does come-bringing with him several of his dead teammates .	1	-3	 and[0] lo[0] and[0] behold[0] shoeless[0] joe[0] does[0] come[0] bringing[0] with[0] him[0] several[0] of[0] his[0] dead[-2] teammates[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
