time bandits , from director terry gilliam , is a very different fantasy action/adventure movie about a group of time-traveling dwarves , led by randall ( david rappaport ) , who have stolen a map of the universe . 	Translation	Positive	Negative	EmotionRationale
this map contains time hole , that , if exploited , enable the men to travel back and forth through time . 	this map contains time hole , that , if exploited , enable the men to travel back and forth through time .	1	-1	 this[0] map[0] contains[0] time[0] hole[0] that[0] if[0] exploited[0] enable[0] the[0] men[0] to[0] travel[0] back[0] and[0] forth[0] through[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supreme being of the universe ( ralph richardson ) is the former employer of these treasure-seeking bandits , and he wishes desperately to regain the map . . 	the supreme being of the universe ( ralph richardson ) is the former employer of these treasure-seeking bandits , and he wishes desperately to regain the map .<br> .	3	-3	 the[0] supreme[2] being[0] of[0] the[0] universe[0] ralph[0] richardson[0] is[0] the[0] former[0] employer[0] of[0] these[0] treasure[1] seeking[0] bandits[-1] and[0] he[0] wishes[0] desperately[-2] to[0] regain[0] the[0] map[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
during the travels , he appears as a ghostly face , demanding that they return the map that they have stolen . 	during the travels , he appears as a ghostly face , demanding that they return the map that they have stolen .	1	-2	 during[0] the[0] travels[0] he[0] appears[0] as[0] a[0] ghostly[0] face[0] demanding[0] that[0] they[0] return[0] the[0] map[0] that[0] they[0] have[0] stolen[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , according to randall , they are just " borrowing " it . 	but , according to randall , they are just " borrowing " it .	1	-1	 but[0] according[0] to[0] randall[0] they[0] are[0] just[0] borrowing[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin , a young boy who seems quite bored with his life , is unexpectedly brought into the schemes of the little men when they appear in his room , which has a portal for time traveling . 	kevin , a young boy who seems quite bored with his life , is unexpectedly brought into the schemes of the little men when they appear in his room , which has a portal for time traveling .	1	-2	 kevin[0] a[0] young[0] boy[0] who[0] seems[0] quite[0] bored[-1] with[0] his[0] life[0] is[0] unexpectedly[-1] brought[0] into[0] the[0] schemes[0] of[0] the[0] little[0] men[0] when[0] they[0] appear[0] in[0] his[0] room[0] which[0] has[0] a[0] portal[0] for[0] time[0] traveling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he joins up with the men and becomes part of their gang , following them on their robberies . 	he joins up with the men and becomes part of their gang , following them on their robberies .	1	-2	 he[0] joins[0] up[0] with[0] the[0] men[0] and[0] becomes[0] part[0] of[0] their[0] gang[0] following[0] them[0] on[0] their[0] robberies[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their first victim is napoleon ( ian holm ) , whom they rob during a battle that he is commanding . 	their first victim is napoleon ( ian holm ) , whom they rob during a battle that he is commanding .	1	-3	 their[0] first[0] victim[-2] is[0] napoleon[0] ian[0] holm[0] whom[0] they[0] rob[0] during[0] a[0] battle[-1] that[0] he[0] is[0] commanding[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from here , the group travels to the middle ages , meeting up with robin hood himself . 	from here , the group travels to the middle ages , meeting up with robin hood himself .	1	-1	 from[0] here[0] the[0] group[0] travels[0] to[0] the[0] middle[0] ages[0] meeting[0] up[0] with[0] robin[0] hood[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually , kevin is separated from the group and travels to an egyptian time where he is taken in by king agamemnon , played by sean connery . 	eventually , kevin is separated from the group and travels to an egyptian time where he is taken in by king agamemnon , played by sean connery .	1	-1	 eventually[0] kevin[0] is[0] separated[0] from[0] the[0] group[0] and[0] travels[0] to[0] an[0] egyptian[0] time[0] where[0] he[0] is[0] taken[0] in[0] by[0] king[0] agamemnon[0] played[0] by[0] sean[0] connery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin accidentally saved the king's life , and the king wishes to have kevin as his son . 	kevin accidentally saved the king's life , and the king wishes to have kevin as his son .	2	-2	 kevin[0] accidentally[-1] saved[1] the[0] king's[0] life[0] and[0] the[0] king[0] wishes[0] to[0] have[0] kevin[0] as[0] his[0] son[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the group of bandits find kevin and transport onto the deck of the titanic . 	but the group of bandits find kevin and transport onto the deck of the titanic .	1	-2	 but[0] the[0] group[0] of[0] bandits[-1] find[0] kevin[0] and[0] transport[0] onto[0] the[0] deck[0] of[0] the[0] titanic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , the evil genius ( david warner ) is watching the group from fortress of ultimate darkness , attempting to find a way in order to bring the men , and the map , to him . 	meanwhile , the evil genius ( david warner ) is watching the group from fortress of ultimate darkness , attempting to find a way in order to bring the men , and the map , to him .	1	-3	 meanwhile[0] the[0] evil[-2] genius[0] david[0] warner[0] is[0] watching[0] the[0] group[0] from[0] fortress[0] of[0] ultimate[0] darkness[0] attempting[0] to[0] find[0] a[0] way[0] in[0] order[0] to[0] bring[0] the[0] men[0] and[0] the[0] map[0] to[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when randall learns of the fortress of ultimate darkness , which supposedly contains " the most fabulous object in the world " , the dollar signs seemingly appear on his eyes , as he is convinced that they must travel there . 	when randall learns of the fortress of ultimate darkness , which supposedly contains " the most fabulous object in the world " , the dollar signs seemingly appear on his eyes , as he is convinced that they must travel there .	3	-1	 when[0] randall[0] learns[0] of[0] the[0] fortress[0] of[0] ultimate[0] darkness[0] which[0] supposedly[0] contains[0] the[0] most[0] fabulous[2] object[0] in[0] the[0] world[0] the[0] dollar[0] signs[0] seemingly[0] appear[0] on[0] his[0] eyes[0] as[0] he[0] is[0] convinced[0] that[0] they[0] must[0] travel[0] there[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
once inside the fortress of ultimate darkness , it is unclear as to if any of the men will make it out alive . 	once inside the fortress of ultimate darkness , it is unclear as to if any of the men will make it out alive .	1	-2	 once[0] inside[0] the[0] fortress[0] of[0] ultimate[0] darkness[0] it[0] is[0] unclear[-1] as[0] to[0] if[0] any[0] of[0] the[0] men[0] will[0] make[0] it[0] out[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
time bandits is a fantastically made film that caters to the imagination of anyone . 	time bandits is a fantastically made film that caters to the imagination of anyone .	1	-2	 time[0] bandits[-1] is[0] a[0] fantastically[0] made[0] film[0] that[0] caters[0] to[0] the[0] imagination[0] of[0] anyone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with a terrific soundtrack , courtesy of george harrison , whom also was an executive producer , time bandits is sure to be a very surrealistic , time-traveling adventure with unforgettable characters that is sure to entertain anyone . 	with a terrific soundtrack , courtesy of george harrison , whom also was an executive producer , time bandits is sure to be a very surrealistic , time-traveling adventure with unforgettable characters that is sure to entertain anyone .	4	-2	 with[0] a[0] terrific[3] soundtrack[0] courtesy[0] of[0] george[0] harrison[0] whom[0] also[0] was[0] an[0] executive[0] producer[0] time[0] bandits[-1] is[0] sure[0] to[0] be[0] a[0] very[0] surrealistic[0] time[0] traveling[0] adventure[0] with[0] unforgettable[0] characters[0] that[0] is[0] sure[0] to[0] entertain[0] anyone[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
terry gilliam , however , does not utilize that greatly his trademark ability in moviemaking during this film , although this does not affect the film that greatly . 	terry gilliam , however , does not utilize that greatly his trademark ability in moviemaking during this film , although this does not affect the film that greatly .	3	-1	 terry[0] gilliam[0] however[0] does[0] not[0] utilize[0] that[0] greatly[2] his[0] trademark[0] ability[0] in[0] moviemaking[0] during[0] this[0] film[0] although[0] this[0] does[0] not[0] affect[0] the[0] film[0] that[0] greatly[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and finally , if you liked labyrinth , you'll love time bandits . 	and finally , if you liked labyrinth , you'll love time bandits .	3	-2	 and[0] finally[0] if[0] you[0] liked[2] labyrinth[0] you'll[0] love[2] time[0] bandits[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
