big courtroom thrillers have always captivated america . 	Translation	Positive	Negative	EmotionRationale
o . j . 	o .<br> j .	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simpson , tom capano , the menendez brothers . 	simpson , tom capano , the menendez brothers .	1	-1	 simpson[0] tom[0] capano[0] the[0] menendez[0] brothers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all these names are synonymous to americans and courtrooms . 	all these names are synonymous to americans and courtrooms .	1	-1	 all[0] these[0] names[0] are[0] synonymous[0] to[0] americans[0] and[0] courtrooms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , of course , courtroom dramas are not a new topic to hollywood . 	and , of course , courtroom dramas are not a new topic to hollywood .	1	-1	 and[0] of[0] course[0] courtroom[0] dramas[0] are[0] not[0] a[0] new[0] topic[0] to[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether it be john grisham's thrilling novels or television's famous dramas , the courtroom has always provided big bucks . 	whether it be john grisham's thrilling novels or television's famous dramas , the courtroom has always provided big bucks .	4	-1	 whether[0] it[0] be[0] john[0] grisham's[0] thrilling[3] novels[0] or[0] television's[0] famous[0] dramas[0] the[0] courtroom[0] has[0] always[0] provided[0] big[0] bucks[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
so when i rented a civil action , i was expecting the film to be like the rainmaker , a brilliant law film that kept viewers on the edge of their seat . 	so when i rented a civil action , i was expecting the film to be like the rainmaker , a brilliant law film that kept viewers on the edge of their seat .	2	-1	 so[0] when[0] i[0] rented[0] a[0] civil[0] action[0] i[0] was[0] expecting[0] the[0] film[0] to[0] be[0] like[1] the[0] rainmaker[0] a[0] brilliant[1] law[0] film[0] that[0] kept[0] viewers[0] on[0] the[0] edge[0] of[0] their[0] seat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , what i saw in a civil action was far different from what i expected , a major surprise , but fortunately , a pleasant one . 	however , what i saw in a civil action was far different from what i expected , a major surprise , but fortunately , a pleasant one .	3	-1	 however[0] what[0] i[0] saw[0] in[0] a[0] civil[0] action[0] was[0] far[0] different[0] from[0] what[0] i[0] expected[0] a[0] major[0] surprise[0] but[0] fortunately[0] a[0] pleasant[2] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
john travolta always seems to come up big when you least expect it . 	john travolta always seems to come up big when you least expect it .	1	-1	 john[0] travolta[0] always[0] seems[0] to[0] come[0] up[0] big[0] when[0] you[0] least[0] expect[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one expected him to light up the screen in grease , nor in saturday night fever . 	no one expected him to light up the screen in grease , nor in saturday night fever .	1	-2	 no[0] one[0] expected[0] him[0] to[0] light[0] up[0] the[0] screen[0] in[0] grease[0] nor[0] in[0] saturday[0] night[0] fever[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , whenever he gets knocked down , he always seems to come back fighting . 	but , whenever he gets knocked down , he always seems to come back fighting .	1	-3	 but[0] whenever[0] he[0] gets[0] knocked[0] down[0] he[0] always[0] seems[0] to[0] come[0] back[0] fighting[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a civil action is not john's best performance , but a strong one that could rival any performance in 1998 . 	a civil action is not john's best performance , but a strong one that could rival any performance in 1998 .	1	-2	 a[0] civil[0] action[0] is[0] not[0] john's[0] best[1][NegatedDueToPreviousWord] performance[0] but[0] a[0] strong[0] one[0] that[0] could[0] rival[-1][--1 LastWordBoosterStrength] any[0] performance[0] in[0] 1998[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
travolta proves that a normal and believable performance can vault a film into oscar nominations . 	travolta proves that a normal and believable performance can vault a film into oscar nominations .	1	-1	 travolta[0] proves[0] that[0] a[0] normal[0] and[0] believable[0] performance[0] can[0] vault[0] a[0] film[0] into[0] oscar[0] nominations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his performance is not flashy , nor memorable , just solid . 	his performance is not flashy , nor memorable , just solid .	1	-1	 his[0] performance[0] is[0] not[0] flashy[0] nor[0] memorable[0] just[0] solid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if he delivered the only solid performance , this film would still be average . 	if he delivered the only solid performance , this film would still be average .	1	-1	 if[0] he[0] delivered[0] the[0] only[0] solid[0] performance[0] this[0] film[0] would[0] still[0] be[0] average[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luckily , he has a strong supporting cast . 	luckily , he has a strong supporting cast .	3	-1	 luckily[2] he[0] has[0] a[0] strong[0] supporting[1] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
william h . macy is probably one of the most underrated actors in hollywood . 	william h .<br> macy is probably one of the most underrated actors in hollywood .	1	-1	 william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] is[0] probably[0] one[0] of[0] the[0] most[0] underrated[0] actors[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he continues to deliver great performances one after the other , but he is still regarded as a secondary actor . 	he continues to deliver great performances one after the other , but he is still regarded as a secondary actor .	3	-1	 he[0] continues[0] to[0] deliver[0] great[2] performances[0] one[0] after[0] the[0] other[0] but[0] he[0] is[0] still[0] regarded[0] as[0] a[0] secondary[0] actor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in a civil action , he delivers yet another great performance as travolta's paranoid and greedy accountant . 	in a civil action , he delivers yet another great performance as travolta's paranoid and greedy accountant .	3	-3	 in[0] a[0] civil[0] action[0] he[0] delivers[0] yet[0] another[0] great[2] performance[0] as[0] travolta's[0] paranoid[-2] and[0] greedy[-2] accountant[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he is not a lovable character , but a character who stands out in your mind whenever you think of the film . 	he is not a lovable character , but a character who stands out in your mind whenever you think of the film .	1	-1	 he[0] is[0] not[0] a[0] lovable[0] character[0] but[0] a[0] character[0] who[0] stands[0] out[0] in[0] your[0] mind[0] whenever[0] you[0] think[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is not one of the big time lawyers , just a measly accountant . 	he is not one of the big time lawyers , just a measly accountant .	1	-1	 he[0] is[0] not[0] one[0] of[0] the[0] big[0] time[0] lawyers[0] just[0] a[0] measly[0] accountant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , he delivers one of the best supporting roles of 1998 , but there is actually someone better in a civil action . 	but , he delivers one of the best supporting roles of 1998 , but there is actually someone better in a civil action .	2	-1	 but[0] he[0] delivers[0] one[0] of[0] the[0] best[1] supporting[1] roles[0] of[0] 1998[0] but[0] there[0] is[0] actually[0] someone[0] better[0] in[0] a[0] civil[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robert duvall is also an underrated actor . 	robert duvall is also an underrated actor .	1	-1	 robert[0] duvall[0] is[0] also[0] an[0] underrated[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
