renown surrealist director , the 77-year-old frenchman alain resnais ( hiroshima , mon amour/last year at marienbad/m ? lo ) , has created a lighthearted musical played as an homage to britisher dennis potter and his pennies from heaven ( 1978 tv serial , 1981 movie ) and the singing detective ( 1986 ) . 	Translation	Positive	Negative	EmotionRationale
the film follows potter's gimmicky style of having the characters jump into lip-synched old or contemporary french pop songs to express their private thoughts . 	the film follows potter's gimmicky style of having the characters jump into lip-synched old or contemporary french pop songs to express their private thoughts .	1	-1	 the[0] film[0] follows[0] potter's[0] gimmicky[0] style[0] of[0] having[0] the[0] characters[0] jump[0] into[0] lip[0] synched[0] old[0] or[0] contemporary[0] french[0] pop[0] songs[0] to[0] express[0] their[0] private[0] thoughts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also follows the kind of sweet and colorful musicals his fellow countryman jacques demy loved to direct , such as " the umbrellas of cherbourg " and " the young girls of rochefort . " 	he also follows the kind of sweet and colorful musicals his fellow countryman jacques demy loved to direct , such as " the umbrellas of cherbourg " and " the young girls of rochefort .<br> "	4	-1	 he[0] also[0] follows[0] the[0] kind[1] of[0] sweet[1] and[0] colorful[0] musicals[0] his[0] fellow[0] countryman[0] jacques[0] demy[0] loved[3] to[0] direct[0] such[0] as[0] the[0] umbrellas[0] of[0] cherbourg[0] and[0] the[0] young[0] girls[0] of[0] rochefort[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the tale has resnais's unique touches as a director to go along with his homage . 	the tale has resnais's unique touches as a director to go along with his homage .	1	-1	 the[0] tale[0] has[0] resnais's[0] unique[0] touches[0] as[0] a[0] director[0] to[0] go[0] along[0] with[0] his[0] homage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a satire about class differences and falling in love with the wrong person , and that there is a song in everyone's heart for every occasion . 	it is a satire about class differences and falling in love with the wrong person , and that there is a song in everyone's heart for every occasion .	3	-2	 it[0] is[0] a[0] satire[0] about[0] class[0] differences[0] and[0] falling[0] in[0] love[2] with[0] the[0] wrong[-1] person[0] and[0] that[0] there[0] is[0] a[0] song[0] in[0] everyone's[0] heart[0] for[0] every[0] occasion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what hinders this production is that the stars are not portraying particularly engaging characters , the songs are not memorable and stand little chance of being recognized by an american audience ( the exceptions might be the edith piaf and maurice chevalier numbers ) , and the farce seems more banal than daring . 	what hinders this production is that the stars are not portraying particularly engaging characters , the songs are not memorable and stand little chance of being recognized by an american audience ( the exceptions might be the edith piaf and maurice chevalier numbers ) , and the farce seems more banal than daring .	1	-2	 what[0] hinders[0] this[0] production[0] is[0] that[0] the[0] stars[0] are[0] not[0] portraying[0] particularly[0] engaging[0] characters[0] the[0] songs[0] are[0] not[0] memorable[0] and[0] stand[0] little[0] chance[0] of[0] being[0] recognized[0] by[0] an[0] american[0] audience[0] the[0] exceptions[0] might[0] be[0] the[0] edith[0] piaf[0] and[0] maurice[0] chevalier[0] numbers[0] and[0] the[0] farce[-1] seems[0] more[0] banal[-1] than[0] daring[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet it is not without its striking moments and charms , such as when jane birkin does a cameo and sings one of her own songs . 	yet it is not without its striking moments and charms , such as when jane birkin does a cameo and sings one of her own songs .	2	-1	 yet[0] it[0] is[0] not[0] without[0] its[0] striking[0] moments[0] and[0] charms[1] such[0] as[0] when[0] jane[0] birkin[0] does[0] a[0] cameo[0] and[0] sings[0] one[0] of[0] her[0] own[0] songs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , the glossy amberlike photography added a very french romantic feeling to the story , while the mood of paris as being a place for love to flourish above all else , which has always been embellished in movie lore , comes through with flying colors . 	also , the glossy amberlike photography added a very french romantic feeling to the story , while the mood of paris as being a place for love to flourish above all else , which has always been embellished in movie lore , comes through with flying colors .	4	-1	 also[0] the[0] glossy[0] amberlike[0] photography[0] added[0] a[0] very[0] french[0] romantic[3] feeling[0] to[0] the[0] story[0] while[0] the[0] mood[0] of[0] paris[0] as[0] being[0] a[0] place[0] for[0] love[2] to[0] flourish[0] above[0] all[0] else[0] which[0] has[0] always[0] been[0] embellished[0] in[0] movie[0] lore[0] comes[0] through[0] with[0] flying[0] colors[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it also does a good job of showing you the way paris is in the 1990s and in the way ordinary people exist there . 	it also does a good job of showing you the way paris is in the 1990s and in the way ordinary people exist there .	2	-1	 it[0] also[0] does[0] a[0] good[1] job[0] of[0] showing[0] you[0] the[0] way[0] paris[0] is[0] in[0] the[0] 1990s[0] and[0] in[0] the[0] way[0] ordinary[0] people[0] exist[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it tells the romantic story of six parisians who become intertwined with each other in their ordinary lives as they search for happiness . 	it tells the romantic story of six parisians who become intertwined with each other in their ordinary lives as they search for happiness .	4	-1	 it[0] tells[0] the[0] romantic[3] story[0] of[0] six[0] parisians[0] who[0] become[0] intertwined[0] with[0] each[0] other[0] in[0] their[0] ordinary[0] lives[0] as[0] they[0] search[0] for[0] happiness[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they are the attractive sisters odile ( sabine az ? ma ) and camille ( agnes jaoui ) , with the older businesswoman odile married and decidedly set on a bourgeois life of material comforts . 	they are the attractive sisters odile ( sabine az ?<br> ma ) and camille ( agnes jaoui ) , with the older businesswoman odile married and decidedly set on a bourgeois life of material comforts .	2	-1	 they[0] are[0] the[0] attractive[1] sisters[0] odile[0] sabine[0] az[0] [[Sentence=-1,2=word max, 1-5]] ma[0] and[0] camille[0] agnes[0] jaoui[0] with[0] the[0] older[0] businesswoman[0] odile[0] married[0] and[0] decidedly[0] set[0] on[0] a[0] bourgeois[0] life[0] of[0] material[0] comforts[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is married to the glum and laconic claude ( pierre arditi ) . 	she is married to the glum and laconic claude ( pierre arditi ) .	1	-3	 she[0] is[0] married[0] to[0] the[0] glum[-2] and[0] laconic[0] claude[0] pierre[0] arditi[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she once went out with a businessman , nicolas ( jean-pierre bacri ) , who left her 8-years ago and now shows up in paris and asks her help to find someone to rent a flat for his family . 	she once went out with a businessman , nicolas ( jean-pierre bacri ) , who left her 8-years ago and now shows up in paris and asks her help to find someone to rent a flat for his family .	1	-1	 she[0] once[0] went[0] out[0] with[0] a[0] businessman[0] nicolas[0] jean[0] pierre[0] bacri[0] who[0] left[0] her[0] 8[0] years[0] ago[0] and[0] now[0] shows[0] up[0] in[0] paris[0] and[0] asks[0] her[0] help[0] to[0] find[0] someone[0] to[0] rent[0] a[0] flat[0] for[0] his[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simon ( andre dussolier ) works as a real-estate salesman and is trying to find nicolas a flat , in his spare time he writes radio plays . 	simon ( andre dussolier ) works as a real-estate salesman and is trying to find nicolas a flat , in his spare time he writes radio plays .	2	-1	 simon[0] andre[0] dussolier[0] works[0] as[0] a[0] real[0] estate[0] salesman[0] and[0] is[0] trying[0] to[0] find[0] nicolas[0] a[0] flat[0] in[0] his[0] spare[0] time[0] he[0] writes[0] radio[0] plays[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
simon's boss is the much younger , unscrupulous and arrogant marc duveyrier ( lambert wilson ) , who inherited the firm from his father and is the real-estate agent selling a more luxurious and larger flat with a better view to odile , but fails to tell her that a building project is going up soon that will block her view . 	simon's boss is the much younger , unscrupulous and arrogant marc duveyrier ( lambert wilson ) , who inherited the firm from his father and is the real-estate agent selling a more luxurious and larger flat with a better view to odile , but fails to tell her that a building project is going up soon that will block her view .	1	-3	 simon's[0] boss[0] is[0] the[0] much[0] younger[0] unscrupulous[-1] and[0] arrogant[-2] marc[0] duveyrier[0] lambert[0] wilson[0] who[0] inherited[0] the[0] firm[0] from[0] his[0] father[0] and[0] is[0] the[0] real[0] estate[0] agent[0] selling[0] a[0] more[0] luxurious[0] and[0] larger[0] flat[0] with[0] a[0] better[0] view[0] to[0] odile[0] but[0] fails[-2] to[0] tell[0] her[0] that[0] a[0] building[0] project[0] is[0] going[0] up[0] soon[0] that[0] will[0] block[-1] her[0] view[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
screenwriters and actors jean-pierre bacri and agnes jaoui wrote themselves the best parts . 	screenwriters and actors jean-pierre bacri and agnes jaoui wrote themselves the best parts .	2	-1	 screenwriters[0] and[0] actors[0] jean[0] pierre[0] bacri[0] and[0] agnes[0] jaoui[0] wrote[0] themselves[0] the[0] best[1] parts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jaoui's camille is a university scholar finishing up a ph . d . 	jaoui's camille is a university scholar finishing up a ph .<br> d .	1	-1	 jaoui's[0] camille[0] is[0] a[0] university[0] scholar[0] finishing[0] up[0] a[0] ph[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in history , using for her thesis the study of 'the yeomen in the year 1000 at lake paladru . ' 	in history , using for her thesis the study of 'the yeomen in the year 100 at lake paladru .<br> '	1	-1	 in[0] history[0] using[0] for[0] her[0] thesis[0] the[0] study[0] of[0] 'the[0] yeomen[0] in[0] the[0] year[0] 1000/100[0] at[0] lake[0] paladru[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she works as a tour guide in the meantime and suffers from panic attacks , even though she appears to have outwardly perfect self-control . 	she works as a tour guide in the meantime and suffers from panic attacks , even though she appears to have outwardly perfect self-control .	2	-4	 she[0] works[0] as[0] a[0] tour[0] guide[0] in[0] the[0] meantime[0] and[0] suffers[-3] from[0] panic[-2] attacks[-2][-1 MultiplePositiveWords] even[0] though[0] she[0] appears[0] to[0] have[0] outwardly[0] perfect[1] self[0] control[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on her tours for the last four years has been the much older simon , pretending to be doing research for his plays but really attracted to her , but not having the nerve to tell her this . 	on her tours for the last four years has been the much older simon , pretending to be doing research for his plays but really attracted to her , but not having the nerve to tell her this .	3	-1	 on[0] her[0] tours[0] for[0] the[0] last[0] four[0] years[0] has[0] been[0] the[0] much[0] older[0] simon[0] pretending[0] to[0] be[0] doing[0] research[0] for[0] his[0] plays[1] but[0] really[0] attracted[1][1 LastWordBoosterStrength] to[0] her[0] but[0] not[0] having[0] the[0] nerve[0] to[0] tell[0] her[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to his dismay , he finds out she is dating his mean-spirited but handsome boss , whom she meets when looking at her sister's new place and seeing him crying but not realizing that it was from a cold , not because he's so sensitive . 	to his dismay , he finds out she is dating his mean-spirited but handsome boss , whom she meets when looking at her sister's new place and seeing him crying but not realizing that it was from a cold , not because he's so sensitive .	2	-4	 to[0] his[0] dismay[-2] he[0] finds[0] out[0] she[0] is[0] dating[0] his[0] mean[0] spirited[0] but[0] handsome[1] boss[0] whom[0] she[0] meets[0] when[0] looking[0] at[0] her[0] sister's[0] new[0] place[0] and[0] seeing[0] him[0] crying[-3] but[0] not[0] realizing[0] that[0] it[0] was[0] from[0] a[0] cold[-1] not[0] because[0] he's[0] so[0] sensitive[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
bacri as the classy nicolas , turns out to be now working as a chauffeur . 	bacri as the classy nicolas , turns out to be now working as a chauffeur .	1	-1	 bacri[0] as[0] the[0] classy[0] nicolas[0] turns[0] out[0] to[0] be[0] now[0] working[0] as[0] a[0] chauffeur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is a hypochondriac with a history of depression who visits many doctors , until he finds one who tells him there is nothing wrong with him . 	he is a hypochondriac with a history of depression who visits many doctors , until he finds one who tells him there is nothing wrong with him .	1	-4	 he[0] is[0] a[0] hypochondriac[-1] with[0] a[0] history[0] of[0] depression[-3] who[0] visits[0] many[0] doctors[0] until[0] he[0] finds[0] one[0] who[0] tells[0] him[0] there[0] is[0] nothing[0] wrong[-1] with[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
odile still pines for him , but he's married , telling her he expects his wife to arrive shortly . 	odile still pines for him , but he's married , telling her he expects his wife to arrive shortly .	1	-1	 odile[0] still[0] pines[0] for[0] him[0] but[0] he's[0] married[0] telling[0] her[0] he[0] expects[0] his[0] wife[0] to[0] arrive[0] shortly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
love is 'the same old song' that makes the world go 'round , even when all the characters are liars and not exactly open to what their true motives are . 	love is 'the same old song' that makes the world go 'round , even when all the characters are liars and not exactly open to what their true motives are .	3	-3	 love[2] is[0] 'the[0] same[0] old[0] song'[0] that[0] makes[0] the[0] world[0] go[0] 'round[0] even[0] when[0] all[0] the[0] characters[0] are[0] liars[-2] and[0] not[0] exactly[0] open[0] to[0] what[0] their[0] true[1] motives[0] are[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
everything comes together in a bourgeois housewarming party for odile's place , as the characters reveal their true feelings and all their deceptions and neurotic impulses are either uncovered or about to be . 	everything comes together in a bourgeois housewarming party for odile's place , as the characters reveal their true feelings and all their deceptions and neurotic impulses are either uncovered or about to be .	2	-3	 everything[0] comes[0] together[0] in[0] a[0] bourgeois[0] housewarming[0] party[0] for[0] odile's[0] place[0] as[0] the[0] characters[0] reveal[0] their[0] true[1] feelings[0] and[0] all[0] their[0] deceptions[-1] and[0] neurotic[-2] impulses[0] are[0] either[0] uncovered[0] or[0] about[0] to[0] be[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's not a lot of bite to this satirical musical , but resnais has never made a bad film and is one of the best current french directors , if not the best . 	there's not a lot of bite to this satirical musical , but resnais has never made a bad film and is one of the best current french directors , if not the best .	2	-2	 there's[0] not[0] a[0] lot[0] of[0] bite[0] to[0] this[0] satirical[0] musical[0] but[0] resnais[0] has[0] never[0] made[0] a[0] bad[-1] film[0] and[0] is[0] one[0] of[0] the[0] best[1] current[0] french[0] directors[0] if[0] not[0] the[0] best[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film is not one his great ones , but it still has enough pep in its light touches to be interesting . 	this film is not one his great ones , but it still has enough pep in its light touches to be interesting .	3	-1	 this[0] film[0] is[0] not[0] one[0] his[0] great[2] ones[0] but[0] it[0] still[0] has[0] enough[0] pep[0] in[0] its[0] light[0] touches[0] to[0] be[0] interesting[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it not only has an odd way for the characters to break into song but -- some males even sing in a female voice while some females sing in a male voice . 	it not only has an odd way for the characters to break into song but - some males even sing in a female voice while some females sing in a male voice .	1	-1	 it[0] not[0] only[0] has[0] an[0] odd[0] way[0] for[0] the[0] characters[0] to[0] break[0] into[0] song[0] but[0] some[0] males[0] even[0] sing[0] in[0] a[0] female[0] voice[0] while[0] some[0] females[0] sing[0] in[0] a[0] male[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
