if you've ever perused my college comedy diary " another year in the life of a nerd " ( i never run out of cheap plugs ) , you know i didn't get along with my first-semester roommate too well . 	Translation	Positive	Negative	EmotionRationale
in fact , during the three-week period between thanksgiving and christmas break , i said a total of four sentences to him . 	in fact , during the three-week period between thanksgiving and christmas break , i said a total of four sentences to him .	1	-1	 in[0] fact[0] during[0] the[0] three[0] week[0] period[0] between[0] thanksgiving[0] and[0] christmas[0] break[0] i[0] said[0] a[0] total[0] of[0] four[0] sentences[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so when i saw in the residence hall cable listings a movie called roommates , i envisioned 90 minutes of conflict between a couple of bickering young adults trapped in a 10 x 13 foot dorm room . 	so when i saw in the residence hall cable listings a movie called roommates , i envisioned 90 minutes of conflict between a couple of bickering young adults trapped in a 10 x 13 foot dorm room .	2	-2	 so[0] when[0] i[0] saw[0] in[0] the[0] residence[0] hall[0] cable[0] listings[0] a[0] movie[0] called[0] roommates[0] i[0] envisioned[0] 90[0] minutes[0] of[0] conflict[-1] between[0] a[0] couple[0] of[0] bickering[0] young[0] adults[0] trapped[0] in[0] a[0] 10[0] x[1] 13[0] foot[0] dorm[0] room[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then i saw that the star of roommates is peter falk . 	then i saw that the star of roommates is peter falk .	1	-1	 then[0] i[0] saw[0] that[0] the[0] star[0] of[0] roommates[0] is[0] peter[0] falk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scratch that idea . 	scratch that idea .	1	-1	 scratch[0] that[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i still say someone should film the story of two college roommates whose relationship is less than ideal . 	but i still say someone should film the story of two college roommates whose relationship is less than ideal .	1	-1	 but[0] i[0] still[0] say[0] someone[0] should[0] film[0] the[0] story[0] of[0] two[0] college[0] roommates[0] whose[0] relationship[0] is[0] less[0] than[0] ideal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , in my case it would be a silent picture . 	of course , in my case it would be a silent picture .	1	-1	 of[0] course[0] in[0] my[0] case[0] it[0] would[0] be[0] a[0] silent[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even without the college element , i still decided to watch roommates because i had absolutely nothing to do , unless you count studying for final exams ( and who does ? ) . 	even without the college element , i still decided to watch roommates because i had absolutely nothing to do , unless you count studying for final exams ( and who does ?<br> ) .	1	-1	 even[0] without[0] the[0] college[0] element[0] i[0] still[0] decided[0] to[0] watch[0] roommates[0] because[0] i[0] had[0] absolutely[0] nothing[0] to[0] do[0] unless[0] you[0] count[0] studying[0] for[0] final[0] exams[0] and[0] who[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm glad i did . 	i'm glad i did .	2	-1	 i'm[0] glad[1] i[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
peter falk's performance was actually what made the movie . 	peter falk's performance was actually what made the movie .	1	-1	 peter[0] falk's[0] performance[0] was[0] actually[0] what[0] made[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this is a guy i never considered a real actor , more like someone who went around in a trenchcoat solving prescripted mysteries . 	and this is a guy i never considered a real actor , more like someone who went around in a trenchcoat solving prescripted mysteries .	2	-1	 and[0] this[0] is[0] a[0] guy[0] i[0] never[0] considered[0] a[0] real[0] actor[0] more[0] like[1] someone[0] who[0] went[0] around[0] in[0] a[0] trenchcoat[0] solving[0] prescripted[0] mysteries[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
falk pleasantly surprised me here , permanently earning my respect , so all you " columbo " fans who think i live to insult the guy can just falk off . 	falk pleasantly surprised me here , permanently earning my respect , so all you " columbo " fans who think i live to insult the guy can just falk off .	3	-3	 falk[0] pleasantly[2] surprised[0] me[0] here[0] permanently[0] earning[0] my[0] respect[2] so[0] all[0] you[0] columbo[0] fans[0] who[0] think[0] i[0] live[0] to[0] insult[-2] the[0] guy[0] can[0] just[0] falk[0] off[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
falk plays rocky , a 107-year-old polish baker who raises his grandson after both the kid's parents die . 	falk plays rocky , a 107-year-old polish baker who raises his grandson after both the kid's parents die .	2	-1	 falk[0] plays[1] rocky[0] a[0] 107[0] year[0] old[0] polish[0] baker[0] who[0] raises[0] his[0] grandson[0] after[0] both[0] the[0] kid's[0] parents[0] die[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie begins with the mom's death and the son moving in with his grandparents . 	the movie begins with the mom's death and the son moving in with his grandparents .	1	-3	 the[0] movie[0] begins[0] with[0] the[0] mom's[0] death[-2] and[0] the[0] son[0] moving[0] in[0] with[0] his[0] grandparents[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a couple stops along the son's journey to manhood , roommates progresses to the present day , with the grandson a surgeon and rocky in a condemned house he refuses to leave . 	after a couple stops along the son's journey to manhood , roommates progresses to the present day , with the grandson a surgeon and rocky in a condemned house he refuses to leave .	1	-2	 after[0] a[0] couple[0] stops[0] along[0] the[0] son's[0] journey[0] to[0] manhood[0] roommates[0] progresses[0] to[0] the[0] present[0] day[0] with[0] the[0] grandson[0] a[0] surgeon[0] and[0] rocky[0] in[0] a[0] condemned[-1] house[0] he[0] refuses[-1] to[0] leave[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the surgeon reluctantly offers the only possible solution -- rocky will have to move into his place , the basement of a building rented by a group of chinese students ( " communists ! " ) . 	the surgeon reluctantly offers the only possible solution - rocky will have to move into his place , the basement of a building rented by a group of chinese students ( " communists !<br> " ) .	1	-2	 the[0] surgeon[0] reluctantly[-1] offers[0] the[0] only[0] possible[0] solution[0] rocky[0] will[0] have[0] to[0] move[0] into[0] his[0] place[0] the[0] basement[0] of[0] a[0] building[0] rented[0] by[0] a[0] group[0] of[0] chinese[0] students[0] communists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie spans nine more years of rocky's relationship with his grandson , and the trials posed when the grandson meets and falls in love with--gasp--a woman , and starts spending all his time with her . 	the movie spans nine more years of rocky's relationship with his grandson , and the trials posed when the grandson meets and falls in love with-gasp-a woman , and starts spending all his time with her .	3	-1	 the[0] movie[0] spans[0] nine[0] more[0] years[0] of[0] rocky's[0] relationship[0] with[0] his[0] grandson[0] and[0] the[0] trials[0] posed[0] when[0] the[0] grandson[0] meets[0] and[0] falls[0] in[0] love[2] with[0] gasp[0] a[0] woman[0] and[0] starts[0] spending[0] all[0] his[0] time[0] with[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so , in his grandson's absence , rocky turns his pursuits to professional boxing , achieveing the world heavyweight title in a climactic fight with apollo creed . . . 	so , in his grandson's absence , rocky turns his pursuits to professional boxing , achieveing the world heavyweight title in a climactic fight with apollo creed .<br> .<br> .	1	-3	 so[0] in[0] his[0] grandson's[0] absence[-1] rocky[0] turns[0] his[0] pursuits[0] to[0] professional[0] boxing[0] achieveing[0] the[0] world[0] heavyweight[0] title[0] in[0] a[0] climactic[0] fight[-2] with[0] apollo[0] creed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or am i confusing movie plots again ? 	or am i confusing movie plots again ?	1	-2	 or[0] am[0] i[0] confusing[-1] movie[0] plots[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
