bruce willis stars as malcolm , an award winning child psychologist who discovers one night that one of his former patients is still suffering from inner demons . 	Translation	Positive	Negative	EmotionRationale
the now grown man breaks into his apartment while he and his wife ( olivia williams from rushmore ) are celebrating his award , shoots malcolm in the stomach , then takes his own life . 	the now grown man breaks into his apartment while he and his wife ( olivia williams from rushmore ) are celebrating his award , shoots malcolm in the stomach , then takes his own life .	2	-2	 the[0] now[0] grown[0] man[0] breaks[0] into[0] his[0] apartment[0] while[0] he[0] and[0] his[0] wife[0] olivia[0] williams[0] from[0] rushmore[0] are[0] celebrating[1] his[0] award[0] shoots[-1] malcolm[0] in[0] the[0] stomach[0] then[0] takes[0] his[0] own[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
almost nine months later , malcolm discovers cole ( haley joel osment , in a brilliant performance ) , another young man afflicted with the same turmoil as his former patient . 	almost nine months later , malcolm discovers cole ( haley joel osment , in a brilliant performance ) , another young man afflicted with the same turmoil as his former patient .	2	-3	 almost[0] nine[0] months[0] later[0] malcolm[0] discovers[0] cole[0] haley[0] joel[0] osment[0] in[0] a[0] brilliant[1] performance[0] another[0] young[0] man[0] afflicted[-2] with[0] the[0] same[0] turmoil[-2] as[0] his[0] former[0] patient[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he takes on the child's case in the hope of redeeming himself for botching up the previous one , alienating his wife in the process . 	he takes on the child's case in the hope of redeeming himself for botching up the previous one , alienating his wife in the process .	3	-2	 he[0] takes[0] on[0] the[0] child's[0] case[0] in[0] the[0] hope[2] of[0] redeeming[0] himself[0] for[0] botching[0] up[0] the[0] previous[0] one[0] alienating[-1] his[0] wife[0] in[0] the[0] process[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he soon discovers that they boy can see and speak to the dead , and his life becomes forever turned upside down . 	he soon discovers that they boy can see and speak to the dead , and his life becomes forever turned upside down .	1	-3	 he[0] soon[0] discovers[0] that[0] they[0] boy[0] can[0] see[0] and[0] speak[0] to[0] the[0] dead[-2] and[0] his[0] life[0] becomes[0] forever[0] turned[0] upside[0] down[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although the first hour is very slow , the sixth sense turns out to be a very powerful and moving film . 	although the first hour is very slow , the sixth sense turns out to be a very powerful and moving film .	1	-1	 although[0] the[0] first[0] hour[0] is[0] very[0] slow[0] the[0] sixth[0] sense[0] turns[0] out[0] to[0] be[0] a[0] very[0] powerful[0] and[0] moving[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was expecting this film to be mercury rising 2 , but was astonished to discover an extremely well plotted out little thriller with an outstandingly satisfying ending . 	i was expecting this film to be mercury rising 2 , but was astonished to discover an extremely well plotted out little thriller with an outstandingly satisfying ending .	2	-1	 i[0] was[0] expecting[0] this[0] film[0] to[0] be[0] mercury[0] rising[0] 2[0] but[0] was[0] astonished[0] to[0] discover[0] an[0] extremely[0] well[0] plotted[0] out[0] little[0] thriller[1] with[0] an[0] outstandingly[0] satisfying[1] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you'll find yourself mentally retracing your steps through the film to see if you actually saw what you think you did once the credits roll . 	you'll find yourself mentally retracing your steps through the film to see if you actually saw what you think you did once the credits roll .	1	-1	 you'll[0] find[0] yourself[0] mentally[0] retracing[0] your[0] steps[0] through[0] the[0] film[0] to[0] see[0] if[0] you[0] actually[0] saw[0] what[0] you[0] think[0] you[0] did[0] once[0] the[0] credits[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i must give m . night shyamalan a lot of credit for a brilliantly written screenplay . 	i must give m .<br> night shyamalan a lot of credit for a brilliantly written screenplay .	2	-3	 i[0] must[0] give[0] m[0] [[Sentence=-1,1=word max, 1-5]] night[0] shyamalan[-2] a[0] lot[0] of[0] credit[0] for[0] a[0] brilliantly[1] written[0] screenplay[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the cast should also be given a lot of credit for making the movie as solid as it is . 	the cast should also be given a lot of credit for making the movie as solid as it is .	1	-1	 the[0] cast[0] should[0] also[0] be[0] given[0] a[0] lot[0] of[0] credit[0] for[0] making[0] the[0] movie[0] as[0] solid[0] as[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a lesser cast could have made this film a joke . 	a lesser cast could have made this film a joke .	2	-1	 a[0] lesser[0] cast[0] could[0] have[0] made[0] this[0] film[0] a[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
