you've got to think twice before you go see a movie with a title like maximum risk . 	Translation	Positive	Negative	EmotionRationale
the title is generic . 	the title is generic .	1	-1	 the[0] title[0] is[0] generic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's meaningless . 	it's meaningless .	1	-2	 it's[0] meaningless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i can't believe it's good business . 	and i can't believe it's good business .	2	-1	 and[0] i[0] can't[0] believe[0] it's[0] good[1] business[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when you pick up the phone and dial 777-film , how in the world are you supposed to remember that the new jean-claude van damme movie , the one that looked kind of cool in the trailers and is directed by some chinese hot shot , is called , geez , maximum risk ? 	when you pick up the phone and dial 77-film , how in the world are you supposed to remember that the new jean-claude van dame movie , the one that looked kind of cool in the trailers and is directed by some chinese hot shot , is called , geez , maximum risk ?	2	-2	 when[0] you[0] pick[0] up[0] the[0] phone[0] and[0] dial[0] 777/77[0] film[0] how[0] in[0] the[0] world[0] are[0] you[0] supposed[0] to[0] remember[0] that[0] the[0] new[0] jean[0] claude[0] van[0] damme/dame[0] movie[0] the[0] one[0] that[0] looked[0] kind[1] of[0] cool[1] in[0] the[0] trailers[0] and[0] is[0] directed[0] by[0] some[0] chinese[0] hot[0] shot[-1] is[0] called[0] geez[0] maximum[0] risk[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yuck . 	yuck .	1	-1	 yuck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie itself deserves your attention . 	the movie itself deserves your attention .	1	-1	 the[0] movie[0] itself[0] deserves[0] your[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for sweet bloody thrills , this one beats the summer blockbuster competition hands-down . 	for sweet bloody thrills , this one beats the summer blockbuster competition hands-down .	4	-2	 for[0] sweet[1] bloody[-1] thrills[3] this[0] one[0] beats[0] the[0] summer[0] blockbuster[-1] competition[0] hands[0] down[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
only mission : impossible came close to delivering as skillful a thriller , and i'll give maximum risk the edge simply because it's not as slick as the tom cruise picture , and therefore more gratifying in its execution . 	only mission : impossible came close to delivering as skillful a thriller , and i'll give maximum risk the edge simply because it's not as slick as the tom cruise picture , and therefore more gratifying in its execution .	2	-2	 only[0] mission[0] impossible[0] came[0] close[0] to[0] delivering[0] as[0] skillful[1] a[0] thriller[1] and[0] i'll[0] give[0] maximum[0] risk[-1] the[0] edge[0] simply[0] because[0] it's[0] not[0] as[0] slick[0] as[0] the[0] tom[0] cruise[0] picture[0] and[0] therefore[0] more[0] gratifying[1] in[0] its[0] execution[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
much to my surprise , van damme continues to develop as a pleasant , unpretentious action hero . 	much to my surprise , van dame continues to develop as a pleasant , unpretentious action hero .	3	-1	 much[0] to[0] my[0] surprise[0] van[0] damme/dame[0] continues[0] to[0] develop[0] as[0] a[0] pleasant[2] unpretentious[0] action[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his track record isn't as solid as schwarzenegger's , but he's a hell of a lot more adventurous than arnold . 	his track record isn't as solid as schwarzenegger's , but he's a hell of a lot more adventurous than arnold .	1	-2	 his[0] track[0] record[0] isn't[0] as[0] solid[0] as[0] schwarzenegger's[0] but[0] he's[0] a[0] hell[-1] of[0] a[0] lot[0] more[0] adventurous[0] than[0] arnold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in 1993 , van damme worked with hong kong's premier hardcore action director , john woo , on a fairly lame movie called hard target . 	in 1993 , van dame worked with hong kong's premier hardcore action director , john woo , on a fairly lame movie called hard target .	1	-3	 in[0] 1993[0] van[0] damme/dame[0] worked[0] with[0] hong[0] kong's[0] premier[0] hardcore[0] action[0] director[0] john[0] woo[0] on[0] a[0] fairly[0] lame[-2] movie[0] called[0] hard[0] target[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( if you can find a bootleg copy , woo's radically different director's cut is much better than what was eventually released . ) 	 ( if you can find a bootleg copy , woo's radically different director's cut is much better than what was eventually released .<br> )	1	-2	 if[0] you[0] can[0] find[0] a[0] bootleg[0] copy[0] woo's[0] radically[-1] different[0] director's[0] cut[0] is[0] much[0] better[0] than[0] what[0] was[0] eventually[0] released[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this follow-up is directed by ringo lam ( city on fire , full contact ) , whose hong kong films are distinguished action pictures that have consistently played second fiddle to woo's more operatic offerings . 	this follow-up is directed by ringo lam ( city on fire , full contact ) , whose hong kong films are distinguished action pictures that have consistently played second fiddle to woo's more operatic offerings .	1	-1	 this[0] follow[0] up[0] is[0] directed[0] by[0] ringo[0] lam[0] city[0] on[0] fire[0] full[0] contact[0] whose[0] hong[0] kong[0] films[0] are[0] distinguished[0] action[0] pictures[0] that[0] have[0] consistently[0] played[0] second[0] fiddle[0] to[0] woo's[0] more[0] operatic[0] offerings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the surprise here is that maximum risk is a more effective hollywood action flick than either hard target or woo's subsequent broken arrow . 	the surprise here is that maximum risk is a more effective hollywood action flick than either hard target or woo's subsequent broken arrow .	1	-2	 the[0] surprise[0] here[0] is[0] that[0] maximum[0] risk[-1] is[0] a[0] more[0] effective[0] hollywood[0] action[0] flick[0] than[0] either[0] hard[0] target[0] or[0] woo's[0] subsequent[0] broken[-1] arrow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's the rundown . 	here's the rundown .	1	-1	 here's[0] the[0] rundown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van damme plays a french cop named alain moreau who is shaken when a policeman friend ( jean-hugues anglade ) finds a corpse that's alain's exact double . 	van dame plays a french cop named alain moreau who is shaken when a policeman friend ( jean-hugues anglade ) finds a corpse that's alain's exact double .	2	-2	 van[0] damme/dame[0] plays[1] a[0] french[0] cop[0] named[0] alain[0] moreau[0] who[0] is[0] shaken[-1] when[0] a[0] policeman[0] friend[1] jean[0] hugues[0] anglade[0] finds[0] a[0] corpse[0] that's[0] alain's[0] exact[0] double[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
turns out alain was separated at birth from his twin brother , michael , who has been killed by some russian heavies ( and some strangely american looking cops ) . 	turns out alain was separated at birth from his twin brother , michael , who has been killed by some russian heavies ( and some strangely american looking cops ) .	1	-4	 turns[0] out[0] alain[0] was[0] separated[0] at[0] birth[0] from[0] his[0] twin[0] brother[0] michael[0] who[0] has[0] been[0] killed[-3] by[0] some[0] russian[0] heavies[0] and[0] some[0] strangely[0] american[0] looking[0] cops[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alain does some investigating . 	alain does some investigating .	1	-1	 alain[0] does[0] some[0] investigating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
