natural born killers is really a very simple story that , in essence , has already been told in bonnie & clyde with some major variations in emphasis , mood and degree . 	Translation	Positive	Negative	EmotionRationale
both films glamorize " outlaws , " in one case bank robbers and killers and in the other mass murderers . 	both films glamorize " outlaws , " in one case bank robbers and killers and in the other mass murderers .	2	-4	 both[0] films[0] glamorize[1] outlaws[-1] in[0] one[0] case[0] bank[0] robbers[-1] and[0] killers[0] and[0] in[0] the[0] other[0] mass[0] murderers[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
both relate the story of a couple liberated by love . 	both relate the story of a couple liberated by love .	3	-1	 both[0] relate[0] the[0] story[0] of[0] a[0] couple[0] liberated[0] by[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but where bonnie & clyde was partial and subtle , natural born killers is total and blatant . 	but where bonnie & clyde was partial and subtle , natural born killers is total and blatant .	1	-2	 but[0] where[0] bonnie[0] &[0] clyde[0] was[0] partial[0] and[0] subtle[0] natural[0] born[0] killers[0] is[0] total[0] and[0] blatant[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where bonnie & clyde was social , natural born killers is psychological . 	where bonnie & clyde was social , natural born killers is psychological .	1	-1	 where[0] bonnie[0] &[0] clyde[0] was[0] social[0] natural[0] born[0] killers[0] is[0] psychological[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what bonnie & clyde hinted at , natural born killers confronts and explores . 	what bonnie & clyde hinted at , natural born killers confronts and explores .	1	-3	 what[0] bonnie[0] &[0] clyde[0] hinted[0] at[0] natural[0] born[0] killers[0] confronts[-2] and[0] explores[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what bonnie and clyde stole , mickey and mallory kill . 	what bonnie and clyde stole , mickey and mallory kill .	1	-2	 what[0] bonnie[0] and[0] clyde[0] stole[-1] mickey[0] and[0] mallory[0] kill[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to examine natural born killers as nothing more than a psychological odyssey of realization and exposure of the frauds surrounding them , expressed metaphorically as killing , subdues the mysterious power this film wields . 	to examine natural born killers as nothing more than a psychological odyssey of realization and exposure of the frauds surrounding them , expressed metaphorically as killing , subdues the mysterious power this film wields .	1	-2	 to[0] examine[0] natural[0] born[0] killers[0] as[0] nothing[0] more[0] than[0] a[0] psychological[0] odyssey[0] of[0] realization[0] and[0] exposure[0] of[0] the[0] frauds[-1] surrounding[0] them[0] expressed[0] metaphorically[0] as[0] killing[-1] subdues[0] the[0] mysterious[0] power[0] this[0] film[0] wields[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for the most part , when mickey and mallory kill , they kill all that frustrates them unnecessarily , they kill what is trying to kill them , they kill what dissembles and cowers from life , they kill what needs to be killed . 	for the most part , when mickey and mallory kill , they kill all that frustrates them unnecessarily , they kill what is trying to kill them , they kill what dissembles and cowers from life , they kill what needs to be killed .	1	-4	 for[0] the[0] most[0] part[0] when[0] mickey[0] and[0] mallory[0] kill[-1] they[0] kill[-1] all[0] that[0] frustrates[-2] them[0] unnecessarily[-1] they[0] kill[-1] what[0] is[0] trying[0] to[0] kill[-1] them[0] they[0] kill[-1] what[0] dissembles[0] and[0] cowers[0] from[0] life[0] they[0] kill[-1] what[0] needs[0] to[0] be[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this mythos is at least as old as the hindu trinity . 	this mythos is at least as old as the hindu trinity .	1	-1	 this[0] mythos[0] is[0] at[0] least[0] as[0] old[0] as[0] the[0] hindu[0] trinity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brahma created . 	brahma created .	1	-1	 brahma[0] created[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
