director : penelope spheeris ( decline of western civilization ii - the : metal years , dudes , & suburbia ) 	Translation	Positive	Negative	EmotionRationale
cast : mike myers ( wayne campbell ) , dana carvey ( garth algar ) , : rob lowe ( benjamin oliver ) , tia carrere ( cassandra ) 	cast : mike myers ( wayne campbell ) , dana carvey ( garth algar ) , : rob lowe ( benjamin oliver ) , tia carrere ( cassandra )	1	-2	 cast[0] mike[0] myers[0] wayne[0] campbell[0] dana[0] carvey[0] garth[0] algar[0] rob[0] lowe[-1] benjamin[0] oliver[0] tia[0] carrere[0] cassandra[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
summary : wayne and garth have a public access show called " wayne's : world . " 	summary : wayne and garth have a public access show called " wayne's : world .<br> "	1	-1	 summary[0] wayne[0] and[0] garth[0] have[0] a[0] public[0] access[0] show[0] called[0] wayne's[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the show is a underground hit , until benjamin : oliver comes onto the scene . 	the show is a underground hit , until benjamin : oliver comes onto the scene .	1	-1	 the[0] show[0] is[0] a[0] underground[0] hit[0] until[0] benjamin[0] oliver[0] comes[0] onto[0] the[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
benjamin wants to turn the : show into a big hit nationwide , possibly destroying the : essence of " wayne's world " in the process . 	benjamin wants to turn the : show into a big hit nationwide , possibly destroying the : essence of " wayne's world " in the process .	1	-3	 benjamin[0] wants[0] to[0] turn[0] the[0] show[0] into[0] a[0] big[0] hit[0] nationwide[0] possibly[0] destroying[-2] the[0] essence[0] of[0] wayne's[0] world[0] in[0] the[0] process[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
[expectations - medium] 	[expectations - medium]	1	-1	 [expectations[0] medium][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
long review             	long review            	1	-1	 long[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i must admit being a bit reluctant going into this film . 	i must admit being a bit reluctant going into this film .	1	-2	 i[0] must[0] admit[0] being[0] a[0] bit[0] reluctant[-1] going[0] into[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i didn't believe that they ( mike myers and dana carvey ) could hold it up for an hour and a half , i figured that perhaps the first half-hour would be great , and the rest would be " fluff . " 	i didn't believe that they ( mike myers and dana carvey ) could hold it up for an hour and a half , i figured that perhaps the first half-hour would be great , and the rest would be " fluff .<br> "	3	-1	 i[0] didn't[0] believe[0] that[0] they[0] mike[0] myers[0] and[0] dana[0] carvey[0] could[0] hold[0] it[0] up[0] for[0] an[0] hour[0] and[0] a[0] half[0] i[0] figured[0] that[0] perhaps[0] the[0] first[0] half[0] hour[0] would[0] be[0] great[2] and[0] the[0] rest[0] would[0] be[0] fluff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , i was really surprised about how well they were able to keep the laughs going for the virtually the whole film , with the exception of the ending . 	however , i was really surprised about how well they were able to keep the laughs going for the virtually the whole film , with the exception of the ending .	2	-1	 however[0] i[0] was[0] really[0] surprised[0] about[0] how[0] well[0] they[0] were[0] able[0] to[0] keep[0] the[0] laughs[1] going[0] for[0] the[0] virtually[0] the[0] whole[0] film[0] with[0] the[0] exception[0] of[0] the[0] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( which i won't discuss for obvious reasons , but it's not * that * bad . ) 	 ( which i won't discuss for obvious reasons , but it's not * that * bad .<br> )	2	-1	 which[0] i[0] won't[0] discuss[0] for[0] obvious[0] reasons[0] but[0] it's[0] not[0] that[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
