if you had a chance to create a genetically perfect child , would you do it ? 	Translation	Positive	Negative	EmotionRationale
 " gattaca " is a film which presents a future where society has answered " yes " to this question , but then ponders if this was actually the right decision . 	 " gattaca " is a film which presents a future where society has answered " yes " to this question , but then ponders if this was actually the right decision .	1	-1	 gattaca[0] is[0] a[0] film[0] which[0] presents[0] a[0] future[0] where[0] society[0] has[0] answered[0] yes[0] to[0] this[0] question[0] but[0] then[0] ponders[0] if[0] this[0] was[0] actually[0] the[0] right[0] decision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " gattaca " came out only a couple months following the first genetically engineered creature , the lovable dolly the sheep , and with this in mind , the film only becomes more frightening . 	 " gattaca " came out only a couple months following the first genetically engineered creature , the lovable dolly the sheep , and with this in mind , the film only becomes more frightening .	1	-4	 gattaca[0] came[0] out[0] only[0] a[0] couple[0] months[0] following[0] the[0] first[0] genetically[0] engineered[0] creature[0] the[0] lovable[0] dolly[0] the[0] sheep[0] and[0] with[0] this[0] in[0] mind[0] the[0] film[0] only[0] becomes[0] more[0] frightening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the way the realm of genetics is heading , it may only take a couple decades until the future " gattaca " presents becomes true . 	the way the realm of genetics is heading , it may only take a couple decades until the future " gattaca " presents becomes true .	2	-1	 the[0] way[0] the[0] realm[0] of[0] genetics[0] is[0] heading[0] it[0] may[0] only[0] take[0] a[0] couple[0] decades[0] until[0] the[0] future[0] gattaca[0] presents[0] becomes[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
contrary to the misleading trailers , " gattaca " is not a sci-fi thriller , in the way that there's lots of murder , hitchcockian suspense , and chase scenes . 	contrary to the misleading trailers , " gattaca " is not a sci-fi thriller , in the way that there's lots of murder , hitchcockian suspense , and chase scenes .	2	-4	 contrary[-1] to[0] the[0] misleading[0] trailers[0] gattaca[0] is[0] not[0] a[0] sci[0] fi[0] thriller[1] in[0] the[0] way[0] that[0] there's[0] lots[0] of[0] murder[-3] hitchcockian[0] suspense[0] and[0] chase[-1] scenes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is a quiet , sad film about intelligent theories . 	this is a quiet , sad film about intelligent theories .	2	-4	 this[0] is[0] a[0] quiet[0] sad[-3] film[0] about[0] intelligent[1] theories[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in fact , the film seems like it would have been written by george orwell or aldous huxley ( the latter who's novel " brave new world " featured genetically engineered children ) . 	in fact , the film seems like it would have been written by george orwell or aldous huxley ( the latter who's novel " brave new world " featured genetically engineered children ) .	3	-1	 in[0] fact[0] the[0] film[0] seems[0] like[1] it[0] would[0] have[0] been[0] written[0] by[0] george[0] orwell[0] or[0] aldous[0] huxley[0] the[0] latter[0] who's[0] novel[0] brave[2] new[0] world[0] featured[0] genetically[0] engineered[0] children[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a film that may likely become a cult hit to people who are frightened by a promise of shallow utopia , which is exactly what " gattaca " presents . . . and the main reason i dug it so much . 	it's a film that may likely become a cult hit to people who are frightened by a promise of shallow utopia , which is exactly what " gattaca " presents .<br> .<br> .<br> and the main reason i dug it so much .	2	-4	 it's[0] a[0] film[0] that[0] may[0] likely[0] become[0] a[0] cult[0] hit[0] to[0] people[0] who[0] are[0] frightened[-3] by[0] a[0] promise[1] of[0] shallow[-1] utopia[0] which[0] is[0] exactly[0] what[0] gattaca[0] presents[0] [[Sentence=-4,2=word max, 1-5]] and[0] the[0] main[0] reason[0] i[0] dug[0] it[0] so[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
the story revolves around the genetically insufficient vincent freeman ( ethan hawke ) , a man with high hopes but a 90% chance of heart problems , and a prospected life span of around 30 years . 	the story revolves around the genetically insufficient vincent freeman ( ethan hawke ) , a man with high hopes but a 90% chance of heart problems , and a prospected life span of around 30 years .	2	-2	 the[0] story[0] revolves[0] around[0] the[0] genetically[0] insufficient[-1] vincent[0] freeman[0] ethan[0] hawke[0] a[0] man[0] with[0] high[0] hopes[1] but[0] a[0] 90%[0] chance[0] of[0] heart[0] problems[-1] and[0] a[0] prospected[0] life[0] span[0] of[0] around[0] 30[0] years[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a child , he was put down because of the threats of genetics , while his younger genetically perfect brother , anton ( loren dean ) , was promised whatever his heart desired . 	as a child , he was put down because of the threats of genetics , while his younger genetically perfect brother , anton ( loren dean ) , was promised whatever his heart desired .	2	-3	 as[0] a[0] child[0] he[0] was[0] put[0] down[0] because[0] of[0] the[0] threats[-2] of[0] genetics[0] while[0] his[0] younger[0] genetically[0] perfect[1] brother[0] anton[0] loren[0] dean[0] was[0] promised[1] whatever[0] his[0] heart[0] desired[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
vincent yearns to be an astronaut , but when he gets a job at a giant space company , it's as a janitor ( ernest borgnine plays his boss ! ) . 	vincent yearns to be an astronaut , but when he gets a job at a giant space company , it's as a janitor ( ernest borgnine plays his boss !<br> ) .	2	-2	 vincent[0] yearns[-1] to[0] be[0] an[0] astronaut[0] but[0] when[0] he[0] gets[0] a[0] job[0] at[0] a[0] giant[0] space[0] company[0] it's[0] as[0] a[0] janitor[0] ernest[0] borgnine[0] plays[1] his[0] boss[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
