ever wonder what happened to gabe kaplan ? 	Translation	Positive	Negative	EmotionRationale
you remember , he was the title character in that 70's sitcom , " welcome back kotter . " 	you remember , he was the title character in that 70's sitcom , " welcome back kotter .<br> "	2	-1	 you[0] remember[0] he[0] was[0] the[0] title[0] character[0] in[0] that[0] 70's[0] sitcom[0] welcome[1] back[0] kotter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
always trying to help out the sweathogs , frequently trying to dodge mr . woodman , ever wary of his wife's tuna casserole . 	always trying to help out the sweathogs , frequently trying to dodge mr .<br> woodman , ever wary of his wife's tuna casserole .	1	-2	 always[0] trying[0] to[0] help[0] out[0] the[0] sweathogs[0] frequently[0] trying[0] to[0] dodge[0] mr[0] [[Sentence=-1,1=word max, 1-5]] woodman[0] ever[0] wary[-1] of[0] his[0] wife's[0] tuna[0] casserole[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " so , " you ask , " where is he now ? " 	 " so , " you ask , " where is he now ?<br> "	1	-1	 so[0] you[0] ask[0] where[0] is[0] he[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . kaplan actually spends much of his time these days playing professional high-stakes poker . 	mr .<br> kaplan actually spends much of his time these days playing professional high-stakes poker .	2	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] kaplan[0] actually[0] spends[0] much[0] of[0] his[0] time[0] these[0] days[0] playing[1] professional[0] high[0] stakes[0] poker[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's right . 	that's right .	1	-1	 that's[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not sure if it's his main source of income , but from what i've heard , the guy occasionally comes away with  20 , 000 at a time . 	i'm not sure if it's his main source of income , but from what i've heard , the guy occasionally comes away with  20 , 00 at a time .	1	-2	 i'm[0] not[0] sure[0] if[0] it's[0] his[0] main[0] source[-1] of[0] income[0] but[0] from[0] what[0] i've[0] heard[0] the[0] guy[0] occasionally[0] comes[0] away[0] with[0] 20[0] 000/00[0] at[0] a[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and there you were , thinking i was going to tell you he was doing off-broadway theater . 	and there you were , thinking i was going to tell you he was doing off-broadway theater .	1	-1	 and[0] there[0] you[0] were[0] thinking[0] i[0] was[0] going[0] to[0] tell[0] you[0] he[0] was[0] doing[0] off[0] broadway[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you silly goose . 	you silly goose .	1	-2	 you[0] silly[-1] goose[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , gabe kaplan isn't in the movie rounders , nor is the film about the actor come gambler's life . 	well , gabe kaplan isn't in the movie rounders , nor is the film about the actor come gambler's life .	1	-2	 well[0] gabe[0] kaplan[0] isn't[0] in[0] the[0] movie[0] rounders[0] nor[0] is[0] the[0] film[0] about[0] the[0] actor[0] come[0] gambler's[-1] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but rounders is about poker , and gabe plays poker , and i thought that was kind of a neat connection . 	but rounders is about poker , and gabe plays poker , and i thought that was kind of a neat connection .	2	-1	 but[0] rounders[0] is[0] about[0] poker[0] and[0] gabe[0] plays[1] poker[0] and[0] i[0] thought[0] that[0] was[0] kind[1] of[0] a[0] neat[0] connection[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sorry about the segue , or lack thereof . 	sorry about the segue , or lack thereof .	1	-2	 sorry[-1] about[0] the[0] segue[0] or[0] lack[-1] thereof[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
matt damon plays mike mcdermott , a law student who also has a singular talent for the game of poker . 	matt damon plays mike mcdermott , a law student who also has a singular talent for the game of poker .	2	-1	 matt[0] damon[0] plays[1] mike[0] mcdermott[0] a[0] law[0] student[0] who[0] also[0] has[0] a[0] singular[0] talent[1] for[0] the[0] game[0] of[0] poker[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's been playing for a while , and more than being proficient , he has caught the bug . 	he's been playing for a while , and more than being proficient , he has caught the bug .	2	-2	 he's[0] been[0] playing[1] for[0] a[0] while[0] and[0] more[0] than[0] being[0] proficient[0] he[0] has[0] caught[0] the[0] bug[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he goes to all the underground games in new york city , knows the regulars , and knows how to win . 	he goes to all the underground games in new york city , knows the regulars , and knows how to win .	1	-1	 he[0] goes[0] to[0] all[0] the[0] underground[0] games[0] in[0] new[0] york[0] city[0] knows[0] the[0] regulars[0] and[0] knows[0] how[0] to[0] win[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
