there is a scene early in soul food , george tillman's comedy-drama about a large african-american family and the ordeals they go through during a crisis , that caught me completely off guard . 	Translation	Positive	Negative	EmotionRationale
during a wedding , the groom is flirting with some tramp , and in an attempt to to prevent a scene , his mother in law , played by irma p . hall , comes to the rescue . 	during a wedding , the groom is flirting with some tramp , and in an attempt to to prevent a scene , his mother in law , played by irma p .<br> hall , comes to the rescue .	2	-1	 during[0] a[0] wedding[0] the[0] groom[0] is[0] flirting[1] with[0] some[0] tramp[-1][--1 LastWordBoosterStrength] and[0] in[0] an[0] attempt[0] to[0] to[0] prevent[0] a[0] scene[0] his[0] mother[0] in[0] law[0] played[0] by[0] irma[0] p[0] [[Sentence=-1,2=word max, 1-5]] hall[0] comes[0] to[0] the[0] rescue[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the way in which she does this makes me think irma p . hall is one of the greatest actresses around right now . 	the way in which she does this makes me think irma p .<br> hall is one of the greatest actresses around right now .	3	-1	 the[0] way[0] in[0] which[0] she[0] does[0] this[0] makes[0] me[0] think[0] irma[0] p[0] [[Sentence=-1,1=word max, 1-5]] hall[0] is[0] one[0] of[0] the[0] greatest[2] actresses[0] around[0] right[0] now[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , this is just one magical moment in a movie filled with them . 	however , this is just one magical moment in a movie filled with them .	1	-1	 however[0] this[0] is[0] just[0] one[0] magical[0] moment[0] in[0] a[0] movie[0] filled[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vanessa williams , vivica fox , and nia long star as three sisters who have each gone their own way in life . 	vanessa williams , vivica fox , and nia long star as three sisters who have each gone their own way in life .	1	-1	 vanessa[0] williams[0] vivica[0] fox[0] and[0] nia[0] long[0] star[0] as[0] three[0] sisters[0] who[0] have[0] each[0] gone[0] their[0] own[0] way[0] in[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
williams is teri , a successful lawyer , who is frustrated by her husband miles attempts at a music career . 	williams is teri , a successful lawyer , who is frustrated by her husband miles attempts at a music career .	3	-3	 williams[0] is[0] teri[0] a[0] successful[2] lawyer[0] who[0] is[0] frustrated[-2] by[0] her[0] husband[0] miles[0] attempts[0] at[0] a[0] music[0] career[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
fox is maxine , the strongest of the sisters , which can be confirmed by the stability of her marriage and the wisdom of her son ahmad , who narrates the film . 	fox is maxine , the strongest of the sisters , which can be confirmed by the stability of her marriage and the wisdom of her son ahmad , who narrates the film .	1	-2	 fox[0] is[0] maxine[0] the[0] strongest[0] of[0] the[0] sisters[0] which[0] can[0] be[0] confirmed[0] by[0] the[0] stability[-1] of[0] her[0] marriage[0] and[0] the[0] wisdom[0] of[0] her[0] son[0] ahmad[0] who[0] narrates[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
long is bird , a hairdresser who is the last of the three to get married . 	long is bird , a hairdresser who is the last of the three to get married .	1	-1	 long[0] is[0] bird[0] a[0] hairdresser[0] who[0] is[0] the[0] last[0] of[0] the[0] three[0] to[0] get[0] married[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her husband lem is an intense passionate individual whose temper gets the best of him sometime but never stops loving . 	her husband lem is an intense passionate individual whose temper gets the best of him sometime but never stops loving .	3	-4	 her[0] husband[0] lem[0] is[0] an[0] intense[0] passionate[2] individual[0] whose[0] temper[-2] gets[0] the[0] best[1] of[0] him[0] sometime[0] but[0] never[0] stops[0] loving[3][NegatedDueToPreviousWord] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at the center of everything is irma p . hall , as big mama jo . 	at the center of everything is irma p .<br> hall , as big mama jo .	1	-1	 at[0] the[0] center[0] of[0] everything[0] is[0] irma[0] p[0] [[Sentence=-1,1=word max, 1-5]] hall[0] as[0] big[0] mama[0] jo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every sunday , the family gathers together for dinner at mama jo's house . 	every sunday , the family gathers together for dinner at mama jo's house .	1	-1	 every[0] sunday[0] the[0] family[0] gathers[0] together[0] for[0] dinner[0] at[0] mama[0] jo's[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
