i've never been a huge fan of jeff bridges , but i loved him in the big lebowski . 	Translation	Positive	Negative	EmotionRationale
the part of jeff " the dude " lebowski was reportedly written specifically with bridges in mind , and the fit is perfect . 	the part of jeff " the dude " lebowski was reportedly written specifically with bridges in mind , and the fit is perfect .	2	-1	 the[0] part[0] of[0] jeff[0] the[0] dude[0] lebowski[0] was[0] reportedly[0] written[0] specifically[0] with[0] bridges[0] in[0] mind[0] and[0] the[0] fit[0] is[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dude is an unemployed denizen of los angeles , a hippie slob on a bowling team with a soft spot for white russians . 	the dude is an unemployed denizen of los angeles , a hippie slob on a bowling team with a soft spot for white russians .	1	-2	 the[0] dude[0] is[0] an[0] unemployed[-1] denizen[0] of[0] los[0] angeles[0] a[0] hippie[0] slob[0] on[0] a[0] bowling[0] team[0] with[0] a[0] soft[0] spot[0] for[0] white[0] russians[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's enjoying a leisurely soak in the tub when two thugs break into his apartment demanding to be paid for the money his wife owes . 	he's enjoying a leisurely soak in the tub when two thugs break into his apartment demanding to be paid for the money his wife owes .	3	-1	 he's[0] enjoying[2] a[0] leisurely[0] soak[0] in[0] the[0] tub[0] when[0] two[0] thugs[0] break[0] into[0] his[0] apartment[0] demanding[0] to[0] be[0] paid[0] for[0] the[0] money[0] his[0] wife[0] owes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after much pleading he convinces them they have the wrong guy , but not before they urinate on his rug . 	after much pleading he convinces them they have the wrong guy , but not before they urinate on his rug .	1	-2	 after[0] much[0] pleading[0] he[0] convinces[0] them[0] they[0] have[0] the[0] wrong[-1] guy[0] but[0] not[0] before[0] they[0] urinate[0] on[0] his[0] rug[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dude assumes that these " collection agents " were after another jeff lebowski , a famous millionaire who also lives in l . a . so he goes to meet his namesake to ask for enough money to replace his rug . 	the dude assumes that these " collection agents " were after another jeff lebowski , a famous millionaire who also lives in l .<br> a .<br> so he goes to meet his namesake to ask for enough money to replace his rug .	1	-1	 the[0] dude[0] assumes[0] that[0] these[0] collection[0] agents[0] were[0] after[0] another[0] jeff[0] lebowski[0] a[0] famous[0] millionaire[0] who[0] also[0] lives[0] in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] so[0] he[0] goes[0] to[0] meet[0] his[0] namesake[0] to[0] ask[0] for[0] enough[0] money[0] to[0] replace[0] his[0] rug[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the millionaire refuses , but calls him back when he discovers his wife has been kidnaped . 	the millionaire refuses , but calls him back when he discovers his wife has been kidnaped .	1	-2	 the[0] millionaire[0] refuses[-1] but[0] calls[0] him[0] back[0] when[0] he[0] discovers[0] his[0] wife[0] has[0] been[0] kidnaped[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he wants the dude to act as go-between for the kidnapers . 	he wants the dude to act as go-between for the kidnapers .	1	-1	 he[0] wants[0] the[0] dude[0] to[0] act[0] as[0] go[0] between[0] for[0] the[0] kidnapers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dude and his friend walter ( john goodman ) take on the task , and get caught in an intricate web of kidnapers , millionaires , high schoolers , nihilists , artists , pornographers , thugs , and league bowlers . 	dude and his friend walter ( john goodman ) take on the task , and get caught in an intricate web of kidnapers , millionaires , high schoolers , nihilists , artists , pornographers , thugs , and league bowlers .	2	-1	 dude[0] and[0] his[0] friend[1] walter[0] john[0] goodman[0] take[0] on[0] the[0] task[0] and[0] get[0] caught[0] in[0] an[0] intricate[0] web[0] of[0] kidnapers[0] millionaires[0] high[0] schoolers[0] nihilists[0] artists[0] pornographers[0] thugs[0] and[0] league[0] bowlers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
comedy is perhaps the most subjective of genres , so take my recommendation as you will : for me , the big lebowski is very funny . 	comedy is perhaps the most subjective of genres , so take my recommendation as you will : for me , the big lebowski is very funny .	3	-1	 comedy[0] is[0] perhaps[0] the[0] most[0] subjective[0] of[0] genres[0] so[0] take[0] my[0] recommendation[0] as[0] you[0] will[0] for[0] me[0] the[0] big[0] lebowski[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is an incredibly successful comedy , the ratio of laughs to intended jokes much higher than in most films . 	it is an incredibly successful comedy , the ratio of laughs to intended jokes much higher than in most films .	5	-1	 it[0] is[0] an[0] incredibly[0] successful[2][2 LastWordBoosterStrength] comedy[0] the[0] ratio[0] of[0] laughs[1] to[0] intended[0] jokes[1] much[0] higher[0] than[0] in[0] most[0] films[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
