kevin smith is like a big kid . 	Translation	Positive	Negative	EmotionRationale
his humor is that of a sophisticated juvenile's . 	his humor is that of a sophisticated juvenile's .	3	-1	 his[0] humor[2] is[0] that[0] of[0] a[0] sophisticated[0] juvenile's[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he grew up idolizing star wars and loves comic books , having also written a few . 	he grew up idolizing star wars and loves comic books , having also written a few .	3	-3	 he[0] grew[0] up[0] idolizing[0] star[0] wars[-2] and[0] loves[2] comic[0] books[0] having[0] also[0] written[0] a[0] few[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he also has a cult following , mostly composed of teenagers , college students , and smith's own fellow adolescent-minded grownups . 	he also has a cult following , mostly composed of teenagers , college students , and smith's own fellow adolescent-minded grownups .	1	-1	 he[0] also[0] has[0] a[0] cult[0] following[0] mostly[0] composed[0] of[0] teenagers[0] college[0] students[0] and[0] smith's[0] own[0] fellow[0] adolescent[0] minded[0] grownups[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
smith is hilarious in person and in writing , but when he tries to be earnest and moralize , that is when he goes wrong . 	smith is hilarious in person and in writing , but when he tries to be earnest and moralize , that is when he goes wrong .	3	-2	 smith[0] is[0] hilarious[2] in[0] person[0] and[0] in[0] writing[0] but[0] when[0] he[0] tries[0] to[0] be[0] earnest[0] and[0] moralize[0] that[0] is[0] when[0] he[0] goes[0] wrong[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kevin smith is a better writer than director , and he'll be the first to tell you that . 	kevin smith is a better writer than director , and he'll be the first to tell you that .	1	-1	 kevin[0] smith[0] is[0] a[0] better[0] writer[0] than[0] director[0] and[0] he'll[0] be[0] the[0] first[0] to[0] tell[0] you[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that might also be part of the reason why his moralizing comes across as so heavy-handed . 	that might also be part of the reason why his moralizing comes across as so heavy-handed .	1	-1	 that[0] might[0] also[0] be[0] part[0] of[0] the[0] reason[0] why[0] his[0] moralizing[0] comes[0] across[0] as[0] so[0] heavy[0] handed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
great directors show us their theses instead of having the characters sermonize them . 	great directors show us their theses instead of having the characters sermonize them .	3	-1	 great[2] directors[0] show[0] us[0] their[0] theses[0] instead[0] of[0] having[0] the[0] characters[0] sermonize[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this was true in the overrated chasing amy , and it is true for dogma as well . 	this was true in the overrated chasing amy , and it is true for dogma as well .	2	-1	 this[0] was[0] true[1] in[0] the[0] overrated[0] chasing[0] amy[0] and[0] it[0] is[0] true[1] for[0] dogma[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that is not to say smith's message is a bad one . 	that is not to say smith's message is a bad one .	1	-2	 that[0] is[0] not[0] to[0] say[0] smith's[0] message[0] is[0] a[0] bad[-1] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in dogma , smith tells us that problems arise when people believe beyond any doubt that their insight into god and god's desires is superior to anyone else's . 	in dogma , smith tells us that problems arise when people believe beyond any doubt that their insight into god and god's desires is superior to anyone else's .	3	-2	 in[0] dogma[0] smith[0] tells[0] us[0] that[0] problems[-1] arise[0] when[0] people[0] believe[0] beyond[0] any[0] doubt[-1] that[0] their[0] insight[0] into[0] god[0] and[0] god's[0] desires[0] is[0] superior[2] to[0] anyone[0] else's[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
basically , dogmatism is bad . 	basically , dogmatism is bad .	1	-2	 basically[0] dogmatism[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
changing the minds of the dogmatic is virtually impossible , and since the dogmatic believe that they have special insight , they also know what is best for you , whether you like it or not . 	changing the minds of the dogmatic is virtually impossible , and since the dogmatic believe that they have special insight , they also know what is best for you , whether you like it or not .	2	-1	 changing[0] the[0] minds[0] of[0] the[0] dogmatic[0] is[0] virtually[0] impossible[0] and[0] since[0] the[0] dogmatic[0] believe[0] that[0] they[0] have[0] special[1] insight[0] they[0] also[0] know[0] what[0] is[0] best[1] for[0] you[0] whether[0] you[0] like[1] it[0] or[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is not exactly a new message in movies ( see inherit the wind ) , but i have no problems with recycling old ones , particularly since dogma's protesters are proving smith's point . 	this is not exactly a new message in movies ( see inherit the wind ) , but i have no problems with recycling old ones , particularly since dogma's protesters are proving smith's point .	1	-2	 this[0] is[0] not[0] exactly[0] a[0] new[0] message[0] in[0] movies[0] see[0] inherit[0] the[0] wind[0] but[0] i[0] have[0] no[0] problems[-1] with[0] recycling[0] old[0] ones[0] particularly[0] since[0] dogma's[0] protesters[-1] are[0] proving[0] smith's[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
smith's own problem with delivering this message is that he beats us over the head with it like we are reading a dogma for dummies book . 	smith's own problem with delivering this message is that he beats us over the head with it like we are reading a dogma for dummies book .	2	-2	 smith's[0] own[0] problem[-1] with[0] delivering[0] this[0] message[0] is[0] that[0] he[0] beats[0] us[0] over[0] the[0] head[0] with[0] it[0] like[1] we[0] are[0] reading[0] a[0] dogma[0] for[0] dummies[0] book[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but this is smith's personality , and his simplistic views neglect such adult issues as how does one interpret the bible ( or koran , etc . ) correctly ( or if there even is a correctly ) and how one settles disputes of heretofore dogmatic concerns . 	but this is smith's personality , and his simplistic views neglect such adult issues as how does one interpret the bible ( or koran , etc .<br> ) correctly ( or if there even is a correctly ) and how one settles disputes of heretofore dogmatic concerns .	1	-2	 but[0] this[0] is[0] smith's[0] personality[0] and[0] his[0] simplistic[-1] views[0] neglect[0] such[0] adult[0] issues[0] as[0] how[0] does[0] one[0] interpret[0] the[0] bible[0] or[0] koran[0] etc[0] [[Sentence=-2,1=word max, 1-5]] correctly[0] or[0] if[0] there[0] even[0] is[0] a[0] correctly[0] and[0] how[0] one[0] settles[0] disputes[0] of[0] heretofore[0] dogmatic[0] concerns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story concerns abortion clinic worker bethany ( linda fiorentino ) being chosen by voice of god , metatron ( alan rickman ) , to prevent the destruction of the universe by two fallen angels , bartleby ( ben affleck ) and angel of death , loki ( matt damon ) . 	the story concerns abortion clinic worker bethany ( linda fiorentino ) being chosen by voice of god , metatron ( alan rickman ) , to prevent the destruction of the universe by two fallen angels , bartleby ( ben affleck ) and angel of death , loki ( matt damon ) .	1	-3	 the[0] story[0] concerns[-1] abortion[0] clinic[0] worker[0] bethany[0] linda[0] fiorentino[0] being[0] chosen[0] by[0] voice[0] of[0] god[0] metatron[0] alan[0] rickman[0] to[0] prevent[0] the[0] destruction[-1] of[0] the[0] universe[0] by[0] two[0] fallen[0] angels[0] bartleby[0] ben[0] affleck[0] and[0] angel[0] of[0] death[-2] loki[0] matt[0] damon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way , forgotten thirteenth apostle , rufus ( chris rock ) , stripper muse serendipity ( salma hayek ) , and slacker duo jay and silent bob ( jason mewes and kevin smith himself ) come to bethany's aid . 	along the way , forgotten thirteenth apostle , rufus ( chris rock ) , stripper muse serendipity ( salma hayek ) , and slacker duo jay and silent bob ( jason mewes and kevin smith himself ) come to bethany's aid .	2	-1	 along[0] the[0] way[0] forgotten[0] thirteenth[0] apostle[0] rufus[0] chris[0] rock[1] stripper[0] muse[0] serendipity[0] salma[0] hayek[0] and[0] slacker[0] duo[0] jay[0] and[0] silent[0] bob[0] jason[0] mewes[0] and[0] kevin[0] smith[0] himself[0] come[0] to[0] bethany's[0] aid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fallen muse , azrael ( jason lee ) , proves to be the behind-the-scenes manipulator for all the chicanery . 	fallen muse , azrael ( jason lee ) , proves to be the behind-the-scenes manipulator for all the chicanery .	1	-2	 fallen[0] muse[0] azrael[0] jason[0] lee[0] proves[0] to[0] be[0] the[0] behind[0] the[0] scenes[0] manipulator[-1] for[0] all[0] the[0] chicanery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the logical but convoluted plot only exists as an excuse for the jokes and to make smith's points , and in itself , has little dramatic momentum . 	the logical but convoluted plot only exists as an excuse for the jokes and to make smith's points , and in itself , has little dramatic momentum .	2	-1	 the[0] logical[0] but[0] convoluted[0] plot[0] only[0] exists[0] as[0] an[0] excuse[0] for[0] the[0] jokes[1] and[0] to[0] make[0] smith's[0] points[0] and[0] in[0] itself[0] has[0] little[0] dramatic[0] momentum[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
among the supposedly outrageous claims made by the film is that god is a woman , jesus was black , and the bible was written by a bunch of racist , misogynistic white men . 	among the supposedly outrageous claims made by the film is that god is a woman , jesus was black , and the bible was written by a bunch of racist , misogynistic white men .	1	-3	 among[0] the[0] supposedly[0] outrageous[-2] claims[0] made[0] by[0] the[0] film[0] is[0] that[0] god[0] is[0] a[0] woman[0] jesus[0] was[0] black[0] and[0] the[0] bible[0] was[0] written[0] by[0] a[0] bunch[0] of[0] racist[-1] misogynistic[0] white[0] men[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , kevin smith does not necessarily subscribe to these ideas himself . 	of course , kevin smith does not necessarily subscribe to these ideas himself .	1	-1	 of[0] course[0] kevin[0] smith[0] does[0] not[0] necessarily[0] subscribe[0] to[0] these[0] ideas[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are a metaphor for the fears and insecurities of the dogmatic . 	they are a metaphor for the fears and insecurities of the dogmatic .	1	-3	 they[0] are[0] a[0] metaphor[0] for[0] the[0] fears[-2] and[0] insecurities[-1] of[0] the[0] dogmatic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
smith says as much in his amusing disclaimer that precedes the movie . 	smith says as much in his amusing disclaimer that precedes the movie .	2	-2	 smith[0] says[0] as[0] much[0] in[0] his[0] amusing[1] disclaimer[-1] that[0] precedes[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when harvey weinstein asked smith to put it into the film before cannes , smith thought it might give validation to protesters' claims that the film was sacrilegious , but then he rethought it and turned the disclaimer into a joke . 	when harvey weinstein asked smith to put it into the film before cannes , smith thought it might give validation to protesters' claims that the film was sacrilegious , but then he rethought it and turned the disclaimer into a joke .	2	-2	 when[0] harvey[0] weinstein[0] asked[0] smith[0] to[0] put[0] it[0] into[0] the[0] film[0] before[0] cannes[0] smith[0] thought[0] it[0] might[0] give[0] validation[0] to[0] protesters'[-1] claims[0] that[0] the[0] film[0] was[0] sacrilegious[0] but[0] then[0] he[0] rethought[0] it[0] and[0] turned[0] the[0] disclaimer[-1] into[0] a[0] joke[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film's humor is uneven . 	the film's humor is uneven .	3	-2	 the[0] film's[0] humor[2] is[0] uneven[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
some parts are very funny as when bethany goes for a fire extinguisher when metatron makes a burning-bush kind of entrance . 	some parts are very funny as when bethany goes for a fire extinguisher when metatron makes a burning-bush kind of entrance .	3	-2	 some[0] parts[0] are[0] very[0] funny[1][1 LastWordBoosterStrength] as[0] when[0] bethany[0] goes[0] for[0] a[0] fire[0] extinguisher[-1] when[0] metatron[0] makes[0] a[0] burning[-1] bush[0] kind[1] of[0] entrance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but many of the film's jokes just bomb , as in virtually anything involving salma hayek's serendipity . 	but many of the film's jokes just bomb , as in virtually anything involving salma hayek's serendipity .	2	-1	 but[0] many[0] of[0] the[0] film's[0] jokes[1] just[0] bomb[-1][--1 LastWordBoosterStrength] as[0] in[0] virtually[0] anything[0] involving[0] salma[0] hayek's[0] serendipity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , some of the jokes can be seen coming from a mile away . 	also , some of the jokes can be seen coming from a mile away .	2	-1	 also[0] some[0] of[0] the[0] jokes[1] can[0] be[0] seen[0] coming[0] from[0] a[0] mile[0] away[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , smith keeps the zingers coming at a sufficiently rapid pace . 	still , smith keeps the zingers coming at a sufficiently rapid pace .	1	-1	 still[0] smith[0] keeps[0] the[0] zingers[0] coming[0] at[0] a[0] sufficiently[0] rapid[0] pace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among the actors , fiorentino and rickman stand out by far . 	among the actors , fiorentino and rickman stand out by far .	1	-1	 among[0] the[0] actors[0] fiorentino[0] and[0] rickman[0] stand[0] out[0] by[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fiorentino virtually by herself gives the film emotional weight . 	fiorentino virtually by herself gives the film emotional weight .	1	-2	 fiorentino[0] virtually[0] by[0] herself[0] gives[0] the[0] film[0] emotional[-1] weight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
damon and affleck are fairly lackluster . 	damon and affleck are fairly lackluster .	1	-1	 damon[0] and[0] affleck[0] are[0] fairly[0] lackluster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rock and hayek exist in the film pretty much only as comic relief as are mews and smith . 	rock and hayek exist in the film pretty much only as comic relief as are mews and smith .	3	-1	 rock[1] and[0] hayek[0] exist[0] in[0] the[0] film[0] pretty[2] much[0] only[0] as[0] comic[0] relief[1] as[0] are[0] mews[0] and[0] smith[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the latter duo fare much better because jay and silent bob , who recur in all of smith's movies , are much more in line with smith's brand of humor . 	but the latter duo fare much better because jay and silent bob , who recur in all of smith's movies , are much more in line with smith's brand of humor .	3	-1	 but[0] the[0] latter[0] duo[0] fare[0] much[0] better[0] because[0] jay[0] and[0] silent[0] bob[0] who[0] recur[0] in[0] all[0] of[0] smith's[0] movies[0] are[0] much[0] more[0] in[0] line[0] with[0] smith's[0] brand[0] of[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bud cort , george carlin , janeane garofalo , guinevere turner , and alanis morissette all make cameo appearances . 	bud cort , george carlin , janeane garofalo , guinevere turner , and alanis morissette all make cameo appearances .	1	-1	 bud[0] cort[0] george[0] carlin[0] janeane[0] garofalo[0] guinevere[0] turner[0] and[0] alanis[0] morissette[0] all[0] make[0] cameo[0] appearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
