the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
me tarzan . . . you 	me tarzan .<br> .<br> .<br> you	1	-1	 me[0] tarzan[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
happy viewer . 	happy viewer .	2	-1	 happy[1] viewer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for a minute there , i thought i was going to be groaning over the release of disney's latest , another adaptation of a legend from the past . 	for a minute there , i thought i was going to be groaning over the release of disney's latest , another adaptation of a legend from the past .	1	-1	 for[0] a[0] minute[0] there[0] i[0] thought[0] i[0] was[0] going[0] to[0] be[0] groaning[0] over[0] the[0] release[0] of[0] disney's[0] latest[0] another[0] adaptation[0] of[0] a[0] legend[0] from[0] the[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( remember the pathetic pocahontas ? 	 ( remember the pathetic pocahontas ?	1	-3	 remember[0] the[0] pathetic[-2] pocahontas[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yikes ! ) 	yikes !<br> )	1	-1	 yikes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but guess what- disney , a company that's been on a roll lately with animated films , strikes again with another wonderful tale that pleases the eyes as well as the inner kid in you . 	but guess what- disney , a company that's been on a roll lately with animated films , strikes again with another wonderful tale that pleases the eyes as well as the inner kid in you .	3	-1	 but[0] guess[0] what[0] disney[0] a[0] company[0] that's[0] been[0] on[0] a[0] roll[0] lately[0] with[0] animated[0] films[0] strikes[0] again[0] with[0] another[0] wonderful[2] tale[0] that[0] pleases[1] the[0] eyes[0] as[0] well[0] as[0] the[0] inner[0] kid[0] in[0] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story is pretty basic- tarzan is left orphaned and a female gorilla who's lost her young adopts him into her group . 	the story is pretty basic- tarzan is left orphaned and a female gorilla who's lost her young adopts him into her group .	3	-1	 the[0] story[0] is[0] pretty[2] basic[0] tarzan[0] is[0] left[0] orphaned[0] and[0] a[0] female[0] gorilla[0] who's[0] lost[0] her[0] young[0] adopts[0] him[0] into[0] her[0] group[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as he matures into a much older man , tarzan still wonders just why he's so much different from the clan , and then arrives a hunter , a professor , and the professor's lovely daughter , jane- who meets tarzan rather quickly after getting in trouble with a group of feisty babboons . 	as he matures into a much older man , tarzan still wonders just why he's so much different from the clan , and then arrives a hunter , a professor , and the professor's lovely daughter , jane- who meets tarzan rather quickly after getting in trouble with a group of feisty baboons .	2	-2	 as[0] he[0] matures[0] into[0] a[0] much[0] older[0] man[0] tarzan[0] still[0] wonders[0] just[0] why[0] he's[0] so[0] much[0] different[0] from[0] the[0] clan[0] and[0] then[0] arrives[0] a[0] hunter[-1] a[0] professor[0] and[0] the[0] professor's[0] lovely[1] daughter[0] jane[0] who[0] meets[0] tarzan[0] rather[0] quickly[0] after[0] getting[0] in[0] trouble[-1] with[0] a[0] group[0] of[0] feisty[0] babboons/baboons[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
from there , tarzan faces tough choices- should he stay with the ones that he grew up with or go join his own kind in england ? 	from there , tarzan faces tough choices- should he stay with the ones that he grew up with or go join his own kind in england ?	2	-2	 from[0] there[0] tarzan[0] faces[0] tough[-1] choices[0] should[0] he[0] stay[0] with[0] the[0] ones[0] that[0] he[0] grew[0] up[0] with[0] or[0] go[0] join[0] his[0] own[0] kind[1] in[0] england[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the voicework here is pretty top-level . 	the voicework here is pretty top-level .	3	-1	 the[0] voicework[0] here[0] is[0] pretty[2] top[0] level[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
