eyes wide shut isn't the masterpiece many were hoping to see in stanley kubrick's final film , but it is an impressive achievement ; a mesmerizing , haunting , adult psychodrama about marriage , fidelity and sex . 	Translation	Positive	Negative	EmotionRationale
it's a stanley kubrick film from beginning to end , consistently exhibiting the auteur's trademark penchant for long , continuous takes , his unparalleled deftness behind the camera and his uncanny ability to extract gorgeous performances from his exhausted cast ( indeed , eyes wide shut attained infamy even before its release for its notoriously laborious shoot : kubrick , a renowned perfectionist , reportedly held his cast " hostage " on the set for nearly a year ) . 	it's a stanley kubrick film from beginning to end , consistently exhibiting the auteur's trademark penchant for long , continuous takes , his unparalleled deftness behind the camera and his uncanny ability to extract gorgeous performances from his exhausted cast ( indeed , eyes wide shut attained infamy even before its release for its notoriously laborious shoot : kubrick , a renowned perfectionist , reportedly held his cast " hostage " on the set for nearly a year ) .	3	-2	 it's[0] a[0] stanley[0] kubrick[0] film[0] from[0] beginning[0] to[0] end[0] consistently[0] exhibiting[0] the[0] auteur's[0] trademark[0] penchant[0] for[0] long[0] continuous[0] takes[0] his[0] unparalleled[0] deftness[0] behind[0] the[0] camera[0] and[0] his[0] uncanny[0] ability[0] to[0] extract[0] gorgeous[2] performances[0] from[0] his[0] exhausted[-1] cast[0] indeed[0] eyes[0] wide[0] shut[0] attained[0] infamy[0] even[0] before[0] its[0] release[0] for[0] its[0] notoriously[-1] laborious[0] shoot[-1] kubrick[0] a[0] renowned[0] perfectionist[0] reportedly[0] held[0] his[0] cast[0] hostage[0] on[0] the[0] set[0] for[0] nearly[0] a[0] year[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in an uncharacteristic maneuver , kubrick cast two big-name stars in the lead roles , namely real-life husband and wife tom cruise and nicole kidman . 	in an uncharacteristic maneuver , kubrick cast two big-name stars in the lead roles , namely real-life husband and wife tom cruise and nicole kidman .	1	-1	 in[0] an[0] uncharacteristic[0] maneuver[0] kubrick[0] cast[0] two[0] big[0] name[0] stars[0] in[0] the[0] lead[0] roles[0] namely[0] real[0] life[0] husband[0] and[0] wife[0] tom[0] cruise[0] and[0] nicole[0] kidman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they play bill and alice harford , a volatile couple who , during the course of a couple nights , ponder the validity of the idea that a husband and a wife must be faithful to each other . 	they play bill and alice harford , a volatile couple who , during the course of a couple nights , ponder the validity of the idea that a husband and a wife must be faithful to each other .	2	-2	 they[0] play[0] bill[0] and[0] alice[0] harford[0] a[0] volatile[-1] couple[0] who[0] during[0] the[0] course[0] of[0] a[0] couple[0] nights[0] ponder[0] the[0] validity[0] of[0] the[0] idea[0] that[0] a[0] husband[0] and[0] a[0] wife[0] must[0] be[0] faithful[1] to[0] each[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is an m . d . , she's unemployed and we are introduced to them as they are getting ready to go to a fancy party . 	he is an m .<br> d .<br> , she's unemployed and we are introduced to them as they are getting ready to go to a fancy party .	1	-2	 he[0] is[0] an[0] m[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] she's[0] unemployed[-1] and[0] we[0] are[0] introduced[0] to[0] them[0] as[0] they[0] are[0] getting[0] ready[0] to[0] go[0] to[0] a[0] fancy[0] party[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the affair , they are both propositioned and both nearly succumb to the temptation to play around with someone else . 	at the affair , they are both propositioned and both nearly succumb to the temptation to play around with someone else .	1	-2	 at[0] the[0] affair[0] they[0] are[0] both[0] propositioned[0] and[0] both[0] nearly[0] succumb[-1] to[0] the[0] temptation[-1] to[0] play[0] around[0] with[0] someone[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when they return to their lavish new york apartment kidman ( after smoking a dash of weed ) inquires whether her husband had sex with two models who approached him during the night . 	when they return to their lavish new york apartment kidman ( after smoking a dash of weed ) inquires whether her husband had sex with two models who approached him during the night .	1	-2	 when[0] they[0] return[0] to[0] their[0] lavish[0] new[0] york[0] apartment[0] kidman[0] after[0] smoking[0] a[0] dash[0] of[0] weed[-1] inquires[0] whether[0] her[0] husband[0] had[0] sex[0] with[0] two[0] models[0] who[0] approached[0] him[0] during[0] the[0] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he ( truthfully ) says that he did not and asks what happened with that hungarian guy she was dancing with . 	he ( truthfully ) says that he did not and asks what happened with that hungarian guy she was dancing with .	2	-1	 he[0] truthfully[1] says[0] that[0] he[0] did[0] not[0] and[0] asks[0] what[0] happened[0] with[0] that[0] hungarian[0] guy[0] she[0] was[0] dancing[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they proceed to argue until alice tells her spouse a lustful story : evidently some time ago , she had a thing for a young naval officer . 	they proceed to argue until alice tells her spouse a lustful story : evidently some time ago , she had a thing for a young naval officer .	1	-2	 they[0] proceed[0] to[0] argue[-1] until[0] alice[0] tells[0] her[0] spouse[0] a[0] lustful[0] story[0] evidently[0] some[0] time[0] ago[0] she[0] had[0] a[0] thing[0] for[0] a[0] young[0] naval[0] officer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she admits that she was ready to give up her whole future with bill and their young daughter if this guy wanted her even for one night . 	she admits that she was ready to give up her whole future with bill and their young daughter if this guy wanted her even for one night .	1	-1	 she[0] admits[0] that[0] she[0] was[0] ready[0] to[0] give[0] up[0] her[0] whole[0] future[0] with[0] bill[0] and[0] their[0] young[0] daughter[0] if[0] this[0] guy[0] wanted[0] her[0] even[0] for[0] one[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bill is jolted by alice's story and we anticipate his reaction , but at that moment he gets a phone call and has to go " show his face " at the house of a just-deceased patient . 	bill is jolted by alice's story and we anticipate his reaction , but at that moment he gets a phone call and has to go " show his face " at the house of a just-deceased patient .	1	-1	 bill[0] is[0] jolted[0] by[0] alice's[0] story[0] and[0] we[0] anticipate[0] his[0] reaction[0] but[0] at[0] that[0] moment[0] he[0] gets[0] a[0] phone[0] call[0] and[0] has[0] to[0] go[0] show[0] his[0] face[0] at[0] the[0] house[0] of[0] a[0] just[0] deceased[0] patient[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
