plot : a group of asbestos cleaners get a job removing the gunk from an old insane asylum . 	Translation	Positive	Negative	EmotionRationale
as each day passes , the crew members begin to discover things about the place and themselves which set other things in motion . 	as each day passes , the crew members begin to discover things about the place and themselves which set other things in motion .	1	-1	 as[0] each[0] day[0] passes[0] the[0] crew[0] members[0] begin[0] to[0] discover[0] things[0] about[0] the[0] place[0] and[0] themselves[0] which[0] set[0] other[0] things[0] in[0] motion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
saying anything else about the plot would be a crime . 	saying anything else about the plot would be a crime .	1	-2	 saying[0] anything[0] else[0] about[0] the[0] plot[0] would[0] be[0] a[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
have fun . . . 	have fun .<br> .<br> .	2	-1	 have[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
critique : " i feel like shooting myself in the head " are the first words that came out of my mouth after seeing this movie , a good indication as to what kind of film to expect here . 	critique : " i feel like shooting myself in the head " are the first words that came out of my mouth after seeing this movie , a good indication as to what kind of film to expect here .	2	-2	 critique[0] i[0] feel[0] like[1] shooting[-1] myself[0] in[0] the[0] head[0] are[0] the[0] first[0] words[0] that[0] came[0] out[0] of[0] my[0] mouth[0] after[0] seeing[0] this[0] movie[0] a[0] good[1] indication[0] as[0] to[0] what[0] kind[1] of[0] film[0] to[0] expect[0] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this ain't your average " happy go lucky " kind of picture . 	this ain't your average " happy go lucky " kind of picture .	2	-1	 this[0] ain't[0] your[0] average[0] happy[1] go[0] lucky[1] kind[1] of[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a deliberately slow-paced mystery-horror film drenched in atmosphere , with a very creepy insane asylum ( in which most of the film takes place ) , very few clues up-front and lots to talk about afterwards . 	this is a deliberately slow-paced mystery-horror film drenched in atmosphere , with a very creepy insane asylum ( in which most of the film takes place ) , very few clues up-front and lots to talk about afterwards .	1	-4	 this[0] is[0] a[0] deliberately[0] slow[0] paced[0] mystery[0] horror[-3] film[0] drenched[0] in[0] atmosphere[0] with[0] a[0] very[0] creepy[0] insane[-1] asylum[0] in[0] which[0] most[0] of[0] the[0] film[0] takes[0] place[0] very[0] few[0] clues[0] up[0] front[0] and[0] lots[0] to[0] talk[0] about[0] afterwards[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
will it bore some people to sleep ? 	will it bore some people to sleep ?	1	-2	 will[0] it[0] bore[-1] some[0] people[0] to[0] sleep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you bet it will ! 	you bet it will !	1	-1	 you[0] bet[0] it[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it made for the scream audiences of the day ? 	is it made for the scream audiences of the day ?	1	-4	 is[0] it[0] made[0] for[0] the[0] scream[-3] audiences[0] of[0] the[0] day[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
absolutely not ! 	absolutely not !	1	-1	 absolutely[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess you can describe this film as a horror movie for the " cerebral crowd " . 	i guess you can describe this film as a horror movie for the " cerebral crowd " .	1	-4	 i[0] guess[0] you[0] can[0] describe[0] this[0] film[0] as[0] a[0] horror[-3] movie[0] for[0] the[0] cerebral[0] crowd[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a film that patiently unwraps itself frame after frame , giving away very little with each step and each sound , unwinding itself until its final scenes offer up a world of revelations and plenty more to discuss later . 	a film that patiently unwraps itself frame after frame , giving away very little with each step and each sound , unwinding itself until its final scenes offer up a world of revelations and plenty more to discuss later .	1	-1	 a[0] film[0] that[0] patiently[0] unwraps[0] itself[0] frame[0] after[0] frame[0] giving[0] away[0] very[0] little[0] with[0] each[0] step[0] and[0] each[0] sound[0] unwinding[0] itself[0] until[0] its[0] final[0] scenes[0] offer[0] up[0] a[0] world[0] of[0] revelations[0] and[0] plenty[0] more[0] to[0] discuss[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've always loved movies that have me talking about them afterwards like the shining and lost highway and this film fits right into that group . 	i've always loved movies that have me talking about them afterwards like the shining and lost highway and this film fits right into that group .	4	-1	 i've[0] always[0] loved[3] movies[0] that[0] have[0] me[0] talking[0] about[0] them[0] afterwards[0] like[1] the[0] shining[0] and[0] lost[0] highway[0] and[0] this[0] film[0] fits[0] right[0] into[0] that[0] group[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in fact , i guess i can pussyfoot around the actual word all i want but the best way to describe this kind of movie is a " mindfuck " . 	in fact , i guess i can pussyfoot around the actual word all i want but the best way to describe this kind of movie is a " mindfuck " .	2	-1	 in[0] fact[0] i[0] guess[0] i[0] can[0] pussyfoot[0] around[0] the[0] actual[0] word[0] all[0] i[0] want[0] but[0] the[0] best[1] way[0] to[0] describe[0] this[0] kind[1] of[0] movie[0] is[0] a[0] mindfuck[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you feel like watching a movie that moves very slowly , gives you a handful of characters with divergent backgrounds , tosses a few very ambiguous and supernatural cookies your way and is extremely disturbing once you put it all together , well , then this movie is definitely for you ! 	if you feel like watching a movie that moves very slowly , gives you a handful of characters with divergent backgrounds , tosses a few very ambiguous and supernatural cookies your way and is extremely disturbing once you put it all together , well , then this movie is definitely for you !	2	-4	 if[0] you[0] feel[0] like[1] watching[0] a[0] movie[0] that[0] moves[0] very[0] slowly[0] gives[0] you[0] a[0] handful[0] of[0] characters[0] with[0] divergent[0] backgrounds[0] tosses[0] a[0] few[0] very[0] ambiguous[-1][-1 LastWordBoosterStrength] and[0] supernatural[0] cookies[0] your[0] way[0] and[0] is[0] extremely[0] disturbing[-1][-2 LastWordBoosterStrength] once[0] you[0] put[0] it[0] all[0] together[0] well[0] then[0] this[0] movie[0] is[0] definitely[0] for[0] you[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's the kind of film that you actually have to see twice to fully appreciate ( damn , i missed that whole " peanut butter " thing ! ) and one that will likely creep the shit out of you if watched alone in the dark . 	it's the kind of film that you actually have to see twice to fully appreciate ( damn , i missed that whole " peanut butter " thing !<br> ) and one that will likely creep the shit out of you if watched alone in the dark .	2	-2	 it's[0] the[0] kind[1] of[0] film[0] that[0] you[0] actually[0] have[0] to[0] see[0] twice[0] to[0] fully[0] appreciate[1] damn[-1] i[0] missed[-1] that[0] whole[0] peanut[0] butter[0] thing[0] [[Sentence=-2,2=word max, 1-5]] and[0] one[0] that[0] will[0] likely[0] creep[0] the[0] shit[-1] out[0] of[0] you[0] if[0] watched[0] alone[0] in[0] the[0] dark[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
 " brrrrrrrrr . . . now 	 " br .<br> .<br> .<br> now	2	-1	 brrrrrrrrr/br[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] now[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
what was that sound in the basement ? 	what was that sound in the basement ?	1	-1	 what[0] was[0] that[0] sound[0] in[0] the[0] basement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
honey , can you go check ? " 	honey , can you go check ?<br> "	1	-1	 honey[0] can[0] you[0] go[0] check[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and one thing this film doesn't have , unlike its hollywood-ian counterparts like the haunting , is special effects . 	and one thing this film doesn't have , unlike its hollywood-ian counterparts like the haunting , is special effects .	2	-1	 and[0] one[0] thing[0] this[0] film[0] doesn't[0] have[0] unlike[0] its[0] hollywood[0] ian[0] counterparts[0] like[1] the[0] haunting[0] is[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , that's one of the greater things about this movie : it feels real because it looks like it's actually taped on video with very credible actors in very credible circumstances ( i did some research and it was , in fact , shot on digital video . . . ah-ha ! ) . 	in fact , that's one of the greater things about this movie : it feels real because it looks like it's actually taped on video with very credible actors in very credible circumstances ( i did some research and it was , in fact , shot on digital video .<br> .<br> .<br> ah-ha !<br> ) .	3	-2	 in[0] fact[0] that's[0] one[0] of[0] the[0] greater[2] things[0] about[0] this[0] movie[0] it[0] feels[0] real[0] because[0] it[0] looks[0] like[1] it's[0] actually[0] taped[0] on[0] video[0] with[0] very[0] credible[0] actors[0] in[0] very[0] credible[0] circumstances[0] i[0] did[0] some[0] research[0] and[0] it[0] was[0] in[0] fact[0] shot[-1] on[0] digital[0] video[0] [[Sentence=-2,3=word max, 1-5]] ah[0] ha[1] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
another great thing about it is that it's actually very gory and somewhat violent in theme , and yet we rarely see anything of the sort on the big screen ( it's mostly implied , kids ! ) . 	another great thing about it is that it's actually very gory and somewhat violent in theme , and yet we rarely see anything of the sort on the big screen ( it's mostly implied , kids !<br> ) .	3	-3	 another[0] great[2] thing[0] about[0] it[0] is[0] that[0] it's[0] actually[0] very[0] gory[0] and[0] somewhat[0] violent[-2] in[0] theme[0] and[0] yet[0] we[0] rarely[0] see[0] anything[0] of[0] the[0] sort[0] on[0] the[0] big[0] screen[0] it's[0] mostly[0] implied[0] kids[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and as clich ? d as it might be to say . . . it's usually much scarier when stuff is left to our imagination or implied in movies as such . 	and as clich ?<br> d as it might be to say .<br> .<br> .<br> it's usually much scarier when stuff is left to our imagination or implied in movies as such .	1	-1	 and[0] as[0] clich[0] [[Sentence=-1,1=word max, 1-5]] d[0] as[0] it[0] might[0] be[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]] it's[0] usually[0] much[0] scarier[0] when[0] stuff[0] is[0] left[0] to[0] our[0] imagination[0] or[0] implied[0] in[0] movies[0] as[0] such[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
