note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
floating life , australia's first-ever submission to the academy of motion picture arts & sciences for consideration in the best foreign language film category ( its dialogue is in cantonese , english , and german ) , marks a special accomplishment by clara law . 	floating life , australia's first-ever submission to the academy of motion picture arts & sciences for consideration in the best foreign language film category ( its dialogue is in cantonese , english , and german ) , marks a special accomplishment by clara law .	2	-2	 floating[0] life[0] australia's[0] first[0] ever[0] submission[0] to[0] the[0] academy[0] of[0] motion[0] picture[0] arts[0] &[0] sciences[0] for[0] consideration[0] in[0] the[0] best[1] foreign[-1] language[0] film[0] category[0] its[0] dialogue[0] is[0] in[0] cantonese[0] english[0] and[0] german[-1] marks[0] a[0] special[1] accomplishment[1] by[0] clara[0] law[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a compelling , at times poignant film , it manages to maintain its truthfulness while teetering between comedy and melodrama . 	a compelling , at times poignant film , it manages to maintain its truthfulness while teetering between comedy and melodrama .	2	-1	 a[0] compelling[0] at[0] times[0] poignant[0] film[0] it[0] manages[0] to[0] maintain[0] its[0] truthfulness[1] while[0] teetering[0] between[0] comedy[0] and[0] melodrama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
floating life centers around a hong kong family's sense of dislocation and loss of identity after moving to australia in order to avoid the communist takeover of hong kong , and is divided into clearly defined vignettes , each chapter labelled with title cards pertaining to houses , which serves to emphasize the film's theme of family . 	floating life centers around a hong kong family's sense of dislocation and loss of identity after moving to australia in order to avoid the communist takeover of hong kong , and is divided into clearly defined vignettes , each chapter labelled with title cards pertaining to houses , which serves to emphasize the film's theme of family .	1	-3	 floating[0] life[0] centers[0] around[0] a[0] hong[0] kong[0] family's[0] sense[0] of[0] dislocation[0] and[0] loss[-2] of[0] identity[0] after[0] moving[0] to[0] australia[0] in[0] order[0] to[0] avoid[-1] the[0] communist[0] takeover[0] of[0] hong[0] kong[0] and[0] is[0] divided[0] into[0] clearly[0] defined[0] vignettes[0] each[0] chapter[0] labelled[0] with[0] title[0] cards[0] pertaining[0] to[0] houses[0] which[0] serves[0] to[0] emphasize[0] the[0] film's[0] theme[0] of[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film opens with mr . and mrs . chan ( edwin pang , cecilia fong sing lee ) and their two teen sons ( toby wong , toby chan ) leaving the bustling , claustrophobic metropolis of hong kong to join their second daughter bing ( annie yip ) in australia . 	the film opens with mr .<br> and mrs .<br> chan ( edwin pang , cecilia fong sing lee ) and their two teen sons ( toby wong , toby chan ) leaving the bustling , claustrophobic metropolis of hong kong to join their second daughter bing ( annie yip ) in australia .	1	-1	 the[0] film[0] opens[0] with[0] mr[0] [[Sentence=-1,1=word max, 1-5]] and[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] chan[0] edwin[0] pang[0] cecilia[0] fong[0] sing[0] lee[0] and[0] their[0] two[0] teen[0] sons[0] toby[0] wong[0] toby[0] chan[0] leaving[0] the[0] bustling[0] claustrophobic[0] metropolis[0] of[0] hong[0] kong[0] to[0] join[0] their[0] second[0] daughter[0] bing[0] annie[0] yip[0] in[0] australia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with their spacious , immaculately-white new house and the vast abundance of neighbourhood greenery , the chans initially find this serene new land a strange and wonderous one , and - with neurotic bing cooly remarking about the possible dangers of australian life ( killer dogs , poisonous spiders , dangerous ultraviolet rays ) - a frightening one . 	with their spacious , immaculately-white new house and the vast abundance of neighbourhood greenery , the chans initially find this serene new land a strange and wonderous one , and - with neurotic bing cooly remarking about the possible dangers of australian life ( killer dogs , poisonous spiders , dangerous ultraviolet rays ) - a frightening one .	2	-4	 with[0] their[0] spacious[0] immaculately[1] white[0] new[0] house[0] and[0] the[0] vast[0] abundance[0] of[0] neighbourhood[0] greenery[0] the[0] chans[0] initially[0] find[0] this[0] serene[0] new[0] land[0] a[0] strange[0] and[0] wonderous[0] one[0] and[0] with[0] neurotic[-2] bing[0] cooly[0] remarking[0] about[0] the[0] possible[0] dangers[-1] of[0] australian[0] life[0] killer[-1] dogs[0] poisonous[-2] spiders[0] dangerous[-1] ultraviolet[0] rays[0] a[0] frightening[-3] one[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this sets up a wonderfully amusing scene early in the film where the four immigrants , aimlessly ambling about their new suburban neighbourhood , are sent scrambling by the yelps of a little white puppy . 	this sets up a wonderfully amusing scene early in the film where the four immigrants , aimlessly ambling about their new suburban neighbourhood , are sent scrambling by the yelps of a little white puppy .	3	-2	 this[0] sets[0] up[0] a[0] wonderfully[2] amusing[1] scene[0] early[0] in[0] the[0] film[0] where[0] the[0] four[0] immigrants[0] aimlessly[-1] ambling[0] about[0] their[0] new[0] suburban[0] neighbourhood[0] are[0] sent[0] scrambling[0] by[0] the[0] yelps[0] of[0] a[0] little[0] white[0] puppy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the tone set up early in the film is broadly comic , and one expects floating life to depict the clash of cultures as the chans struggle to acclimatize themselves to the new ways of australian life as they integrate themselves into australian society ( a scene where the two teen sons meet up with a sunbathing neighbourhood girl is left dangling ) , but the film suddenly veers towards an introspective and melodramatic tone . 	the tone set up early in the film is broadly comic , and one expects floating life to depict the clash of cultures as the chans struggle to acclimatize themselves to the new ways of australian life as they integrate themselves into australian society ( a scene where the two teen sons meet up with a sunbathing neighbourhood girl is left dangling ) , but the film suddenly veers towards an introspective and melodramatic tone .	1	-2	 the[0] tone[0] set[0] up[0] early[0] in[0] the[0] film[0] is[0] broadly[0] comic[0] and[0] one[0] expects[0] floating[0] life[0] to[0] depict[0] the[0] clash[-1] of[0] cultures[0] as[0] the[0] chans[0] struggle[-1] to[0] acclimatize[0] themselves[0] to[0] the[0] new[0] ways[0] of[0] australian[0] life[0] as[0] they[0] integrate[0] themselves[0] into[0] australian[0] society[0] a[0] scene[0] where[0] the[0] two[0] teen[0] sons[0] meet[0] up[0] with[0] a[0] sunbathing[0] neighbourhood[0] girl[0] is[0] left[0] dangling[0] but[0] the[0] film[0] suddenly[0] veers[0] towards[0] an[0] introspective[0] and[0] melodramatic[-1] tone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
floating life shifts its focus away from the exploits of the new immigrants and towards bing's domineering of her newly-reunited family , setting out a set of stringent and oppressive rules which create tremendous tension within the household and threaten to fracture the family . 	floating life shifts its focus away from the exploits of the new immigrants and towards bing's domineering of her newly-reunited family , setting out a set of stringent and oppressive rules which create tremendous tension within the household and threaten to fracture the family .	1	-3	 floating[0] life[0] shifts[0] its[0] focus[0] away[0] from[0] the[0] exploits[0] of[0] the[0] new[0] immigrants[0] and[0] towards[0] bing's[0] domineering[0] of[0] her[0] newly[0] reunited[0] family[0] setting[0] out[0] a[0] set[0] of[0] stringent[-1] and[0] oppressive[-2] rules[0] which[0] create[0] tremendous[0] tension[-2] within[0] the[0] household[0] and[0] threaten[-2] to[0] fracture[-1] the[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , elder daughter yen ( annette shun wah ) , happily settled in germany with her husband and young daughter , begins to suffer an identity crisis , manifesting itself with her claims to her patiently exasperated husband that their new home is cursed with bad feng shui , and further exacerbated upon hearing of the familial conflict down under . 	meanwhile , elder daughter yen ( annette shun wah ) , happily settled in germany with her husband and young daughter , begins to suffer an identity crisis , manifesting itself with her claims to her patiently exasperated husband that their new home is cursed with bad feng shui , and further exacerbated upon hearing of the familial conflict down under .	3	-4	 meanwhile[0] elder[0] daughter[0] yen[0] annette[0] shun[-1] wah[0] happily[2] settled[0] in[0] germany[-1] with[0] her[0] husband[0] and[0] young[0] daughter[0] begins[0] to[0] suffer[-3] an[0] identity[0] crisis[-2] manifesting[0] itself[0] with[0] her[0] claims[0] to[0] her[0] patiently[0] exasperated[-1] husband[0] that[0] their[0] new[0] home[0] is[0] cursed[-1] with[0] bad[-1] feng[0] shui[0] and[0] further[0] exacerbated[0] upon[0] hearing[0] of[0] the[0] familial[0] conflict[-1] down[0] under[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
