the seasoned capt . dudley smith ( james cromwell ) questions his new protege , ed exley ( guy pearce ) about his political views when it comes to police work . 	Translation	Positive	Negative	EmotionRationale
 " would you plant evidence to get a conviction if you knew the person to be guilty ? 	 " would you plant evidence to get a conviction if you knew the person to be guilty ?	1	-4	 would[0] you[0] plant[0] evidence[0] to[0] get[0] a[0] conviction[-1] if[0] you[0] knew[0] the[0] person[0] to[0] be[0] guilty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
would you shoot a man in the back if you knew that it was the only way to make sure he got what he deserved ? " 	would you shoot a man in the back if you knew that it was the only way to make sure he got what he deserved ?<br> "	1	-2	 would[0] you[0] shoot[-1] a[0] man[0] in[0] the[0] back[0] if[0] you[0] knew[0] that[0] it[0] was[0] the[0] only[0] way[0] to[0] make[0] sure[0] he[0] got[0] what[0] he[0] deserved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
exley , squeaky clean , innocent , and pent with the desire to perform his new duties with integrity and honesty quickly answers with a pointed 'no . ' 	exley , squeaky clean , innocent , and pent with the desire to perform his new duties with integrity and honesty quickly answers with a pointed 'no .<br> '	2	-1	 exley[0] squeaky[0] clean[0] innocent[1] and[0] pent[0] with[0] the[0] desire[0] to[0] perform[0] his[0] new[0] duties[0] with[0] integrity[0] and[0] honesty[1] quickly[0] answers[0] with[0] a[0] pointed[0] 'no[0] [[Sentence=-1,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
stunned , smith pleads , " then , for the love of god , don't be a detective . " 	stunned , smith pleads , " then , for the love of god , don't be a detective .<br> "	3	-2	 stunned[-1] smith[0] pleads[0] then[0] for[0] the[0] love[2] of[0] god[0] don't[0] be[0] a[0] detective[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
la confidential is a dandy piece of filmmaking that brings us back to the classic times of hollywood in the 50s . 	la confidential is a dandy piece of filmmaking that brings us back to the classic times of hollywood in the 50s .	1	-1	 la[0] confidential[0] is[0] a[0] dandy[0] piece[0] of[0] filmmaking[0] that[0] brings[0] us[0] back[0] to[0] the[0] classic[0] times[0] of[0] hollywood[0] in[0] the[0] 50s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
organized crime was the biggest concern , corruption existed everywhere , and every cop had his own way of getting the job done . 	organized crime was the biggest concern , corruption existed everywhere , and every cop had his own way of getting the job done .	1	-3	 organized[0] crime[-1] was[0] the[0] biggest[0] concern[-1] corruption[-2] existed[0] everywhere[0] and[0] every[0] cop[0] had[0] his[0] own[0] way[0] of[0] getting[0] the[0] job[0] done[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there was " hollywood " jack vincennes ( kevin spacey ) who gets most of his information from the editor of a sleazy tell-all/show-all tabloid , sid hudgeons ( danny devito ) . 	there was " hollywood " jack vincennes ( kevin spacey ) who gets most of his information from the editor of a sleazy tell-all/show-all tabloid , sid hudgeons ( danny devito ) .	1	-3	 there[0] was[0] hollywood[0] jack[0] vincennes[0] kevin[0] spacey[0] who[0] gets[0] most[0] of[0] his[0] information[0] from[0] the[0] editor[0] of[0] a[0] sleazy[-2] tell[0] all/show[0] all[0] tabloid[0] sid[0] hudgeons[0] danny[0] devito[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sporting dark sunglasses and a white sports coat , he isn't afraid to flash his tinseltown style . 	sporting dark sunglasses and a white sports coat , he isn't afraid to flash his tinseltown style .	4	-1	 sporting[0] dark[0] sunglasses[0] and[0] a[0] white[0] sports[0] coat[0] he[0] isn't[0] afraid[-3][NegatedDueToPreviousWord] to[0] flash[0] his[0] tinseltown[0] style[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
detective bud white ( russell crowe ) has only a narrow-minded view of the law , and he uses excessive force to exact his unique kind of interrogation and brutal justice . 	detective bud white ( russell crowe ) has only a narrow-minded view of the law , and he uses excessive force to exact his unique kind of interrogation and brutal justice .	2	-3	 detective[0] bud[0] white[0] russell[0] crowe[0] has[0] only[0] a[0] narrow[0] minded[0] view[0] of[0] the[0] law[0] and[0] he[0] uses[0] excessive[-1] force[-1] to[0] exact[0] his[0] unique[0] kind[1] of[0] interrogation[0] and[0] brutal[-2] justice[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and then there is golden boy exley , wide-eyed and ambitious but extremely naive . 	and then there is golden boy exley , wide-eyed and ambitious but extremely naive .	1	-4	 and[0] then[0] there[0] is[0] golden[0] boy[0] exley[0] wide[0] eyed[0] and[0] ambitious[0] but[0] extremely[0] naive[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a horrible multiple murder begins to draw these three men together , each of whom become inexorably connected in their search for truth , action , and personal vindication . 	a horrible multiple murder begins to draw these three men together , each of whom become inexorably connected in their search for truth , action , and personal vindication .	2	-4	 a[0] horrible[-3] multiple[0] murder[-3] begins[0] to[0] draw[0] these[0] three[0] men[0] together[0] each[0] of[0] whom[0] become[0] inexorably[0] connected[0] in[0] their[0] search[0] for[0] truth[1] action[0] and[0] personal[0] vindication[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
almost immediately , an arrest is made . 	almost immediately , an arrest is made .	1	-1	 almost[0] immediately[0] an[0] arrest[0] is[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but something doesn't seem quite right . 	but something doesn't seem quite right .	1	-1	 but[0] something[0] doesn't[0] seem[0] quite[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
new developments become sinuous as the story begins to draw us deeper into the labyrinth of corruption and crime within the department . 	new developments become sinuous as the story begins to draw us deeper into the labyrinth of corruption and crime within the department .	1	-3	 new[0] developments[0] become[0] sinuous[0] as[0] the[0] story[0] begins[0] to[0] draw[0] us[0] deeper[0] into[0] the[0] labyrinth[0] of[0] corruption[-2] and[0] crime[-1] within[0] the[0] department[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
suspicion and questions begin to mount . 	suspicion and questions begin to mount .	1	-2	 suspicion[-1] and[0] questions[0] begin[0] to[0] mount[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
odd alliances are created . 	odd alliances are created .	1	-1	 odd[0] alliances[0] are[0] created[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and as layers of the truth become revealed , the story grows more complex and intriguing by the moment . 	and as layers of the truth become revealed , the story grows more complex and intriguing by the moment .	2	-1	 and[0] as[0] layers[0] of[0] the[0] truth[1] become[0] revealed[0] the[0] story[0] grows[0] more[0] complex[0] and[0] intriguing[0] by[0] the[0] moment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when the mystery expands , we see other seemingly guilty characters enter the lives of these three cops , including a high-priced hooker ( kim basinger ) and a shady millionaire ( david strathairn ) . 	when the mystery expands , we see other seemingly guilty characters enter the lives of these three cops , including a high-priced hooker ( kim basinger ) and a shady millionaire ( david strathairn ) .	1	-4	 when[0] the[0] mystery[0] expands[0] we[0] see[0] other[0] seemingly[0] guilty[-3] characters[0] enter[0] the[0] lives[0] of[0] these[0] three[0] cops[0] including[0] a[0] high[0] priced[0] hooker[0] kim[0] basinger[0] and[0] a[0] shady[-1] millionaire[0] david[0] strathairn[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
