oh god how many john grisham lawyer films we have been munundated with ! 	Translation	Positive	Negative	EmotionRationale
in a perfect world , " a civil action " would be a breath of fresh air . 	in a perfect world , " a civil action " would be a breath of fresh air .	2	-1	 in[0] a[0] perfect[1] world[0] a[0] civil[0] action[0] would[0] be[0] a[0] breath[0] of[0] fresh[0] air[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's cynical about lawyers in a way that grisham isn't . 	it's cynical about lawyers in a way that grisham isn't .	1	-2	 it's[0] cynical[-1] about[0] lawyers[0] in[0] a[0] way[0] that[0] grisham[0] isn't[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's romantic in the exact opposite way a grisham book/film isn't . 	it's romantic in the exact opposite way a grisham book/film isn't .	4	-1	 it's[0] romantic[3] in[0] the[0] exact[0] opposite[0] way[0] a[0] grisham[0] book/film[0] isn't[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and , the capper , it has no distinct ending , and the law in hollywood films is that above all else , you must have an ending . 	and , the caper , it has no distinct ending , and the law in hollywood films is that above all else , you must have an ending .	1	-1	 and[0] the[0] capper/caper[0] it[0] has[0] no[0] distinct[0] ending[0] and[0] the[0] law[0] in[0] hollywood[0] films[0] is[0] that[0] above[0] all[0] else[0] you[0] must[0] have[0] an[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even if it's based on a true story , a true story which hasn't yet ended , you must supply an ending , a false one , but an ending nevertheless . 	even if it's based on a true story , a true story which hasn't yet ended , you must supply an ending , a false one , but an ending nevertheless .	2	-1	 even[0] if[0] it's[0] based[0] on[0] a[0] true[1] story[0] a[0] true[1] story[0] which[0] hasn't[0] yet[0] ended[0] you[0] must[0] supply[0] an[0] ending[0] a[0] false[0] one[0] but[0] an[0] ending[0] nevertheless[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hell , " a civil action " is even more sly and more witty than any of the grisham works put together ( and that includes " the firm , " the only novel of his that will ever be regarded as a classic ) . 	hell , " a civil action " is even more sly and more witty than any of the grisham works put together ( and that includes " the firm , " the only novel of his that will ever be regarded as a classic ) .	1	-2	 hell[-1] a[0] civil[0] action[0] is[0] even[0] more[0] sly[-1] and[0] more[0] witty[0] than[0] any[0] of[0] the[0] grisham[0] works[0] put[0] together[0] and[0] that[0] includes[0] the[0] firm[0] the[0] only[0] novel[0] of[0] his[0] that[0] will[0] ever[0] be[0] regarded[0] as[0] a[0] classic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet it's also oddly and slightly unsatisfying . 	yet it's also oddly and slightly unsatisfying .	1	-1	 yet[0] it's[0] also[0] oddly[0] and[0] slightly[0] unsatisfying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weird . 	weird .	1	-2	 weird[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is , in fact , a steve zallian film , not just the work of a hack , and zallian is the director of the much-admired " search for bobby fischer " ( didn't see it ) and writer of none other than " schindler's list . " 	this is , in fact , a steve zallian film , not just the work of a hack , and zallian is the director of the much-admired " search for bobby fischer " ( didn't see it ) and writer of none other than " schindler's list .<br> "	3	-2	 this[0] is[0] in[0] fact[0] a[0] steve[0] zallian[0] film[0] not[0] just[0] the[0] work[0] of[0] a[0] hack[-1] and[0] zallian[0] is[0] the[0] director[0] of[0] the[0] much[0] admired[2] search[0] for[0] bobby[0] fischer[0] didn't[0] see[0] it[0] and[0] writer[0] of[0] none[0] other[0] than[0] schindler's[0] list[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in short , i like this guy , and am a sucker for the way he tells his stories . 	in short , i like this guy , and am a sucker for the way he tells his stories .	2	-2	 in[0] short[0] i[0] like[1] this[0] guy[0] and[0] am[0] a[0] sucker[-1] for[0] the[0] way[0] he[0] tells[0] his[0] stories[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after all , apart from the obvious it's-a-holocaust-film and it's-a-spielberg-film , isn't " schindler's list " just a damn brilliant film , not so much a holocaust film as it is a wonderful character study . 	after all , apart from the obvious it's-a-holocaust-film and it's-a-spielberg-film , isn't " schindler's list " just a damn brilliant film , not so much a holocaust film as it is a wonderful character study .	3	-2	 after[0] all[0] apart[0] from[0] the[0] obvious[0] it's[0] a[0] holocaust[0] film[0] and[0] it's[0] a[0] spielberg[0] film[0] isn't[0] schindler's[0] list[0] just[0] a[0] damn[-1] brilliant[1] film[0] not[0] so[0] much[0] a[0] holocaust[0] film[0] as[0] it[0] is[0] a[0] wonderful[2] character[0] study[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " a civil action " is the same way : it's narrative is split between being a lawyer film and being a character study . 	 " a civil action " is the same way : it's narrative is split between being a lawyer film and being a character study .	1	-1	 a[0] civil[0] action[0] is[0] the[0] same[0] way[0] it's[0] narrative[0] is[0] split[0] between[0] being[0] a[0] lawyer[0] film[0] and[0] being[0] a[0] character[0] study[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it's here that the film seems to go a bit wrong . 	and it's here that the film seems to go a bit wrong .	1	-2	 and[0] it's[0] here[0] that[0] the[0] film[0] seems[0] to[0] go[0] a[0] bit[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main complaint of this film is that while , yes , it's an engrossing lawyerly tale , it has no real ending , and that's not necessarily the problem with the film . 	the main complaint of this film is that while , yes , it's an engrossing lawyerly tale , it has no real ending , and that's not necessarily the problem with the film .	1	-2	 the[0] main[0] complaint[-1] of[0] this[0] film[0] is[0] that[0] while[0] yes[0] it's[0] an[0] engrossing[0] lawyerly[0] tale[0] it[0] has[0] no[0] real[0] ending[0] and[0] that's[0] not[0] necessarily[0] the[0] problem[-1] with[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's that it's just kind of unsatisfying . 	it's that it's just kind of unsatisfying .	1	-1	 it's[0] that[0] it's[0] just[0] kind[1][-1 LastWordBoosterStrength] of[0] unsatisfying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this were a great film , it would feel complete , and still end basically the same way . 	if this were a great film , it would feel complete , and still end basically the same way .	3	-1	 if[0] this[0] were[0] a[0] great[2] film[0] it[0] would[0] feel[0] complete[0] and[0] still[0] end[0] basically[0] the[0] same[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this film just seems to end , and i don't want to be stupid and suggest an alternate ending should be tacked on : imagine , if you will , being one of those the film is about , looking forward to this film , and then discovered the truth has been through a surrealistic and unpleasant hollywood filter , just so the many won't bitch about what is , essentially , genuine . 	but this film just seems to end , and i don't want to be stupid and suggest an alternate ending should be tacked on : imagine , if you will , being one of those the film is about , looking forward to this film , and then discovered the truth has been through a surrealistic and unpleasant hollywood filter , just so the many won't bitch about what is , essentially , genuine .	2	-3	 but[0] this[0] film[0] just[0] seems[0] to[0] end[0] and[0] i[0] don't[0] want[0] to[0] be[0] stupid[-1] and[0] suggest[0] an[0] alternate[0] ending[0] should[0] be[0] tacked[0] on[0] imagine[0] if[0] you[0] will[0] being[0] one[0] of[0] those[0] the[0] film[0] is[0] about[0] looking[0] forward[0] to[0] this[0] film[0] and[0] then[0] discovered[0] the[0] truth[1] has[0] been[0] through[0] a[0] surrealistic[0] and[0] unpleasant[-2] hollywood[0] filter[0] just[0] so[0] the[0] many[0] won't[0] bitch[-1][NegatedDueToPreviousWord] about[0] what[0] is[0] essentially[0] genuine[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the fact that it just ends is not , in all actuality , what is wrong with it . 	but the fact that it just ends is not , in all actuality , what is wrong with it .	1	-2	 but[0] the[0] fact[0] that[0] it[0] just[0] ends[0] is[0] not[0] in[0] all[0] actuality[0] what[0] is[0] wrong[-1] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's rather that zallian has chosen , in the last half hour , to adandon the traditional lawyer story , and chose the other part of his story , the one about the lawyer , one jan schlictman ( john travolta ) , who's shown in the opening and throughout most of the movie as a heartless but brilliant lawyer , brilliant because he's manipulative and he always wins . 	it's rather that zallian has chosen , in the last half hour , to adandon the traditional lawyer story , and chose the other part of his story , the one about the lawyer , one jan schlictman ( john travolta ) , who's shown in the opening and throughout most of the movie as a heartless but brilliant lawyer , brilliant because he's manipulative and he always wins .	2	-3	 it's[0] rather[0] that[0] zallian[0] has[0] chosen[0] in[0] the[0] last[0] half[0] hour[0] to[0] adandon[0] the[0] traditional[0] lawyer[0] story[0] and[0] chose[0] the[0] other[0] part[0] of[0] his[0] story[0] the[0] one[0] about[0] the[0] lawyer[0] one[0] jan[0] schlictman[0] john[0] travolta[0] who's[0] shown[0] in[0] the[0] opening[0] and[0] throughout[0] most[0] of[0] the[0] movie[0] as[0] a[0] heartless[-2] but[0] brilliant[1] lawyer[0] brilliant[1] because[0] he's[0] manipulative[-1] and[0] he[0] always[0] wins[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it wishes to make it all about jan in the end , but the truth is , his change , although nicely done , is not full . 	it wishes to make it all about jan in the end , but the truth is , his change , although nicely done , is not full .	2	-1	 it[0] wishes[0] to[0] make[0] it[0] all[0] about[0] jan[0] in[0] the[0] end[0] but[0] the[0] truth[1] is[0] his[0] change[0] although[0] nicely[1] done[0] is[0] not[0] full[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
