harmless , silly and fun comedy about dim-witted wrestling fans gordie and sean ( david arquette and scott caan ) who idolize current world championship wrestling heavyweight champion jimmy king ( oliver platt ) . 	Translation	Positive	Negative	EmotionRationale
when king is screwed out of his title by a corrupt promoter ( joe pantoliano ) , gordie and sean take it upon themselves to find their fallen hero and restore his glory . 	when king is screwed out of his title by a corrupt promoter ( joe pantoliano ) , gordie and sean take it upon themselves to find their fallen hero and restore his glory .	3	-3	 when[0] king[0] is[0] screwed[0] out[0] of[0] his[0] title[0] by[0] a[0] corrupt[-2] promoter[0] joe[0] pantoliano[0] gordie[0] and[0] sean[0] take[0] it[0] upon[0] themselves[0] to[0] find[0] their[0] fallen[0] hero[2] and[0] restore[0] his[0] glory[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
my biggest fear about ready to rumble was dispatched early on , as the filmmakers are quick to show that wresting is indeed choreographed ( but not fake , mind you ) . 	my biggest fear about ready to rumble was dispatched early on , as the filmmakers are quick to show that wresting is indeed choreographed ( but not fake , mind you ) .	2	-4	 my[0] biggest[0] fear[-3] about[0] ready[0] to[0] rumble[0] was[0] dispatched[0] early[0] on[0] as[0] the[0] filmmakers[0] are[0] quick[0] to[0] show[0] that[0] wresting[0] is[0] indeed[0] choreographed[-2] but[0] not[0] fake[-1][NegatedDueToPreviousWord] mind[0] you[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the hook of the movie is that gordie and sean are just too stupid to realize that . 	the hook of the movie is that gordie and sean are just too stupid to realize that .	1	-2	 the[0] hook[0] of[0] the[0] movie[0] is[0] that[0] gordie[0] and[0] sean[0] are[0] just[0] too[0] stupid[-1] to[0] realize[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
arquette and caan are suitably over the top with their performances , which is exactly what a movie like this requires , and oliver platt ( one of my favorite actors ) is a riot as the drunken washed-up ex-champion . 	arquette and can are suitably over the top with their performances , which is exactly what a movie like this requires , and oliver platt ( one of my favorite actors ) is a riot as the drunken washed-up ex-champion .	2	-2	 arquette[0] and[0] caan/can[0] are[0] suitably[0] over[0] the[0] top[0] with[0] their[0] performances[0] which[0] is[0] exactly[0] what[0] a[0] movie[0] like[1] this[0] requires[0] and[0] oliver[0] platt[0] one[0] of[0] my[0] favorite[1] actors[0] is[0] a[0] riot[0] as[0] the[0] drunken[-1] washed[0] up[0] ex[0] champion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
many have scoffed at the idea that platt should be playing a heavyweight champion wrestler with an unbeaten record , but for me it just added to the " silly factor " of the film , thereby increasing my enjoyment of it . 	many have scoffed at the idea that platt should be playing a heavyweight champion wrestler with an unbeaten record , but for me it just added to the " silly factor " of the film , thereby increasing my enjoyment of it .	3	-2	 many[0] have[0] scoffed[-1] at[0] the[0] idea[0] that[0] platt[0] should[0] be[0] playing[1] a[0] heavyweight[0] champion[0] wrestler[0] with[0] an[0] unbeaten[0] record[0] but[0] for[0] me[0] it[0] just[0] added[0] to[0] the[0] silly[-1] factor[0] of[0] the[0] film[0] thereby[0] increasing[0] my[0] enjoyment[2] of[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one casting complaint however : rose mcgowan as a sexy dancer ? 	one casting complaint however : rose mcgowan as a sexy dancer ?	3	-2	 one[0] casting[0] complaint[-1] however[0] rose[0] mcgowan[0] as[0] a[0] sexy[2] dancer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
please . . . 	please .<br> .<br> .	2	-1	 please[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if rose mcgowan is sexy then i'm marilyn manson . 	if rose mcgowan is sexy then i'm marilyn manson .	3	-1	 if[0] rose[0] mcgowan[0] is[0] sexy[2] then[0] i'm[0] marilyn[0] manson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
given the current state of the actual wcw , if oliver platt were appearing as jimmy king right now on wcw programming , he'd be the most popular guy they have . 	given the current state of the actual wcw , if oliver platt were appearing as jimmy king right now on wcw programming , he'd be the most popular guy they have .	1	-1	 given[0] the[0] current[0] state[0] of[0] the[0] actual[0] wcw[0] if[0] oliver[0] platt[0] were[0] appearing[0] as[0] jimmy[0] king[0] right[0] now[0] on[0] wcw[0] programming[0] he'd[0] be[0] the[0] most[0] popular[0] guy[0] they[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on a similar note , the " plot line " of the wresting portions of the film are more entertaining than anything the wcw writers have been able to come up with in the last two years . 	on a similar note , the " plot line " of the wresting portions of the film are more entertaining than anything the wcw writers have been able to come up with in the last two years .	1	-1	 on[0] a[0] similar[0] note[0] the[0] plot[0] line[0] of[0] the[0] wresting[0] portions[0] of[0] the[0] film[0] are[0] more[0] entertaining[0] than[0] anything[0] the[0] wcw[0] writers[0] have[0] been[0] able[0] to[0] come[0] up[0] with[0] in[0] the[0] last[0] two[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although one does have to ask . . . 	although one does have to ask .<br> .<br> .	1	-1	 although[0] one[0] does[0] have[0] to[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why would any wrestling promoter fire the head wrestler of a company who is both unbeaten and extremely popular with the fans ? 	why would any wrestling promoter fire the head wrestler of a company who is both unbeaten and extremely popular with the fans ?	1	-1	 why[0] would[0] any[0] wrestling[0] promoter[0] fire[0] the[0] head[0] wrestler[0] of[0] a[0] company[0] who[0] is[0] both[0] unbeaten[0] and[0] extremely[0] popular[0] with[0] the[0] fans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director brian robbins ( you'll remember him as eric from tv's " head of the class " ) just knows how to make good dumb movies . 	director brian robins ( you'll remember him as eric from tv's " head of the class " ) just knows how to make good dumb movies .	2	-2	 director[0] brian[0] robbins/robins[0] you'll[0] remember[0] him[0] as[0] eric[0] from[0] tv's[0] head[0] of[0] the[0] class[0] just[0] knows[0] how[0] to[0] make[0] good[1] dumb[-1] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this movie fits in nicely with his previous efforts good burger and varsity blues . 	this movie fits in nicely with his previous efforts good burger and varsity blues .	2	-1	 this[0] movie[0] fits[0] in[0] nicely[1] with[0] his[0] previous[0] efforts[0] good[1] burger[0] and[0] varsity[0] blues[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and screenwriter steven brill ( the epic mighty ducks trilogy , late last night ) manages to keep things both sophomoric and clever at the same time , with almost all the jokes of the film getting a laugh out of me . 	and screenwriter steven brill ( the epic mighty ducks trilogy , late last night ) manages to keep things both sophomoric and clever at the same time , with almost all the jokes of the film getting a laugh out of me .	2	-1	 and[0] screenwriter[0] steven[0] brill[0] the[0] epic[0] mighty[0] ducks[0] trilogy[0] late[0] last[0] night[0] manages[0] to[0] keep[0] things[0] both[0] sophomoric[0] and[0] clever[0] at[0] the[0] same[0] time[0] with[0] almost[0] all[0] the[0] jokes[1] of[0] the[0] film[0] getting[0] a[0] laugh[1] out[0] of[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only exceptions to that were : 1 ) a scene involving a van full of singing nuns and 2 ) any scene involving the old woman wrestling fan . 	the only exceptions to that were : 1 ) a scene involving a van full of singing nuns and 2 ) any scene involving the old woman wrestling fan .	1	-1	 the[0] only[0] exceptions[0] to[0] that[0] were[0] 1[0] a[0] scene[0] involving[0] a[0] van[0] full[0] of[0] singing[0] nuns[0] and[0] 2[0] any[0] scene[0] involving[0] the[0] old[0] woman[0] wrestling[0] fan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those moments made me cringe and/or groan . 	those moments made me cringe and/or groan .	1	-2	 those[0] moments[0] made[0] me[0] cringe[-1] and/or[0] groan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as an added bonus though , the audience is treated to outtakes from the film as the final credits roll . 	as an added bonus though , the audience is treated to outtakes from the film as the final credits roll .	1	-1	 as[0] an[0] added[0] bonus[0] though[0] the[0] audience[0] is[0] treated[0] to[0] outtakes[0] from[0] the[0] film[0] as[0] the[0] final[0] credits[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
