the heist of a flawless , 84 carat diamond , fixed bare knuckle fights , irish gypsies and a dog are just some of the goings on in director guy ritchies's sophomore feature , " snatch . " 	Translation	Positive	Negative	EmotionRationale
 " lock , stock and two smoking barrels " intro'd helmer/scripter ritchie with a hyper-kinetic , in your face underworld comedy that grabbed the viewer's attention from beginning to end . 	 " lock , stock and two smoking barrels " intro'd helmer/scripter ritchie with a hyper-kinetic , in your face underworld comedy that grabbed the viewer's attention from beginning to end .	1	-2	 lock[0] stock[0] and[0] two[0] smoking[0] barrels[0] intro'd[0] helmer/scripter[0] ritchie[0] with[0] a[0] hyper[0] kinetic[0] in[0] your[0] face[0] underworld[-1] comedy[0] that[0] grabbed[-1] the[0] viewer's[0] attention[0] from[0] beginning[0] to[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his protagonists were innocents set adrift in a see of sharks to swim or be eaten alive . 	his protagonists were innocents set adrift in a see of sharks to swim or be eaten alive .	2	-1	 his[0] protagonists[0] were[0] innocents[1] set[0] adrift[0] in[0] a[0] see[0] of[0] sharks[0] to[0] swim[0] or[0] be[0] eaten[0] alive[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with " snatch , " the director doesn't remake his first work , but he does delve more deeply into the criminal underbelly of london , mining a rich collection of characters in the process . 	with " snatch , " the director doesn't remake his first work , but he does delve more deeply into the criminal underbelly of london , mining a rich collection of characters in the process .	1	-2	 with[0] snatch[-1] the[0] director[0] doesn't[0] remake[0] his[0] first[0] work[0] but[0] he[0] does[0] delve[0] more[0] deeply[0] into[0] the[0] criminal[-1] underbelly[0] of[0] london[0] mining[0] a[0] rich[0] collection[0] of[0] characters[0] in[0] the[0] process[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 from the very beginning , " snatch " tosses you into the action with the theft of the fabulous diamond , the desire of new york gangster avi ( dennis farina ) . 	 from the very beginning , " snatch " tosses you into the action with the theft of the fabulous diamond , the desire of new york gangster avi ( dennis farina ) .	3	-2	 from[0] the[0] very[0] beginning[0] snatch[-1] tosses[0] you[0] into[0] the[0] action[0] with[0] the[0] theft[-1] of[0] the[0] fabulous[2] diamond[0] the[0] desire[0] of[0] new[0] york[0] gangster[0] avi[0] dennis[0] farina[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
en route from antwerp , diamond thief and courier frankie four fingers ( benicio del toro ) stops in london to make a separate deal with avi's partner and cousin , doug " the head " ( mike reid ) . 	en route from antwerp , diamond thief and courier frankie four fingers ( benicio del toro ) stops in london to make a separate deal with avi's partner and cousin , doug " the head " ( mike reid ) .	1	-2	 en[0] route[0] from[0] antwerp[0] diamond[0] thief[-1] and[0] courier[0] frankie[0] four[0] fingers[0] benicio[0] del[0] toro[0] stops[0] in[0] london[0] to[0] make[0] a[0] separate[0] deal[0] with[0] avi's[0] partner[0] and[0] cousin[0] doug[0] the[0] head[0] mike[0] reid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
frankie's addiction to gambling tempts him into making a bet on an illegal boxing match for boris " the blade " ( rade sherbedgia ) , a ruthless russian mobster . 	frankie's addiction to gambling tempts him into making a bet on an illegal boxing match for boris " the blade " ( rade sherbedgia ) , a ruthless russian mobster .	1	-3	 frankie's[0] addiction[-1] to[0] gambling[0] tempts[0] him[0] into[0] making[0] a[0] bet[0] on[0] an[0] illegal[-1] boxing[0] match[0] for[0] boris[0] the[0] blade[0] rade[0] sherbedgia[0] a[0] ruthless[-2] russian[0] mobster[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bet turns out to be a setup for a robbery by a trio of bumbling incompetents - vinnie ( robbie gee ) , sol ( lennie james ) and portly tyrone ( ade ) - that goes miserably awry . 	the bet turns out to be a setup for a robbery by a trio of bumbling incompetents - vinnie ( robbie gee ) , sol ( lennie james ) and portly tyrone ( ade ) - that goes miserably awry .	1	-3	 the[0] bet[0] turns[0] out[0] to[0] be[0] a[0] setup[0] for[0] a[0] robbery[-1] by[0] a[0] trio[0] of[0] bumbling[0] incompetents[-2] vinnie[0] robbie[0] gee[0] sol[0] lennie[0] james[0] and[0] portly[0] tyrone[0] ade[0] that[0] goes[0] miserably[-2] awry[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , a couple of young toughs , turkish ( jason stratham ) and tommy ( stephen graham ) , are trying to break in to the boxing game with the help of local villain brick top ( alan ford ) , who also owns a pig farm . 	meanwhile , a couple of young toughs , turkish ( jason stratham ) and tommy ( stephen graham ) , are trying to break in to the boxing game with the help of local villain brick top ( alan ford ) , who also owns a pig farm .	1	-3	 meanwhile[0] a[0] couple[0] of[0] young[0] toughs[-1] turkish[0] jason[0] stratham[0] and[0] tommy[0] stephen[0] graham[0] are[0] trying[0] to[0] break[0] in[0] to[0] the[0] boxing[0] game[0] with[0] the[0] help[0] of[0] local[0] villain[-2] brick[0] top[0] alan[0] ford[0] who[0] also[0] owns[0] a[0] pig[0] farm[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when their first fighter is put out of action , with one punch , by a wild irish gypsy named mickey o'neil , they figure to put the loose canon in as the contender in a fixed fight . 	when their first fighter is put out of action , with one punch , by a wild irish gypsy named mickey o'neil , they figure to put the loose canon in as the contender in a fixed fight .	1	-3	 when[0] their[0] first[0] fighter[-2] is[0] put[0] out[0] of[0] action[0] with[0] one[0] punch[-1] by[0] a[0] wild[0] irish[0] gypsy[0] named[0] mickey[0] o'neil[0] they[0] figure[0] to[0] put[0] the[0] loose[0] canon[0] in[0] as[0] the[0] contender[0] in[0] a[0] fixed[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mickey proves less than reliable and goes against turkish and tommy's deal . 	mickey proves less than reliable and goes against turkish and tommy's deal .	1	-2	 mickey[0] proves[0] less[0] than[0] reliable[0] and[0] goes[0] against[-1] turkish[0] and[0] tommy's[0] deal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
