i'm not quite sure what to say about mars attacks ! , which is obviously the work of a deranged genius . 	Translation	Positive	Negative	EmotionRationale
when tim burton's twisted alien invasion comedy really works , it's breathtaking and hilarious in equal measure . 	when tim burton's twisted alien invasion comedy really works , it's breathtaking and hilarious in equal measure .	3	-2	 when[0] tim[0] burton's[0] twisted[0] alien[-1] invasion[0] comedy[0] really[0] works[0] it's[0] breathtaking[0] and[0] hilarious[2] in[0] equal[0] measure[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and when it doesn't work , it's just dull . 	and when it doesn't work , it's just dull .	1	-1	 and[0] when[0] it[0] doesn't[0] work[0] it's[0] just[0] dull[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not even sure it works more often than it doesn't , but where it counts -- that is , when this gleefully evil invading force from the red planet gets down to the business of blasting us to kingdom come -- mars attacks ! 	i'm not even sure it works more often than it doesn't , but where it counts - that is , when this gleefully evil invading force from the red planet gets down to the business of blasting us to kingdom come - mars attacks !	1	-3	 i'm[0] not[0] even[0] sure[0] it[0] works[0] more[0] often[0] than[0] it[0] doesn't[0] but[0] where[0] it[0] counts[0] that[0] is[0] when[0] this[0] gleefully[0] evil[-2] invading[0] force[-1] from[0] the[0] red[0] planet[0] gets[0] down[0] to[0] the[0] business[0] of[0] blasting[0] us[0] to[0] kingdom[0] come[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is brilliant . 	is brilliant .	2	-1	 is[0] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mars attacks ! 	mars attacks !	1	-3	 mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is based on a rather unsavory series of trading cards released by topps in the 1950s , and it takes its cues from the same sources as this summer's independence day -- old alien invasion flicks , disaster movies , and big-budget special effects extravaganzas . 	is based on a rather unsavory series of trading cards released by tops in the 1950s , and it takes its cues from the same sources as this summer's independence day - old alien invasion flicks , disaster movies , and big-budget special effects extravaganzas .	2	-3	 is[0] based[0] on[0] a[0] rather[0] unsavory[-2] series[0] of[0] trading[0] cards[0] released[0] by[0] topps/tops[0] in[0] the[0] 1950s[0] and[0] it[0] takes[0] its[0] cues[0] from[0] the[0] same[0] sources[-1] as[0] this[0] summer's[0] independence[0] day[0] old[0] alien[-1] invasion[0] flicks[0] disaster[-1] movies[0] and[0] big[0] budget[0] special[1] effects[0] extravaganzas[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but unlike independence day , which was a painfully middle-of-the-road appeal to the hearts , minds and wallets of america , mars attacks ! 	but unlike independence day , which was a painfully middle-of-the-road appeal to the hearts , minds and wallets of america , mars attacks !	1	-4	 but[0] unlike[0] independence[0] day[0] which[0] was[0] a[0] painfully[-3] middle[0] of[0] the[0] road[0] appeal[0] to[0] the[0] hearts[0] minds[0] and[0] wallets[0] of[0] america[0] mars[0] attacks[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
has a fully developed and very personal sense of wonder about it . 	has a fully developed and very personal sense of wonder about it .	1	-1	 has[0] a[0] fully[0] developed[0] and[0] very[0] personal[0] sense[0] of[0] wonder[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the big difference is that while independence day celebrated the resilience of human beings , mars attacks ! 	the big difference is that while independence day celebrated the resilience of human beings , mars attacks !	2	-3	 the[0] big[0] difference[0] is[0] that[0] while[0] independence[0] day[0] celebrated[1] the[0] resilience[0] of[0] human[0] beings[0] mars[0] attacks[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
portrays us as the greedy and hapless schmucks that we are . 	portrays us as the greedy and hapless schmucks that we are .	1	-3	 portrays[0] us[0] as[0] the[0] greedy[-2] and[0] hapless[-1] schmucks[0] that[0] we[0] are[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the title sequence is just splendid -- an incredible swarm of flying saucers rises out of the canals of the red planet and then storms earthward through the solar system in formation . 	the title sequence is just splendid - an incredible swarm of flying saucers rises out of the canals of the red planet and then storms earthward through the solar system in formation .	2	-1	 the[0] title[0] sequence[0] is[0] just[0] splendid[2][-1 LastWordBoosterStrength] an[0] incredible[0] swarm[0] of[0] flying[0] saucers[0] rises[0] out[0] of[0] the[0] canals[0] of[0] the[0] red[0] planet[0] and[0] then[0] storms[0] earthward[0] through[0] the[0] solar[0] system[0] in[0] formation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the spinning metal saucers are dead ringers for the invading forces of movies past , and their first appearance on the big screen in combination with danny elfman's thundering , theremin-driven score is absolutely jaw-dropping . 	the spinning metal saucers are dead ringers for the invading forces of movies past , and their first appearance on the big screen in combination with danny elfman's thundering , theremin-driven score is absolutely jaw-dropping .	1	-3	 the[0] spinning[0] metal[0] saucers[0] are[0] dead[-2] ringers[0] for[0] the[0] invading[0] forces[0] of[0] movies[0] past[0] and[0] their[0] first[0] appearance[0] on[0] the[0] big[0] screen[0] in[0] combination[0] with[0] danny[0] elfman's[0] thundering[0] theremin[0] driven[0] score[0] is[0] absolutely[0] jaw[0] dropping[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's so overwhelming that , i swear to you , i had trouble breathing . 	it's so overwhelming that , i swear to you , i had trouble breathing .	1	-3	 it's[0] so[0] overwhelming[-2] that[0] i[0] swear[-1] to[0] you[0] i[0] had[0] trouble[-1] breathing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie lays low for the next 40 minutes . 	the movie lays low for the next 40 minutes .	1	-2	 the[0] movie[0] lays[0] low[-1] for[0] the[0] next[0] 40[0] minutes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we get a glimpse of the alien leader , resplendent in a purple-sequined cape , when a television message is broadcast to the people of the world -- naturally , the only way to communicate with earthlings is to preempt our regularly scheduled programming . 	we get a glimpse of the alien leader , resplendent in a purple-sequined cape , when a television message is broadcast to the people of the world - naturally , the only way to communicate with earthlings is to preempt our regularly scheduled programming .	1	-2	 we[0] get[0] a[0] glimpse[0] of[0] the[0] alien[-1] leader[0] resplendent[0] in[0] a[0] purple[0] sequined[0] cape[0] when[0] a[0] television[0] message[0] is[0] broadcast[0] to[0] the[0] people[0] of[0] the[0] world[0] naturally[0] the[0] only[0] way[0] to[0] communicate[0] with[0] earthlings[0] is[0] to[0] preempt[0] our[0] regularly[0] scheduled[0] programming[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but mostly , the first act is spent developing characters , setting up mildly comic situations , and drawing a quirky but dishearteningly drab picture of america according to tim burton . 	but mostly , the first act is spent developing characters , setting up mildly comic situations , and drawing a quirky but dishearteningly drab picture of america according to tim burton .	1	-2	 but[0] mostly[0] the[0] first[0] act[0] is[0] spent[0] developing[0] characters[0] setting[0] up[0] mildly[0] comic[0] situations[0] and[0] drawing[0] a[0] quirky[0] but[0] dishearteningly[-1] drab[-1] picture[0] of[0] america[0] according[0] to[0] tim[0] burton[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a good thing that the most compelling personality in the movie belongs to the aliens , because burton's just not interested in making more than caricatures out of his human stars . 	it's a good thing that the most compelling personality in the movie belongs to the aliens , because burton's just not interested in making more than caricatures out of his human stars .	2	-2	 it's[0] a[0] good[1] thing[0] that[0] the[0] most[0] compelling[0] personality[0] in[0] the[0] movie[0] belongs[0] to[0] the[0] aliens[0] because[0] burton's[0] just[0] not[0] interested[1][NegatedDueToPreviousWord] in[0] making[0] more[0] than[0] caricatures[0] out[0] of[0] his[0] human[0] stars[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
anyone who comes to mars attacks ! 	anyone who comes to mars attacks !	1	-3	 anyone[0] who[0] comes[0] to[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
expecting to see a lot of one favorite actor is bound to be disappointed -- with few exceptions , these characters are dispatched as the film progresses . 	expecting to see a lot of one favorite actor is bound to be disappointed - with few exceptions , these characters are dispatched as the film progresses .	2	-2	 expecting[0] to[0] see[0] a[0] lot[0] of[0] one[0] favorite[1] actor[0] is[0] bound[0] to[0] be[0] disappointed[-1] with[0] few[0] exceptions[0] these[0] characters[0] are[0] dispatched[0] as[0] the[0] film[0] progresses[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jack nicholson is a lot of fun as the president of the united states but fizzles as a sleazy las vegas hotel developer . rod steiger does an amusing enough take on dr . strangelove's buck turgidson , glenn close brings some star power to the role of the first lady , and martin short is a presidential aide who meets the martians in the white house's " kennedy room , " a secluded nook where he unwittingly tries to seduce an alien dressed up as a big-haired , pointy-breasted sexpot ( lisa marie , the burton flame who played vampira in ed wood ) -- in an earlier scene , it's made clear that the aliens studied human sexuality in the pages of an old issue of playboy . 	jack nicholson is a lot of fun as the president of the united states but fizles as a sleazy las vegas hotel developer .<br> rod steiger does an amusing enough take on dr .<br> strangelove's buck turgidson , glen close brings some star power to the role of the first lady , and martin short is a presidential aide who meets the martians in the white house's " kennedy room , " a secluded nook where he unwittingly tries to seduce an alien dressed up as a big-haired , pointy-breasted sexpot ( lisa marie , the burton flame who played vampira in ed wood ) - in an earlier scene , it's made clear that the aliens studied human sexuality in the pages of an old issue of playboy .	2	-3	 jack[0] nicholson[0] is[0] a[0] lot[0] of[0] fun[1] as[0] the[0] president[0] of[0] the[0] united[0] states[0] but[0] fizzles/fizles[0] as[0] a[0] sleazy[-2] las[0] vegas[0] hotel[0] developer[0] [[Sentence=-3,2=word max, 1-5]] rod[0] steiger[0] does[0] an[0] amusing[1] enough[0] take[0] on[0] dr[0] [[Sentence=-1,2=word max, 1-5]] strangelove's[0] buck[0] turgidson[0] glenn/glen[0] close[0] brings[0] some[0] star[0] power[0] to[0] the[0] role[0] of[0] the[0] first[0] lady[0] and[0] martin[0] short[0] is[0] a[0] presidential[0] aide[0] who[0] meets[0] the[0] martians[0] in[0] the[0] white[0] house's[0] kennedy[0] room[0] a[0] secluded[0] nook[0] where[0] he[0] unwittingly[0] tries[0] to[0] seduce[0] an[0] alien[-1] dressed[0] up[0] as[0] a[0] big[0] haired[0] pointy[0] breasted[0] sexpot[0] lisa[0] marie[0] the[0] burton[0] flame[-2] who[0] played[0] vampira[0] in[0] ed[0] wood[0] in[0] an[0] earlier[0] scene[0] it's[0] made[0] clear[0] that[0] the[0] aliens[0] studied[0] human[0] sexuality[0] in[0] the[0] pages[0] of[0] an[0] old[0] issue[0] of[0] playboy[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
sarah jessica parker hosts her own tv show and michael j . fox is her newsman husband . 	sarah jessica parker hosts her own tv show and michael j .<br> fox is her newsman husband .	1	-1	 sarah[0] jessica[0] parker[0] hosts[0] her[0] own[0] tv[0] show[0] and[0] michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] fox[0] is[0] her[0] newsman[0] husband[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the octogenarian sylvia sidney has a funny part as the old woman who cackles , " they blew up congress ! " 	the octogenarian sylvia sidney has a funny part as the old woman who cackles , " they blew up congress !<br> "	2	-1	 the[0] octogenarian[0] sylvia[0] sidney[0] has[0] a[0] funny[1] part[0] as[0] the[0] old[0] woman[0] who[0] cackles[0] they[0] blew[0] up[0] congress[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and plays a decisive role in the defeat of the alien menace . 	and plays a decisive role in the defeat of the alien menace .	2	-3	 and[0] plays[1] a[0] decisive[0] role[0] in[0] the[0] defeat[0] of[0] the[0] alien[-1] menace[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jim brown and tom jones are the film's vegas-based heroes , and director barbet schroeder ( reversal of fortune ) has a funny cameo as the unfortunate french president . 	jim brown and tom jones are the film's vegas-based heroes , and director barbet schroeder ( reversal of fortune ) has a funny cameo as the unfortunate french president .	3	-2	 jim[0] brown[0] and[0] tom[0] jones[0] are[0] the[0] film's[0] vegas[0] based[0] heroes[2] and[0] director[0] barbet[0] schroeder[0] reversal[0] of[0] fortune[0] has[0] a[0] funny[1] cameo[0] as[0] the[0] unfortunate[-1] french[0] president[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
also on hand and underutilized are annette bening , pierce brosnan , pam grier , lukas haas and natalie portman ( the latter two also show up in woody allen's everyone says i love you ) . 	also on hand and underutilized are annette bening , pierce brosnan , pam grier , lukas has and natalie portman ( the latter two also show up in woody allen's everyone says i love you ) .	3	-1	 also[0] on[0] hand[0] and[0] underutilized[0] are[0] annette[0] bening[0] pierce[0] brosnan[0] pam[0] grier[0] lukas[0] haas/has[0] and[0] natalie[0] portman[0] the[0] latter[0] two[0] also[0] show[0] up[0] in[0] woody[0] allen's[0] everyone[0] says[0] i[0] love[2] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the real stars , of course , are the computer-generated martians , and they're fantastic . 	the real stars , of course , are the computer-generated martians , and they're fantastic .	3	-1	 the[0] real[0] stars[0] of[0] course[0] are[0] the[0] computer[0] generated[0] martians[0] and[0] they're[0] fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with bare brains glistening atop their grinning skull-faces , round egg-eyes with red pupils darting this way and that , these animated invaders are malevolence incarnate -- joe dante's gremlins are the closest equivalent in recent memory , but burton's little monsters are more inventive . 	with bare brains glistening atop their grinning skull-faces , round egg-eyes with red pupils darting this way and that , these animated invaders are malevolence incarnate - joe dante's gremlins are the closest equivalent in recent memory , but burton's little monsters are more inventive .	2	-2	 with[0] bare[0] brains[0] glistening[0] atop[0] their[0] grinning[1] skull[0] faces[0] round[0] egg[0] eyes[0] with[0] red[0] pupils[0] darting[0] this[0] way[0] and[0] that[0] these[0] animated[0] invaders[-1] are[0] malevolence[0] incarnate[0] joe[0] dante's[0] gremlins[0] are[0] the[0] closest[0] equivalent[0] in[0] recent[0] memory[0] but[0] burton's[0] little[0] monsters[0] are[0] more[0] inventive[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film's raison d'etre are the scenes of crimes against mankind -- the most famous monuments of the world crumble under the alien assault , easter island is turned into a bowling alley , and the nasty little buggers perform hideous medical experiments on captured humans . 	the film's raison d'etre are the scenes of crimes against mankind - the most famous monuments of the world crumble under the alien assault , easter island is turned into a bowling alley , and the nasty little buggers perform hideous medical experiments on captured humans .	1	-3	 the[0] film's[0] raison[0] d'etre[0] are[0] the[0] scenes[0] of[0] crimes[-1] against[-1] mankind[0] the[0] most[0] famous[0] monuments[0] of[0] the[0] world[0] crumble[-1] under[0] the[0] alien[-1] assault[-2] easter[0] island[0] is[0] turned[0] into[0] a[0] bowling[0] alley[0] and[0] the[0] nasty[-2] little[0] buggers[0] perform[0] hideous[-1] medical[0] experiments[0] on[0] captured[-1] humans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the sheer level of mayhem is staggering , especially when the aliens make their first attack , blasting human beings into iridescent skeletons . 	the sheer level of mayhem is staggering , especially when the aliens make their first attack , blasting human beings into iridescent skeletons .	1	-3	 the[0] sheer[0] level[0] of[0] mayhem[0] is[0] staggering[0] especially[0] when[0] the[0] aliens[0] make[0] their[0] first[0] attack[-2] blasting[0] human[0] beings[0] into[0] iridescent[0] skeletons[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
parents are urged to pay special attention to the pg-13 rating -- it's earned . 	parents are urged to pay special attention to the pg-13 rating - it's earned .	2	-1	 parents[0] are[0] urged[0] to[0] pay[0] special[1] attention[0] to[0] the[0] pg[0] -13[0] rating[0] it's[0] earned[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the special effects vary from charming to astonishing to deliciously cheesy , and at least a couple of shots of mass destruction seem to have been engineered specifically in response to independence day , although mars attacks ! 	the special effects vary from charming to astonishing to deliciously cheesy , and at least a couple of shots of mass destruction seem to have been engineered specifically in response to independence day , although mars attacks !	3	-3	 the[0] special[1] effects[0] vary[0] from[0] charming[1] to[0] astonishing[0] to[0] deliciously[2] cheesy[0] and[0] at[0] least[0] a[0] couple[0] of[0] shots[0] of[0] mass[0] destruction[-1] seem[0] to[0] have[0] been[0] engineered[0] specifically[0] in[0] response[0] to[0] independence[0] day[0] although[0] mars[0] attacks[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
was in production long before that film's release . 	was in production long before that film's release .	1	-1	 was[0] in[0] production[0] long[0] before[0] that[0] film's[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
