even if i did not know that director and co-writers james wong and jeffrey reddick of the creepy final destination helped create the hit television show the x-files , i would have inevitably made a connection . 	Translation	Positive	Negative	EmotionRationale
the similarities are very apparent from the inexplicable phenomenon- like plot , to the mysterious characters , to the overall dark , ominous settings . 	the similarities are very apparent from the inexplicable phenomenon- like plot , to the mysterious characters , to the overall dark , ominous settings .	2	-3	 the[0] similarities[0] are[0] very[0] apparent[0] from[0] the[0] inexplicable[-1] phenomenon[0] like[1] plot[0] to[0] the[0] mysterious[0] characters[0] to[0] the[0] overall[0] dark[0] ominous[-2] settings[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it would have been perfectly fitting to see fbi agents mulder and scully investigate this case , they witness stuff like this on a weekly basis ( in fact mulder and scully would have been a much more welcome change to the bland one dimensional fbi agents seen in this movie ) . 	it would have been perfectly fitting to see fbi agents mulder and scully investigate this case , they witness stuff like this on a weekly basis ( in fact mulder and scully would have been a much more welcome change to the bland one dimensional fbi agents seen in this movie ) .	2	-2	 it[0] would[0] have[0] been[0] perfectly[1] fitting[0] to[0] see[0] fbi[0] agents[0] mulder[0] and[0] scully[0] investigate[0] this[0] case[0] they[0] witness[0] stuff[0] like[1] this[0] on[0] a[0] weekly[0] basis[0] in[0] fact[0] mulder[0] and[0] scully[0] would[0] have[0] been[0] a[0] much[0] more[0] welcome[1] change[0] to[0] the[0] bland[-1] one[0] dimensional[0] fbi[0] agents[0] seen[0] in[0] this[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
another more important similarity , is that both succeed in entertaining and thrilling at the same time . 	another more important similarity , is that both succeed in entertaining and thrilling at the same time .	4	-1	 another[0] more[0] important[0] similarity[0] is[0] that[0] both[0] succeed[2] in[0] entertaining[0] and[0] thrilling[3] at[0] the[0] same[0] time[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this is a great accomplishment for a teen horror movie , especially when compared to some of the trash , of the same genre , released in the last couple of years ( urban legend and i still know what you did last summer are classic examples from the bunch ) . 	this is a great accomplishment for a teen horror movie , especially when compared to some of the trash , of the same genre , released in the last couple of years ( urban legend and i still know what you did last summer are classic examples from the bunch ) .	3	-4	 this[0] is[0] a[0] great[2] accomplishment[1] for[0] a[0] teen[0] horror[-3] movie[0] especially[0] when[0] compared[0] to[0] some[0] of[0] the[0] trash[-1] of[0] the[0] same[0] genre[0] released[0] in[0] the[0] last[0] couple[0] of[0] years[0] urban[0] legend[0] and[0] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] are[0] classic[0] examples[0] from[0] the[0] bunch[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what helps final destination is its unique premise . 	what helps final destination is its unique premise .	1	-1	 what[0] helps[0] final[0] destination[0] is[0] its[0] unique[0] premise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike your average horror flick in which some invincible psycho with a knife chases blonde cheerleaders , the villain presented is unusual , it's the grim reaper . 	unlike your average horror flick in which some invincible psycho with a knife chases blonde cheerleaders , the villain presented is unusual , it's the grim reaper .	1	-4	 unlike[0] your[0] average[0] horror[-3] flick[0] in[0] which[0] some[0] invincible[0] psycho[0] with[0] a[0] knife[-1] chases[-1] blonde[0] cheerleaders[0] the[0] villain[-2] presented[0] is[0] unusual[0] it's[0] the[0] grim[-2] reaper[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this being already has predestined when and how you will die . 	this being already has predestined when and how you will die .	1	-1	 this[0] being[0] already[0] has[0] predestined[0] when[0] and[0] how[0] you[0] will[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
according to the brief history lesson given in this film , everyone was meant to die at a certain time , some people at 100 , others at 17 , whatever death chooses . 	according to the brief history lesson given in this film , everyone was meant to die at a certain time , some people at 100 , others at 17 , whatever death chooses .	1	-3	 according[0] to[0] the[0] brief[0] history[0] lesson[0] given[0] in[0] this[0] film[0] everyone[0] was[0] meant[0] to[0] die[0] at[0] a[0] certain[0] time[0] some[0] people[0] at[0] 100[0] others[0] at[0] 17[0] whatever[0] death[-2] chooses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what is unique about death is that it's already dead , so you can't really kill it . 	what is unique about death is that it's already dead , so you can't really kill it .	3	-3	 what[0] is[0] unique[0] about[0] death[-2] is[0] that[0] it's[0] already[0] dead[-2] so[0] you[0] can't[0] really[0] kill[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only way to defeat death is to cheat it ; the question is how do you do that ? 	the only way to defeat death is to cheat it ; the question is how do you do that ?	1	-3	 the[0] only[0] way[0] to[0] defeat[0] death[-2] is[0] to[0] cheat[-2] it[0] the[0] question[0] is[0] how[0] do[0] you[0] do[0] that[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this dilemma is what faces alex and a group of teenagers . 	this dilemma is what faces alex and a group of teenagers .	1	-2	 this[0] dilemma[-1] is[0] what[0] faces[0] alex[0] and[0] a[0] group[0] of[0] teenagers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
