first , i am not a big fan of the x-files tv series . 	Translation	Positive	Negative	EmotionRationale
i have nothing against it particularly , i just don't happen to watch it . 	i have nothing against it particularly , i just don't happen to watch it .	1	-2	 i[0] have[0] nothing[0] against[-1] it[0] particularly[0] i[0] just[0] don't[0] happen[0] to[0] watch[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having said that , i can now say that i liked the x-files pretty well . 	having said that , i can now say that i liked the x-files pretty well .	3	-1	 having[0] said[0] that[0] i[0] can[0] now[0] say[0] that[0] i[0] liked[2] the[0] x[1] files[0] pretty[2] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for us non-fans , there's nothing big going for it , but there are a lot of little things . 	for us non-fans , there's nothing big going for it , but there are a lot of little things .	1	-1	 for[0] us[0] non[0] fans[0] there's[0] nothing[0] big[0] going[0] for[0] it[0] but[0] there[0] are[0] a[0] lot[0] of[0] little[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie opens on an ice cave in north texas in 35 , 000 b . c . 	the movie opens on an ice cave in north texas in 35 , 00 b .<br> c .	1	-1	 the[0] movie[0] opens[0] on[0] an[0] ice[0] cave[0] in[0] north[0] texas[0] in[0] 35[0] 000/00[0] b[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two proto-humans enter the cave and find a space alien cocooned inside . 	two proto-humans enter the cave and find a space alien cocooned inside .	1	-2	 two[0] proto[0] humans[0] enter[0] the[0] cave[0] and[0] find[0] a[0] space[0] alien[-1] cocooned[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the alien breaks free and kills one man in a struggle while the other is seemingly captured by the bloody ooze from the alien . 	the alien breaks free and kills one man in a struggle while the other is seemingly captured by the bloody ooze from the alien .	1	-2	 the[0] alien[-1] breaks[0] free[0] and[0] kills[0] one[0] man[0] in[0] a[0] struggle[-1] while[0] the[0] other[0] is[0] seemingly[0] captured[-1] by[0] the[0] bloody[-1] ooze[0] from[0] the[0] alien[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie jumps to the same cave today where a boy ( lucas black , from sling blade ) is captured by the same black ooze . 	the movie jumps to the same cave today where a boy ( lucas black , from sling blade ) is captured by the same black ooze .	1	-2	 the[0] movie[0] jumps[0] to[0] the[0] same[0] cave[0] today[0] where[0] a[0] boy[0] lucas[0] black[0] from[0] sling[0] blade[0] is[0] captured[-1] by[0] the[0] same[0] black[0] ooze[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we then cut to fbi agents scully and mulder ( gillian anderson and david duchovny ) , who have been pulled off of their previous assignment ( investigations into the paranormal ) and put onto the bomb squad detail . 	we then cut to fbi agents scully and mulder ( gillian anderson and david duchovny ) , who have been pulled off of their previous assignment ( investigations into the paranormal ) and put onto the bomb squad detail .	1	-2	 we[0] then[0] cut[0] to[0] fbi[0] agents[0] scully[0] and[0] mulder[0] gillian[0] anderson[0] and[0] david[0] duchovny[0] who[0] have[0] been[0] pulled[0] off[0] of[0] their[0] previous[0] assignment[0] investigations[0] into[0] the[0] paranormal[0] and[0] put[0] onto[0] the[0] bomb[-1] squad[0] detail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a caller has threatened a federal building in dallas , texas . 	a caller has threatened a federal building in dallas , texas .	1	-3	 a[0] caller[0] has[0] threatened[-2] a[0] federal[0] building[0] in[0] dallas[0] texas[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on a hunch , mulder checks out the building across the street , and , wouldn't you know it , he turns out to be right . 	on a hunch , mulder checks out the building across the street , and , wouldn't you know it , he turns out to be right .	1	-1	 on[0] a[0] hunch[0] mulder[0] checks[0] out[0] the[0] building[0] across[0] the[0] street[0] and[0] wouldn't[0] you[0] know[0] it[0] he[0] turns[0] out[0] to[0] be[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fbi finds the bomb in time to evacuate but not in time to defuse . 	the fbi finds the bomb in time to evacuate but not in time to defuse .	1	-2	 the[0] fbi[0] finds[0] the[0] bomb[-1] in[0] time[0] to[0] evacuate[0] but[0] not[0] in[0] time[0] to[0] defuse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
five people die in the blast , and when mulder learns who the victims were , a light bulb goes on over his head . 	five people die in the blast , and when mulder learns who the victims were , a light bulb goes on over his head .	1	-3	 five[0] people[0] die[0] in[0] the[0] blast[0] and[0] when[0] mulder[0] learns[0] who[0] the[0] victims[-2] were[0] a[0] light[0] bulb[0] goes[0] on[0] over[0] his[0] head[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the two agents team up to investigate , against fbi orders , the links mulder has made . 	the two agents team up to investigate , against fbi orders , the links mulder has made .	1	-2	 the[0] two[0] agents[0] team[0] up[0] to[0] investigate[0] against[-1] fbi[0] orders[0] the[0] links[0] mulder[0] has[0] made[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their search leads them back to the north texas cave , all across the country , and even to antarctica as they get closer and closer to " the truth . " 	their search leads them back to the north texas cave , all across the country , and even to antarctica as they get closer and closer to " the truth .<br> "	2	-1	 their[0] search[0] leads[0] them[0] back[0] to[0] the[0] north[0] texas[0] cave[0] all[0] across[0] the[0] country[0] and[0] even[0] to[0] antarctica[0] as[0] they[0] get[0] closer[0] and[0] closer[0] to[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot , and " the truth , " are uninspired . 	the plot , and " the truth , " are uninspired .	2	-1	 the[0] plot[0] and[0] the[0] truth[1] are[0] uninspired[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i got the feeling that what i learned was supposed to shock and amaze me . 	i got the feeling that what i learned was supposed to shock and amaze me .	3	-3	 i[0] got[0] the[0] feeling[0] that[0] what[0] i[0] learned[0] was[0] supposed[0] to[0] shock[-2] and[0] amaze[2] me[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it didn't . 	it didn't .	1	-1	 it[0] didn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
