luckily , some people got starship troopers . 	Translation	Positive	Negative	EmotionRationale
some people knew it was supposed to be silly . 	some people knew it was supposed to be silly .	1	-2	 some[0] people[0] knew[0] it[0] was[0] supposed[0] to[0] be[0] silly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for those of you who didn't , how could you miss it ? 	for those of you who didn't , how could you miss it ?	2	-2	 for[0] those[0] of[0] you[0] who[0] didn't[0] how[0] could[0] you[0] miss[-1] it[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
from the very beginning , when we see an interactive internet-like promotional video for the armed forces of the future , it should be obvious this film is to be taken lightly . 	from the very beginning , when we see an interactive internet-like promotional video for the armed forces of the future , it should be obvious this film is to be taken lightly .	2	-1	 from[0] the[0] very[0] beginning[0] when[0] we[0] see[0] an[0] interactive[0] internet[0] like[1] promotional[0] video[0] for[0] the[0] armed[0] forces[0] of[0] the[0] future[0] it[0] should[0] be[0] obvious[0] this[0] film[0] is[0] to[0] be[0] taken[0] lightly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i guess without blatant one-liners and home alone style slapstick , some people just don't recognize such goofy humor . 	i guess without blatant one-liners and home alone style slapstick , some people just don't recognize such goofy humor .	3	-2	 i[0] guess[0] without[0] blatant[-1] one[0] liners[0] and[0] home[0] alone[0] style[0] slapstick[-1] some[0] people[0] just[0] don't[0] recognize[0] such[0] goofy[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
such a dry approach to such intentionally campy humor must have left some disillusioned . 	such a dry approach to such intentionally campy humor must have left some disillusioned .	3	-1	 such[0] a[0] dry[0] approach[0] to[0] such[0] intentionally[0] campy[0] humor[2] must[0] have[0] left[0] some[0] disillusioned[-1][--1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
first thing to do before seeing this movie - lighten up . 	first thing to do before seeing this movie - lighten up .	1	-1	 first[0] thing[0] to[0] do[0] before[0] seeing[0] this[0] movie[0] lighten[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meet the equivalent of " beverly hills 90210 " meets " mighty morphin power rangers " . 	meet the equivalent of " beverly hills 90210 " meets " mighty morphin power rangers " .	1	-1	 meet[0] the[0] equivalent[0] of[0] beverly[0] hills[0] 90210[0] meets[0] mighty[0] morphin[0] power[0] rangers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four close friends are now graduating high school and are ready to join the armed forces , which , in the future , means fighting for the whole galaxy and not just your country . 	four close friends are now graduating high school and are ready to join the armed forces , which , in the future , means fighting for the whole galaxy and not just your country .	2	-3	 four[0] close[0] friends[1] are[0] now[0] graduating[0] high[0] school[0] and[0] are[0] ready[0] to[0] join[0] the[0] armed[0] forces[0] which[0] in[0] the[0] future[0] means[0] fighting[-2] for[0] the[0] whole[0] galaxy[0] and[0] not[0] just[0] your[0] country[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
johnny rico ( casper van dien ) is ready to join the infantry , mostly because his girlfriend carmen ibanez ( denise richards ) has enlisted to be a pilot . 	johnny rico ( casper van dien ) is ready to join the infantry , mostly because his girlfriend carmen ibanez ( denise richards ) has enlisted to be a pilot .	1	-1	 johnny[0] rico[0] casper[0] van[0] dien[0] is[0] ready[0] to[0] join[0] the[0] infantry[0] mostly[0] because[0] his[0] girlfriend[0] carmen[0] ibanez[0] denise[0] richards[0] has[0] enlisted[0] to[0] be[0] a[0] pilot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dizzy flores ( dina meyer ) has enlisted as a trooper , and it's possible she's joining merely to follow rico , whom she's always had eyes for . 	dizy flores ( dina meyer ) has enlisted as a trooper , and it's possible she's joining merely to follow rico , whom she's always had eyes for .	1	-1	 dizzy/dizy[0] flores[0] dina[0] meyer[0] has[0] enlisted[0] as[0] a[0] trooper[0] and[0] it's[0] possible[0] she's[0] joining[0] merely[0] to[0] follow[0] rico[0] whom[0] she's[0] always[0] had[0] eyes[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
