capsule : side-splitting comedy that follows its own merciless logic almost through to the end . . . 	Translation	Positive	Negative	EmotionRationale
but not without providing a good deal of genuine laughs . 	but not without providing a good deal of genuine laughs .	2	-1	 but[0] not[0] without[0] providing[0] a[0] good[1] deal[0] of[0] genuine[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most comedies these days have one flaw . 	most comedies these days have one flaw .	1	-2	 most[0] comedies[0] these[0] days[0] have[0] one[0] flaw[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're not funny . 	they're not funny .	1	-2	 they're[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they think they're funny , but they are devoid of anything really penetrating or dastardly . 	they think they're funny , but they are devoid of anything really penetrating or dastardly .	2	-2	 they[0] think[0] they're[0] funny[1] but[0] they[0] are[0] devoid[-1] of[0] anything[0] really[0] penetrating[0] or[0] dastardly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
occasionally a good funny movie sneaks past the deadening hollywood preconceptions of humor and we get a real gem : ruthless people , for instance , which established a microcosm of a setup and played it out to the bitter end . 	occasionally a good funny movie sneaks past the deadening hollywood preconceptions of humor and we get a real gem : ruthless people , for instance , which established a microcosm of a setup and played it out to the bitter end .	3	-3	 occasionally[0] a[0] good[1] funny[1] movie[0] sneaks[-1] past[0] the[0] deadening[0] hollywood[0] preconceptions[0] of[0] humor[2] and[0] we[0] get[0] a[0] real[0] gem[0] ruthless[-2] people[0] for[0] instance[0] which[0] established[0] a[0] microcosm[0] of[0] a[0] setup[0] and[0] played[0] it[0] out[0] to[0] the[0] bitter[-1] end[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
liar liar is built the same way and is just about as funny . 	liar liar is built the same way and is just about as funny .	2	-4	 liar[-2] liar[-2][-1 MultiplePositiveWords] is[0] built[0] the[0] same[0] way[0] and[0] is[0] just[0] about[0] as[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is one of the few movies i've seen where i was laughing consistently almost all the way through : instead of a couple of set-pieces that inspired a laugh ( think of the dismal fatal instinct ) , the whole movie works like clockwork . 	this is one of the few movies i've seen where i was laughing consistently almost all the way through : instead of a couple of set-pieces that inspired a laugh ( think of the dismal fatal instinct ) , the whole movie works like clockwork .	3	-3	 this[0] is[0] one[0] of[0] the[0] few[0] movies[0] i've[0] seen[0] where[0] i[0] was[0] laughing[1] consistently[0] almost[0] all[0] the[0] way[0] through[0] instead[0] of[0] a[0] couple[0] of[0] set[0] pieces[0] that[0] inspired[2] a[0] laugh[1] think[0] of[0] the[0] dismal[-1] fatal[-2] instinct[0] the[0] whole[0] movie[0] works[0] like[1] clockwork[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jim carrey playes a high-powered lawyer , to whom lying is as natural as breathing . 	jim carrey playes a high-powered lawyer , to whom lying is as natural as breathing .	1	-4	 jim[0] carrey[0] playes[0] a[0] high[0] powered[0] lawyer[0] to[0] whom[0] lying[-3] is[0] as[0] natural[0] as[0] breathing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is one thing he takes seriously , though : his son , and we can sense the affection that they have for each other right away . 	there is one thing he takes seriously , though : his son , and we can sense the affection that they have for each other right away .	3	-1	 there[0] is[0] one[0] thing[0] he[0] takes[0] seriously[0] though[0] his[0] son[0] and[0] we[0] can[0] sense[0] the[0] affection[2] that[0] they[0] have[0] for[0] each[0] other[0] right[0] away[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but his wife is divorced and seeing another man , and now it looks like they may move away together . 	but his wife is divorced and seeing another man , and now it looks like they may move away together .	2	-2	 but[0] his[0] wife[0] is[0] divorced[-1] and[0] seeing[0] another[0] man[0] and[0] now[0] it[0] looks[0] like[1] they[0] may[0] move[0] away[0] together[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the son goes with them , of course . 	the son goes with them , of course .	1	-1	 the[0] son[0] goes[0] with[0] them[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie sets up this early material with good timing and a remarkable balance of jim carrey's over-the-top persona with reality . 	the movie sets up this early material with good timing and a remarkable balance of jim carrey's over-the-top persona with reality .	2	-1	 the[0] movie[0] sets[0] up[0] this[0] early[0] material[0] with[0] good[1] timing[0] and[0] a[0] remarkable[0] balance[0] of[0] jim[0] carrey's[0] over[0] the[0] top[0] persona[0] with[0] reality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then the plot springs into action : after being snubbed ( not deliberately ) by his father at his birthday , the kid makes a wish as he blows out the birthday candles : that for just one day , dad can't lie . 	then the plot springs into action : after being snubbed ( not deliberately ) by his father at his birthday , the kid makes a wish as he blows out the birthday candles : that for just one day , dad can't lie .	1	-1	 then[0] the[0] plot[0] springs[0] into[0] action[0] after[0] being[0] snubbed[0] not[0] deliberately[0] by[0] his[0] father[0] at[0] his[0] birthday[0] the[0] kid[0] makes[0] a[0] wish[0] as[0] he[0] blows[0] out[0] the[0] birthday[0] candles[0] that[0] for[0] just[0] one[0] day[0] dad[0] can't[0] lie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he gets the wish . 	he gets the wish .	1	-1	 he[0] gets[0] the[0] wish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what happens next is sidesplitting . 	what happens next is sidesplitting .	1	-1	 what[0] happens[0] next[0] is[0] sidesplitting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything turns into a confrontation : when cornered by a bum for some change , he shouts , " no ! 	everything turns into a confrontation : when cornered by a bum for some change , he shouts , " no !	1	-3	 everything[0] turns[0] into[0] a[0] confrontation[-2] when[0] cornered[0] by[0] a[0] bum[-1] for[0] some[0] change[0] he[0] shouts[0] no[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm not giving you any money because i know you'll spend it on booze ! 	i'm not giving you any money because i know you'll spend it on booze !	1	-1	 i'm[0] not[0] giving[0] you[0] any[0] money[0] because[0] i[0] know[0] you'll[0] spend[0] it[0] on[0] booze[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all i want to do is to get to the office without having to step over the debris of our decaying society ! " 	all i want to do is to get to the office without having to step over the debris of our decaying society !<br> "	1	-2	 all[0] i[0] want[0] to[0] do[0] is[0] to[0] get[0] to[0] the[0] office[0] without[0] having[0] to[0] step[0] over[0] the[0] debris[0] of[0] our[0] decaying[-1] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he can't even get into an elevator without earning a black eye . 	he can't even get into an elevator without earning a black eye .	1	-1	 he[0] can't[0] even[0] get[0] into[0] an[0] elevator[0] without[0] earning[0] a[0] black[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what's worse , he's now gotten himself into an expensive divorce settlement that requires him to twist the truth like abstract wire sculpture . 	and what's worse , he's now gotten himself into an expensive divorce settlement that requires him to twist the truth like abstract wire sculpture .	2	-3	 and[0] what's[0] worse[-2] he's[0] now[0] gotten[0] himself[0] into[0] an[0] expensive[-1] divorce[-1] settlement[0] that[0] requires[0] him[0] to[0] twist[0] the[0] truth[1] like[1] abstract[0] wire[0] sculpture[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
carrey , who i used to find unfunny , has gotten better at his schtick , even if it's a limited one . 	carrey , who i used to find unfunny , has gotten better at his schtick , even if it's a limited one .	1	-1	 carrey[0] who[0] i[0] used[0] to[0] find[0] unfunny[0] has[0] gotten[0] better[0] at[0] his[0] schtick[0] even[0] if[0] it's[0] a[0] limited[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he uses it to great effect in this movie . 	he uses it to great effect in this movie .	3	-1	 he[0] uses[0] it[0] to[0] great[2] effect[0] in[0] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a scene where he tries to test his ability to lie and nearly demolishes his office in the process ( there's a grin breaking out across my face right now , just remembering the scene ) . 	there is a scene where he tries to test his ability to lie and nearly demolishes his office in the process ( there's a grin breaking out across my face right now , just remembering the scene ) .	2	-2	 there[0] is[0] a[0] scene[0] where[0] he[0] tries[0] to[0] test[0] his[0] ability[0] to[0] lie[0] and[0] nearly[0] demolishes[-1] his[0] office[0] in[0] the[0] process[0] there's[0] a[0] grin[1] breaking[0] out[0] across[0] my[0] face[0] right[0] now[0] just[0] remembering[0] the[0] scene[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he can't even write the lie ; his fingers twitch , his body buckles like someone in the throes of cyanide poisoning , and when he tries to talk it's like he's speaking in tongues . 	he can't even write the lie ; his fingers twitch , his body buckles like someone in the throes of cyanide poisoning , and when he tries to talk it's like he's speaking in tongues .	2	-3	 he[0] can't[0] even[0] write[0] the[0] lie[0] his[0] fingers[0] twitch[0] his[0] body[0] buckles[0] like[1] someone[0] in[0] the[0] throes[0] of[0] cyanide[0] poisoning[-2] and[0] when[0] he[0] tries[0] to[0] talk[0] it's[0] like[1] he's[0] speaking[0] in[0] tongues[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
equally funny is a scene where he beats himself to a pulp ( don't ask why ) , tries to drink water to keep from having outbursts in the courtroom ( it fails , with semi-predictable results ) , and winds up biting the bullet when he gets called into the boardroom to have everyone ask what they think of them . 	equally funny is a scene where he beats himself to a pulp ( don't ask why ) , tries to drink water to keep from having outbursts in the courtroom ( it fails , with semi-predictable results ) , and winds up biting the bullet when he gets called into the boardroom to have everyone ask what they think of them .	2	-3	 equally[0] funny[1] is[0] a[0] scene[0] where[0] he[0] beats[0] himself[0] to[0] a[0] pulp[0] don't[0] ask[0] why[0] tries[0] to[0] drink[0] water[0] to[0] keep[0] from[0] having[0] outbursts[-1] in[0] the[0] courtroom[0] it[0] fails[-2] with[0] semi[0] predictable[0] results[0] and[0] winds[0] up[0] biting[0] the[0] bullet[-1] when[0] he[0] gets[0] called[0] into[0] the[0] boardroom[0] to[0] have[0] everyone[0] ask[0] what[0] they[0] think[0] of[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this scene alone may force people to stop the tape for minutes on end . 	this scene alone may force people to stop the tape for minutes on end .	1	-1	 this[0] scene[0] alone[0] may[0] force[-1][--1 LastWordBoosterStrength] people[0] to[0] stop[0] the[0] tape[0] for[0] minutes[0] on[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie sustains its laughs and also its flashes of insight until almost the end . 	the movie sustains its laughs and also its flashes of insight until almost the end .	2	-1	 the[0] movie[0] sustains[0] its[0] laughs[1] and[0] also[0] its[0] flashes[0] of[0] insight[0] until[0] almost[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a shame , too , because the movie insists on having a big , ridiculous climax that involves carrey's character flagging down a plane using a set of motorized stairs , then breaking his leg , etc . a simple reconciliation would do the trick . 	a shame , too , because the movie insists on having a big , ridiculous climax that involves carrey's character flagging down a plane using a set of motorized stairs , then breaking his leg , etc .<br> a simple reconciliation would do the trick .	1	-3	 a[0] shame[-2] too[0] because[0] the[0] movie[0] insists[0] on[0] having[0] a[0] big[0] ridiculous[-2] climax[0] that[0] involves[0] carrey's[0] character[0] flagging[0] down[0] a[0] plane[0] using[0] a[0] set[0] of[0] motorized[0] stairs[0] then[0] breaking[0] his[0] leg[0] etc[0] [[Sentence=-3,1=word max, 1-5]] a[0] simple[0] reconciliation[0] would[0] do[0] the[0] trick[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
why is this stupid pent-up climax always obligatory ? 	why is this stupid pent-up climax always obligatory ?	1	-2	 why[0] is[0] this[0] stupid[-1] pent[0] up[0] climax[0] always[0] obligatory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not even part of the movie's real agenda . 	it's not even part of the movie's real agenda .	1	-1	 it's[0] not[0] even[0] part[0] of[0] the[0] movie's[0] real[0] agenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully , liar liar survives it , and so does carrey . 	thankfully , liar liar survives it , and so does carrey .	2	-4	 thankfully[1] liar[-2] liar[-2][-1 MultiplePositiveWords] survives[0] it[0] and[0] so[0] does[0] carrey[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
maybe they were being merciful , on reflection . 	maybe they were being merciful , on reflection .	1	-1	 maybe[0] they[0] were[0] being[0] merciful[0] on[0] reflection[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if i'd laughed any more , i might have needed an iron lung . 	if i'd laughed any more , i might have needed an iron lung .	2	-1	 if[0] i'd[0] laughed[1] any[0] more[0] i[0] might[0] have[0] needed[0] an[0] iron[0] lung[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
