some critics , including siskel & ebert , are on the record stating that martin scorsese's raging bull , the story of boxer jake la motta , is the best film of the '80s . 	Translation	Positive	Negative	EmotionRationale
since there are still a number of '80s films that i haven't seen , i don't feel qualified to make such a judgment , but i'll say this without hesitation : raging bull is a great motion picture , and i would be surprised if more than a handful of films released between january 1 , 1980 and december 31 , 1989 come close to its level . 	since there are still a number of '80s films that i haven't seen , i don't feel qualified to make such a judgment , but i'll say this without hesitation : raging bull is a great motion picture , and i would be surprised if more than a handful of films released between january 1 , 1980 and december 31 , 1989 come close to its level .	3	-4	 since[0] there[0] are[0] still[0] a[0] number[0] of[0] '80s[0] films[0] that[0] i[0] haven't[0] seen[0] i[0] don't[0] feel[0] qualified[0] to[0] make[0] such[0] a[0] judgment[0] but[0] i'll[0] say[0] this[0] without[0] hesitation[0] raging[-3] bull[0] is[0] a[0] great[2] motion[0] picture[0] and[0] i[0] would[0] be[0] surprised[0] if[0] more[0] than[0] a[0] handful[0] of[0] films[0] released[0] between[0] january[0] 1[0] 1980[0] and[0] december[0] 31[0] 1989[0] come[0] close[0] to[0] its[0] level[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
bio-pics often fall into one of two categories : overblown hero- worship or a dry , dull textbook account . 	bio-pics often fall into one of two categories : overblown hero- worship or a dry , dull textbook account .	3	-2	 bio[0] pics[0] often[0] fall[0] into[0] one[0] of[0] two[0] categories[0] overblown[0] hero[2] worship[1] or[0] a[0] dry[0] dull[-1] textbook[0] account[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's rare that a movie with the moniker " based on the life of ? " comes across as anything more than sporadically energetic and marginally entertaining . 	it's rare that a movie with the moniker " based on the life of ?<br> " comes across as anything more than sporadically energetic and marginally entertaining .	1	-1	 it's[0] rare[0] that[0] a[0] movie[0] with[0] the[0] moniker[0] based[0] on[0] the[0] life[0] of[0] [[Sentence=-1,1=word max, 1-5]] comes[0] across[0] as[0] anything[0] more[0] than[0] sporadically[0] energetic[0] and[0] marginally[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
raging bull is the perfect counterexample , and a brilliant argument for film makers to continue to work in this genre . 	raging bull is the perfect counterexample , and a brilliant argument for film makers to continue to work in this genre .	2	-4	 raging[-3] bull[0] is[0] the[0] perfect[1] counterexample[0] and[0] a[0] brilliant[1] argument[-1] for[0] film[0] makers[0] to[0] continue[0] to[0] work[0] in[0] this[0] genre[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the picture takes the life of boxer jake la motta , a middleweight icon from the '40s and '50s , and develops one of the most compelling character studies ever to reach the big screen . 	the picture takes the life of boxer jake la motta , a middleweight icon from the '40s and '50s , and develops one of the most compelling character studies ever to reach the big screen .	1	-1	 the[0] picture[0] takes[0] the[0] life[0] of[0] boxer[0] jake[0] la[0] motta[0] a[0] middleweight[0] icon[0] from[0] the[0] '40s[0] and[0] '50s[0] and[0] develops[0] one[0] of[0] the[0] most[0] compelling[0] character[0] studies[0] ever[0] to[0] reach[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for all 129 minutes , director martin scorsese and actor robert de niro ( in the title role ) have us mesmerized by this individual who is by turns sympathetic , sad , and horrifying . 	for all 129 minutes , director martin scorsese and actor robert de niro ( in the title role ) have us mesmerized by this individual who is by turns sympathetic , sad , and horrifying .	1	-4	 for[0] all[0] 129[0] minutes[0] director[0] martin[0] scorsese[0] and[0] actor[0] robert[0] de[0] niro[0] in[0] the[0] title[0] role[0] have[0] us[0] mesmerized[0] by[0] this[0] individual[0] who[0] is[0] by[0] turns[0] sympathetic[0] sad[-3] and[0] horrifying[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
historically , raging bull is said to be mostly accurately , with the lion's share of the details culled from la motta's own autobiography ( which was co-written with joseph carter and peter savage ) . 	historically , raging bull is said to be mostly accurately , with the lion's share of the details culled from la motta's own autobiography ( which was co-written with joseph carter and peter savage ) .	1	-4	 historically[0] raging[-3] bull[0] is[0] said[0] to[0] be[0] mostly[0] accurately[0] with[0] the[0] lion's[0] share[0] of[0] the[0] details[0] culled[0] from[0] la[0] motta's[0] own[0] autobiography[0] which[0] was[0] co[0] written[0] with[0] joseph[0] carter[0] and[0] peter[0] savage[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , although la motta is credited as the movie's " consultant , " he was reportedly unhappy with the final result , because it portrays him as nothing short of an uncouth , insensitive lout . 	however , although la motta is credited as the movie's " consultant , " he was reportedly unhappy with the final result , because it portrays him as nothing short of an uncouth , insensitive lout .	1	-3	 however[0] although[0] la[0] motta[0] is[0] credited[0] as[0] the[0] movie's[0] consultant[0] he[0] was[0] reportedly[0] unhappy[-2] with[0] the[0] final[0] result[0] because[0] it[0] portrays[0] him[0] as[0] nothing[0] short[0] of[0] an[0] uncouth[-1] insensitive[0] lout[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the la motta of the movie is a man of extreme appetites who is driven by base , bestial impulses ? paranoia , jealousy , and blind rage . 	the la motta of the movie is a man of extreme appetites who is driven by base , bestial impulses ?<br> paranoia , jealousy , and blind rage .	1	-4	 the[0] la[0] motta[0] of[0] the[0] movie[0] is[0] a[0] man[0] of[0] extreme[0] appetites[0] who[0] is[0] driven[0] by[0] base[0] bestial[0] impulses[0] [[Sentence=-1,1=word max, 1-5]] paranoia[-2] jealousy[-2][-1 MultiplePositiveWords] and[0] blind[-1] rage[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sex and violence are inextricably linked . 	sex and violence are inextricably linked .	1	-4	 sex[0] and[0] violence[-3] are[0] inextricably[0] linked[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
