wow ! what a movie . 	Translation	Positive	Negative	EmotionRationale
it's everything a movie can be : funny , dramatic , interesting , weird , funny , weird and strikingly original . 	it's everything a movie can be : funny , dramatic , interesting , weird , funny , weird and strikingly original .	2	-2	 it's[0] everything[0] a[0] movie[0] can[0] be[0] funny[1] dramatic[0] interesting[1] weird[-1] funny[1] weird[-1] and[0] strikingly[0] original[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yep that pretty much describes this movie . 	yep that pretty much describes this movie .	3	-1	 yep[0] that[0] pretty[2] much[0] describes[0] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it starts out like a regular movie and ends up being one of the weirdest , funniest most original movies i have ever seen . 	it starts out like a regular movie and ends up being one of the weirdest , funniest most original movies i have ever seen .	2	-2	 it[0] starts[0] out[0] like[1] a[0] regular[0] movie[0] and[0] ends[0] up[0] being[0] one[0] of[0] the[0] weirdest[-1] funniest[1] most[0] original[0] movies[0] i[0] have[0] ever[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it boggles the mind and some have to wonder why we cannot get movies like this more often . 	it boggles the mind and some have to wonder why we cannot get movies like this more often .	2	-1	 it[0] boggles[0] the[0] mind[0] and[0] some[0] have[0] to[0] wonder[0] why[0] we[0] cannot[0] get[0] movies[0] like[1] this[0] more[0] often[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
besides being one of the best films of the year , being john malkovich may as well be one of the best movies ever . 	besides being one of the best films of the year , being john malkovich may as well be one of the best movies ever .	2	-1	 besides[0] being[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] year[0] being[0] john[0] malkovich[0] may[0] as[0] well[0] be[0] one[0] of[0] the[0] best[1] movies[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
period . 	period .	1	-1	 period[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then again there are so many good movies , that one cannot pick an all time favorite . 	then again there are so many good movies , that one cannot pick an all time favorite .	2	-1	 then[0] again[0] there[0] are[0] so[0] many[0] good[1] movies[0] that[0] one[0] cannot[0] pick[0] an[0] all[0] time[0] favorite[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
john cusack plays a puppeteer craig schwartz a man out of a job , in search of a job . 	john cusack plays a puppeteer craig schwartz a man out of a job , in search of a job .	2	-1	 john[0] cusack[0] plays[1] a[0] puppeteer[0] craig[0] schwartz[0] a[0] man[0] out[0] of[0] a[0] job[0] in[0] search[0] of[0] a[0] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his wife lotte schwartz who is played by a completely un-noticeable cameron diaz who looks like something off the streets is an animal lover and has about every kind of animal you could think of . 	his wife lotte schwartz who is played by a completely un-noticeable cameron diaz who looks like something off the streets is an animal lover and has about every kind of animal you could think of .	4	-1	 his[0] wife[0] lotte[0] schwartz[0] who[0] is[0] played[0] by[0] a[0] completely[0] un[0] noticeable[0] cameron[0] diaz[0] who[0] looks[0] like[1] something[0] off[0] the[0] streets[0] is[0] an[0] animal[0] lover[3] and[0] has[0] about[0] every[0] kind[1] of[0] animal[0] you[0] could[0] think[0] of[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
craig finds a job as a file at the 7 ? floor of a business building . . . you 	craig finds a job as a file at the 7 ?<br> floor of a business building .<br> .<br> .<br> you	1	-1	 craig[0] finds[0] a[0] job[0] as[0] a[0] file[0] at[0] the[0] 7[0] [[Sentence=-1,1=word max, 1-5]] floor[0] of[0] a[0] business[0] building[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
have to pry open the elevator doors open before it reaches floor eight , the 7 ? floor is just a floor between 7 and 8 . 	have to pry open the elevator doors open before it reaches floor eight , the 7 ?<br> floor is just a floor between 7 and 8 .	1	-2	 have[0] to[0] pry[-1] open[0] the[0] elevator[0] doors[0] open[0] before[0] it[0] reaches[0] floor[0] eight[0] the[0] 7[0] [[Sentence=-2,1=word max, 1-5]] floor[0] is[0] just[0] a[0] floor[0] between[0] 7[0] and[0] 8[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is hired by his 105 year old boss ( orsen bean ) to be a filer . 	he is hired by his 105 year old boss ( orsen bean ) to be a filer .	1	-1	 he[0] is[0] hired[0] by[0] his[0] 105[0] year[0] old[0] boss[0] orsen[0] bean[0] to[0] be[0] a[0] filer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his office , he discovers a little door , to which was boarded up and hidden . 	in his office , he discovers a little door , to which was boarded up and hidden .	1	-1	 in[0] his[0] office[0] he[0] discovers[0] a[0] little[0] door[0] to[0] which[0] was[0] boarded[0] up[0] and[0] hidden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to his curiosity he opens it and starts to crawl toward it , he then gets sucked to the end and ends up in john malkovich's mind . 	to his curiosity he opens it and starts to crawl toward it , he then gets sucked to the end and ends up in john malkovich's mind .	1	-2	 to[0] his[0] curiosity[0] he[0] opens[0] it[0] and[0] starts[0] to[0] crawl[0] toward[0] it[0] he[0] then[0] gets[0] sucked[-1] to[0] the[0] end[0] and[0] ends[0] up[0] in[0] john[0] malkovich's[0] mind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fifteen minutes later he is shot out onto the side of the new jersey turnpike . 	fifteen minutes later he is shot out onto the side of the new jersey turnpike .	1	-2	 fifteen[0] minutes[0] later[0] he[0] is[0] shot[-1] out[0] onto[0] the[0] side[0] of[0] the[0] new[0] jersey[0] turnpike[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he returns to tell his co-worker maxine ( catherine keener ) that he has found a portal that will lead him into john malkovich's mind , she doesn't believe him but after she sees it it changes her mind . 	he returns to tell his co-worker maxine ( catherine keener ) that he has found a portal that will lead him into john malkovich's mind , she doesn't believe him but after she sees it it changes her mind .	1	-1	 he[0] returns[0] to[0] tell[0] his[0] co[0] worker[0] maxine[0] catherine[0] keener[0] that[0] he[0] has[0] found[0] a[0] portal[0] that[0] will[0] lead[0] him[0] into[0] john[0] malkovich's[0] mind[0] she[0] doesn't[0] believe[0] him[0] but[0] after[0] she[0] sees[0] it[0] it[0] changes[0] her[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lotte also finds out about the portal and discovers that being someone else is good after all . 	lotte also finds out about the portal and discovers that being someone else is good after all .	2	-1	 lotte[0] also[0] finds[0] out[0] about[0] the[0] portal[0] and[0] discovers[0] that[0] being[0] someone[0] else[0] is[0] good[1] after[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
