>from the man who presented us with henry : the portrait of a serial killer ( 6 . 5/10 ) 	Translation	Positive	Negative	EmotionRationale
comes a wild tale set within the elite and white trash of florida's south coast . 	comes a wild tale set within the elite and white trash of florida's south coast .	1	-2	 comes[0] a[0] wild[0] tale[0] set[0] within[0] the[0] elite[0] and[0] white[0] trash[-1] of[0] florida's[0] south[0] coast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot : guidance counselor ( dillon ) is accused of raping one of his students . 	plot : guidance counselor ( dillon ) is accused of raping one of his students .	1	-4	 plot[0] guidance[0] counselor[0] dillon[0] is[0] accused[-1] of[0] raping[-3] one[0] of[0] his[0] students[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she happens to be the daughter of one of the wealthiest women in florida . 	she happens to be the daughter of one of the wealthiest women in florida .	1	-1	 she[0] happens[0] to[0] be[0] the[0] daughter[0] of[0] one[0] of[0] the[0] wealthiest[0] women[0] in[0] florida[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the counselor is brought to court on the charges , as another white trash girl ( campbell ) , also joins the rape finger-pointing club . 	the counselor is brought to court on the charges , as another white trash girl ( campbell ) , also joins the rape finger-pointing club .	1	-4	 the[0] counselor[0] is[0] brought[0] to[0] court[0] on[0] the[0] charges[-1] as[0] another[0] white[0] trash[-1] girl[0] campbell[0] also[0] joins[0] the[0] rape[-3] finger[0] pointing[0] club[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as the story unfolds , we find that many things aren't exactly as they seem ( that's as much as i could say without ruining anything ) . 	as the story unfolds , we find that many things aren't exactly as they seem ( that's as much as i could say without ruining anything ) .	1	-2	 as[0] the[0] story[0] unfolds[0] we[0] find[0] that[0] many[0] things[0] aren't[0] exactly[0] as[0] they[0] seem[0] that's[0] as[0] much[0] as[0] i[0] could[0] say[0] without[0] ruining[-1] anything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critique : good little flick that slows down at certain points , and runs a tad long , but generates enough twists and turns to keep most people interested throughout . 	critique : good little flick that slows down at certain points , and runs a tad long , but generates enough twists and turns to keep most people interested throughout .	2	-1	 critique[0] good[1] little[0] flick[0] that[0] slows[0] down[0] at[0] certain[0] points[0] and[0] runs[0] a[0] tad[0] long[0] but[0] generates[0] enough[0] twists[0] and[0] turns[0] to[0] keep[0] most[0] people[0] interested[1] throughout[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mind you , i could see many people not liking it because it takes " one too many " twists and turns , but hey , i happen to like that kind of thing . 	mind you , i could see many people not liking it because it takes " one too many " twists and turns , but hey , i happen to like that kind of thing .	2	-3	 mind[0] you[0] i[0] could[0] see[0] many[0] people[0] not[0] liking[2][NegatedDueToPreviousWord] it[0] because[0] it[0] takes[0] one[0] too[0] many[0] twists[0] and[0] turns[0] but[0] hey[1] i[0] happen[0] to[0] like[1] that[0] kind[1] of[0] thing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and besides , the twists and turns in this movie managed to remain within the realm of believability ( or scathingly close to ) , and even " explained " many of its turns with a showcase of missed scenes during the credit crawl at the end of the film ( do not leave the theatre before you see the credits . . . it 	and besides , the twists and turns in this movie managed to remain within the realm of believability ( or scathingly close to ) , and even " explained " many of its turns with a showcase of missed scenes during the credit crawl at the end of the film ( do not leave the theatre before you see the credits .<br> .<br> .<br> it	1	-2	 and[0] besides[0] the[0] twists[0] and[0] turns[0] in[0] this[0] movie[0] managed[0] to[0] remain[0] within[0] the[0] realm[0] of[0] believability[0] or[0] scathingly[0] close[0] to[0] and[0] even[0] explained[0] many[0] of[0] its[0] turns[0] with[0] a[0] showcase[0] of[0] missed[-1] scenes[0] during[0] the[0] credit[0] crawl[0] at[0] the[0] end[0] of[0] the[0] film[0] do[0] not[0] leave[0] the[0] theatre[0] before[0] you[0] see[0] the[0] credits[0] [[Sentence=-2,1=word max, 1-5]] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
really does clear up some stuff ! ! ) . 	really does clear up some stuff !<br> !<br> ) .	1	-1	 really[0] does[0] clear[0] up[0] some[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other than that , the acting was good , with campbell transforming her " good girl stereotypical " role into a pot-smoking , goth-looking white trash chick out for a good time . 	other than that , the acting was good , with campbell transforming her " good girl stereotypical " role into a pot-smoking , goth-looking white trash chick out for a good time .	2	-2	 other[0] than[0] that[0] the[0] acting[0] was[0] good[1] with[0] campbell[0] transforming[0] her[0] good[1] girl[0] stereotypical[0] role[0] into[0] a[0] pot[0] smoking[0] goth[0] looking[0] white[0] trash[-1] chick[0] out[0] for[0] a[0] good[1] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
