when quentin tarantino made " pulp fiction " , he was not only making the greatest film of the 90s ; he was also making what i believe to be the most influential movie of all time . 	Translation	Positive	Negative	EmotionRationale
but before you send me hate-mail for not giving that title to " citizen kane " , hear me out . 	but before you send me hate-mail for not giving that title to " citizen kane " , hear me out .	1	-4	 but[0] before[0] you[0] send[0] me[0] hate[-3] mail[0] for[0] not[0] giving[0] that[0] title[0] to[0] citizen[0] kane[0] hear[0] me[0] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
much like " citizen kane " , " pulp fiction " has changed movie making forever . 	much like " citizen kane " , " pulp fiction " has changed movie making forever .	2	-1	 much[0] like[1] citizen[0] kane[0] pulp[0] fiction[0] has[0] changed[0] movie[0] making[0] forever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but i think the latter has had a tad more impact . 	but i think the latter has had a tad more impact .	1	-1	 but[0] i[0] think[0] the[0] latter[0] has[0] had[0] a[0] tad[0] more[0] impact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " pulp fiction " has actually ushered in a new era of film making . 	 " pulp fiction " has actually ushered in a new era of film making .	1	-1	 pulp[0] fiction[0] has[0] actually[0] ushered[0] in[0] a[0] new[0] era[0] of[0] film[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has altered the way films will be viewed . 	it has altered the way films will be viewed .	1	-1	 it[0] has[0] altered[0] the[0] way[0] films[0] will[0] be[0] viewed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " fiction " has spawned so many imitations , i've lost count . 	 " fiction " has spawned so many imitations , i've lost count .	1	-1	 fiction[0] has[0] spawned[0] so[0] many[0] imitations[0] i've[0] lost[0] count[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , some have been excellent ( " bound " and " the usual suspects " spring immediately to mind ) , but any serious movie-goer recognizes " pulp fiction " as the original neo-noir of the 90s . 	sure , some have been excellent ( " bound " and " the usual suspects " spring immediately to mind ) , but any serious movie-goer recognizes " pulp fiction " as the original neo-noir of the 90s .	4	-2	 sure[0] some[0] have[0] been[0] excellent[3] bound[0] and[0] the[0] usual[0] suspects[0] spring[0] immediately[0] to[0] mind[0] but[0] any[0] serious[-1] movie[0] goer[0] recognizes[0] pulp[0] fiction[0] as[0] the[0] original[0] neo[0] noir[0] of[0] the[0] 90s[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in this review , i hope to change all the people's minds who have criticized it for it's excessive profanity and violence ( which , by the way , isn't really that graphic ) . 	in this review , i hope to change all the people's minds who have criticized it for it's excessive profanity and violence ( which , by the way , isn't really that graphic ) .	3	-4	 in[0] this[0] review[0] i[0] hope[2] to[0] change[0] all[0] the[0] people's[0] minds[0] who[0] have[0] criticized[-1] it[0] for[0] it's[0] excessive[-1] profanity[0] and[0] violence[-3] which[0] by[0] the[0] way[0] isn't[0] really[0] that[0] graphic[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the most brilliant aspect of tarantino's masterpiece is the screenplay . 	the most brilliant aspect of tarantino's masterpiece is the screenplay .	2	-1	 the[0] most[0] brilliant[1] aspect[0] of[0] tarantino's[0] masterpiece[0] is[0] the[0] screenplay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is filled with so much classic dialogue ( the " quarter pounder with cheese " speech will go down in history ) , it should be required reading for any film student , if it isn't already . 	it is filled with so much classic dialogue ( the " quarter pounder with cheese " speech will go down in history ) , it should be required reading for any film student , if it isn't already .	1	-1	 it[0] is[0] filled[0] with[0] so[0] much[0] classic[0] dialogue[0] the[0] quarter[0] pounder[0] with[0] cheese[0] speech[0] will[0] go[0] down[0] in[0] history[0] it[0] should[0] be[0] required[0] reading[0] for[0] any[0] film[0] student[0] if[0] it[0] isn't[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story ( told in unorthodox non-linear format ) centers around three main episodes , all of which eventually intertwine . 	the story ( told in unorthodox non-linear format ) centers around three main episodes , all of which eventually intertwine .	1	-1	 the[0] story[0] told[0] in[0] unorthodox[0] non[0] linear[0] format[0] centers[0] around[0] three[0] main[0] episodes[0] all[0] of[0] which[0] eventually[0] intertwine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first , titled " vincent vega and marcellus wallace's wife " , deals with a very loaded john travolta ( i forgot to mention the cool heroin shoot-up sequence ) taking mia wallace ( a star-making performance by uma thurman ) , his bosses wife , out on a date to a cool 50s restaurant called jack rabbit slim's . 	the first , titled " vincent vega and marcellus wallace's wife " , deals with a very loaded john travolta ( i forgot to mention the cool heroin shoot-up sequence ) taking mia wallace ( a star-making performance by uma thurman ) , his bosses wife , out on a date to a cool 50s restaurant called jack rabbit slim's .	3	-2	 the[0] first[0] titled[0] vincent[0] vega[0] and[0] marcellus[0] wallace's[0] wife[0] deals[0] with[0] a[0] very[0] loaded[0] john[0] travolta[0] i[0] forgot[0] to[0] mention[0] the[0] cool[1] heroin[2] shoot[-1] up[0] sequence[0] taking[0] mia[0] wallace[0] a[0] star[0] making[0] performance[0] by[0] uma[0] thurman[0] his[0] bosses[0] wife[0] out[0] on[0] a[0] date[0] to[0] a[0] cool[1] 50s[0] restaurant[0] called[0] jack[0] rabbit[0] slim's[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they talk for a while ( with the occasional " uncomfortable silence " ) , mostly about a guy called tony rocky horror . 	they talk for a while ( with the occasional " uncomfortable silence " ) , mostly about a guy called tony rocky horror .	1	-4	 they[0] talk[0] for[0] a[0] while[0] with[0] the[0] occasional[0] uncomfortable[-2] silence[0] mostly[0] about[0] a[0] guy[0] called[0] tony[0] rocky[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after giving marcellus' new bride a foot massage , he was thrown off a building and into a greenhouse , giving him a " speech impediment " . 	after giving marcellus' new bride a foot massage , he was thrown off a building and into a greenhouse , giving him a " speech impediment " .	1	-2	 after[0] giving[0] marcellus'[0] new[0] bride[0] a[0] foot[0] massage[0] he[0] was[0] thrown[0] off[0] a[0] building[0] and[0] into[0] a[0] greenhouse[0] giving[0] him[0] a[0] speech[0] impediment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they also partake in a cool dance contest and end up twisting to the chuck berry classic " you never can tell " . 	they also partake in a cool dance contest and end up twisting to the chuck berry classic " you never can tell " .	2	-1	 they[0] also[0] partake[0] in[0] a[0] cool[1] dance[0] contest[0] and[0] end[0] up[0] twisting[0] to[0] the[0] chuck[0] berry[0] classic[0] you[0] never[0] can[0] tell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i won't reveal the rest of the story , but i'll definitely say that it turns out to be a real bummer of a night , despite the cool trophy they win . 	i won't reveal the rest of the story , but i'll definitely say that it turns out to be a real bummer of a night , despite the cool trophy they win .	2	-1	 i[0] won't[0] reveal[0] the[0] rest[0] of[0] the[0] story[0] but[0] i'll[0] definitely[0] say[0] that[0] it[0] turns[0] out[0] to[0] be[0] a[0] real[0] bummer[0] of[0] a[0] night[0] despite[0] the[0] cool[1] trophy[0] they[0] win[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the second story ( the least of the three but still four stars ) stars bruce willis ( proving he can play someone other than john mcclain in the " die hard " flicks ) as boxer butch coolidge . 	the second story ( the least of the three but still four stars ) stars bruce willis ( proving he can play someone other than john mcclain in the " die hard " flicks ) as boxer butch coolidge .	1	-1	 the[0] second[0] story[0] the[0] least[0] of[0] the[0] three[0] but[0] still[0] four[0] stars[0] stars[0] bruce[0] willis[0] proving[0] he[0] can[0] play[0] someone[0] other[0] than[0] john[0] mcclain[0] in[0] the[0] die[0] hard[0] flicks[0] as[0] boxer[0] butch[0] coolidge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
